0	Index      	 *	Score 	Summary	Detail	
1	21631 13128	 * 	305.41	ACR|4VULN|2TLV|2DUR|1AART	1AART|27aFEWX|37DUR|4RCR|5MBVNT|678aVULN|7aBPWR|9aTLV
2	12321 11163	 * 	291.66	ACR|DCR|2TLV|1VULN|1AEFBLL	1LWND|2RPLT|3VULN|49TLV|5aRCR|6CANARM|7FEWX|8AEFBLL
3	12321 12133	   	291.66	ACR|DCR|2TLV|1VULN|1AEFBLL	1LWND|2RPLT|3VULN|49TLV|5aRCR|6CANARM|7LHND|8AEFBLL
4	11365 11233	 * 	290.87	DCR|3TLV|2VULN|1AEFBLL|1ASPD|1CDMG	18LWND|2AEFBLL|38VULN|4CDMG|5CGEN|68aTLV|7RCR|8BPWR|9ASPD
5	11361 11233	   	290.77	DCR|3TLV|2VULN|1AEFBLL|1ASPD|1CDMG	18LWND|2AEFBLL|38VULN|4CDMG|5ERES|68aTLV|7RCR|8BPWR|9ASPD
6	61365 11233	   	290.67	DCR|3TLV|2VULN|1AEFBLL|1ASPD|1CDMG	18DUST|2AEFBLL|38VULN|4CDMG|5CGEN|68aTLV|7RCR|8BPWR|9ASPD
7	61361 11233	   	290.57	DCR|3TLV|2VULN|1AEFBLL|1ASPD|1CDMG	18DUST|2AEFBLL|38VULN|4CDMG|5ERES|68aTLV|7RCR|8BPWR|9ASPD
8	11365 11234	 * 	289.78	DCR|2TLV|2VULN|2ASPD|2AEFBLL|1CDMG	18LWND|2aAEFBLL|38VULN|4CDMG|5aCGEN|68TLV|7RCR|8aBPWR|9aASPD
9	11361 11234	   	289.58	DCR|2TLV|2VULN|2ASPD|2AEFBLL|1CDMG	18LWND|2aAEFBLL|38VULN|4CDMG|5aERES|68TLV|7RCR|8aBPWR|9aASPD
10	61361 11234	   	289.38	DCR|2TLV|2VULN|2ASPD|2AEFBLL|1CDMG	18DUST|2aAEFBLL|38VULN|4CDMG|5aERES|68TLV|7RCR|8aBPWR|9aASPD
11	12321 14123	 * 	288.90	ACR|DCR|2VULN|1TLV|1CDMG	1LWND|2RPLT|38VULN|4TLV|5aRCR|6CANARM|7CDMG|9LHND
12	12341 34323	   	288.90	ACR|DCR|2VULN|1TLV|1ASPD	1LWND|2RPLT|39VULN|4ASPD|5aRCR|6BEXP|7TLV|8BASICY
13	11365 11261	 * 	288.17	DCR|3VULN|2TLV|1AEFBLL|1CDMG	18LWND|2AEFBLL|38aVULN|4CDMG|5CGEN|68TLV|7RCR|8BPWR|9CANHEL
14	11361 11261	   	288.07	DCR|3VULN|2TLV|1AEFBLL|1CDMG	18LWND|2AEFBLL|38aVULN|4CDMG|5ERES|68TLV|7RCR|8BPWR|9CANHEL
15	61361 11261	   	287.87	DCR|3VULN|2TLV|1AEFBLL|1CDMG	18DUST|2AEFBLL|38aVULN|4CDMG|5ERES|68TLV|7RCR|8BPWR|9CANHEL
16	11365 11231	   	286.89	DCR|2TLV|2VULN|1AEFBLL|1ASPD|1CDMG	18LWND|2AEFBLL|38VULN|4CDMG|5CGEN|68TLV|7RCR|8BPWR|9ASPD|aDUR
17	11361 11231	   	286.79	DCR|2TLV|2VULN|1AEFBLL|1ASPD|1CDMG	18LWND|2AEFBLL|38VULN|4CDMG|5ERES|68TLV|7RCR|8BPWR|9ASPD|aDUR
18	61365 11231	   	286.69	DCR|2TLV|2VULN|1AEFBLL|1ASPD|1CDMG	18DUST|2AEFBLL|38VULN|4CDMG|5CGEN|68TLV|7RCR|8BPWR|9ASPD|aDUR
19	61361 11231	   	286.59	DCR|2TLV|2VULN|1AEFBLL|1ASPD|1CDMG	18DUST|2AEFBLL|38VULN|4CDMG|5ERES|68TLV|7RCR|8BPWR|9ASPD|aDUR
