0	Index      	 *	Score 	Summary	Detail	
1	54111 42313	 * 	332.62	ACR|DCR|2TLV|2VULN|1AEFBLL|1AART	1AART|2LIT|36TLV|49VULN|57RCR|8LHND|aAEFBLL
2	21515 11135	 * 	317.62	DCR|3TLV|3VULN|3CDMG|2RAT	1RCVC|29aTLV|389CDMG|4DUR|5aRAT|69aVULN|7RCR|9aBPWR
3	63126 13432	 * 	317.31	DCR|3TLV|2VULN|3DMG|1ASPD	138TLV|2AETHUN|4ASPD|58VULN|678DMG|8BPWR|9ZMB|aRCR
4	54121 12413	   	316.07	ACR|DCR|2VULN|1TLV|1AEFBLL|1AART	1AART|2LIT|3TLV|4DUR|57RCR|6RCVC|89VULN|aAEFBLL
5	11411 46313	   	312.55	ACR|DCR|2TLV|2VULN|1AART	1LIT|2RMIN|3AART|49VULN|58RCR|67TLV|aAME
6	54111 41312	   	312.55	ACR|DCR|2TLV|2VULN|1AART	1AART|2LIT|36TLV|49VULN|58RCR|7CGEN|aDMSP
7	54111 41313	   	312.55	ACR|DCR|2TLV|2VULN|1AART	1AART|2LIT|36TLV|49VULN|58RCR|7CGEN|aBEXP
8	54111 42113	   	312.55	ACR|DCR|2TLV|2VULN|1AART	1AART|2LIT|36TLV|49VULN|57RCR|8AAC|aAME
9	54111 42312	   	312.55	ACR|DCR|2TLV|2VULN|1AART	1AART|2LIT|36TLV|49VULN|57RCR|8LHND|aMLV
10	11411 46311	   	312.45	ACR|DCR|2TLV|2VULN|1AART|1MSE	1LIT|2RMIN|3AART|49VULN|58RCR|67TLV|aMSE
11	11411 46312	   	312.45	ACR|DCR|2TLV|2VULN|1AART	1LIT|2RMIN|3AART|49VULN|58RCR|67TLV|aLEGI
12	54111 41311	   	312.45	ACR|DCR|2TLV|2VULN|1AART	1AART|2LIT|36TLV|49VULN|58RCR|7CGEN|aDUST
13	54111 42111	   	312.45	ACR|DCR|2TLV|2VULN|1AART|1MSE	1AART|2LIT|36TLV|49VULN|57RCR|8AAC|aMSE
14	54111 42112	   	312.45	ACR|DCR|2TLV|2VULN|1AART	1AART|2LIT|36TLV|49VULN|57RCR|8AAC|aLEGI
15	54111 42212	   	312.45	ACR|DCR|2TLV|2VULN|1AART	1AART|2LIT|36TLV|49VULN|57RCR|8ERES|aDMSP
16	54111 42213	   	312.45	ACR|DCR|2TLV|2VULN|1AART	1AART|2LIT|36TLV|49VULN|57RCR|8ERES|aBEXP
17	54111 42311	   	312.45	ACR|DCR|2TLV|2VULN|1AART	1AART|2LIT|36TLV|49VULN|57RCR|8LHND|aMBVNT
18	54111 43312	   	312.45	ACR|DCR|2TLV|2VULN|1AART	1AART|2LIT|36TLV|49VULN|58RCR|7ERES|aDMSP
19	54111 43313	   	312.45	ACR|DCR|2TLV|2VULN|1AART	1AART|2LIT|36TLV|49VULN|58RCR|7ERES|aBEXP
20	54111 42211	   	312.35	ACR|DCR|2TLV|2VULN|1AART	1AART|2LIT|36TLV|49VULN|57RCR|8ERES|aDUST
21	54111 43311	   	312.35	ACR|DCR|2TLV|2VULN|1AART	1AART|2LIT|36TLV|49VULN|58RCR|7ERES|aDUST
22	63126 13422	   	310.37	DCR|3TLV|2VULN|3DMG|1ASPD	138TLV|2AETHUN|4ASPD|58VULN|678DMG|8BPWR|9RMIN|aRCR
23	54111 11315	   	306.41	ACR|DCR|2VULN|1TLV|1AEPOI|1AART	1AART|2LIT|3TLV|49VULN|58RCR|6RCVC|7CGEN|aAEPOI
24	54111 12115	   	306.41	ACR|DCR|2VULN|1TLV|1AEPOI|1AART	1AART|2LIT|3TLV|49VULN|57RCR|6RCVC|8AAC|aAEPOI
25	54111 12313	   	306.41	ACR|DCR|2VULN|1TLV|1AEFBLL|1AART	1AART|2LIT|3TLV|49VULN|57RCR|6RCVC|8LHND|aAEFBLL
26	54111 12413	   	306.41	ACR|DCR|2VULN|1TLV|1AEFBLL|1AART	1AART|2LIT|3TLV|48VULN|57RCR|6RCVC|9BEXP|aAEFBLL
27	54111 12613	   	306.41	ACR|DCR|2VULN|1TLV|1AEFBLL|1AART	1AART|2LIT|3TLV|49VULN|57RCR|6RCVC|8FEWX|aAEFBLL
28	11411 16315	   	306.41	ACR|DCR|2VULN|1TLV|1AEPOI|1AART	1LIT|2RMIN|3AART|49VULN|58RCR|6RCVC|7TLV|aAEPOI
29	54111 12215	   	306.31	ACR|DCR|2VULN|1TLV|1AEPOI|1AART	1AART|2LIT|3TLV|49VULN|57RCR|6RCVC|8ERES|aAEPOI
30	54111 12433	   	306.31	ACR|DCR|2VULN|1TLV|1AEFBLL|1AART	1AART|2LIT|3TLV|48VULN|57RCR|6RCVC|9DUST|aAEFBLL
31	54111 13315	   	306.31	ACR|DCR|2VULN|1TLV|1AEPOI|1AART	1AART|2LIT|3TLV|49VULN|58RCR|6RCVC|7ERES|aAEPOI
32	54121 42313	   	306.28	ACR|DCR|1TLV|1VULN|1DMG|1AEBURN|1AART	1AART|2LIT|3TLV|4DUR|57RCR|6AEBURN|8LHND|9VULN|aDMG
33	54111 42333	   	302.66	ACR|DCR|2TLV|1VULN|1DMG|1AART	1AART|2LIT|36TLV|4VULN|57RCR|8LHND|9DUST|aDMG
