0	Index      	 *	Score 	Summary	Detail	
1	33532 32212	 * 	322.01	DCR|DCR|2TLV|2VULN|1AART	1AART|23VULN|4DUR|5DUST|6aTLV|7SNITOX|89RCR
2	11213 15624	 * 	307.60	ACR|DCR|2VULN|1TLV|2DUR|1ASPD	1ASPD|26DUR|3SPLJET|49VULN|5aRCR|7BEXP|8TLV
3	11213 16624	   	307.50	ACR|DCR|2VULN|1TLV|2DUR|1ASPD	1ASPD|26DUR|3SPLJET|49VULN|5aRCR|7AETHUN|8TLV
4	33531 32212	   	306.81	DCR|DCR|2TLV|2VULN|1AART|1MSE	1AART|23VULN|4DUR|5MSE|6aTLV|7SNITOX|89RCR
5	41213 31624	   	304.97	ACR|DCR|2VULN|1TLV|1DMG	1DMG|2DUR|3SPLJET|49VULN|5aRCR|6FEWX|7DMSP|8TLV
6	56213 11612	   	302.95	ACR|DCR|2VULN|1TLV|1AART	1CGEN|2LHND|3BLAICY|48VULN|59RCR|6DUR|7AART|aTLV
7	55213 11612	   	302.85	ACR|DCR|2VULN|1TLV|1AART	1CGEN|2LEGI|3BLAICY|48VULN|59RCR|6DUR|7AART|aTLV
8	33532 32215	   	302.75	DCR|DCR|2VULN|1TLV|1AART	1AART|23VULN|4DUR|5DUST|6TLV|7SNITOX|89RCR|aZMB
9	16213 22224	 * 	301.25	ACR|DCR|2VULN|1TLV|2ASPD	18ASPD|2LHND|3SPLJET|49VULN|5aRCR|6TLV|7AETHUN
10	16413 22224	   	301.25	ACR|DCR|2VULN|1TLV|2ASPD	18ASPD|2LHND|3AIRHEL|49VULN|5aRCR|6TLV|7AETHUN
11	15213 22224	   	301.15	ACR|DCR|2VULN|1TLV|2ASPD	18ASPD|2LEGI|3SPLJET|49VULN|5aRCR|6TLV|7AETHUN
12	15413 22224	   	301.15	ACR|DCR|2VULN|1TLV|2ASPD	18ASPD|2LEGI|3AIRHEL|49VULN|5aRCR|6TLV|7AETHUN
13	41213 13624	   	298.71	ACR|DCR|2VULN|1TLV|1DMG|2DUR|1MSE	1DMG|26DUR|3SPLJET|49VULN|5aRCR|7MSE|8TLV
14	44213 23324	   	298.71	ACR|DCR|2VULN|1TLV|1DMG|2DUR|1MSE	1DMG|2MSE|3SPLJET|49VULN|5aRCR|6TLV|78DUR
15	11213 31624	   	298.56	ACR|DCR|2VULN|1TLV|1ASPD	1ASPD|2DUR|3SPLJET|49VULN|5aRCR|6FEWX|7DMSP|8TLV
16	11413 31624	   	298.56	ACR|DCR|2VULN|1TLV|1ASPD	1ASPD|2DUR|3AIRHEL|49VULN|5aRCR|6FEWX|7DMSP|8TLV
17	11213 26651	   	298.46	ACR|DCR|2VULN|1TLV|1ASPD	1ASPD|2DUR|3SPLJET|49VULN|58RCR|6LEGI|7RPLT|aTLV
18	21134 13624	   	298.31	DCR|DCR|2VULN|1TLV|1CDMG|1SELL	1SELL|2LWND|3CDMG|49VULN|5DUR|6aRCR|7MULARM|8TLV
19	42113 14363	 * 	297.83	DCR|2VULN|1TLV|2DMG|1AEFBLL|2CDMG	13DMG|23CDMG|3BPWR|47VULN|5ZMB|6AEFBLL|8RCR|9TLV|aDUR
20	33554 31212	   	296.01	DCR|DCR|2VULN|1TLV|1AART	1AART|23VULN|4TSLFST|5LHND|6DUR|7MLV|89RCR|aTLV
21	33535 42212	   	295.91	DCR|DCR|2VULN|1TLV|1AART	1AART|23VULN|4DUR|5BEXP|6MLV|7SNITOX|89RCR|aTLV
22	61216 62212	   	295.91	DCR|DCR|2VULN|1TLV|1AART	1BEXP|2RMIN|3SPLJET|46VULN|5DUR|7AART|89RCR|aTLV
23	33532 32211	   	295.81	DCR|DCR|2VULN|1TLV|1AART	1AART|23VULN|4DUR|5DUST|6TLV|7SNITOX|89RCR|aAME
24	33532 32213	   	295.81	DCR|DCR|2VULN|1TLV|1AART	1AART|23VULN|4DUR|5DUST|6TLV|7SNITOX|89RCR|aFEWX
25	33532 32214	   	295.81	DCR|DCR|2VULN|1TLV|1AART	1AART|23VULN|4DUR|5DUST|6TLV|7SNITOX|89RCR|aLWND
26	33532 32216	   	295.81	DCR|DCR|2VULN|1TLV|1AART	1AART|23VULN|4DUR|5DUST|6TLV|7SNITOX|89RCR|aMLV
27	33532 22212	   	295.81	DCR|DCR|2VULN|1TLV|1AART	1AART|23VULN|4DUR|5DUST|6CGEN|7SNITOX|89RCR|aTLV
28	33532 42212	   	295.81	DCR|DCR|2VULN|1TLV|1AART	1AART|23VULN|4DUR|5DUST|6MLV|7SNITOX|89RCR|aTLV
29	14213 23224	   	295.71	ACR|DCR|2VULN|1TLV|2ASPD|1MSE	18ASPD|2MSE|3SPLJET|49VULN|5aRCR|6TLV|7DUR
30	14413 23224	   	295.71	ACR|DCR|2VULN|1TLV|2ASPD|1MSE	18ASPD|2MSE|3AIRHEL|49VULN|5aRCR|6TLV|7DUR
31	45213 23224	   	295.21	ACR|DCR|2VULN|1TLV|1DMG	1DMG|2LEGI|3SPLJET|49VULN|5aRCR|6TLV|7RCVC|8LHND
32	46213 22124	   	295.21	ACR|DCR|2VULN|1TLV|1DMG	1DMG|2LHND|3SPLJET|49VULN|5aRCR|6TLV|7AETHUN|8RCVC
33	45213 22124	   	295.11	ACR|DCR|2VULN|1TLV|1DMG	1DMG|2LEGI|3SPLJET|49VULN|5aRCR|6TLV|7AETHUN|8RCVC
34	11213 13624	   	292.30	ACR|DCR|2VULN|1TLV|2DUR|1ASPD|1MSE	1ASPD|26DUR|3SPLJET|49VULN|5aRCR|7MSE|8TLV
35	11413 13624	   	292.30	ACR|DCR|2VULN|1TLV|2DUR|1ASPD|1MSE	1ASPD|26DUR|3AIRHEL|49VULN|5aRCR|7MSE|8TLV
36	33632 32212	   	292.16	DCR|DCR|2TLV|1VULN|1AART	1AART|2VULN|3DMSP|4DUR|5DUST|6aTLV|7SNITOX|89RCR
