0	Index      	 *	Score 	Summary	Detail	
1	16161 62121	 * 	295.41	ACR|ACR|2VULN|1TLV|1AEBURN	1CGEN|24RCR|3LWND|5BEXP|68VULN|7RMIN|9AEBURN|aTLV
2	11265 13361	 * 	295.31	ACR|DCR|2VULN|1TLV|1AEFBLL	1CGEN|2AEFBLL|3AAC|47RCR|59VULN|6DUST|8BEXP|aTLV
3	31215 34432	 * 	291.90	DCR|4VULN|1TLV|2ASPD|1DUR	17MULFIG|267aVULN|3DUR|4RAT|57ASPD|7BPWR|8RCR|9TLV
4	16221 14612	 * 	286.04	ACR|DCR|1TLV|1VULN|1DMG|1CDMG	1CGEN|2aRCR|3MDPS|4BEXP|5CDMG|6TLV|7DMG|8RAT|9VULN
5	16165 23321	 * 	285.62	ACR|ACR|1TLV|1VULN|1DMG|1AEBURN	1CGEN|24RCR|3LWND|5DMG|6RCVC|7LHND|8VULN|9AEBURN|aTLV
6	31113 15363	 * 	284.71	DCR|DCR|2VULN|1TLV|1DUR	1MULFIG|27VULN|36AEWIND|4MLV|5DUR|89RCR|aTLV
7	51113 15363	   	284.71	DCR|DCR|2VULN|1TLV|1DUR	1MSLTOX|27VULN|36AEWIND|4MLV|5DUR|89RCR|aTLV
8	31131 52363	   	284.61	DCR|DCR|2VULN|1TLV|1DUR	1MULFIG|26VULN|3AEWIND|4DUR|5AETHUN|7ERES|89RCR|aTLV
9	31134 15363	   	284.61	DCR|DCR|2VULN|1TLV|1DUR	1MULFIG|27VULN|36AEWIND|4DUR|5ERES|89RCR|aTLV
10	51131 52363	   	284.61	DCR|DCR|2VULN|1TLV|1DUR	1MSLTOX|26VULN|3AEWIND|4DUR|5AETHUN|7ERES|89RCR|aTLV
11	41352 21432	   	281.78	DCR|4VULN|1TLV|2DUR	1ZMB|235aVULN|45DUR|5BPWR|6BASHEA|7RAT|8RCR|9TLV
12	41352 31432	   	281.78	DCR|4VULN|1TLV|2DUR	1ZMB|235aVULN|45DUR|5BPWR|6BASFIG|7RAT|8RCR|9TLV
13	16462 33333	 * 	281.45	ACR|ACR|2TLV|2DMG|1DUR	19CGEN|24RCR|3DMSP|59DMG|6AME|7LHND|89TLV|9BPWR|aDUR
14	44335 32312	 * 	281.36	DCR|3VULN|2TLV|1DMG	1ZMB|2AME|3aTLV|4LHND|5DMG|678VULN|9RCR
15	11265 13161	   	280.01	ACR|DCR|2VULN|1TLV|1AEFBLL|1MSE	1CGEN|2AEFBLL|3AAC|47RCR|59VULN|6DUST|8MSE|aTLV
16	31215 34433	   	279.90	DCR|3VULN|1TLV|2ASPD|2DUR	17MULFIG|267VULN|3aDUR|4RAT|57ASPD|7BPWR|8RCR|9TLV
17	35313 22116	 * 	279.87	DCR|3TLV|2VULN|2CDMG|1DUR	1MULFIG|28CDMG|3DUST|4DUR|58aTLV|6RAT|78VULN|8BPWR|9RCR
18	55313 22116	   	279.87	DCR|3TLV|2VULN|2CDMG|1DUR	1MSLTOX|28CDMG|3DUST|4DUR|58aTLV|6RAT|78VULN|8BPWR|9RCR
19	41152 21632	 * 	279.68	DCR|3VULN|1TLV|2DMG	1ZMB|25aVULN|3RMIN|45DMG|5BPWR|6BASHEA|7RAT|8RCR|9TLV
20	41152 31632	   	279.68	DCR|3VULN|1TLV|2DMG	1ZMB|25aVULN|3RMIN|45DMG|5BPWR|6BASFIG|7RAT|8RCR|9TLV
21	16161 53321	 * 	279.20	ACR|ACR|1TLV|1VULN|1AEFBLL|1CDMG	1CGEN|24RCR|3LWND|5BEXP|6AEFBLL|7RCVC|8TLV|9CDMG|aVULN
22	16355 13321	 * 	279.10	ACR|DCR|1TLV|1VULN|1AEBURN|1ASPD	14CGEN|27RCR|3ASPD|5VULN|6DUST|8BEXP|9AEBURN|aTLV
23	16365 13321	 * 	279.10	ACR|DCR|1TLV|1VULN|1AEBURN|1AEPOI|1ASPD	1CGEN|27RCR|3ASPD|4AEPOI|5VULN|6DUST|8BEXP|9AEBURN|aTLV
24	31226 61432	 * 	277.67	DCR|2VULN|1TLV|2DMG|1AEFBLL|1DUR	1MULFIG|2aVULN|3DUR|46DMG|5AEFBLL|7RAT|8RCR|9TLV
25	11113 33262	 * 	276.93	DCR|2TLV|2VULN|1AEFBLL|1DMG	1CGEN|2AEFBLL|3aVULN|4aLIT|5RAT|6aTLV|7RCR|8LWND|9DMG|aBPWR
26	11113 33462	   	276.93	DCR|2TLV|2VULN|1AEFBLL|1DMG	1CGEN|2AEFBLL|3aVULN|4aLIT|5RAT|6aTLV|7RCR|8FEWX|9DMG|aBPWR
27	11113 33662	   	276.93	DCR|2TLV|2VULN|1AEFBLL|1DMG	1CGEN|2AEFBLL|3aVULN|4aLIT|5RAT|6aTLV|7RCR|8BEXP|9DMG|aBPWR
28	11265 13242	   	276.46	ACR|DCR|1TLV|1VULN|1AEFBLL|1AART	1CGEN|2AEFBLL|3AAC|47RCR|5VULN|6DUST|8AART|9FEWX|aTLV
29	41335 35312	 * 	276.10	DCR|4VULN|1TLV|1DMG	1ZMB|2368VULN|4LHND|5DMG|7DUST|9RCR|aTLV
30	16161 62131	   	275.35	ACR|ACR|2VULN|1TLV	1CGEN|24RCR|39LWND|5BEXP|68VULN|7RMIN|aTLV
31	16163 23361	   	275.35	ACR|ACR|2VULN|1TLV	15CGEN|24RCR|3LWND|6MLV|7LHND|8aVULN|9TLV
32	35132 22116	   	275.27	DCR|2TLV|2VULN|2CDMG|2DUR	1MULFIG|28CDMG|3aTLV|4DUST|58DUR|6RAT|78VULN|8BPWR|9RCR
33	35313 22111	   	275.27	DCR|2TLV|2VULN|2CDMG|2DUR	1MULFIG|28CDMG|3DUST|4aDUR|58TLV|6RAT|78VULN|8BPWR|9RCR
34	55132 22116	   	275.27	DCR|2TLV|2VULN|2CDMG|2DUR	1MSLTOX|28CDMG|3aTLV|4DUST|58DUR|6RAT|78VULN|8BPWR|9RCR
35	55313 22111	   	275.27	DCR|2TLV|2VULN|2CDMG|2DUR	1MSLTOX|28CDMG|3DUST|4aDUR|58TLV|6RAT|78VULN|8BPWR|9RCR
36	31214 24432	 * 	275.27	DCR|2VULN|1TLV|2ASPD|1AEFBLL|2DUR	17MULFIG|2aVULN|37DUR|4RAT|5AEFBLL|67ASPD|7BPWR|8RCR|9TLV
37	12265 13361	   	275.25	ACR|DCR|2VULN|1TLV	12CGEN|3AAC|47RCR|59VULN|6DUST|8BEXP|aTLV
