0	Index      	 *	Score 	Summary	Detail	
1	52255 11313	 * 	306.11	ACR|DCR|1TLV|1VULN|1DMG|1AEBURN|1CDMG	1BLAICY|2CDMG|3AEBURN|4aRCR|5VULN|6TLV|7BEXP|8MDPS|9DMG
2	22142 33246	   	302.42	ACR|DCR|1TLV|1VULN|1DMG|1ASPD|1CDMG	1DUST|2TLV|3VULN|4aRCR|5ASPD|6DUR|7DMG|8LIT|9CDMG
3	62125 43113	 * 	299.29	DCR|DCR|1TLV|1VULN|1DMG|1AEFBLL	1ZMB|2AEWIND|3TLV|4DMG|5AEFRZ|6RAT|7VULN|89RCR|aAEFBLL
4	65623 12213	 * 	295.75	DCR|3VULN|2TLV|1DMG|1AART|2ZMB	17ZMB|2AART|3AETHUN|4RCVC|57aVULN|67TLV|7BPWR|8RCR|9DMG
5	22116 24226	 * 	295.31	DCR|DCR|2VULN|1TLV|1AEFBLL	1DUST|2TLV|34VULN|5RPLT|6LIT|7aRCR|8AEFBLL|9BEXP
6	15115 25332	   	295.01	DCR|3VULN|2TLV|1DMG|1CDMG	1CDMG|2RPLT|346VULN|57TLV|8RCR|9DMG|aRAT
7	15136 25332	   	295.01	DCR|3VULN|2TLV|1DMG|1CDMG	1CDMG|2RPLT|356VULN|47TLV|8RCR|9DMG|aRAT
8	52212 63523	   	293.33	DCR|2TLV|2VULN|2CDMG|1AEBURN	1BLAICY|2aCDMG|3AEBURN|4RAT|5DLOT|6RCR|7aVULN|8DUR|9aTLV|aBPWR
9	52255 11323	   	292.98	ACR|DCR|1TLV|1VULN|1AEBURN|1CDMG	1BLAICY|2CDMG|3AEBURN|4aRCR|5VULN|6TLV|7BEXP|8MDPS|9ZMB
10	22136 24226	 * 	291.66	DCR|DCR|2TLV|1VULN|1AEFBLL	1DUST|24TLV|3VULN|5RPLT|6LIT|7aRCR|8AEFBLL|9BEXP
11	63333 22442	   	291.46	DCR|DCR|2TLV|1VULN|3ZMB	147ZMB|24DUST|3RMIN|47BPWR|57ERES|67TLV|8aRCR|9VULN
12	15115 25323	   	288.67	DCR|3VULN|2TLV|1CDMG|1AART	1CDMG|2RPLT|346VULN|57TLV|8RCR|9AART|aNUKE
13	15136 25323	   	288.67	DCR|3VULN|2TLV|1CDMG|1AART	1CDMG|2RPLT|356VULN|47TLV|8RCR|9AART|aNUKE
14	15115 25331	   	288.07	DCR|3VULN|2TLV|1DMG|1CDMG	1CDMG|2RPLT|346VULN|57TLV|8RCR|9DMG|aMLV
15	15136 25331	   	288.07	DCR|3VULN|2TLV|1DMG|1CDMG	1CDMG|2RPLT|356VULN|47TLV|8RCR|9DMG|aMLV
16	15115 25333	   	287.97	DCR|3VULN|2TLV|1DMG|1CDMG|1MSE	1CDMG|2RPLT|346VULN|57TLV|8RCR|9DMG|aMSE
17	15136 25333	   	287.97	DCR|3VULN|2TLV|1DMG|1CDMG|1MSE	1CDMG|2RPLT|356VULN|47TLV|8RCR|9DMG|aMSE
18	21115 13211	   	287.63	DCR|2TLV|2VULN|1AEFBLL|1DMG|1AART	1DUST|2ZMB|34VULN|5aTLV|6AART|7AEFBLL|8RCR|9DMG
19	21136 13211	   	287.63	DCR|2TLV|2VULN|1AEFBLL|1DMG|1AART	1DUST|2ZMB|35VULN|4aTLV|6AART|7AEFBLL|8RCR|9DMG
20	63115 13211	   	287.63	DCR|2TLV|2VULN|1AEFBLL|1DMG|1AART	1ZMB|2DUST|34VULN|5aTLV|6AART|7AEFBLL|8RCR|9DMG
21	63136 13211	   	287.63	DCR|2TLV|2VULN|1AEFBLL|1DMG|1AART	1ZMB|2DUST|35VULN|4aTLV|6AART|7AEFBLL|8RCR|9DMG
22	22113 14221	   	286.29	DCR|2TLV|2VULN|1DMG|1AEBURN	1DUST|27TLV|34VULN|5RAT|6DMG|8RCR|9AEBURN|aDUR
23	22113 14261	   	286.29	DCR|2TLV|2VULN|1AEFBLL|1DMG	1DUST|27TLV|34VULN|5RAT|6DMG|8RCR|9AEFBLL|aDUR
24	22133 16221	   	286.29	DCR|2TLV|2VULN|1DMG|1AEBURN	1DUST|24TLV|37VULN|5RAT|6DMG|8RCR|9AEBURN|aDUR
25	22133 16261	   	286.29	DCR|2TLV|2VULN|1AEFBLL|1DMG	1DUST|24TLV|37VULN|5RAT|6DMG|8RCR|9AEFBLL|aDUR
26	22143 21313	   	285.17	ACR|DCR|1TLV|1VULN|1DMG|1AEPOI|1SELL	1DUST|2TLV|3VULN|4aRCR|5AEPOI|6SELL|7TSLFST|8MDPS|9DMG
27	22113 16221	   	284.78	DCR|3VULN|1TLV|1DMG|1AEBURN	1DUST|2TLV|347VULN|5RAT|6DMG|8RCR|9AEBURN|aDUR
28	22113 16261	   	284.78	DCR|3VULN|1TLV|1AEFBLL|1DMG	1DUST|2TLV|347VULN|5RAT|6DMG|8RCR|9AEFBLL|aDUR
29	65623 12211	 * 	284.71	DCR|3TLV|2VULN|1DMG|1AART|2ZMB	17ZMB|2AART|3AETHUN|4RCVC|57VULN|67aTLV|7BPWR|8RCR|9DMG
30	15131 25251	   	283.96	DCR|3TLV|2VULN|1AEFBLL|1CDMG	1CDMG|2RPLT|36VULN|457TLV|8AEFBLL|9FRZARM|aRCR
31	22165 62123	   	283.86	DCR|2TLV|2VULN|1AEFBLL|1ASPD|1CDMG	1DUST|26TLV|35VULN|4CDMG|7RAT|8ASPD|9RCR|aAEFBLL
32	22141 13145	 * 	282.40	ACR|3VULN|1TLV|2DMG	18DUST|2TLV|38aVULN|4RCR|5DUR|6CGEN|78DMG|8BPWR|9ZMB
33	32211 63166	   	282.09	DCR|DCR|2VULN|1TLV	1ERES|2LHND|3FEWX|4aVULN|5MULFIG|6RAT|78RCR|9TLV
34	22114 25162	 * 	281.55	DCR|3TLV|3VULN|1ASPD	1DUST|27aTLV|345VULN|6ASPD|8BEXP|9RCR
35	22114 25262	   	281.55	DCR|3TLV|3VULN|1ASPD	1DUST|27aTLV|345VULN|6ASPD|8LWND|9RCR
36	22113 14213	   	281.26	DCR|3VULN|2TLV|1DMG	1DUST|27TLV|34aVULN|5RAT|6DMG|8RCR|9LWND
37	22133 16213	   	281.26	DCR|3VULN|2TLV|1DMG	1DUST|24TLV|37aVULN|5RAT|6DMG|8RCR|9LWND
38	56211 43122	   	279.43	DCR|DCR|1TLV|1VULN|1DMG	1BLAICY|2FEWX|3VULN|4RAT|5LHND|6TLV|78RCR|9DMG|aBELT
39	56211 43123	   	279.43	DCR|DCR|1TLV|1VULN|1DMG	1BLAICY|2FEWX|3VULN|4RAT|5aLHND|6TLV|78RCR|9DMG
40	56211 43121	   	279.33	DCR|DCR|1TLV|1VULN|1DMG	1BLAICY|2FEWX|3VULN|4RAT|5LHND|6TLV|78RCR|9DMG|aMDPS
41	56212 43122	   	279.33	DCR|DCR|1TLV|1VULN|1DMG	1BLAICY|2FEWX|3VULN|4RAT|5AETHUN|6TLV|78RCR|9DMG|aBELT
42	56212 43123	   	279.33	DCR|DCR|1TLV|1VULN|1DMG	1BLAICY|2FEWX|3VULN|4RAT|5AETHUN|6TLV|78RCR|9DMG|aLHND
43	56212 43112	   	279.23	DCR|DCR|1TLV|1VULN|1DMG	1BLAICY|2FEWX|3VULN|4RAT|5AETHUN|6TLV|78RCR|9DUST|aDMG
44	56212 43121	   	279.23	DCR|DCR|1TLV|1VULN|1DMG	1BLAICY|2FEWX|3VULN|4RAT|5AETHUN|6TLV|78RCR|9DMG|aMDPS
45	62125 43111	   	279.13	DCR|DCR|1TLV|1VULN|1DMG|1MSE	1ZMB|2AEWIND|3TLV|4DMG|5AEFRZ|6RAT|7VULN|89RCR|aMSE
46	62125 43112	   	279.13	DCR|DCR|1TLV|1VULN|1DMG	1ZMB|2AEWIND|3TLV|4DMG|5AEFRZ|6RAT|7VULN|89RCR|aSPLREG
47	15115 25321	   	279.01	DCR|3VULN|2TLV|1CDMG|1AART	1CDMG|2RPLT|346VULN|57TLV|8RCR|9AART|aBEXP
