0	Index      	 *	Score 	Summary	Detail	
1	32363 72614	 * 	353.30	ACR|DCR|3VULN|2TLV|1ASPD|2FLTHEA|1SELL	17FLTHEA|28RCR|37TLV|47aVULN|5MBVNT|6SELL|7BPWR|9ASPD
2	32341 23425	 * 	346.06	ACR|DCR|2TLV|1VULN|1DMG|1AEBURN|1ASPD|1CDMG	1FLTHEA|29RCR|36TLV|4DMG|5CDMG|7VULN|8AEBURN|aASPD
3	32631 23425	   	346.06	ACR|DCR|2TLV|1VULN|1DMG|1AEBURN|1ASPD|1CDMG	1FLTHEA|29RCR|3DMG|46TLV|5CDMG|7VULN|8AEBURN|aASPD
4	32346 63123	 * 	345.90	ACR|DCR|2TLV|2VULN|2DMG|1SELL	1FLTHEA|29RCR|38TLV|45DMG|6SELL|7aVULN
5	32636 63123	 * 	345.90	ACR|DCR|2TLV|2VULN|2DMG|1SELL	1FLTHEA|29RCR|35DMG|48TLV|6SELL|7aVULN
6	32363 72641	 * 	339.65	ACR|DCR|3VULN|2TLV|2FLTHEA|1SELL	17FLTHEA|28RCR|37TLV|47aVULN|5MBVNT|6SELL|7BPWR|9RCVC
7	32341 23422	   	338.72	ACR|DCR|2TLV|1VULN|1DMG|1AEBURN|2CDMG	1FLTHEA|29RCR|36TLV|4DMG|5aCDMG|7VULN|8AEBURN
8	32631 23422	   	338.72	ACR|DCR|2TLV|1VULN|1DMG|1AEBURN|2CDMG	1FLTHEA|29RCR|3DMG|46TLV|5aCDMG|7VULN|8AEBURN
9	32321 23425	 * 	338.45	ACR|DCR|2TLV|1VULN|2ASPD|1AEBURN|1CDMG	1FLTHEA|29RCR|36TLV|4aASPD|5CDMG|7VULN|8AEBURN
10	32334 63423	 * 	335.25	ACR|DCR|2TLV|2VULN|1AEBURN|1SELL	1FLTHEA|29RCR|34TLV|5ZMB|6SELL|7aVULN|8AEBURN
11	32354 63123	 * 	335.25	ACR|DCR|2TLV|2VULN|1AEPOI|1SELL	1FLTHEA|29RCR|38TLV|4AEPOI|5ZMB|6SELL|7aVULN
12	32341 23421	   	332.41	ACR|DCR|2TLV|1VULN|1DMG|1AEBURN|1CDMG	1FLTHEA|29RCR|36TLV|4DMG|5CDMG|7VULN|8AEBURN|aLIT
13	32341 23423	   	332.41	ACR|DCR|2TLV|1VULN|1DMG|1AEBURN|1CDMG	1FLTHEA|29RCR|36TLV|4DMG|5CDMG|7VULN|8AEBURN|aRMIN
14	32631 23421	   	332.41	ACR|DCR|2TLV|1VULN|1DMG|1AEBURN|1CDMG	1FLTHEA|29RCR|3DMG|46TLV|5CDMG|7VULN|8AEBURN|aLIT
15	32631 23423	   	332.41	ACR|DCR|2TLV|1VULN|1DMG|1AEBURN|1CDMG	1FLTHEA|29RCR|3DMG|46TLV|5CDMG|7VULN|8AEBURN|aRMIN
16	32321 23422	   	332.31	ACR|DCR|2TLV|1VULN|1AEBURN|2CDMG|1ASPD	1FLTHEA|29RCR|36TLV|4ASPD|5aCDMG|7VULN|8AEBURN
17	32341 13125	   	332.31	ACR|DCR|2TLV|1VULN|1DMG|2CDMG|1ASPD	1FLTHEA|29RCR|38TLV|4DMG|56CDMG|7VULN|aASPD
18	32341 23424	   	332.31	ACR|DCR|2TLV|1VULN|1DMG|1AEBURN|1CDMG	1FLTHEA|29RCR|36TLV|4DMG|5CDMG|7VULN|8AEBURN|aMDPS
19	32341 23426	   	332.31	ACR|DCR|2TLV|1VULN|1DMG|1AEBURN|1CDMG	1FLTHEA|29RCR|36TLV|4DMG|5CDMG|7VULN|8AEBURN|aMBVNT
20	32631 13125	   	332.31	ACR|DCR|2TLV|1VULN|1DMG|2CDMG|1ASPD	1FLTHEA|29RCR|3DMG|48TLV|56CDMG|7VULN|aASPD
21	32631 23424	   	332.31	ACR|DCR|2TLV|1VULN|1DMG|1AEBURN|1CDMG	1FLTHEA|29RCR|3DMG|46TLV|5CDMG|7VULN|8AEBURN|aMDPS
22	32631 23426	   	332.31	ACR|DCR|2TLV|1VULN|1DMG|1AEBURN|1CDMG	1FLTHEA|29RCR|3DMG|46TLV|5CDMG|7VULN|8AEBURN|aMBVNT
23	32346 63122	 * 	329.69	ACR|DCR|2TLV|1VULN|2DMG|1CDMG|1SELL	1FLTHEA|29RCR|38TLV|45DMG|6SELL|7VULN|aCDMG
24	32636 63122	 * 	329.69	ACR|DCR|2TLV|1VULN|2DMG|1CDMG|1SELL	1FLTHEA|29RCR|35DMG|48TLV|6SELL|7VULN|aCDMG
25	32363 72611	 * 	328.61	ACR|DCR|2TLV|2VULN|2FLTHEA|1ASPD|1SELL	17FLTHEA|28RCR|37TLV|47VULN|5MBVNT|6SELL|7BPWR|9ASPD|aLIT
26	32363 72612	 * 	328.61	ACR|DCR|2TLV|2VULN|1ASPD|2FLTHEA|1SELL	17FLTHEA|28RCR|37TLV|47VULN|5MBVNT|6SELL|7BPWR|9ASPD|aAAC
27	32363 72613	 * 	328.51	ACR|DCR|2TLV|2VULN|1ASPD|2FLTHEA|1SELL	17FLTHEA|28RCR|37TLV|47VULN|5MBVNT|6SELL|7BPWR|9ASPD|aLSRHEA
28	32341 13425	   	326.17	ACR|DCR|1TLV|1VULN|1DMG|1AEBURN|2CDMG|1ASPD	1FLTHEA|29RCR|3TLV|4DMG|56CDMG|7VULN|8AEBURN|aASPD
29	32631 13425	   	326.17	ACR|DCR|1TLV|1VULN|1DMG|1AEBURN|2CDMG|1ASPD	1FLTHEA|29RCR|3DMG|4TLV|56CDMG|7VULN|8AEBURN|aASPD
30	32321 23421	   	326.00	ACR|DCR|2TLV|1VULN|1AEBURN|1ASPD|1CDMG	1FLTHEA|29RCR|36TLV|4ASPD|5CDMG|7VULN|8AEBURN|aLIT
31	32321 23423	   	326.00	ACR|DCR|2TLV|1VULN|1AEBURN|1ASPD|1CDMG	1FLTHEA|29RCR|36TLV|4ASPD|5CDMG|7VULN|8AEBURN|aRMIN
32	32321 23426	   	326.00	ACR|DCR|2TLV|1VULN|1AEBURN|1ASPD|1CDMG	1FLTHEA|29RCR|36TLV|4ASPD|5CDMG|7VULN|8AEBURN|aCGEN
33	32341 23625	   	326.00	ACR|DCR|2TLV|1VULN|1DMG|1ASPD|1CDMG	1FLTHEA|29RCR|36TLV|4DMG|5CDMG|7VULN|8RCVC|aASPD
34	32631 23625	   	326.00	ACR|DCR|2TLV|1VULN|1DMG|1ASPD|1CDMG	1FLTHEA|29RCR|3DMG|46TLV|5CDMG|7VULN|8RCVC|aASPD
35	32363 72632	 * 	325.96	ACR|DCR|2TLV|2VULN|2FLTHEA|1SELL	17FLTHEA|28RCR|37TLV|47VULN|5MBVNT|6SELL|7BPWR|9LWND|aAART
36	32321 23424	   	325.90	ACR|DCR|2TLV|1VULN|1AEBURN|1CDMG|1ASPD	1FLTHEA|29RCR|36TLV|4ASPD|5CDMG|7VULN|8AEBURN|aMDPS
37	32321 23535	   	325.90	ACR|DCR|2TLV|1VULN|1DMG|1ASPD|1CDMG	1FLTHEA|2aRCR|36TLV|4ASPD|5CDMG|7VULN|8SPLARM|9DMG
38	32341 23515	   	325.90	ACR|DCR|2TLV|1VULN|1DMG|1ASPD|1CDMG	1FLTHEA|2aRCR|36TLV|4DMG|5CDMG|7VULN|8SPLARM|9ASPD
39	32631 23515	   	325.90	ACR|DCR|2TLV|1VULN|1DMG|1ASPD|1CDMG	1FLTHEA|2aRCR|3DMG|46TLV|5CDMG|7VULN|8SPLARM|9ASPD
40	32321 13125	   	324.70	ACR|DCR|2TLV|1VULN|2ASPD|2CDMG	1FLTHEA|29RCR|38TLV|4aASPD|56CDMG|7VULN
41	32341 13122	 * 	324.70	ACR|DCR|2TLV|1VULN|3CDMG|1DMG	1FLTHEA|29RCR|38TLV|4DMG|56aCDMG|7VULN
42	32631 13122	   	324.70	ACR|DCR|2TLV|1VULN|3CDMG|1DMG	1FLTHEA|29RCR|3DMG|48TLV|56aCDMG|7VULN
