0	Index      	 *	Score 	Summary	Detail	
1	22412 11356	 * 	311.14	DCR|DCR|1VULN|1MLV|1DMG|1AAC|1ASPD	1MLV|2DUR|3VULN|4FEWX|5DMG|6RAT|7AAC|8aRCR|9ASPD
2	22411 61621	 * 	291.33	DCR|DCR|2MLV|1VULN|1ASPD	19MLV|2DUR|3VULN|4FEWX|5MDPS|6ASPD|7aRCR|8RPLT
3	22411 62121	   	291.33	DCR|DCR|2MLV|1VULN|1ASPD	19MLV|2DUR|3VULN|4FEWX|5MDPS|6ASPD|7RPLT|8aRCR
4	22461 62121	   	291.33	DCR|DCR|2MLV|1VULN|1ASPD	19MLV|2DUR|3VULN|4LHND|5MDPS|6ASPD|7RPLT|8aRCR
5	26322 65121	 * 	290.73	DCR|DCR|2VULN|1MLV|1DMG	1MLV|2LHND|3RPLT|4MDPS|5DMG|6LWND|79VULN|8aRCR
6	12545 22447	 * 	289.91	DCR|DCR|2VULN|2AAC|2RAT	18RAT|26AAC|3MBVNT|478ERES|58VULN|8BPWR|9aRCR
7	26322 13121	   	286.84	DCR|DCR|2MLV|1VULN|1DMG	19MLV|2LHND|3RPLT|4MDPS|5DMG|6VULN|7FEWX|8aRCR
8	26322 16121	   	286.74	DCR|DCR|2MLV|1VULN|1DMG	19MLV|2LHND|3RPLT|4MDPS|5DMG|6VULN|7BEXP|8aRCR
9	26322 35121	   	286.74	DCR|DCR|2MLV|1VULN|1DMG	19MLV|2LHND|3RPLT|4MDPS|5DMG|6BEXP|7VULN|8aRCR
10	32412 11356	   	284.84	DCR|DCR|1VULN|1DMG|1AAC|1ASPD	1ERES|2DUR|3VULN|4FEWX|5DMG|6RAT|7AAC|8aRCR|9ASPD
11	22431 11542	 * 	283.63	DCR|2VULN|2MLV|1TLV|1DMG|1ASPD	1aMLV|2DUR|39VULN|4CGEN|5DMG|6TLV|7ASPD|8RCR
12	26411 62121	   	283.02	DCR|DCR|2MLV|1VULN|1ASPD	19MLV|2LHND|3VULN|4FEWX|5MDPS|6ASPD|7RPLT|8aRCR
13	66323 13121	   	283.02	DCR|DCR|2MLV|1VULN|1ASPD	1LWND|2ASPD|3RPLT|4MDPS|59MLV|6VULN|7FEWX|8aRCR
14	66323 16121	   	282.92	DCR|DCR|2MLV|1VULN|1ASPD	1LWND|2ASPD|3RPLT|4MDPS|59MLV|6VULN|7BEXP|8aRCR
15	66323 35121	   	282.92	DCR|DCR|2MLV|1VULN|1ASPD	1LWND|2ASPD|3RPLT|4MDPS|59MLV|6BEXP|7VULN|8aRCR
16	11313 15516	   	281.20	DCR|DCR|2VULN|1ASPD|1CDMG	1RAT|2SNIFST|3ASPD|46VULN|5RPLT|7aRCR|8CDMG|9MBVNT
