0	Index      	 *	Score 	Summary	Detail	
1	63523 12262	 * 	304.85	DCR|DCR|1VULN|1TLV|1MLV|1AAC|1CDMG	1AAC|2RMIN|3TLV|4CDMG|5MLV|67LHND|8VULN|9aRCR
2	21236 61323	   	290.98	DCR|DCR|1VULN|1MLV|1DMG|1CDMG	1BEXP|2DUR|3RAT|4MLV|5CDMG|6aRCR|7DMG|8VULN|9BASHEA
3	41236 61323	   	290.98	DCR|DCR|1VULN|1MLV|1DMG|1CDMG	1DUST|2DUR|3RAT|4MLV|5CDMG|6aRCR|7DMG|8VULN|9BASHEA
4	53523 12262	   	287.86	DCR|DCR|1VULN|1TLV|1MLV|1CDMG	1NUKE|2RMIN|3TLV|4CDMG|5MLV|67LHND|8VULN|9aRCR
5	62243 12262	 * 	284.85	DCR|DCR|2TLV|1VULN|1AAC|1SELL	1AAC|24TLV|3SELL|4BPWR|5DUR|67LHND|8VULN|9aRCR
6	22236 16123	   	282.67	DCR|DCR|1VULN|1MLV|1DMG|1CDMG	1BEXP|2VULN|3RAT|4MLV|5CDMG|6DMG|7aRCR|8LHND|9BASHEA
7	22236 61123	   	282.67	DCR|DCR|1VULN|1MLV|1DMG|1CDMG	1BEXP|2VULN|3RAT|4MLV|5CDMG|6aRCR|7DMG|8LHND|9BASHEA
8	24236 61323	   	282.67	DCR|DCR|1VULN|1MLV|1DMG|1CDMG	1BEXP|2LWND|3RAT|4MLV|5CDMG|6aRCR|7DMG|8VULN|9BASHEA
9	42236 16123	   	282.67	DCR|DCR|1VULN|1MLV|1DMG|1CDMG	1DUST|2VULN|3RAT|4MLV|5CDMG|6DMG|7aRCR|8LHND|9BASHEA
10	42236 61123	   	282.67	DCR|DCR|1VULN|1MLV|1DMG|1CDMG	1DUST|2VULN|3RAT|4MLV|5CDMG|6aRCR|7DMG|8LHND|9BASHEA
11	42232 35153	   	282.20	DCR|DCR|1VULN|1MLV|1AAC|1ASPD	1DUST|2VULN|3RAT|4MLV|5ASPD|6ZMB|7aRCR|8LIT|9AAC
12	61125 12262	   	276.26	DCR|DCR|1VULN|1TLV|1AAC|1CDMG	1AAC|23LWND|4CDMG|5TLV|67LHND|8VULN|9aRCR
13	61225 12262	   	276.16	DCR|DCR|1VULN|1TLV|1AAC|1CDMG	1AAC|2LWND|3AEFBLL|4CDMG|5TLV|67LHND|8VULN|9aRCR
14	13121 62422	 * 	275.52	DCR|DCR|3VULN|1CDMG	1CGEN|2AEBURN|36aVULN|4CDMG|5RCVC|79RCR|8FEWX
15	13121 62122	   	275.42	DCR|DCR|3VULN|1CDMG	1CGEN|2AEBURN|36aVULN|4CDMG|5RCVC|79RCR|8BEXP
