0	Index      	 *	Score 	Summary	Detail	
1	21521 22536	 * 	328.09	DCR|DCR|2VULN|2MLV|1AAC|1ASPD	14MLV|2AAC|34VULN|4BPWR|5LHND|6ASPD|7aRCR|8BEXP|9BELT
2	22542 61222	 * 	322.70	DCR|DCR|2MLV|1VULN|1TLV|1AAC	1aMLV|2TLV|3VULN|4RMIN|5RAT|69RCR|7MDPS|8AAC
3	22542 61223	   	314.76	DCR|DCR|1VULN|1TLV|1MLV|1AAC|1ASPD	1MLV|2TLV|3VULN|4RMIN|5RAT|69RCR|7MDPS|8AAC|aASPD
4	25332 54313	 * 	314.50	DCR|DCR|2MLV|2TLV|1DMG|1ASPD	12MLV|35TLV|4RCVC|6LIT|7DMG|8aRCR|9ASPD
5	61311 33416	   	303.73	DCR|DCR|2MLV|1VULN|1DMG|1AAC	1LIT|2BELT|3DMG|4AAC|58MLV|6aRCR|7VULN|9AEBURN
6	22145 63313	   	300.23	DCR|DCR|2MLV|1TLV|1DMG|1ASPD	16MLV|2TLV|3LIT|4DMG|5DMSP|7AEFRZ|8aRCR|9ASPD
7	21224 12311	 * 	299.43	DCR|3VULN|2MLV|1TLV|1DMG|1AAC	17MLV|2AAC|3CGEN|457VULN|67MSLFST|7BPWR|8RCR|9DMG|aTLV
8	21224 22311	   	299.43	DCR|3VULN|2MLV|1TLV|1DMG|1AAC	17MLV|2AAC|3CGEN|457VULN|67CANARM|7BPWR|8RCR|9DMG|aTLV
9	21344 12311	   	299.33	DCR|3VULN|2MLV|1TLV|1DMG|1AAC	17MLV|2AAC|3ERES|457VULN|67MSLFST|7BPWR|8RCR|9DMG|aTLV
10	21344 22311	   	299.33	DCR|3VULN|2MLV|1TLV|1DMG|1AAC	17MLV|2AAC|3ERES|457VULN|67CANARM|7BPWR|8RCR|9DMG|aTLV
11	21522 46311	   	299.33	DCR|3VULN|2MLV|1TLV|1DMG|1AAC	14MLV|2AAC|347VULN|4BPWR|5BLASTR|6ERES|8RCR|9DMG|aTLV
12	22511 34563	 * 	299.09	DCR|3MLV|2VULN|2DMG|1TLV	179MLV|2TLV|39VULN|4NUKE|5BBNT|6MBVNT|89DMG|9BPWR|aRCR
13	25222 61222	   	298.91	DCR|DCR|2MLV|1VULN|1AAC	12MLV|3DUR|4VULN|5RAT|69RCR|7MDPS|8AAC|aAME
14	25222 61223	   	298.91	DCR|DCR|2MLV|1VULN|1AAC	12MLV|3DUR|4VULN|5RAT|69RCR|7MDPS|8AAC|aZMB
15	25222 61224	   	298.91	DCR|DCR|2MLV|1VULN|1AAC	12MLV|3DUR|4VULN|5RAT|69RCR|7MDPS|8AAC|aLHND
16	25222 61225	   	298.91	DCR|DCR|2MLV|1VULN|1AAC	12MLV|3DUR|4VULN|5RAT|69RCR|7MDPS|8AAC|aLIT
17	25222 61226	   	298.91	DCR|DCR|2MLV|1VULN|1AAC	12MLV|3DUR|4VULN|5RAT|69RCR|7MDPS|8AAC|aLWND
18	25261 23222	   	298.91	DCR|DCR|2MLV|1VULN|1AAC	12MLV|3DUR|4MDPS|5RAT|6VULN|79RCR|8AAC|aAME
19	25261 23223	   	298.91	DCR|DCR|2MLV|1VULN|1AAC	12MLV|3DUR|4MDPS|5RAT|6VULN|79RCR|8AAC|aZMB
20	25261 23224	   	298.91	DCR|DCR|2MLV|1VULN|1AAC	12MLV|3DUR|4MDPS|5RAT|6VULN|79RCR|8AAC|aLHND
21	25261 23225	   	298.91	DCR|DCR|2MLV|1VULN|1AAC	12MLV|3DUR|4MDPS|5RAT|6VULN|79RCR|8AAC|aLIT
22	25261 23226	   	298.91	DCR|DCR|2MLV|1VULN|1AAC	12MLV|3DUR|4MDPS|5RAT|6VULN|79RCR|8AAC|aLWND
23	21521 22211	 * 	298.87	DCR|4VULN|2MLV|2AAC|1ASPD	14MLV|28AAC|349aVULN|4BPWR|5LHND|6ASPD|7RCR
24	25222 61221	   	298.81	DCR|DCR|2MLV|1VULN|1AAC|1MSE	12MLV|3DUR|4VULN|5RAT|69RCR|7MDPS|8AAC|aMSE
25	25261 23221	   	298.81	DCR|DCR|2MLV|1VULN|1AAC|1MSE	12MLV|3DUR|4MDPS|5RAT|6VULN|79RCR|8AAC|aMSE
26	22542 61221	   	298.41	DCR|DCR|1VULN|1TLV|1MLV|1AAC|1MSE	1MLV|2TLV|3VULN|4RMIN|5RAT|69RCR|7MDPS|8AAC|aMSE
