0	Index      	 *	Score 	Summary	Detail	
1	46125 31224	 * 	298.67	DCR|DCR|2MLV|1VULN|1TLV	1ERES|2LWND|3MBVNT|4VULN|58MLV|6aRCR|7TLV|9BEXP
2	12623 64843	 * 	297.67	DCR|DCR|2VULN|1DMG|1AAC|1ASPD	1CGEN|2SPLARM|3aVULN|4MBVNT|5DMG|67RCR|8AAC|9ASPD
3	42623 64443	   	297.57	DCR|DCR|2VULN|1DMG|1AAC|1ASPD	1ERES|2SPLARM|3aVULN|4MBVNT|5DMG|67RCR|8AAC|9ASPD
4	12623 64415	 * 	296.62	DCR|DCR|2VULN|1TLV|1DMG	1CGEN|2SPLARM|3aVULN|4MBVNT|5DMG|67RCR|8TBNT|9TLV
5	12623 64821	   	293.74	DCR|DCR|1VULN|1TLV|1DMG|1AAC	1CGEN|2SPLARM|3VULN|4MBVNT|5DMG|67RCR|8AAC|9TLV|aAART
6	42623 64421	   	293.64	DCR|DCR|1VULN|1TLV|1DMG|1AAC	1ERES|2SPLARM|3VULN|4MBVNT|5DMG|67RCR|8AAC|9TLV|aAART
7	12623 64822	   	292.37	DCR|DCR|1VULN|1TLV|1DMG|1AAC	1CGEN|2SPLARM|3VULN|4MBVNT|5DMG|67RCR|8AAC|9TLV|aRAT
8	42623 64422	   	292.27	DCR|DCR|1VULN|1TLV|1DMG|1AAC	1ERES|2SPLARM|3VULN|4MBVNT|5DMG|67RCR|8AAC|9TLV|aRAT
9	46351 31321	   	288.56	DCR|DCR|1VULN|1TLV|1AAC|1ASPD	1ERES|2LWND|3ASPD|4VULN|5LHND|68RCR|7TLV|9RAT|aAAC
10	46353 31321	   	288.46	DCR|DCR|1VULN|1TLV|1AAC|1ASPD	1ERES|2LWND|3ASPD|4VULN|5DUST|68RCR|7TLV|9RAT|aAAC
11	42623 64412	 * 	287.75	DCR|DCR|1VULN|1MLV|1DMG|1AAC	1ERES|2SPLARM|3VULN|4MBVNT|5DMG|67RCR|8AAC|9DUR|aMLV
12	12623 64824	   	285.43	DCR|DCR|1VULN|1TLV|1DMG|1AAC	1CGEN|2SPLARM|3VULN|4MBVNT|5DMG|67RCR|8AAC|9TLV|aZMB
13	42623 64424	   	285.33	DCR|DCR|1VULN|1TLV|1DMG|1AAC	1ERES|2SPLARM|3VULN|4MBVNT|5DMG|67RCR|8AAC|9TLV|aZMB
14	12623 64823	   	285.33	DCR|DCR|1VULN|1TLV|1DMG|1AAC	1CGEN|2SPLARM|3VULN|4MBVNT|5DMG|67RCR|8AAC|9TLV|aMDPS
15	46351 31323	   	285.32	DCR|DCR|1VULN|1TLV|1ASPD|1CDMG	1ERES|2LWND|3ASPD|4VULN|5LHND|68RCR|7TLV|9RAT|aCDMG
16	42623 64423	   	285.23	DCR|DCR|1VULN|1TLV|1DMG|1AAC	1ERES|2SPLARM|3VULN|4MBVNT|5DMG|67RCR|8AAC|9TLV|aMDPS
17	46351 31331	   	284.79	DCR|DCR|1VULN|1TLV|1DMG|1ASPD	1ERES|2LWND|3ASPD|4VULN|5LHND|68RCR|7TLV|9RPLT|aDMG
18	46353 31331	   	284.69	DCR|DCR|1VULN|1TLV|1DMG|1ASPD	1ERES|2LWND|3ASPD|4VULN|5DUST|68RCR|7TLV|9RPLT|aDMG
19	12623 64844	 * 	284.18	DCR|DCR|1VULN|2ASPD|1DMG|1AAC	1CGEN|2SPLARM|3VULN|4MBVNT|5DMG|67RCR|8AAC|9aASPD
20	42623 64444	   	284.08	DCR|DCR|1VULN|2ASPD|1DMG|1AAC	1ERES|2SPLARM|3VULN|4MBVNT|5DMG|67RCR|8AAC|9aASPD
