0	Index      	 *	Score 	Summary	Detail	
1	31142 42116	 * 	198.94	ACR|3DMG|2VULN|1AART|2ASPD	1RCVC|2AART|36aDMG|4RCR|5ERES|7aASPD|8aVULN|9DMSP|aBPWR
2	33631 23115	 * 	197.43	DCR|3VULN|2DMG|1AART|2ZMB	1RCVC|239VULN|4MBVNT|59DMG|6RCR|7RMIN|89ZMB|9BPWR|aAART
3	33631 23815	 * 	196.12	DCR|3VULN|2DMG|1AART|2ASPD	1RCVC|239VULN|4MBVNT|59DMG|6RCR|7RMIN|89ASPD|9BPWR|aAART
4	31141 41153	 * 	194.29	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB	1RCVC|2AART|36DMG|4RCR|5ZMB|7LWND|89VULN|aCDMG
5	31143 41153	   	194.29	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB	1RCVC|2AART|37DMG|4RCR|5BEXP|6ZMB|89VULN|aCDMG
6	31141 51153	   	194.29	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB	1RCVC|2AART|37DMG|4RCR|5ZMB|6LHND|89VULN|aCDMG
7	33631 27111	 * 	194.19	DCR|3VULN|3DMG|2DUR|1ASPD	1RCVC|239VULN|4MBVNT|579DMG|6RCR|89DUR|9BPWR|aASPD
8	31141 43153	   	194.19	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB	1RCVC|2AART|36DMG|4RCR|5ZMB|7DUST|89VULN|aCDMG
9	31141 22653	 * 	194.09	ACR|2DMG|3ZMB|1AART|1VULN|1CDMG	1RCVC|2AART|37DMG|4RCR|579ZMB|67BASICY|7BPWR|8CDMG|aVULN
10	31141 22521	 * 	189.50	ACR|3DMG|1AART|1VULN|2ZMB|1DUR	1RCVC|2AART|379DMG|4RCR|57ZMB|67BASICY|7BPWR|8VULN|aDUR
11	33631 21475	   	189.31	DCR|3VULN|2DMG|1AART|1ASPD	1RCVC|238VULN|4MBVNT|58DMG|6RCR|78ERES|8BPWR|9ASPD|aAART
12	33631 33216	 * 	188.67	DCR|3VULN|3DMG|3DUR	1RCVC|239VULN|4MBVNT|59aDMG|689DUR|7RCR|9BPWR
13	33631 27113	   	188.43	DCR|3VULN|3DMG|2DUR	1aRCVC|239VULN|4MBVNT|579DMG|6RCR|89DUR|9BPWR
14	31146 42132	 * 	188.29	ACR|3DMG|1AART|1VULN|1CDMG|1ASPD	1RCVC|2AART|367DMG|4RCR|5ASPD|8CDMG|9RPLT|aVULN
15	31141 41113	 * 	188.15	ACR|2AART|2DMG|1VULN|1CDMG|1ZMB	1RCVC|29AART|36DMG|4RCR|5ZMB|7LWND|8VULN|aCDMG
