0	Index      	 *	Score 	Summary	Detail	
1	21112 16334	 * 	202.73	ACR|3VULN|3DMG|2CDMG|1DUR|1ASPD|1SELL	18CDMG|2DUR|38aDMG|4RCR|568VULN|7SELL|8BPWR|9ASPD
2	22112 35341	 * 	201.01	ACR|2VULN|2DMG|2AART|1CDMG|1ASPD|1DUR	1CDMG|25VULN|37DMG|4RCR|6ASPD|8aAART|9DUR
3	22112 36341	 * 	199.07	ACR|3VULN|2AART|1DMG|1CDMG|1ASPD|1DUR	1CDMG|257VULN|3DMG|4RCR|6ASPD|8aAART|9DUR
4	21111 23325	 * 	198.88	ACR|2VULN|2DMG|1AART|2CDMG|1DUR|1ASPD	1aCDMG|2DUR|3aDMG|4RCR|5RCVC|6CGEN|7ASPD|8AART|9aVULN|aBPWR
5	21111 43325	   	198.78	ACR|2VULN|2DMG|1AART|2CDMG|1DUR|1ASPD	1aCDMG|2DUR|3aDMG|4RCR|5RCVC|6ERES|7ASPD|8AART|9aVULN|aBPWR
6	22112 35314	 * 	198.28	ACR|3DMG|2VULN|1AART|1CDMG|1ASPD	1CDMG|25VULN|37aDMG|4RCR|6ASPD|8AART|9LIT
7	22112 36314	 * 	198.28	ACR|3VULN|2DMG|1AART|1CDMG|1ASPD	1CDMG|257VULN|3aDMG|4RCR|6ASPD|8AART|9LIT
8	22113 13526	 * 	197.75	ACR|3DMG|2VULN|1AART|2CDMG	1aCDMG|2aVULN|379DMG|4RCR|5aLIT|6DLOT|8AART|aBPWR
9	22112 35265	   	197.08	ACR|3DMG|2VULN|1AART|1CDMG|1ASPD	1CDMG|25VULN|379DMG|4RCR|6ASPD|8CGEN|aAART
10	22112 35165	   	196.98	ACR|3DMG|2VULN|1AART|1CDMG|1ASPD	1CDMG|25VULN|379DMG|4RCR|6ASPD|8ERES|aAART
11	21112 15635	 * 	196.28	ACR|2VULN|2DMG|1AART|2ZMB|1CDMG|1DUR	1CDMG|2DUR|38DMG|4RCR|56VULN|79ZMB|aAART
12	22112 35342	   	195.87	ACR|2VULN|2DMG|1AART|2CDMG|1ASPD|1DUR	1aCDMG|25VULN|37DMG|4RCR|6ASPD|8AART|9DUR
13	21112 16353	 * 	195.80	ACR|3VULN|3DMG|2CDMG|1DUR|1SELL	18CDMG|2DUR|38aDMG|4RCR|568VULN|7SELL|8BPWR|9FEWX
14	21112 16364	 * 	195.80	ACR|3VULN|3DMG|2CDMG|1DUR|1SELL	18CDMG|2DUR|38aDMG|4RCR|568VULN|7SELL|8BPWR|9MLV
15	21112 12352	 * 	194.79	ACR|4VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2DUR|3DMG|4RCR|567aVULN|8AART|9RPLT
16	21112 12361	   	194.79	ACR|4VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2DUR|3DMG|4RCR|5679VULN|8AART|aMLV
17	21112 12363	   	194.79	ACR|4VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2DUR|3DMG|4RCR|5679VULN|8AART|aLIT
18	21112 12364	   	194.79	ACR|4VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2DUR|3DMG|4RCR|5679VULN|8AART|aLHND
19	21112 12366	   	194.79	ACR|4VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2DUR|3DMG|4RCR|5679VULN|8AART|aDMSP
20	21112 12365	   	194.69	ACR|4VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2DUR|3DMG|4RCR|5679VULN|8AART|aMBVNT
21	22153 51243	 * 	194.27	DCR|4VULN|3DMG|1CDMG	1CDMG|246aVULN|367DMG|5RCVC|6BPWR|8ERES|9RCR
22	22112 35331	   	194.07	ACR|2VULN|2DMG|2AART|1CDMG|1ASPD	1CDMG|25VULN|37DMG|4RCR|6ASPD|8aAART|9FEWX
23	22112 35351	   	193.97	ACR|2VULN|2DMG|2AART|1CDMG|1ASPD	1CDMG|25VULN|37DMG|4RCR|6ASPD|8aAART|9DUST
24	22112 36342	 * 	193.94	ACR|3VULN|1AART|1DMG|2CDMG|1ASPD|1DUR	1aCDMG|257VULN|3DMG|4RCR|6ASPD|8AART|9DUR
25	21114 15315	   	193.83	ACR|2VULN|2DMG|1AART|2CDMG|2DUR	17CDMG|27DUR|3aDMG|4RCR|5LHND|67VULN|7BPWR|8LWND|9AART
26	21115 15315	   	193.83	ACR|2VULN|2DMG|1AART|2CDMG|2DUR	17CDMG|27DUR|3aDMG|4RCR|5FEWX|67VULN|7BPWR|8LWND|9AART
27	21116 15315	   	193.73	ACR|2VULN|2DMG|1AART|2CDMG|2DUR	17CDMG|27DUR|3aDMG|4RCR|5DUST|67VULN|7BPWR|8LWND|9AART
28	22112 36331	   	192.14	ACR|3VULN|2AART|1DMG|1CDMG|1ASPD	1CDMG|257VULN|3DMG|4RCR|6ASPD|8aAART|9FEWX
29	21112 12341	   	192.14	ACR|3VULN|2AART|1DMG|1CDMG|1DUR	1CDMG|2DUR|3DMG|4RCR|567VULN|8aAART|9CGEN
30	22112 36351	   	192.04	ACR|3VULN|2AART|1DMG|1CDMG|1ASPD	1CDMG|257VULN|3DMG|4RCR|6ASPD|8aAART|9DUST
31	21112 12321	   	192.04	ACR|3VULN|2AART|1DMG|1CDMG|1DUR	1CDMG|2DUR|3DMG|4RCR|567VULN|8aAART|9TLV
