0	Index      	 *	Score 	Summary	Detail	
1	14112 26611	 * 	204.28	ACR|3VULN|2DMG|1AART|1CDMG|1DUR	1FEWX|2RCR|3CDMG|459VULN|6AART|7DUR|8aDMG
2	61532 32274	 * 	199.12	DCR|4VULN|3DMG|1AART	14ERES|256DMG|3567VULN|56BPWR|8MBVNT|9AART|aRCR
3	14114 13611	   	197.84	ACR|3VULN|2DMG|1AART|1CDMG	1FEWX|2RCR|3CDMG|479VULN|5AART|6DUST|8aDMG
4	32346 13211	   	197.72	DCR|3VULN|3DMG|1AART	1RPLT|2LHND|35aDMG|4AART|6RCR|789VULN
5	14112 21611	   	197.34	ACR|3VULN|2DMG|1AART|1CDMG	1FEWX|2RCR|3CDMG|459VULN|6AART|7LHND|8aDMG
6	54112 21611	   	197.24	ACR|3VULN|2DMG|1AART|1CDMG	1DUST|2RCR|3CDMG|459VULN|6AART|7LHND|8aDMG
7	32346 13215	   	196.17	DCR|4VULN|2DMG|1AART	1RPLT|2LHND|35DMG|4AART|6RCR|789aVULN
8	14532 21611	   	193.89	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB	1FEWX|2RCR|3ZMB|4AART|59VULN|6MLV|7CDMG|8aDMG
9	36643 13211	 * 	193.87	DCR|3VULN|2AART|1DMG|1ZMB|1DUR	1RPLT|2ZMB|3DUR|45AART|6RCR|789VULN|aDMG
10	14112 21615	 * 	193.85	ACR|4VULN|1AART|1DMG|1CDMG	1FEWX|2RCR|3CDMG|459aVULN|6AART|7LHND|8DMG
11	14114 31611	 * 	193.73	ACR|2AART|2VULN|2DMG|1CDMG	1FEWX|2RCR|3CDMG|49VULN|57AART|6LHND|8aDMG
12	32343 13211	 * 	193.51	DCR|3VULN|2AART|2DMG	1RPLT|2LHND|3aDMG|45AART|6RCR|789VULN
13	46343 13211	   	193.51	DCR|3VULN|2AART|2DMG	1LWND|2RPLT|3aDMG|45AART|6RCR|789VULN
14	21326 36234	 * 	192.64	ACR|3DMG|2VULN|1AART|2ASPD	1RMIN|2AART|378DMG|47CGEN|5RCR|67ASPD|7BPWR|9aVULN
15	44112 31611	   	192.43	ACR|3VULN|1AART|1DMG|1CDMG|1DUR|1ASPD	1LWND|2RCR|3CDMG|459VULN|6ASPD|7DUR|8AART|aDMG
16	14112 32253	 * 	192.08	ACR|5VULN|1DMG|1CDMG|1ZMB	1FEWX|2RCR|3CDMG|45789VULN|6ZMB|aDMG
17	32343 13215	 * 	190.03	DCR|4VULN|2AART|1DMG	1RPLT|2LHND|3DMG|45AART|6RCR|789aVULN
18	14232 21611	   	189.82	ACR|2VULN|2DMG|1AART|1CDMG|1ASPD	1FEWX|2RCR|3ASPD|4AART|59VULN|6MLV|7CDMG|8aDMG
19	54112 33611	   	189.45	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	1DUST|2RCR|3CDMG|459VULN|6ZMB|7LWND|8AART|aDMG
20	14114 22611	   	189.22	ACR|2VULN|2DMG|1AART|1CDMG|1ASPD	1FEWX|2RCR|3CDMG|49VULN|5AART|6RMIN|7ASPD|8aDMG
21	32346 12336	   	189.01	DCR|3DMG|2VULN|1AART|1ASPD	1RPLT|2LHND|358DMG|4AART|6RCR|7ASPD|9aVULN
22	14232 21615	   	187.89	ACR|3VULN|1AART|1DMG|1CDMG|1ASPD	1FEWX|2RCR|3ASPD|4AART|59aVULN|6MLV|7CDMG|8DMG
23	14232 42236	   	187.37	ACR|2VULN|2DMG|1AART|1ZMB|1ASPD	1aFEWX|2RCR|3ASPD|4AART|5aVULN|6BEXP|7RPLT|8ZMB|9aDMG|aBPWR
24	14114 23211	   	187.29	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	1FEWX|2RCR|3CDMG|479VULN|5AART|6RMIN|8DUR|aDMG
25	14114 53241	   	187.19	ACR|3VULN|1AART|1DMG|1CDMG|1ASPD	1FEWX|2RCR|3CDMG|478VULN|5AART|6MBVNT|9ASPD|aDMG
