0	Index      	 *	Score 	Summary	Detail	
1	43322 34116	 * 	195.30	DCR|3DMG|2VULN|1AART|2DUR|1ZMB	179DMG|29VULN|3RPLT|4ZMB|5AART|6LIT|89DUR|9BPWR|aRCR
2	45111 23411	 * 	190.62	DCR|3VULN|3DMG|2CDMG|1ASPD	18aDMG|2TLV|37aVULN|4CANSTR|5ASPD|6aCDMG|9RCR|aBPWR
3	36243 12622	 * 	187.65	ACR|3DMG|1AART|2FLTHEA|1CDMG|1ZMB	18ERES|2ZMB|3AART|4RCR|5BELT|68FLTHEA|78aDMG|8BPWR|9CDMG
4	44236 22212	 * 	186.62	DCR|3VULN|2DMG|1AART|1CDMG	19DMG|2ERES|3AART|467VULN|5LHND|8CDMG|aRCR
5	43236 22311	 * 	186.32	DCR|4VULN|1AART|1DMG|1ZMB|1DUR	1DMG|2679VULN|3MLV|4DUR|5AART|8ZMB|aRCR
6	43536 22311	   	186.22	DCR|4VULN|1AART|1DMG|1ZMB|1DUR	1DMG|2679VULN|3ZMB|4DUR|5AART|8ERES|aRCR
7	44136 22311	   	186.22	DCR|4VULN|1AART|1DMG|1ZMB|1DUR	1DMG|2ERES|3679VULN|4DUR|5AART|8ZMB|aRCR
8	45136 22311	   	186.22	DCR|4VULN|1AART|1DMG|1ZMB|1DUR	1DMG|2TLV|3679VULN|4DUR|5AART|8ZMB|aRCR
9	46136 22311	   	186.22	DCR|4VULN|1AART|1DMG|1ZMB|1DUR	1DMG|2ZMB|3679VULN|4DUR|5AART|8ERES|aRCR
10	45232 43111	   	185.20	DCR|3VULN|2DMG|1AART|2DUR	16DMG|2TLV|3AART|4ERES|569VULN|6BPWR|78DUR|aRCR
11	26624 12311	   	184.67	DCR|3VULN|2DMG|1AART|1ZMB	1BEXP|2AART|35DMG|479VULN|6CGEN|8ZMB|aRCR
12	26624 32311	   	184.67	DCR|3VULN|2DMG|1AART|1ZMB	1BEXP|2AART|35DMG|479VULN|6MLV|8ZMB|aRCR
