0	Index      	 *	Score 	Summary	Detail	
1	11353 15264	 * 	206.95	DCR|3VULN|3DMG|1AART|2DUR	19aDMG|2ERES|369VULN|49DUR|5AART|7RCR|8MBVNT|9BPWR
2	11353 25264	 * 	202.75	DCR|3DMG|2AART|2VULN|2DUR	19aDMG|2ERES|39VULN|49DUR|56AART|7RCR|8MBVNT|9BPWR
3	11353 15353	   	199.56	DCR|3VULN|2DMG|1AART|1CDMG|1DUR	1aDMG|2ERES|369VULN|4DUR|5AART|7RCR|8CDMG
4	41213 35132	 * 	197.82	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB|1ASPD	1AART|2FEWX|3ASPD|4RCR|5CDMG|6ZMB|7aDMG|89VULN
5	42213 35132	   	197.72	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB|1ASPD	1AART|2DUST|3ASPD|4RCR|5CDMG|6ZMB|7aDMG|89VULN
6	43321 12316	 * 	195.79	DCR|3DMG|1AART|3ZMB|2ASPD|2DUR	1AART|2aASPD|3NUKE|467DMG|56aZMB|6aBPWR|8RCR|9aDUR
7	11353 25353	   	195.35	DCR|2AART|2VULN|2DMG|1CDMG|1DUR	1aDMG|2ERES|39VULN|4DUR|56AART|7RCR|8CDMG
8	13421 52431	   	194.92	DCR|3VULN|3DMG|1AART	138DMG|2FEWX|478VULN|58BEXP|6RCR|8BPWR|9AART|aLHND
9	13421 52432	   	194.92	DCR|3VULN|3DMG|1AART	138DMG|2FEWX|478VULN|58BEXP|6RCR|8BPWR|9AART|aRPLT
10	13421 52433	   	194.92	DCR|3VULN|3DMG|1AART	138DMG|2aFEWX|478VULN|58BEXP|6RCR|8BPWR|9AART
11	16333 15264	   	194.82	DCR|3VULN|3DMG|1AART	19aDMG|2CGEN|369VULN|49BEXP|5AART|7RCR|8MBVNT|9BPWR
12	11333 15264	   	194.72	DCR|3VULN|3DMG|1AART	19aDMG|2ERES|369VULN|49BEXP|5AART|7RCR|8MBVNT|9BPWR
13	13421 51433	   	192.92	DCR|3DMG|2VULN|1AART|1CDMG	138DMG|2FEWX|48VULN|578BEXP|6RCR|8BPWR|9AART|aCDMG
14	11333 15353	   	192.62	DCR|3VULN|2DMG|1AART|1CDMG	1aDMG|2ERES|369VULN|4BEXP|5AART|7RCR|8CDMG
15	11333 55353	   	192.62	DCR|3DMG|2VULN|1AART|1CDMG	16aDMG|2ERES|39VULN|4BEXP|5AART|7RCR|8CDMG
16	41113 42443	 * 	191.43	ACR|2AART|2VULN|2DMG|1CDMG	19AART|2aFEWX|3aDMG|4RCR|5CDMG|6LIT|7aVULN|8MBVNT|aBPWR
17	11353 15261	   	191.30	DCR|3VULN|2DMG|1AART|2DUR	19DMG|2ERES|369VULN|49DUR|5AART|7RCR|8MBVNT|9BPWR|aRPLT
18	43213 23155	 * 	191.20	ACR|3VULN|1AART|1DMG|2CDMG|1ASPD	1AART|2ASPD|3LHND|4RCR|57CDMG|689VULN|aDMG
19	11353 15262	   	191.20	DCR|3VULN|2DMG|1AART|2DUR	19DMG|2ERES|369VULN|49DUR|5AART|7RCR|8MBVNT|9BPWR|aTLV
20	13156 23522	   	191.12	DCR|3VULN|3DMG|1AART	14aDMG|2FEWX|3MGNLIT|569VULN|7AART|8RCR
21	16333 25264	   	190.61	DCR|3DMG|2AART|2VULN	19aDMG|2CGEN|39VULN|49BEXP|56AART|7RCR|8MBVNT|9BPWR
22	41113 35613	 * 	190.56	ACR|3DMG|1AART|1VULN|1CDMG|1ZMB	1AART|2FEWX|37aDMG|4RCR|5CDMG|6ZMB|8VULN|9RCVC
23	11333 25264	   	190.51	DCR|3DMG|2AART|2VULN	19aDMG|2ERES|39VULN|49BEXP|56AART|7RCR|8MBVNT|9BPWR
24	42113 35613	   	190.46	ACR|3DMG|1AART|1VULN|1CDMG|1ZMB	1AART|2DUST|37aDMG|4RCR|5CDMG|6ZMB|8VULN|9RCVC
25	11353 15363	 * 	190.22	DCR|2VULN|2DMG|1AART|2CDMG|1DUR	1aDMG|2ERES|36VULN|4DUR|5AART|7RCR|89CDMG
26	13423 34422	 * 	190.13	DCR|3DMG|2VULN|1AART|2CDMG	136DMG|2FEWX|49VULN|56CDMG|6BPWR|7LHND|8AART|aRCR
27	11333 15356	 * 	189.13	DCR|4VULN|1AART|1DMG|1CDMG	1DMG|2ERES|369aVULN|4BEXP|5AART|7RCR|8CDMG
28	43216 11623	   	188.85	ACR|3VULN|1AART|1DMG|2ASPD|1ZMB	1AART|26ASPD|3LHND|4RCR|579VULN|8ZMB|aDMG
29	11333 25353	   	188.41	DCR|2AART|2VULN|2DMG|1CDMG	1aDMG|2ERES|39VULN|4BEXP|56AART|7RCR|8CDMG
30	13423 61115	   	187.37	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	13DMG|2FEWX|49VULN|5CDMG|6RCR|7ZMB|8DUST|aAART
31	11353 25261	   	187.09	DCR|2AART|2VULN|2DMG|2DUR	19DMG|2ERES|39VULN|49DUR|56AART|7RCR|8MBVNT|9BPWR|aRPLT
32	41113 24236	   	187.02	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	1AART|2FEWX|3aDMG|4RCR|5CDMG|6DUR|7aCGEN|8LWND|9aVULN|aBPWR
33	11353 25262	   	186.99	DCR|2AART|2VULN|2DMG|2DUR	19DMG|2ERES|39VULN|49DUR|56AART|7RCR|8MBVNT|9BPWR|aTLV
34	42113 24236	   	186.92	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	1AART|2DUST|3aDMG|4RCR|5CDMG|6DUR|7aCGEN|8LWND|9aVULN|aBPWR
35	41213 35131	   	186.85	ACR|2VULN|1AART|1DMG|2ASPD|1CDMG|1ZMB	1AART|2FEWX|3aASPD|4RCR|5CDMG|6ZMB|7DMG|89VULN
36	43216 13133	   	186.85	ACR|2VULN|1AART|1DMG|2ASPD|1CDMG|1ZMB	1AART|26ASPD|3LHND|4RCR|58VULN|7CDMG|9DMG|aZMB
37	41113 22246	   	186.82	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	1AART|2FEWX|3aDMG|4RCR|5CDMG|6DUR|7aERES|8LWND|9aVULN|aBPWR
38	41213 55132	   	186.82	ACR|2VULN|2DMG|1AART|1CDMG|1ASPD	1AART|2FEWX|3ASPD|4RCR|5CDMG|6MLV|7aDMG|89VULN
39	42213 35131	   	186.75	ACR|2VULN|1AART|1DMG|2ASPD|1CDMG|1ZMB	1AART|2DUST|3aASPD|4RCR|5CDMG|6ZMB|7DMG|89VULN
40	42113 22246	   	186.72	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	1AART|2DUST|3aDMG|4RCR|5CDMG|6DUR|7aERES|8LWND|9aVULN|aBPWR
41	42213 55132	   	186.72	ACR|2VULN|2DMG|1AART|1CDMG|1ASPD	1AART|2DUST|3ASPD|4RCR|5CDMG|6MLV|7aDMG|89VULN
