0	Index      	 *	Score 	Summary	Detail	
1	43322 15413	 * 	206.58	DCR|4VULN|1AART|3CDMG|1DMG	1AART|237aVULN|47CGEN|578CDMG|6RCR|7BPWR|9DMG
2	43322 12166	 * 	197.52	DCR|3VULN|2DMG|1AART|1CDMG	1AART|239VULN|4CGEN|5CDMG|6RCR|7FEWX|8aDMG
3	45124 11333	 * 	195.29	ACR|3VULN|2DMG|1AART|1ZMB	1AART|2ZMB|3RCR|4LHND|57DMG|68aVULN|9CGEN
4	45111 11623	   	195.19	ACR|3VULN|2DMG|1AART|1ZMB	1AART|2ZMB|3RCR|4DUST|5RMIN|68aVULN|79DMG
5	45114 11333	   	195.19	ACR|3VULN|2DMG|1AART|1ZMB	1AART|2ZMB|3RCR|4DUST|57DMG|68aVULN|9CGEN
6	53134 11316	   	194.26	ACR|2VULN|2DMG|1AART|1CDMG|1ASPD|1DUR	1DUST|2ASPD|3RCR|4AART|57DMG|6aVULN|8CDMG|9DUR
7	33134 11146	 * 	193.63	ACR|3DMG|1AART|1VULN|2ZMB|1ASPD|1DUR	1DUR|2ASPD|3RCR|4AART|57aDMG|6VULN|89ZMB
8	43322 15411	   	192.48	DCR|3VULN|1AART|3CDMG|1DMG	1AART|237VULN|47CGEN|578CDMG|6RCR|7BPWR|9DMG|aRMIN
9	33134 12416	   	192.43	ACR|3VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1DUR|2ASPD|3RCR|4AART|5DMG|69aVULN|7LHND|8CDMG
10	33134 15316	   	192.43	ACR|3VULN|1AART|1DMG|1CDMG|1DUR|1ASPD	1DUR|2ASPD|3RCR|4AART|5DMG|69aVULN|7CDMG|8LWND
11	43322 15412	   	192.38	DCR|3VULN|1AART|3CDMG|1DMG	1AART|237VULN|47CGEN|578CDMG|6RCR|7BPWR|9DMG|aNUKE
12	33134 12315	 * 	192.16	ACR|2AART|2VULN|2DMG|1ASPD|1DUR	1DUR|2ASPD|3RCR|48AART|59DMG|6aVULN|7LHND
13	33134 14315	   	192.16	ACR|2AART|2VULN|2DMG|1ASPD|1DUR	1DUR|2ASPD|3RCR|48AART|59DMG|6aVULN|7FEWX
14	33134 16315	   	192.16	ACR|2AART|2VULN|2DMG|1DUR|1ASPD	1DUR|2ASPD|3RCR|48AART|59DMG|6aVULN|7LWND
15	45124 11323	   	191.87	ACR|2VULN|2DMG|1AART|2DUR|1ZMB	1AART|2ZMB|3RCR|4LHND|57DMG|68VULN|9aDUR
16	33134 11165	   	191.71	ACR|2VULN|2DMG|1AART|1ZMB|1ASPD|1DUR	1DUR|2ASPD|3RCR|4AART|57DMG|6aVULN|8ZMB|9RMIN
17	33134 11345	   	191.71	ACR|2VULN|2DMG|1AART|1ZMB|1DUR|1ASPD	1DUR|2ASPD|3RCR|4AART|57DMG|6aVULN|8CGEN|9ZMB
18	33134 11125	   	191.61	ACR|2VULN|2DMG|1AART|1ZMB|1ASPD|1DUR	1DUR|2ASPD|3RCR|4AART|57DMG|6aVULN|8ZMB|9NUKE
19	33134 11515	   	191.61	ACR|2VULN|2DMG|1AART|1ZMB|1ASPD|1DUR	1DUR|2ASPD|3RCR|4AART|57DMG|6aVULN|8DLOT|9ZMB
20	62131 52213	 * 	191.54	ACR|3DMG|2VULN|1AART|1CDMG	17FEWX|2LWND|37VULN|4RCR|579DMG|6RMIN|7BPWR|8AART|aCDMG
21	64131 52213	   	191.44	ACR|3DMG|2VULN|1AART|1CDMG	17FEWX|2LEGI|37VULN|4RCR|579DMG|6RMIN|7BPWR|8AART|aCDMG
22	66236 23131	   	191.12	DCR|3VULN|2DMG|1AART|1CDMG	19FEWX|2MGNSTR|39aVULN|4AART|5CDMG|6LHND|79DMG|8RCR|9BPWR
23	45121 11123	   	191.08	ACR|2AART|2VULN|2DMG|1ZMB	18AART|2ZMB|3RCR|4LHND|5RMIN|6aVULN|79DMG
24	16231 53163	 * 	189.86	ACR|3VULN|2DMG|3DUR|1CDMG|2RCVC	15RCVC|27DMG|37aDUR|4RCR|678VULN|7BPWR|9CDMG
25	33131 11645	   	189.78	ACR|3VULN|1AART|1DMG|1ZMB|1ASPD|1DUR	1DUR|2ASPD|3RCR|4AART|5RMIN|68aVULN|7DMG|9ZMB
26	23134 11143	 * 	188.63	ACR|2VULN|2DMG|1AART|2ZMB|1ASPD	1BEXP|2ASPD|3RCR|4AART|57DMG|6aVULN|89ZMB
27	63134 11143	   	188.63	ACR|2VULN|2DMG|1AART|2ZMB|1ASPD	1FEWX|2ASPD|3RCR|4AART|57DMG|6aVULN|89ZMB
28	53134 11143	   	188.53	ACR|2VULN|2DMG|1AART|2ZMB|1ASPD	1DUST|2ASPD|3RCR|4AART|57DMG|6aVULN|89ZMB
29	43322 11126	 * 	188.18	DCR|2VULN|2DMG|1AART|2CDMG	1AART|23VULN|4CGEN|59CDMG|6RCR|7LHND|8aDMG
30	43322 12126	   	188.18	DCR|2VULN|2DMG|1AART|2CDMG	1AART|23VULN|4CGEN|59CDMG|6RCR|7FEWX|8aDMG
31	16232 13116	 * 	188.03	ACR|2VULN|2DMG|1AART|3DUR|1ASPD	1RCVC|29DMG|389DUR|4RCR|5LWND|6ASPD|79VULN|9BPWR|aAART
32	45114 11322	   	187.78	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1AART|2ZMB|3RCR|4DUST|57DMG|68VULN|9DUR|aRCVC
33	33134 15231	   	187.68	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD|1DUR	1DUR|2ASPD|3RCR|4AART|5DMG|6aVULN|7CDMG|8ZMB|9LSRREG
34	53134 11332	   	187.68	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1ASPD|1DUR	1DUST|2ASPD|3RCR|4AART|57DMG|6VULN|8CDMG|9ZMB|aDUR
35	16231 53631	   	187.48	ACR|2VULN|2DMG|1AART|2DUR|1ASPD|2RCVC	15RCVC|27DMG|37DUR|4RCR|67VULN|7BPWR|8ASPD|9AART|aBEXP
36	16231 53632	   	187.48	ACR|2VULN|2DMG|1AART|2DUR|1ASPD|2RCVC	15RCVC|27DMG|37DUR|4RCR|67VULN|7BPWR|8ASPD|9AART|aRPLT
37	16231 53633	   	187.38	ACR|2VULN|2DMG|1AART|2DUR|1ASPD|2RCVC	15RCVC|27DMG|37DUR|4RCR|67VULN|7BPWR|8ASPD|9AART|aLEGI
38	43322 12146	   	186.87	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1AART|23aVULN|4CGEN|5CDMG|6RCR|7FEWX|8DMG|9DUR
39	43322 15114	   	186.72	DCR|4VULN|1AART|3CDMG	1AART|237aVULN|47aCGEN|579CDMG|6RCR|7aBPWR|8aLIT
40	45124 11321	   	186.57	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1AART|2ZMB|3RCR|4LHND|57DMG|68VULN|9DUR|aMLV
41	45124 11322	   	186.57	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1AART|2ZMB|3RCR|4LHND|57DMG|68VULN|9DUR|aBELT
42	45124 11332	   	186.57	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1AART|2ZMB|3RCR|4LHND|57DMG|68VULN|9CGEN|aDUR
43	43322 15111	   	186.52	DCR|4VULN|1AART|3CDMG	1AART|237aVULN|47CGEN|579CDMG|6RCR|7BPWR|8LIT
44	16231 53111	 * 	186.50	ACR|4VULN|2DMG|2DUR|2RCVC	15RCVC|27DMG|37DUR|4RCR|678aVULN|7BPWR|9BEXP
45	16231 53131	   	186.50	ACR|4VULN|2DMG|2DUR|2RCVC	15RCVC|27DMG|37DUR|4RCR|678aVULN|7BPWR|9FEWX
46	45111 11622	   	186.47	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1AART|2ZMB|3RCR|4DUST|5RMIN|68VULN|79DMG|aDUR
47	45114 11321	   	186.47	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1AART|2ZMB|3RCR|4DUST|57DMG|68VULN|9DUR|aMLV
48	45114 11323	   	186.47	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1AART|2ZMB|3RCR|4DUST|57DMG|68VULN|9DUR|aLWND
49	45114 11332	   	186.47	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1AART|2ZMB|3RCR|4DUST|57DMG|68VULN|9CGEN|aDUR
50	43322 15216	   	186.44	DCR|3VULN|1AART|1DMG|2CDMG	1AART|237VULN|47CGEN|57CDMG|6RCR|7BPWR|8FEWX|9RMIN|aDMG
51	43322 15316	   	186.44	DCR|3VULN|1AART|1DMG|2CDMG	1AART|237VULN|47CGEN|57CDMG|6RCR|7BPWR|8LHND|9RMIN|aDMG
52	43322 12165	   	186.24	DCR|3VULN|1AART|1DMG|2CDMG	1AART|239VULN|4CGEN|5aCDMG|6RCR|7FEWX|8DMG
53	16231 53161	   	186.04	ACR|3VULN|2DMG|1CDMG|2DUR|2RCVC	15RCVC|27DMG|37DUR|4RCR|678VULN|7BPWR|9CDMG|aBELT
54	16231 53162	   	186.04	ACR|3VULN|2DMG|1CDMG|2DUR|2RCVC	15RCVC|27DMG|37DUR|4RCR|678VULN|7BPWR|9CDMG|aLWND
55	33531 16613	   	185.98	ACR|3VULN|1AART|1DMG|2ASPD|2DUR	18DUR|28ASPD|3FEWX|4AART|5RCR|6TLV|78aVULN|8BPWR|9DMG
56	23134 12416	   	185.49	ACR|3VULN|1AART|1DMG|1CDMG|1ASPD	1BEXP|2ASPD|3RCR|4AART|5DMG|69aVULN|7LHND|8CDMG
57	23134 15316	   	185.49	ACR|3VULN|1AART|1DMG|1CDMG|1ASPD	1BEXP|2ASPD|3RCR|4AART|5DMG|69aVULN|7CDMG|8LWND
58	31155 51131	 * 	185.48	ACR|3DMG|2VULN|3DUR|1CDMG	178DUR|2CGEN|3RCR|4LEGI|57aDMG|67VULN|7BPWR|9CDMG
59	63134 11213	   	185.39	ACR|3DMG|1AART|1VULN|1CDMG|1ASPD	1FEWX|2ASPD|3RCR|4AART|579DMG|6VULN|8DUST|aCDMG
60	52131 31616	   	185.25	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	1DUST|2LWND|39aVULN|4RCR|5DMG|6CDMG|7AART|8ZMB
61	23134 12315	   	185.22	ACR|2AART|2VULN|2DMG|1ASPD	1BEXP|2ASPD|3RCR|48AART|59DMG|6aVULN|7LHND
62	23134 14315	   	185.22	ACR|2AART|2VULN|2DMG|1ASPD	1BEXP|2ASPD|3RCR|48AART|59DMG|6aVULN|7FEWX
63	23134 16315	   	185.22	ACR|2AART|2VULN|2DMG|1ASPD	1BEXP|2ASPD|3RCR|48AART|59DMG|6aVULN|7LWND
64	63134 12315	   	185.22	ACR|2AART|2VULN|2DMG|1ASPD	1FEWX|2ASPD|3RCR|48AART|59DMG|6aVULN|7LHND
65	33134 43336	 * 	184.83	ACR|3DMG|1AART|3ASPD|3DUR	18aDUR|28aASPD|3RCR|4AART|58aDMG|6RPLT|79RCVC|8aBPWR
66	22131 52215	   	184.83	ACR|3DMG|2VULN|1AART|1DUR	17BEXP|2LWND|37VULN|4RCR|579DMG|6RMIN|7BPWR|8AART|aDUR
67	62131 52215	   	184.83	ACR|3DMG|2VULN|1AART|1DUR	17FEWX|2LWND|37VULN|4RCR|579DMG|6RMIN|7BPWR|8AART|aDUR
68	23134 11165	   	184.77	ACR|2VULN|2DMG|1AART|1ZMB|1ASPD	1BEXP|2ASPD|3RCR|4AART|57DMG|6aVULN|8ZMB|9RMIN
69	23134 11345	   	184.77	ACR|2VULN|2DMG|1AART|1ZMB|1ASPD	1BEXP|2ASPD|3RCR|4AART|57DMG|6aVULN|8CGEN|9ZMB
70	24131 52215	   	184.73	ACR|3DMG|2VULN|1AART|1DUR	17BEXP|2LEGI|37VULN|4RCR|579DMG|6RMIN|7BPWR|8AART|aDUR
71	23134 11125	   	184.67	ACR|2VULN|2DMG|1AART|1ZMB|1ASPD	1BEXP|2ASPD|3RCR|4AART|57DMG|6aVULN|8ZMB|9NUKE
72	23134 11515	   	184.67	ACR|2VULN|2DMG|1AART|1ZMB|1ASPD	1BEXP|2ASPD|3RCR|4AART|57DMG|6aVULN|8DLOT|9ZMB
73	63134 11125	   	184.67	ACR|2VULN|2DMG|1AART|1ZMB|1ASPD	1FEWX|2ASPD|3RCR|4AART|57DMG|6aVULN|8ZMB|9NUKE
74	52131 52215	   	184.63	ACR|3DMG|2VULN|1AART|1DUR	17DUST|2LWND|37VULN|4RCR|579DMG|6RMIN|7BPWR|8AART|aDUR
75	16232 34315	   	184.58	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1RCVC|29DMG|3DUR|4RCR|5LWND|6ZMB|7AART|8aVULN
76	45123 11143	 * 	184.29	ACR|2AART|2VULN|1DMG|2ZMB|1ASPD	18AART|29ZMB|3RCR|4LHND|5ASPD|6aVULN|7DMG
77	33134 11215	   	183.97	ACR|3DMG|1AART|1VULN|2DUR|1ASPD	1aDUR|2ASPD|3RCR|4AART|579DMG|6VULN|8DUST
78	43422 15111	 * 	183.87	DCR|3VULN|2AART|3CDMG	13AART|27aVULN|47CGEN|579CDMG|6RCR|7BPWR|8LIT
79	45124 11133	   	183.49	ACR|2VULN|2DMG|1AART|2ZMB	1AART|28ZMB|3RCR|4LHND|57DMG|6aVULN|9CGEN
80	43322 11116	   	183.47	DCR|2VULN|2DMG|1AART|1CDMG	1AART|23VULN|4CGEN|5CDMG|6RCR|7LHND|8aDMG|9RCVC
81	43322 12116	   	183.47	DCR|2VULN|2DMG|1AART|1CDMG	1AART|23VULN|4CGEN|5CDMG|6RCR|7FEWX|8aDMG|9RCVC
82	45114 11133	   	183.39	ACR|2VULN|2DMG|1AART|2ZMB	1AART|28ZMB|3RCR|4DUST|57DMG|6aVULN|9CGEN
83	33134 12411	   	183.38	ACR|2VULN|1AART|1DMG|2ASPD|1CDMG|1DUR	1DUR|2aASPD|3RCR|4AART|5DMG|69VULN|7LHND|8CDMG
84	33134 14411	   	183.38	ACR|2VULN|1AART|1DMG|2ASPD|1CDMG|1DUR	1DUR|2aASPD|3RCR|4AART|5DMG|69VULN|7FEWX|8CDMG
85	33134 15311	   	183.38	ACR|2VULN|1AART|1DMG|2ASPD|1CDMG|1DUR	1DUR|2aASPD|3RCR|4AART|5DMG|69VULN|7CDMG|8LWND
86	33134 15411	   	183.38	ACR|2VULN|1AART|1DMG|2ASPD|1CDMG|1DUR	1DUR|2aASPD|3RCR|4AART|5DMG|69VULN|7CDMG|8FEWX
87	33134 16411	   	183.38	ACR|2VULN|1AART|1DMG|2ASPD|1CDMG|1DUR	1DUR|2aASPD|3RCR|4AART|5DMG|69VULN|7LWND|8CDMG
88	33134 15511	   	183.28	ACR|2VULN|1AART|1DMG|2ASPD|1CDMG|1DUR	1DUR|2aASPD|3RCR|4AART|5DMG|69VULN|7CDMG|8DUST
89	53134 11311	   	183.28	ACR|2DMG|1AART|1VULN|2ASPD|1CDMG|1DUR	1DUST|2aASPD|3RCR|4AART|57DMG|6VULN|8CDMG|9DUR
90	33134 11142	   	183.27	ACR|2DMG|1AART|1VULN|2ZMB|2DUR|1ASPD	1aDUR|2ASPD|3RCR|4AART|57DMG|6VULN|89ZMB
91	16231 53521	   	183.15	ACR|3VULN|2DMG|3DUR|1ASPD|2RCVC	15RCVC|27DMG|378DUR|4RCR|679VULN|7BPWR|aASPD
92	33133 54123	 * 	183.11	ACR|1AART|1VULN|1DMG|2CDMG|2ASPD|1ZMB|1DUR	1DUR|25ASPD|3RCR|4AART|6VULN|79CDMG|8DMG|aZMB
93	23131 11645	   	182.84	ACR|3VULN|1AART|1DMG|1ZMB|1ASPD	1BEXP|2ASPD|3RCR|4AART|5RMIN|68aVULN|7DMG|9ZMB
94	23134 11136	   	182.84	ACR|3DMG|1AART|1VULN|1ZMB|1ASPD	1BEXP|2ASPD|3RCR|4AART|57aDMG|6VULN|8ZMB|9LHND
95	63131 16125	   	182.84	ACR|3VULN|1AART|1DMG|1ZMB|1ASPD	1FEWX|2ASPD|3RCR|4AART|5RMIN|67aVULN|8ZMB|9DMG
96	63134 11136	   	182.84	ACR|3DMG|1AART|1VULN|1ZMB|1ASPD	1FEWX|2ASPD|3RCR|4AART|57aDMG|6VULN|8ZMB|9LHND
97	53134 11136	   	182.74	ACR|3DMG|1AART|1VULN|1ZMB|1ASPD	1DUST|2ASPD|3RCR|4AART|57aDMG|6VULN|8ZMB|9LHND
98	45121 11226	   	182.64	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1AART|2ZMB|3RCR|4LHND|5RMIN|6aVULN|7DMG|8CDMG|9DUR
99	33134 12515	   	182.61	ACR|2VULN|2DMG|1AART|1ASPD|1DUR	1DUR|2ASPD|3RCR|4AART|59DMG|6aVULN|7LHND|8RCVC
100	45123 11231	   	182.54	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1AART|2ZMB|3RCR|4LHND|5ASPD|6aVULN|7DMG|8CDMG|9AIRHEA
101	53134 11353	   	182.34	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1ASPD	1DUST|2ASPD|3RCR|4AART|57DMG|6VULN|8CDMG|9RCVC|aZMB
102	43322 12145	   	182.22	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1AART|23VULN|4CGEN|5CDMG|6RCR|7FEWX|8DMG|9DUR|aZMB
103	33133 54143	   	182.09	ACR|1AART|1VULN|1DMG|2ASPD|1CDMG|2DUR|1ZMB	19DUR|25ASPD|3RCR|4AART|6VULN|7CDMG|8DMG|aZMB
104	33134 12412	   	182.07	ACR|2VULN|1AART|1DMG|1CDMG|2DUR|1ASPD	1aDUR|2ASPD|3RCR|4AART|5DMG|69VULN|7LHND|8CDMG
105	33134 14412	   	182.07	ACR|2VULN|1AART|1DMG|1CDMG|2DUR|1ASPD	1aDUR|2ASPD|3RCR|4AART|5DMG|69VULN|7FEWX|8CDMG
106	33134 15312	   	182.07	ACR|2VULN|1AART|1DMG|1CDMG|2DUR|1ASPD	1aDUR|2ASPD|3RCR|4AART|5DMG|69VULN|7CDMG|8LWND
107	33134 15412	   	182.07	ACR|2VULN|1AART|1DMG|1CDMG|2DUR|1ASPD	1aDUR|2ASPD|3RCR|4AART|5DMG|69VULN|7CDMG|8FEWX
108	33134 16412	   	182.07	ACR|2VULN|1AART|1DMG|1CDMG|2DUR|1ASPD	1aDUR|2ASPD|3RCR|4AART|5DMG|69VULN|7LWND|8CDMG
109	53134 11331	   	182.04	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1ASPD	1DUST|2ASPD|3RCR|4AART|57DMG|6VULN|8CDMG|9ZMB|aRCVC
110	43422 11126	 * 	182.04	DCR|2AART|2DMG|2CDMG|1VULN	13AART|2VULN|4CGEN|59CDMG|6RCR|7LHND|8aDMG
111	43422 12126	   	182.04	DCR|2AART|2DMG|1VULN|2CDMG	13AART|2VULN|4CGEN|59CDMG|6RCR|7FEWX|8aDMG
112	33134 15512	   	181.97	ACR|2VULN|1AART|1DMG|1CDMG|2DUR|1ASPD	1aDUR|2ASPD|3RCR|4AART|5DMG|69VULN|7CDMG|8DUST
113	53134 11312	   	181.97	ACR|2DMG|1AART|1VULN|1CDMG|2DUR|1ASPD	1DUST|2ASPD|3RCR|4AART|57DMG|6VULN|8CDMG|9aDUR
