0	Index      	 *	Score 	Summary	Detail	
1	13325 46112	 * 	192.35	ACR|2DMG|1AART|1VULN|2CDMG|2DUR|1ZMB	1aCDMG|2ZMB|3RCVC|4RCR|5aDMG|6AART|7TLV|8VULN|9aDUR|aBPWR
2	12125 46112	   	188.58	ACR|2DMG|1AART|1VULN|2CDMG|2DUR|1ASPD	1aCDMG|2RCVC|3ASPD|4RCR|5aDMG|6AART|7TLV|8VULN|9aDUR|aBPWR
3	12425 11114	   	187.28	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1ASPD|1DUR	1CDMG|2RCVC|35DMG|4RCR|6ZMB|7AART|8DUR|9ASPD|aVULN
4	14222 21535	 * 	187.25	ACR|4VULN|1AART|1DMG|1CDMG	1CDMG|268aVULN|3MLV|4RCR|5DMG|7RPLT|9AART
5	12425 11152	 * 	184.19	ACR|2DMG|1AART|1VULN|2ZMB|1CDMG|1DUR	1CDMG|2RCVC|35DMG|4RCR|69ZMB|7AART|8DUR|aVULN
6	41163 33611	 * 	184.18	DCR|4VULN|1AART|1DMG|1ZMB	1MLV|2CGEN|3ZMB|469aVULN|5AART|7DMG|8RCR
7	12415 16221	 * 	183.97	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1CDMG|2RCVC|35DMG|48VULN|6ZMB|7LIT|9RCR|aAART
8	11732 26318	 * 	183.03	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1CDMG|2MBVNT|39aVULN|4LHND|5ZMB|6AART|7DMG|8RCR
9	12425 11611	 * 	182.25	ACR|3DMG|1AART|2CDMG|1ZMB|1DUR	1aCDMG|2RCVC|358DMG|4RCR|6ZMB|7AART|9DUR
10	41163 33631	 * 	181.53	DCR|3VULN|2AART|1DMG|1ZMB	1MLV|2CGEN|3ZMB|46aVULN|59AART|7DMG|8RCR
11	13325 44121	   	180.64	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1CDMG|2ZMB|3RCVC|4RCR|5DMG|6AART|7aVULN|8LIT|9ASPD
12	12425 11124	   	180.34	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1CDMG|2RCVC|35DMG|4RCR|6ZMB|7AART|8DUR|9MLV|aVULN
13	12425 11214	   	180.34	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1ASPD	1CDMG|2RCVC|35DMG|4RCR|6ZMB|7AART|8FEWX|9ASPD|aVULN
14	14522 21362	   	180.09	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|26aVULN|3RMIN|4RCR|5DMG|7RPLT|8DUR|9AART
15	12425 11335	   	179.72	ACR|2DMG|1AART|1VULN|2CDMG|1ZMB	19CDMG|2RCVC|35DMG|4RCR|6ZMB|7AART|8CGEN|aVULN
16	12425 13315	   	179.64	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1ASPD	1CDMG|2RCVC|35DMG|4RCR|6ZMB|7MBVNT|8AART|9ASPD|aVULN
17	11732 26316	 * 	178.83	DCR|2VULN|2AART|1DMG|1CDMG|1ZMB	1CDMG|2MBVNT|39VULN|4LHND|5ZMB|6aAART|7DMG|8RCR
18	14222 25433	 * 	178.76	ACR|3VULN|1AART|2CDMG|1DMG	19CDMG|269VULN|3MLV|4RCR|5DMG|789ERES|9BPWR|aAART
19	14225 25223	   	178.47	ACR|2DMG|1AART|1VULN|1CDMG|2DUR|1ASPD	1CDMG|2VULN|3MLV|4RCR|58DUR|6AART|7aDMG|9ASPD
20	14226 26414	 * 	178.39	ACR|2VULN|2DMG|1AART|1CDMG	1CDMG|2aVULN|3MLV|4RCR|5MBVNT|6AART|78DMG|9RCVC
21	32261 14611	   	177.49	DCR|4VULN|1AART|1DMG	1RMIN|2RCVC|3FEWX|4AART|5DMG|679aVULN|8RCR
22	12125 46113	   	176.78	ACR|2DMG|1AART|1VULN|1CDMG|1DUR|1ASPD	1CDMG|2RCVC|3ASPD|4RCR|5aDMG|6AART|7TLV|8VULN|9DUR
23	11572 23731	 * 	176.18	DCR|3VULN|1DMG|2CDMG|2DUR|1ZMB	17CDMG|2MBVNT|37DUR|4CGEN|5ZMB|679VULN|7BPWR|8RCR|aDMG
24	14222 26621	   	176.16	ACR|2VULN|2DMG|1CDMG|1ZMB|1DUR|1ASPD	1CDMG|26VULN|3MLV|4RCR|5aDMG|7ASPD|8ZMB|9DUR
25	12425 11612	   	175.93	ACR|3DMG|1AART|1CDMG|1ZMB|1DUR	1CDMG|2RCVC|358DMG|4RCR|6ZMB|7AART|9DUR|aRPLT
26	12425 11613	   	175.93	ACR|3DMG|1AART|1CDMG|1ZMB|1DUR	1CDMG|2RCVC|358DMG|4RCR|6ZMB|7AART|9DUR|aFEWX
27	12425 11212	   	175.93	ACR|3DMG|1AART|1CDMG|1ZMB|1ASPD	1CDMG|2RCVC|35aDMG|4RCR|6ZMB|7AART|8FEWX|9ASPD
28	12425 11631	   	175.83	ACR|3DMG|1AART|1CDMG|1ZMB|1DUR	1CDMG|2RCVC|358DMG|4RCR|6ZMB|7AART|9ERES|aDUR
29	14222 31535	   	175.65	ACR|3VULN|1AART|1DMG|1CDMG	1CDMG|28aVULN|3MLV|4RCR|5DMG|6RCVC|7RPLT|9AART
30	13325 61612	   	175.48	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB	1CDMG|2ZMB|36RCVC|4RCR|58DMG|7AART|9FEWX|aVULN
31	13325 61632	   	175.48	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB	1CDMG|2ZMB|36RCVC|4RCR|58DMG|7AART|9LHND|aVULN
32	12425 11332	   	175.31	ACR|3DMG|1AART|2CDMG|1ZMB	19CDMG|2RCVC|35aDMG|4RCR|6ZMB|7AART|8CGEN
33	12425 11621	   	175.31	ACR|3DMG|1AART|2CDMG|1ZMB	1aCDMG|2RCVC|358DMG|4RCR|6ZMB|7AART|9FEWX
34	11466 11441	 * 	174.96	DCR|2DMG|3ZMB|3CDMG|1AART	189CDMG|2MBVNT|368ZMB|4RCVC|58DMG|7AART|8BPWR|aRCR
