0	Index      	 *	Score 	Summary	Detail	
1	51212 68443	 * 	198.38	ACR|5VULN|2AART|3ASPD	156ASPD|2MBVNT|35679VULN|4RCR|569BPWR|8aAART
2	51212 44372	 * 	192.96	ACR|4VULN|1AART|3ASPD|1DMG	157ASPD|2MBVNT|3578VULN|4RCR|57BPWR|6RMIN|9DMG|aAART
3	51212 62148	 * 	190.91	ACR|3VULN|2AART|3ASPD|1DMG	156ASPD|2MBVNT|356VULN|4RCR|56BPWR|7BEXP|8DMG|9aAART
4	51212 63148	   	190.91	ACR|3VULN|2AART|3ASPD|1DMG	156ASPD|2MBVNT|356VULN|4RCR|56BPWR|7LWND|8DMG|9aAART
5	51714 22428	 * 	188.28	DCR|3VULN|1AART|3ASPD|1DMG|1DUR	136ASPD|2MBVNT|36BPWR|46aVULN|5AART|7RCR|8DMG|9DUR
6	51212 63352	 * 	187.75	ACR|4VULN|1AART|3ASPD|1CDMG	156ASPD|2MBVNT|356aVULN|4RCR|56BPWR|7LWND|8AART|9CDMG
7	51212 68411	   	187.75	ACR|4VULN|1AART|3ASPD|1CDMG	156ASPD|2MBVNT|3567VULN|4RCR|56BPWR|8AART|9CDMG|aCGEN
8	51212 68412	   	187.75	ACR|4VULN|1AART|3ASPD|1CDMG	156ASPD|2MBVNT|3567VULN|4RCR|56BPWR|8AART|9CDMG|aMLV
9	51212 31222	   	187.74	ACR|4VULN|1AART|3ASPD|2DUR	159ASPD|2MBVNT|3579VULN|4RCR|59BPWR|6RCVC|89DUR|aAART
10	51212 68413	   	187.65	ACR|4VULN|1AART|3ASPD|1CDMG	156ASPD|2MBVNT|3567VULN|4RCR|56BPWR|8AART|9CDMG|aERES
11	51212 68414	   	187.65	ACR|4VULN|1AART|3ASPD|1CDMG	156ASPD|2MBVNT|3567VULN|4RCR|56BPWR|8AART|9CDMG|aTLV
12	51212 62126	 * 	187.55	ACR|4VULN|2DMG|3ASPD	156ASPD|2MBVNT|356aVULN|4RCR|56aBPWR|7aBEXP|8aDMG|9RMIN
13	51212 63126	   	187.55	ACR|4VULN|2DMG|3ASPD	156ASPD|2MBVNT|356aVULN|4RCR|56aBPWR|7aLWND|8aDMG|9RMIN
14	51212 24342	 * 	187.30	ACR|3VULN|1AART|1DMG|2ASPD|1CDMG	15ASPD|2MBVNT|357VULN|4RCR|5BPWR|6CDMG|8AART|9LIT|aDMG
