0	Index      	 *	Score 	Summary	Detail	
1	25131 15134	 * 	216.90	ACR|3VULN|3DMG|1AART|2CDMG	18CDMG|2RCR|36TLV|4LEGI|568DMG|68BPWR|789VULN|aAART
2	25131 15163	   	201.25	ACR|3DMG|2VULN|1AART|2CDMG	18CDMG|2RCR|36TLV|4LEGI|568DMG|68BPWR|78VULN|9LHND|aAART
3	25131 35134	   	201.15	ACR|3DMG|2VULN|1AART|2CDMG	18CDMG|2RCR|36TLV|4LEGI|589DMG|78VULN|8BPWR|aAART
4	25121 15122	 * 	199.84	ACR|3VULN|3DMG|3CDMG	168CDMG|2RCR|38TLV|4BEXP|569DMG|68BPWR|78aVULN
5	25161 15122	   	199.84	ACR|3VULN|3DMG|3CDMG	168CDMG|2RCR|38TLV|4LWND|569DMG|68BPWR|78aVULN
6	25131 15132	   	199.74	ACR|3VULN|3DMG|3CDMG	18aCDMG|2RCR|36TLV|4LEGI|568DMG|68BPWR|789VULN
7	25141 15122	   	199.74	ACR|3VULN|3DMG|3CDMG	168CDMG|2RCR|38TLV|4DUST|569DMG|68BPWR|78aVULN
8	25211 11442	   	196.09	ACR|3VULN|2DMG|2CDMG|1ZMB	16CDMG|2RCR|3LHND|4ASPD|56DMG|6BPWR|7ZMB|89aVULN
9	25131 15112	   	193.70	ACR|3VULN|3DMG|2CDMG	18CDMG|2RCR|36TLV|4LEGI|568DMG|68BPWR|78aVULN|9CGEN
10	25131 15135	   	193.70	ACR|3VULN|3DMG|2CDMG	18CDMG|2RCR|36TLV|4LEGI|568DMG|68BPWR|789VULN|aCGEN
11	25131 15136	   	193.70	ACR|3VULN|3DMG|2CDMG	18CDMG|2RCR|36TLV|4LEGI|568DMG|68BPWR|789VULN|aBEXP
12	25131 15122	   	193.60	ACR|3DMG|3VULN|2CDMG	18CDMG|2RCR|36TLV|4LEGI|568DMG|68BPWR|78aVULN|9ERES
13	25131 15131	   	193.60	ACR|3VULN|3DMG|2CDMG	18CDMG|2RCR|36TLV|4LEGI|568DMG|68BPWR|789VULN|aDUST
14	25131 15142	   	193.60	ACR|3VULN|3DMG|2CDMG	18CDMG|2RCR|36TLV|4LEGI|568DMG|68BPWR|78aVULN|9NUKE
15	25121 11442	   	189.05	ACR|3VULN|2DMG|2CDMG|1ZMB	16CDMG|2RCR|3TLV|4BEXP|56DMG|6BPWR|7ZMB|89aVULN
16	14622 21242	 * 	188.71	ACR|2AART|2VULN|2DMG|2DUR	15DUR|2BEXP|36AART|4RCR|78VULN|9aDMG
17	25113 32532	   	187.79	ACR|3VULN|1AART|1DMG|1CDMG	1CDMG|2RCR|3TLV|4AART|5BELT|6DMG|7DUR|89aVULN
18	25211 11241	   	187.37	ACR|2VULN|2DMG|2CDMG|1ZMB	16CDMG|2RCR|3LHND|4ASPD|56DMG|6BPWR|7ZMB|8DUR|9aVULN
19	25211 11461	   	187.37	ACR|2VULN|2DMG|2CDMG|1ZMB	16CDMG|2RCR|3LHND|4ASPD|56DMG|6BPWR|7ZMB|8aVULN|9DUR
20	25411 11241	   	187.37	ACR|2VULN|2DMG|2CDMG|1ZMB	16CDMG|2RCR|3BEXP|4ASPD|56DMG|6BPWR|7ZMB|8DUR|9aVULN
21	25244 23121	 * 	187.14	ACR|4VULN|1AART|3CDMG	18aCDMG|2RCR|39LHND|478aVULN|5AART|68aLWND|8aBPWR
22	25411 11422	   	187.05	ACR|2VULN|2DMG|2CDMG|2ASPD|1ZMB	16CDMG|2RCR|3BEXP|49ASPD|56DMG|6BPWR|7ZMB|8aVULN
