0	Index      	 *	Score 	Summary	Detail	
1	34112 35541	 * 	207.09	ACR|4VULN|2DMG|1AART|1ZMB	129aVULN|3RCR|4ZMB|5AART|6MBVNT|79LIT|89DMG|9BPWR
2	34112 35542	   	206.64	ACR|3VULN|2DMG|1AART|1CDMG|1ZMB	129VULN|3RCR|4ZMB|5AART|6MBVNT|79LIT|89DMG|9BPWR|aCDMG
3	31213 12122	 * 	205.57	DCR|3VULN|2DMG|1AART|2CDMG|1ASPD	179VULN|2MLV|39CDMG|4CGEN|5ASPD|6RCR|89DMG|9BPWR|aAART
4	35423 12534	 * 	200.72	DCR|3VULN|3DMG|3DUR|1CDMG	18aVULN|2CDMG|34aDMG|57aDUR|6RCR|9MBVNT|aBPWR
5	35433 12134	   	200.72	DCR|3VULN|3DMG|3DUR|1CDMG	14aVULN|2CDMG|38aDMG|57aDUR|6RCR|9MBVNT|aBPWR
6	34112 35544	   	199.93	ACR|3VULN|2DMG|1AART|1ZMB|1ASPD	129VULN|3RCR|4ZMB|5AART|6MBVNT|79LIT|89DMG|9BPWR|aASPD
7	35423 13161	   	199.66	DCR|3VULN|2DMG|1AART|1CDMG|1DUR	18aVULN|2CDMG|34DMG|5DUR|6RCR|7LHND|9AART
8	35421 12161	   	199.56	DCR|3VULN|2DMG|1AART|1CDMG|1DUR	18aVULN|2CDMG|34DMG|5LEGI|6RCR|7DUR|9AART
9	35413 11122	   	199.26	DCR|3VULN|2DMG|1AART|1CDMG|1ASPD	189VULN|2CDMG|39DMG|4CGEN|5ASPD|6RCR|79MLV|9BPWR|aAART
10	35433 12534	 * 	199.17	DCR|4VULN|2DMG|3DUR|1CDMG	148aVULN|2CDMG|3aDMG|57aDUR|6RCR|9MBVNT|aBPWR
11	33331 36146	   	199.12	DCR|3VULN|2DMG|1AART|1CDMG|1ZMB	134VULN|234LIT|34BPWR|5CDMG|67DMG|8RCR|9AART|aZMB
12	35213 12122	   	199.06	DCR|3VULN|2DMG|1AART|1CDMG|1ASPD	179VULN|2CDMG|39ERES|4CGEN|5ASPD|6RCR|89DMG|9BPWR|aAART
13	33331 36426	 * 	198.97	DCR|3VULN|3DMG|1AART|1CDMG	134VULN|234LIT|34BPWR|5CDMG|678DMG|9AART|aRCR
14	35433 13161	 * 	196.17	DCR|4VULN|1AART|1DMG|1CDMG|1DUR	148aVULN|2CDMG|3DMG|5DUR|6RCR|7LHND|9AART
15	35431 12161	   	196.07	DCR|4VULN|1AART|1DMG|1CDMG|1DUR	148aVULN|2CDMG|3DMG|5LEGI|6RCR|7DUR|9AART
16	34214 31343	 * 	196.06	DCR|5VULN|1AART|1DMG|1CDMG	12578VULN|3AART|4CGEN|6DMG|9CDMG|aRCR
17	35433 12125	   	195.25	DCR|4VULN|2DMG|1CDMG|2DUR	149aVULN|2CDMG|38DMG|57DUR|6RCR
18	36632 21211	 * 	195.11	ACR|4VULN|1AART|2CDMG|3DUR|1SELL	179aVULN|27LWND|3RCR|4AART|5SELL|679DUR|79BPWR|89CDMG
19	33331 36141	   	194.43	DCR|3VULN|2DMG|1AART|2CDMG	134VULN|234LIT|34BPWR|5aCDMG|67DMG|8RCR|9AART
20	35431 16112	   	193.22	DCR|3VULN|2DMG|1AART|1CDMG	14aVULN|2CDMG|39DMG|5LEGI|6RCR|7RPLT|8AART
21	34112 35543	   	192.99	ACR|3VULN|2DMG|1AART|1ZMB	129VULN|3RCR|4ZMB|5AART|6MBVNT|79LIT|89DMG|9BPWR|aBEXP
22	34112 35531	   	192.79	ACR|3VULN|2DMG|1AART|1ZMB	12aVULN|3RCR|4ZMB|5AART|6MBVNT|7LIT|89DMG
