0	Index      	 *	Score 	Summary	Detail	
1	26111 25136	 * 	313.97	橙3雷电2易伤3伤害1矿等	19易伤2挖青3激光对愈459雷电689伤害7核9序列升级a矿等
2	41422 13331	 * 	313.48	橙3雷电3伤害3攻速1矿等3策反	19a攻速258策反3矿等49a伤害69a雷电7核9a序列升级
3	62423 35132	 * 	300.75	橙2矿等1雷电2易伤2伤害3时间2暴击	126时间26a序列升级3a矿等4a伤害56易伤7雷电8a暴击9核
4	26111 25131	   	288.81	橙3雷电2易伤3伤害	19易伤2挖青3激光对愈459雷电689伤害7核9序列升级a策反
5	26511 25131	   	288.81	橙3雷电2易伤3伤害	19易伤2挖青3爆破对冰459雷电689伤害7核9序列升级a策反
6	23423 25132	 * 	286.92	橙2雷电3易伤3伤害	139易伤29喷火对愈4基地爆炸5a雷电689伤害7核9序列升级
7	23433 25136	   	286.92	橙2雷电3易伤3伤害	139易伤29喷火对愈4最后敌人5a雷电689伤害7核9序列升级
8	22423 25136	   	286.82	橙2雷电3易伤3伤害	139易伤29最后敌人4多重对甲5a雷电689伤害7核9序列升级
9	24423 25132	   	286.82	橙2雷电3易伤3伤害	139易伤29敌人爆炸4多重对甲5a雷电689伤害7核9序列升级
10	26423 25131	   	286.72	橙2雷电3易伤3伤害	139易伤2挖青4多重对甲59雷电689伤害7核9序列升级a立即金币
11	26423 25132	   	286.72	橙2雷电3易伤3伤害	139易伤2挖青4多重对甲59雷电689伤害7核9序列升级a额外掉落
12	26423 25133	   	286.72	橙2雷电3易伤3伤害	139易伤2挖青4多重对甲59雷电689伤害7核9序列升级a敌人爆炸
13	41422 13335	   	284.54	橙2雷电3伤害1矿等2攻速3策反	19攻速258策反3矿等49a伤害69雷电7核9序列升级
