0	Index      	 *	Score 	Summary	Detail	
1	66432 12221	 * 	263.43	紫橙3易伤1等级1伤害	16掉矿2等级38核47a易伤5伤害9最后敌人
2	66431 22221	 * 	262.63	紫橙4易伤1等级	1掉矿2等级38核457a易伤6策反9最后敌人
3	21636 53232	 * 	254.94	橙橙2易伤1等级	1加农对壮2a易伤3双倍秒伤4等级5随机矿69核7赏金塔8烈焰减费
4	31636 53232	   	254.94	橙橙2易伤1等级	1基础对愈2a易伤3双倍秒伤4等级5随机矿69核7赏金塔8烈焰减费
5	23533 62135	   	249.43	橙橙2易伤1全技能	1加农对壮2攻速3额外掉落4a易伤5喷火对黄6全技能79核8导弹对绿
6	33533 62135	   	249.43	橙橙2易伤1全技能	1基础对愈2攻速3额外掉落4a易伤5喷火对黄6全技能79核8导弹对绿
7	55134 13323	 * 	245.59	橙2易伤2伤害2等级1时间1暴击	1双倍秒伤2暴击39易伤4敌人爆炸5时间69伤害7低血量敌人89等级9序列升级a核
8	66431 22223	   	243.46	紫橙3易伤1等级	1掉矿2等级38核457易伤6策反9最后敌人a随机矿
9	66431 22231	   	243.46	紫橙3易伤1等级	1掉矿2等级38核457易伤6策反9寒冰对甲a敌人爆炸
10	66431 22232	   	243.46	紫橙3易伤1等级	1掉矿2等级38核457易伤6策反9寒冰对甲a最后敌人
11	66431 22233	   	243.46	紫橙3易伤1等级	1掉矿2等级38核457易伤6策反9寒冰对甲a平台
12	66431 22222	   	243.36	紫橙3易伤1等级	1掉矿2等级38核457易伤6策反9最后敌人a双倍秒伤
13	66431 22211	   	243.26	紫橙4易伤1等级1挖怪	1掉矿2等级38核457a易伤6策反9挖怪
14	66431 22212	   	243.26	紫橙3易伤1等级1挖怪	1掉矿2等级38核457易伤6策反9挖怪a双倍秒伤
15	66431 22213	   	243.26	紫橙3易伤1等级1挖怪	1掉矿2等级38核457易伤6策反9挖怪a随机矿
16	21114 21146	   	242.59	橙橙1易伤1等级1技能1暴击	1加农对壮2易伤3平台4暴击5策反6等级7加一8技能9a核
17	21414 21146	   	242.59	橙橙1易伤1等级1技能1暴击	1加农对壮2易伤3暴击4平台5策反6等级7加一8技能9a核
18	31114 21146	   	242.59	橙橙1易伤1等级1技能1暴击	1基础对愈2易伤3平台4暴击5策反6等级7加一8技能9a核
19	31414 21146	   	242.59	橙橙1易伤1等级1技能1暴击	1基础对愈2易伤3暴击4平台5策反6等级7加一8技能9a核
20	21216 33543	   	241.29	紫橙2易伤1等级1伤害1技能	1加农对壮2a易伤3技能4伤害59核6双倍秒伤7等级8双倍矿
21	31216 33543	   	241.29	紫橙2易伤1等级1伤害1技能	1基础对愈2a易伤3技能4伤害59核6双倍秒伤7等级8双倍矿
22	66432 12223	   	241.29	紫橙2易伤1等级1伤害	16掉矿2等级38核47易伤5伤害9最后敌人a随机矿
23	66432 12231	   	241.29	紫橙2易伤1等级1伤害	16掉矿2等级38核47易伤5伤害9寒冰对甲a敌人爆炸
24	66432 12232	   	241.29	紫橙2易伤1等级1伤害	16掉矿2等级38核47易伤5伤害9寒冰对甲a最后敌人
25	66432 12233	   	241.29	紫橙2易伤1等级1伤害	16掉矿2等级38核47易伤5伤害9寒冰对甲a平台
26	66432 12222	   	241.19	紫橙2易伤1等级1伤害	16掉矿2等级38核47易伤5伤害9最后敌人a双倍秒伤
27	66432 12211	   	241.09	紫橙3易伤1等级1伤害1挖怪	16掉矿2等级38核47a易伤5伤害9挖怪
28	66432 12212	   	241.09	紫橙2易伤1等级1伤害1挖怪	16掉矿2等级38核47易伤5伤害9挖怪a双倍秒伤
29	66432 12213	   	241.09	紫橙2易伤1等级1伤害1挖怪	16掉矿2等级38核47易伤5伤害9挖怪a随机矿
30	55132 13323	 * 	240.45	橙2易伤2等级2时间1伤害1暴击	1双倍秒伤2暴击39易伤4敌人爆炸5伤害69时间7低血量敌人89等级9序列升级a核
31	64432 12221	   	237.22	紫橙3易伤1伤害	16掉矿2金币生成38核47a易伤5伤害9最后敌人
32	64431 22221	   	236.42	紫橙4易伤	1掉矿2金币生成38核457a易伤6策反9最后敌人
