0	Index      	 *	Score 	Summary	Detail	
1	13161 48184	 * 	256.24	橙橙1易伤1等级1全技能1暴击	1敌人爆炸2最后敌人3全技能4加一5挖尘6等级7易伤8暴击9a核
2	62225 52112	 * 	255.70	橙橙1易伤1等级1伤害1卖塔	1掉矿2易伤3伤害4金币生成5攻速6等级7a核8卖塔9防空对头目
3	51212 15431	 * 	255.34	橙橙2易伤1等级	1随机技能2基地爆炸3金币生成4等级5敌人爆炸69核7a易伤8平台
4	51312 15431	   	255.24	橙橙2易伤1等级	1随机技能2基地爆炸3技能点4等级5敌人爆炸69核7a易伤8平台
5	22321 44352	 * 	254.75	橙橙1易伤1伤害1导弹对毒1矿等	1雷电2最后敌人3散射对喷气4导弹对毒5易伤6矿等7伤害8低血量敌人9a核
6	12312 61642	   	250.20	橙橙1易伤1伤害1时间1暴击1技能	1敌人爆炸2低血量敌人3伤害4易伤5技能6时间7多重对愈8a核9暴击
7	13312 61642	   	250.20	橙橙1易伤1伤害1时间1暴击1技能	1敌人爆炸2最后敌人3伤害4易伤5技能6时间7多重对愈8a核9暴击
8	33312 61642	   	250.20	橙橙1易伤1伤害1时间1暴击1技能	1低血量敌人2敌人爆炸3伤害4易伤5技能6时间7多重对愈8a核9暴击
9	21316 43211	 * 	248.86	橙橙1易伤1等级1伤害1卖塔	1雷电2易伤38额外掉落4等级5伤害6卖塔7a核9导弹对黄
10	13163 45184	   	245.74	橙橙1易伤1矿等1全技能1暴击	1敌人爆炸2最后敌人3全技能4加一5易伤6矿等7基地爆炸8暴击9a核
11	51212 13431	   	242.79	橙橙1易伤1等级1时间	1随机技能2基地爆炸3金币生成4等级5敌人爆炸69核7时间8平台a易伤
12	55112 13431	   	242.79	橙橙1易伤1等级1时间	1随机技能2金币生成3敌人爆炸4等级5基地爆炸69核7时间8平台a易伤
13	55322 13431	   	242.79	橙橙1易伤1等级1时间	1随机技能2金币生成3等级4敌人爆炸5基地爆炸69核7时间8平台a易伤
14	51511 13431	   	242.69	橙橙2易伤1时间	1随机技能25基地爆炸3a易伤4挖尘69核7时间8平台
15	51312 13431	   	242.69	橙橙1易伤1等级1时间	1随机技能2基地爆炸3技能点4等级5敌人爆炸69核7时间8平台a易伤
16	22321 43122	   	241.63	橙橙1易伤1导弹对毒1矿等	1雷电2最后敌人3散射对喷气4导弹对毒5易伤6矿等7a核8低血量敌人9攻速
17	22321 34352	   	239.15	橙橙1易伤1伤害1导弹对毒	1雷电2最后敌人3散射对喷气4导弹对毒5易伤6随机矿7伤害8低血量敌人9a核
18	22321 34452	   	239.15	橙橙1易伤1伤害1导弹对毒	1雷电2最后敌人3散射对喷气4导弹对毒5易伤6随机矿7伤害8基地爆炸9a核
19	22632 24252	   	238.40	橙橙1易伤1伤害1矿等	1雷电2最后敌人3矿等4敌人爆炸5加农对壮6狙击对黄7伤害8易伤9a核
20	31632 24252	   	238.40	橙橙1易伤1伤害1矿等	1低血量敌人2雷电3矿等4敌人爆炸5加农对壮6狙击对黄7伤害8易伤9a核
21	62341 42336	   	238.40	橙橙1易伤1伤害1矿等	1掉矿2易伤3矿等4最后敌人5加一68平台7a核9伤害
22	12312 53642	   	236.65	橙橙1易伤1伤害1暴击1技能	1敌人爆炸2低血量敌人3伤害4易伤5技能6寒冰对甲7基地爆炸8a核9暴击
23	13312 53642	   	236.65	橙橙1易伤1伤害1暴击1技能	1敌人爆炸2最后敌人3伤害4易伤5技能6寒冰对甲7基地爆炸8a核9暴击
24	33312 53642	   	236.65	橙橙1易伤1伤害1暴击1技能	1低血量敌人2敌人爆炸3伤害4易伤5技能6寒冰对甲7基地爆炸8a核9暴击
25	12312 31642	   	236.55	橙橙1易伤1伤害1暴击1技能	1敌人爆炸2低血量敌人3伤害4易伤5技能6最后敌人7多重对愈8a核9暴击
26	12312 36642	   	236.55	橙橙1易伤1伤害1暴击1技能	1敌人爆炸2低血量敌人3伤害4易伤5技能6最后敌人7加农对甲8a核9暴击
27	33312 31642	   	236.55	橙橙1易伤1伤害1暴击1技能	1低血量敌人2敌人爆炸3伤害4易伤5技能6最后敌人7多重对愈8a核9暴击
28	33312 36642	   	236.55	橙橙1易伤1伤害1暴击1技能	1低血量敌人2敌人爆炸3伤害4易伤5技能6最后敌人7加农对甲8a核9暴击
29	13316 16432	 * 	234.05	橙2易伤2伤害2时间1等级	1敌人爆炸2最后敌人3a伤害4a易伤5低血量敌人6a时间7风暴减费8等级9核a序列升级
30	23426 25122	 * 	232.35	橙橙2矿等1伤害1暴击	1雷电2平台3加农对毒4暴击5额外掉落69矿等7伤害8a核
31	62341 42126	   	231.75	橙橙1易伤1矿等1暴击1卖塔	1掉矿2易伤3矿等4最后敌人5加一6平台7a核8暴击9卖塔
32	12532 13642	   	230.04	橙橙1易伤1时间1暴击1核弹	1敌人爆炸2低血量敌人3时间4防空对头目5核弹6策反7易伤8a核9暴击
33	33532 13642	   	230.04	橙橙1易伤1时间1暴击1核弹	1低血量敌人2敌人爆炸3时间4防空对头目5核弹6策反7易伤8a核9暴击
34	12232 15431	   	229.14	橙橙2易伤	14敌人爆炸2低血量敌人3随机技能5基地爆炸69核7a易伤8平台
