0	Index      	 *	Score 	Summary	Detail	
1	62213 31343	 * 	245.11	DCR|3DMG|2AART|2ASPD|1VULN|1CDMG	12aDMG|34AART|5VULN|68ASPD|7RCR|9CDMG
2	42413 31218	 * 	242.47	DCR|3VULN|2ASPD|1AART|2CDMG|1DMG	19ASPD|2DMG|379VULN|4RMIN|5MBVNT|69CDMG|8AART|9BPWR|aRCR
3	62213 31334	 * 	241.98	DCR|3DMG|3ASPD|2AART|1VULN	12aDMG|34AART|5VULN|68aASPD|7RCR|9aLIT|aBPWR
4	62213 31514	   	241.98	DCR|3DMG|3ASPD|2AART|1VULN	12aDMG|34AART|5VULN|69aASPD|7RCR|8aLIT|aBPWR
5	62213 61313	 * 	237.75	DCR|2VULN|2AART|2DMG|2ASPD	12DMG|34AART|59VULN|6RMIN|7RCR|8aASPD
6	62213 31323	   	237.16	DCR|3DMG|2AART|2ASPD|1VULN|1DUR	129DMG|34AART|5VULN|68ASPD|7RCR|aDUR
7	62213 31353	   	236.46	DCR|3ASPD|2AART|2DMG|1VULN|1ZMB	12DMG|34AART|5VULN|68aASPD|7RCR|9ZMB
8	62213 31213	   	233.58	DCR|2VULN|2AART|2DMG|2ASPD	12DMG|34AART|59VULN|6aASPD|7RCR|8CGEN
9	62213 31613	   	233.58	DCR|2VULN|2AART|2DMG|2ASPD	12DMG|34AART|59VULN|6aASPD|7RCR|8MLV
10	62213 11313	   	233.48	DCR|2VULN|2AART|2DMG|2ASPD|1AAC	12DMG|34AART|59VULN|6AAC|7RCR|8aASPD
11	11236 16125	 * 	231.62	DCR|3VULN|3DMG|2ASPD|1DUR	157VULN|27aDMG|3MLV|4DUST|67ASPD|7BPWR|8DUR|9RCR
12	11136 16125	   	231.52	DCR|3VULN|3DMG|2ASPD|1DUR	157VULN|27aDMG|3ERES|4DUST|67ASPD|7BPWR|8DUR|9RCR
