0	Index      	 *	Score 	Summary	Detail	
1	13134 31516	 * 	196.02	ACR|3DMG|3ZMB|1AART|3DUR|2ASPD	17aZMB|279DUR|3FEWX|4aASPD|5RCR|67aDMG|7aBPWR|8AART
2	31111 62134	 * 	191.48	DCR|2VULN|2DMG|1AART|2CDMG|1ZMB	19CDMG|29MGNSTR|35VULN|4ERES|6AART|79DMG|8RCR|9BPWR|aZMB
3	35111 62134	   	191.28	DCR|2VULN|2DMG|1AART|2CDMG|1ZMB	19CDMG|29VENICY|35VULN|4ERES|6AART|79DMG|8RCR|9BPWR|aZMB
4	31111 62133	   	187.42	DCR|2VULN|2DMG|1AART|2CDMG|1DUR	19CDMG|29MGNSTR|35VULN|4ERES|6AART|79DMG|8RCR|9BPWR|aDUR
5	35111 62133	   	187.22	DCR|2VULN|2DMG|1AART|2CDMG|1DUR	19CDMG|29VENICY|35VULN|4ERES|6AART|79DMG|8RCR|9BPWR|aDUR
6	14243 61343	 * 	186.42	DCR|2VULN|2DMG|1AART|2ZMB|1CDMG	19ZMB|2TLV|39DMG|4MBVNT|5DUST|6CDMG|79VULN|8RCR|9BPWR|aAART
7	21126 41633	 * 	182.07	DCR|2AART|2DMG|3ASPD|2ZMB|1DUR	1RMIN|2aDMG|3DUR|45AART|6RCR|7aZMB|89aASPD|aBPWR
8	21231 43532	 * 	181.27	DCR|3VULN|2DMG|1AART	1RMIN|29DMG|3NUKE|479ERES|5AART|6RCR|89aVULN|9BPWR
9	31111 61534	 * 	181.23	DCR|2VULN|2AART|1DMG|1CDMG|1ZMB	1CDMG|2MGNSTR|35VULN|4ERES|68AART|7RCR|9DMG|aZMB
10	31111 62131	   	180.48	DCR|2VULN|2DMG|1AART|2CDMG	19CDMG|29MGNSTR|35VULN|4ERES|6AART|79DMG|8RCR|9BPWR|aBELT
11	31111 62132	   	180.48	DCR|2VULN|2DMG|1AART|2CDMG	19CDMG|29MGNSTR|35VULN|4ERES|6AART|79DMG|8RCR|9BPWR|aLWND
12	31111 62135	   	180.48	DCR|2VULN|2DMG|1AART|2CDMG	19CDMG|29MGNSTR|35VULN|4ERES|6AART|79DMG|8RCR|9BPWR|aFEWX
13	35111 62131	   	180.28	DCR|2VULN|2DMG|1AART|2CDMG	19CDMG|29VENICY|35VULN|4ERES|6AART|79DMG|8RCR|9BPWR|aBELT
14	35111 62132	   	180.28	DCR|2VULN|2DMG|1AART|2CDMG	19CDMG|29VENICY|35VULN|4ERES|6AART|79DMG|8RCR|9BPWR|aLWND
15	35111 62135	   	180.28	DCR|2VULN|2DMG|1AART|2CDMG	19CDMG|29VENICY|35VULN|4ERES|6AART|79DMG|8RCR|9BPWR|aFEWX
16	31111 62126	 * 	178.97	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD	1CDMG|2MGNSTR|35aVULN|4ERES|6AART|7DMG|8RCR|9ASPD
