0	Index      	 *	Score 	Summary	Detail	
1	35215 52221	 * 	197.00	ACR|3VULN|2DMG|1AART|2RCVC|1DUR	14RCVC|2RCR|368VULN|5aDMG|7AART|9DUR
2	64234 65444	 * 	194.80	DCR|2VULN|2DMG|3ZMB|1AART	1MBVNT|25aZMB|3TLV|4AART|6RCR|7aDMG|8RPLT|9aVULN|aBPWR
3	35232 35113	 * 	194.48	ACR|3VULN|2DMG|2CDMG|2DUR	1RCVC|2RCR|35aVULN|4aDUR|68CDMG|7CGEN|9aDMG|aBPWR
4	35234 33623	 * 	193.69	ACR|3VULN|1AART|1DMG|2ASPD|2DUR	1RCVC|2RCR|389VULN|48DUR|5FEWX|6DMG|78ASPD|8BPWR|aAART
5	35232 35313	 * 	191.99	ACR|3VULN|2DMG|3DUR|1CDMG	1RCVC|2RCR|35aVULN|48aDUR|6CDMG|7CGEN|9aDMG|aBPWR
6	35215 52223	   	190.42	ACR|3VULN|1AART|1DMG|1ZMB|2RCVC|1DUR	14RCVC|2RCR|368VULN|5DMG|7AART|9DUR|aZMB
7	35215 52321	   	190.06	ACR|3VULN|2DMG|1AART|2RCVC	14RCVC|2RCR|369VULN|5aDMG|7AART|8LHND
8	35615 32221	   	186.64	ACR|2VULN|2DMG|1AART|2DUR|2RCVC	14RCVC|2RCR|36DUR|5aDMG|7AART|89VULN
9	35215 52212	 * 	186.58	ACR|4VULN|1AART|1DMG|2RCVC	14RCVC|2RCR|3689VULN|5DMG|7AART|aBEXP
10	35215 52213	   	186.58	ACR|4VULN|1AART|1DMG|2RCVC	14RCVC|2RCR|3689VULN|5DMG|7AART|aRMIN
11	35215 52211	   	186.48	ACR|4VULN|1AART|1DMG|2RCVC	14RCVC|2RCR|3689VULN|5DMG|7AART|aTLV
12	35231 53322	   	185.91	ACR|2VULN|2DMG|1AART|1ASPD|1DUR	1RCVC|2RCR|38VULN|4DUR|5BELT|6AART|7ASPD|9aDMG
13	64233 31337	   	185.00	ACR|4VULN|1AART|1DMG|1ZMB	1MBVNT|2ZMB|3TLV|4AART|5RCR|6DMG|789aVULN
14	66333 31327	   	184.43	ACR|3VULN|2DMG|1AART|1ASPD	1MBVNT|2TLV|3ASPD|4AART|5RCR|69DMG|78aVULN
15	64232 65444	   	184.07	DCR|2VULN|2DMG|1AART|2ZMB	1MBVNT|2aZMB|3TLV|4AART|5RCVC|6RCR|7aDMG|8RPLT|9aVULN|aBPWR
16	35232 24131	 * 	183.76	ACR|5VULN|1DMG|2DUR	1RCVC|2RCR|35689VULN|46DUR|6BPWR|7LSRICY|aDMG
17	35232 25432	 * 	183.66	ACR|5VULN|2CDMG|2DUR	1RCVC|2RCR|3569aVULN|46DUR|6BPWR|78CDMG
