0	Index      	 *	Score 	Summary	Detail	
1	21334 21411	 * 	206.39	ACR|3VULN|2DMG|1AART|2ASPD|1CDMG	18DMG|258LIT|3RCR|45ASPD|58BPWR|6CDMG|789VULN|aAART
2	21362 11461	 * 	201.89	ACR|4VULN|3DMG|3DUR	148DMG|29aLIT|3RCR|589DUR|6789VULN|89BPWR
3	21362 11463	   	201.89	ACR|4VULN|3DMG|3DUR	148DMG|29LIT|3RCR|589DUR|6789VULN|89BPWR|aCGEN
4	21362 11462	   	201.79	ACR|4VULN|3DMG|3DUR	148DMG|29LIT|3RCR|589DUR|6789VULN|89BPWR|aERES
5	21313 11465	   	201.24	ACR|3VULN|3DMG|3DUR|1CDMG	18aDMG|2LIT|3RCR|458DUR|678VULN|8BPWR|9CDMG
6	21264 41572	 * 	198.87	DCR|4VULN|3DMG|1CDMG	138DMG|289LIT|4MBVNT|5789VULN|6RCR|89BPWR|aCDMG
7	21334 21462	   	198.84	ACR|3VULN|3DMG|2ASPD|1CDMG	189DMG|258LIT|3RCR|45ASPD|58BPWR|6CDMG|78aVULN
8	21313 11466	   	196.59	ACR|3VULN|2DMG|3DUR|1CDMG|1ZMB	18DMG|2LIT|3RCR|458DUR|678VULN|8BPWR|9CDMG|aZMB
9	23216 15353	 * 	195.32	DCR|3VULN|3DMG|1AART	15aDMG|2aDUST|3LWND|4AART|6BEXP|7RCR|89aVULN|aBPWR
10	23216 13553	   	192.92	DCR|3VULN|3DMG|1AART	15aDMG|2aDUST|3LWND|4AART|6BEXP|79aVULN|8RCR|aBPWR
11	21313 11464	   	192.52	ACR|3VULN|2DMG|3DUR|1CDMG|1ASPD	18DMG|2LIT|3RCR|458DUR|678VULN|8BPWR|9CDMG|aASPD
12	22516 12251	 * 	192.19	DCR|3DMG|1AART|1VULN|2CDMG|2ASPD	139DMG|23BEXP|39BPWR|49CDMG|5VULN|6ERES|7RCR|89ASPD|aAART
13	23516 12251	   	191.99	DCR|3DMG|1AART|1VULN|2CDMG|2ASPD	139DMG|23DUST|39BPWR|49CDMG|5VULN|6ERES|7RCR|89ASPD|aAART
14	21344 21433	 * 	191.80	ACR|3VULN|3DMG|2CDMG	158DMG|25aLIT|3RCR|4RMIN|58aBPWR|68CDMG|78aVULN|9aCGEN
15	21333 31433	 * 	191.36	ACR|3VULN|3DMG|3ASPD|1SELL	18aDMG|2LIT|3RCR|478ASPD|58aVULN|6SELL|8aBPWR|9aCGEN
16	21362 11413	   	190.71	ACR|3VULN|3DMG|2DUR|1ASPD	148DMG|2LIT|3RCR|58DUR|678VULN|8BPWR|9CGEN|aASPD
17	21362 32461	   	190.29	ACR|3VULN|3DMG|3DUR	148DMG|29aLIT|3RCR|589DUR|6RCVC|789VULN|89BPWR
18	21362 32463	   	190.29	ACR|3VULN|3DMG|3DUR	148DMG|29LIT|3RCR|589DUR|6RCVC|789VULN|89BPWR|aCGEN
19	21362 32462	   	190.19	ACR|3VULN|3DMG|3DUR	148DMG|29LIT|3RCR|589DUR|6RCVC|789VULN|89BPWR|aERES
20	21334 21433	   	190.12	ACR|3DMG|2VULN|2ASPD|1CDMG|1DUR	18aDMG|258LIT|3RCR|45ASPD|58BPWR|6CDMG|78VULN|9DUR
21	22442 31313	 * 	190.02	ACR|3DMG|2VULN|1AART|2DUR	15aDMG|26BEXP|3LEGI|4RCR|7aVULN|8AART|9aDUR|aBPWR
22	21313 32465	   	188.09	ACR|3DMG|2VULN|3DUR|1CDMG	18aDMG|2LIT|3RCR|458DUR|6RCVC|78VULN|8BPWR|9CDMG
23	21315 16162	   	187.69	ACR|3VULN|3DMG|3DUR	189DMG|2aLIT|3RCR|49aDUR|5LWND|6TLV|79aVULN|9aBPWR
24	21362 11543	   	187.28	ACR|3VULN|2DMG|1CDMG|1ZMB|1DUR	14DMG|2LIT|3RCR|5DUR|67aVULN|8CDMG|9ZMB
25	21362 16243	   	187.28	ACR|3VULN|2DMG|1CDMG|1ZMB|1DUR	14DMG|2LIT|3RCR|5DUR|68aVULN|7CDMG|9ZMB
26	21264 41368	 * 	185.87	DCR|3VULN|3DMG|2ZMB	13aDMG|2LIT|4MBVNT|57aVULN|6RCR|8RPLT|9aZMB|aBPWR
27	21362 31366	   	185.64	ACR|3DMG|2VULN|3DUR|1ZMB	147DMG|279LIT|3RCR|579DUR|6RCVC|79BPWR|89VULN|aZMB
28	21313 11461	   	185.58	ACR|3VULN|2DMG|3DUR|1CDMG	18DMG|2LIT|3RCR|458DUR|678VULN|8BPWR|9CDMG|aRMIN
29	21313 11462	   	185.58	ACR|3VULN|2DMG|3DUR|1CDMG	18DMG|2LIT|3RCR|458DUR|678VULN|8BPWR|9CDMG|aCGEN
30	21313 11463	   	185.58	ACR|3VULN|2DMG|3DUR|1CDMG	18DMG|2LIT|3RCR|458DUR|678VULN|8BPWR|9CDMG|aBEXP
31	21264 41517	   	185.32	DCR|4VULN|3DMG	138DMG|28aLIT|4MBVNT|578aVULN|6RCR|8aBPWR|9aCGEN
32	21264 41571	   	185.22	DCR|4VULN|3DMG	138DMG|289LIT|4MBVNT|5789VULN|6RCR|89BPWR|aRPLT
33	21264 41574	   	185.22	DCR|4VULN|3DMG	138DMG|289LIT|4MBVNT|5789VULN|6RCR|89BPWR|aLWND
34	21264 41573	   	185.12	DCR|4VULN|3DMG	138DMG|289LIT|4MBVNT|5789VULN|6RCR|89BPWR|aERES
35	21362 11414	   	185.07	ACR|3VULN|3DMG|2DUR	148DMG|2LIT|3RCR|58DUR|678VULN|8BPWR|9CGEN|aRCVC
36	21264 41358	   	184.57	DCR|3VULN|3DMG|2ASPD	13aDMG|2LIT|4MBVNT|57aVULN|6RCR|8RPLT|9aASPD|aBPWR
37	24242 41331	   	184.53	ACR|3DMG|2VULN|1AART|1DUR	15aDMG|2DUR|3LWND|4RCR|6NUKE|79VULN|8AART
38	24212 15353	   	184.21	DCR|3VULN|3DMG|1AART|2DUR|1MSE	16aDMG|2aDUR|3LWND|4AART|5MSE|7RCR|89aVULN|aBPWR
39	21362 11412	   	183.77	ACR|3VULN|3DMG|2DUR	148DMG|2LIT|3RCR|58DUR|678VULN|8BPWR|9CGEN|aLHND
40	21362 11416	   	183.77	ACR|3VULN|3DMG|2DUR	148DMG|2LIT|3RCR|58DUR|678VULN|8BPWR|9aCGEN
41	21362 11421	   	183.77	ACR|3VULN|3DMG|2DUR	148DMG|2LIT|3RCR|58DUR|678VULN|8BPWR|9FEWX|aMLV
42	21362 11424	   	183.77	ACR|3VULN|3DMG|2DUR	148DMG|2LIT|3RCR|58DUR|678VULN|8BPWR|9FEWX|aRMIN
43	21362 11426	   	183.77	ACR|3VULN|3DMG|2DUR	148DMG|2LIT|3RCR|58DUR|678VULN|8BPWR|9FEWX|aLHND
44	21362 11431	   	183.77	ACR|3VULN|3DMG|2DUR	148DMG|2LIT|3RCR|58DUR|678VULN|8BPWR|9LWND|aMLV
45	21362 11434	   	183.77	ACR|3VULN|3DMG|2DUR	148DMG|2LIT|3RCR|58DUR|678VULN|8BPWR|9LWND|aRMIN
46	21362 11436	   	183.77	ACR|3VULN|3DMG|2DUR	148DMG|2LIT|3RCR|58DUR|678VULN|8BPWR|9LWND|aLHND
47	21362 11411	   	183.67	ACR|3VULN|3DMG|2DUR	148DMG|2LIT|3RCR|58DUR|678VULN|8BPWR|9CGEN|aDUST
48	21362 11415	   	183.67	ACR|3VULN|3DMG|2DUR	148DMG|2LIT|3RCR|58DUR|678VULN|8BPWR|9CGEN|aTLV
49	21362 11422	   	183.67	ACR|3VULN|3DMG|2DUR	148DMG|2LIT|3RCR|58DUR|678VULN|8BPWR|9FEWX|aERES
50	21362 11432	   	183.67	ACR|3VULN|3DMG|2DUR	148DMG|2LIT|3RCR|58DUR|678VULN|8BPWR|9LWND|aERES
51	21362 11423	   	183.53	ACR|3VULN|3DMG|2DUR|1SELL	148DMG|2LIT|3RCR|58DUR|678VULN|8BPWR|9FEWX|aSELL
52	21362 11433	   	183.53	ACR|3VULN|3DMG|2DUR|1SELL	148DMG|2LIT|3RCR|58DUR|678VULN|8BPWR|9LWND|aSELL
53	21313 32466	   	183.44	ACR|2VULN|2DMG|3DUR|1CDMG|1ZMB	18DMG|2LIT|3RCR|458DUR|6RCVC|78VULN|8BPWR|9CDMG|aZMB
54	21362 11553	   	183.21	ACR|3VULN|2DMG|1CDMG|1ASPD|1DUR	14DMG|2LIT|3RCR|5DUR|67aVULN|8CDMG|9ASPD
55	21362 16253	   	183.21	ACR|3VULN|2DMG|1CDMG|1ASPD|1DUR	14DMG|2LIT|3RCR|5DUR|68aVULN|7CDMG|9ASPD
56	21334 21412	   	183.18	ACR|3VULN|2DMG|2ASPD|1CDMG	18DMG|258LIT|3RCR|45ASPD|58BPWR|6CDMG|789VULN|aMLV
57	21334 21415	   	183.18	ACR|3VULN|2DMG|1CDMG|2ASPD	18DMG|258LIT|3RCR|45ASPD|58BPWR|6CDMG|789VULN|aCGEN
58	21334 21416	   	183.18	ACR|3VULN|2DMG|2ASPD|1CDMG	18DMG|258LIT|3RCR|45ASPD|58BPWR|6CDMG|789VULN|aRPLT
59	21334 21443	   	183.18	ACR|3DMG|2VULN|1CDMG|2ASPD	18aDMG|258LIT|3RCR|45ASPD|58BPWR|6CDMG|78VULN|9LHND
60	21334 21461	   	183.18	ACR|3DMG|2VULN|1CDMG|2ASPD	189DMG|258LIT|3RCR|45ASPD|58BPWR|6CDMG|78VULN|aLWND
61	21334 21413	   	183.08	ACR|3VULN|2DMG|2ASPD|1CDMG	18DMG|258LIT|3RCR|45ASPD|58BPWR|6CDMG|789VULN|aVENICY
62	21334 21414	   	183.08	ACR|3VULN|2DMG|2ASPD|1CDMG	18DMG|258LIT|3RCR|45ASPD|58BPWR|6CDMG|789VULN|aDUST
63	21334 21453	   	183.08	ACR|3DMG|2VULN|2ASPD|1CDMG	18aDMG|258LIT|3RCR|45ASPD|58BPWR|6CDMG|78VULN|9MBVNT
64	21334 21463	   	183.08	ACR|3DMG|2VULN|2ASPD|1CDMG	189DMG|258LIT|3RCR|45ASPD|58BPWR|6CDMG|78VULN|aNUKE
65	15821 36443	 * 	182.99	ACR|2VULN|2DMG|1AART|3DUR	15aDUR|2MBVNT|3RCR|4DUST|6aVULN|7AART|8RCVC|9aDMG|aBPWR
66	21313 11411	   	182.94	ACR|3VULN|2DMG|3DUR|1ZMB	18DMG|2aLIT|3RCR|458DUR|678VULN|8BPWR|9ZMB
67	21313 11413	   	182.94	ACR|3VULN|2DMG|3DUR|1ZMB	18DMG|2LIT|3RCR|458DUR|678VULN|8BPWR|9ZMB|aLWND
68	21313 11415	   	182.94	ACR|3VULN|2DMG|3DUR|1ZMB	18DMG|2LIT|3RCR|458DUR|678VULN|8BPWR|9ZMB|aLHND
69	21344 21413	   	182.89	ACR|3DMG|2VULN|2CDMG|1DUR	158DMG|25LIT|3RCR|4RMIN|58BPWR|68CDMG|78VULN|9BEXP|aDUR
70	21313 11414	   	182.84	ACR|3VULN|2DMG|3DUR|1ZMB	18DMG|2LIT|3RCR|458DUR|678VULN|8BPWR|9ZMB|aERES
71	21313 11416	   	182.84	ACR|3VULN|2DMG|3DUR|1ZMB	18DMG|2LIT|3RCR|458DUR|678VULN|8BPWR|9ZMB|aDUST
72	21313 11412	   	182.69	ACR|3VULN|2DMG|3DUR|1ZMB|1SELL	18DMG|2LIT|3RCR|458DUR|678VULN|8BPWR|9ZMB|aSELL
73	23226 15353	   	182.17	DCR|3VULN|2DMG|1AART	1aDMG|2aDUST|3LWND|4RCVC|5AART|6BEXP|7RCR|89aVULN|aBPWR
74	21264 41514	   	182.02	DCR|3VULN|3DMG|1ZMB	138DMG|28LIT|4MBVNT|578VULN|6RCR|8BPWR|9CGEN|aZMB
