0	Index      	 *	Score 	Summary	Detail	
1	22624 15333	 * 	209.38	ACR|3VULN|2AART|2DMG|1CDMG	19AART|278VULN|3RCR|4RPLT|57DUST|67DMG|7BPWR|aCDMG
2	22134 43352	 * 	204.65	DCR|3VULN|3DMG|1AART|2DUR	1AART|23aVULN|3aBPWR|4ERES|5BELT|68aDMG|7aDUR|9RCR
3	22313 43352	   	204.65	DCR|3VULN|3DMG|1AART|2DUR	1AART|25aVULN|3ERES|4BELT|68aDMG|7aDUR|9RCR|aBPWR
4	22413 43352	   	204.65	DCR|3VULN|3DMG|1AART|2DUR	1AART|25aVULN|3TLV|4BELT|68aDMG|7aDUR|9RCR|aBPWR
5	22315 43352	 * 	200.45	DCR|3DMG|2AART|2VULN|2DUR	15AART|2aVULN|3ERES|4BELT|68aDMG|7aDUR|9RCR|aBPWR
6	22631 22642	 * 	198.59	ACR|4VULN|2DMG|1AART	1AART|2679VULN|3RCR|459MLV|89DMG|9BPWR|aFEWX
7	22631 22643	   	198.59	ACR|4VULN|2DMG|1AART	1AART|2679VULN|3RCR|459MLV|89DMG|9BPWR|aRMIN
8	22631 22641	   	198.49	ACR|4VULN|2DMG|1AART	1AART|2679VULN|3RCR|459MLV|89DMG|9BPWR|aERES
9	22633 52351	   	198.34	ACR|4VULN|2DMG|1AART|1SELL	1AART|279aVULN|3RCR|4aMLV|5SELL|6aDMG|8BELT|aBPWR
10	22621 11315	   	196.52	ACR|3VULN|2DMG|1AART|2DUR	1AART|28aVULN|3RCR|4RPLT|59DUR|67DMG
11	22624 15331	   	195.73	ACR|3VULN|2AART|2DMG	19AART|278VULN|3RCR|4RPLT|57DUST|67DMG|7BPWR|aRCVC
12	22624 15332	   	195.73	ACR|3VULN|2AART|2DMG	19AART|278VULN|3RCR|4RPLT|57DUST|67DMG|7BPWR|aFEWX
13	22626 11335	   	195.73	ACR|3VULN|2AART|2DMG	19AART|28aVULN|3RCR|4RPLT|5BEXP|67DMG
14	22624 11335	   	195.63	ACR|3VULN|2AART|2DMG	19AART|28aVULN|3RCR|4RPLT|5DUST|67DMG
15	22135 32453	 * 	193.82	DCR|3VULN|2DMG|1AART|2ZMB	1AART|236VULN|3BPWR|4ERES|59DMG|7aZMB|8RCR
16	22624 15233	   	193.73	ACR|2AART|2VULN|2DMG|1CDMG	19AART|27VULN|3RCR|4RPLT|57DUST|67DMG|7BPWR|8DMSP|aCDMG
17	22626 11333	   	193.73	ACR|2AART|2VULN|2DMG|1CDMG	19AART|28VULN|3RCR|4RPLT|5BEXP|67DMG|aCDMG
18	22624 11333	   	193.63	ACR|2AART|2VULN|2DMG|1CDMG	19AART|28VULN|3RCR|4RPLT|5DUST|67DMG|aCDMG
