0	Index      	 *	Score 	Summary	Detail	
1	26422 46134	 * 	190.42	ACR|2VULN|2DMG|1AART|2ASPD|1DUR	19CGEN|2RCR|3AART|4MBVNT|59DMG|6aVULN|7DUR|89ASPD|9BPWR
2	26511 22622	 * 	189.18	ACR|2VULN|2DMG|1AART|1FLTHEA|1DUR|1SELL	1aCGEN|2RCR|3SELL|4DUR|5AART|6aDMG|7FLTHEA|8BEXP|9aVULN|aBPWR
3	26511 22322	 * 	189.08	ACR|2VULN|2DMG|1AART|1FLTHEA|1DUR|1SELL	1aCGEN|2RCR|3SELL|4DUR|5AART|6aDMG|7FLTHEA|8DUST|9aVULN|aBPWR
4	46511 22322	 * 	188.88	ACR|2VULN|2DMG|1AART|1FLTHEA|1DUR|1SELL	1aERES|2RCR|3SELL|4DUR|5AART|6aDMG|7FLTHEA|8DUST|9aVULN|aBPWR
5	26341 22622	 * 	185.59	ACR|2VULN|2DMG|1AART|1FLTHEA	1aCGEN|2RCR|3RPLT|4RCVC|5AART|6aDMG|7FLTHEA|8FEWX|9aVULN|aBPWR
6	26341 22322	   	185.49	ACR|2VULN|2DMG|1AART|1FLTHEA	1aCGEN|2RCR|3RPLT|4RCVC|5AART|6aDMG|7FLTHEA|8DUST|9aVULN|aBPWR
7	46341 22322	   	185.29	ACR|2VULN|2DMG|1AART|1FLTHEA	1aERES|2RCR|3RPLT|4RCVC|5AART|6aDMG|7FLTHEA|8DUST|9aVULN|aBPWR
8	26511 22423	 * 	185.04	ACR|2VULN|1AART|1DMG|1CDMG|1FLTHEA|1DUR|1SELL	1CGEN|2RCR|3SELL|4DUR|5AART|6DMG|7FLTHEA|89VULN|aCDMG
9	63341 61323	 * 	184.91	DCR|3DMG|2VULN|1AART|1DUR	19aDMG|29LWND|3AART|4MBVNT|5DUR|6LHND|79VULN|8RCR|9BPWR
10	26433 12216	 * 	184.31	ACR|2AART|1VULN|1DMG|2ASPD|1CDMG|1ZMB	1CGEN|2RCR|34AART|5ZMB|6aASPD|7CDMG|8VULN|9DMG
11	26422 48134	   	183.48	ACR|2VULN|2DMG|1AART|2ASPD	19CGEN|2RCR|3AART|4MBVNT|59DMG|6aVULN|7LWND|89ASPD|9BPWR
12	26341 22422	 * 	183.45	ACR|3VULN|1AART|1DMG|1FLTHEA	1CGEN|2RCR|3RPLT|4RCVC|5AART|6DMG|7FLTHEA|89aVULN
13	63223 35216	 * 	182.61	DCR|2VULN|2DMG|2AART|1CDMG	13DMG|23LWND|3BPWR|4CDMG|5RPLT|6aVULN|78AART|9RCR
