0	Index      	 *	Score 	Summary	Detail	
1	27418 14336	 * 	202.09	ACR|2VULN|2DMG|2AART|3CDMG	1MBVNT|2RCVC|37aCDMG|4aVULN|5RCR|68AART|9aDMG|aBPWR
2	61433 13422	 * 	199.77	DCR|3VULN|3DMG|2AART	19MLV|289VULN|379DMG|45AART|6RMIN|9BPWR|aRCR
3	23338 46711	 * 	199.50	DCR|5VULN|2DMG|1AART	1MBVNT|29DMG|39LIT|4AART|56789VULN|9BPWR|aRCR
4	27418 33336	   	195.45	ACR|2VULN|2DMG|2AART|2CDMG	1MBVNT|2RCVC|3aCDMG|4aVULN|5RCR|6DMSP|78AART|9aDMG|aBPWR
5	23334 35117	 * 	194.62	DCR|3DMG|2VULN|1AART|2ZMB	1MBVNT|26aDMG|3LIT|4AART|5BELT|7RCR|8aZMB|9aVULN|aBPWR
6	11433 66123	   	193.41	DCR|3DMG|2AART|2VULN	1CGEN|28VULN|39aDMG|45AART|6RCR|7DLOT
7	11515 63133	 * 	192.73	DCR|4VULN|1AART|1DMG|1CDMG	1CGEN|247aVULN|3AART|5TLV|6RCR|8CDMG|9DMG
8	23338 41847	   	191.47	DCR|4VULN|2DMG|1AART	1MBVNT|2aDMG|3LIT|4AART|569aVULN|7aLWND|8RCR|aBPWR
9	23837 33534	 * 	190.44	DCR|2VULN|2DMG|3ZMB|1AART|1ASPD	1MBVNT|28DMG|389ZMB|4CGEN|5ASPD|68VULN|7AART|8BPWR|aRCR
10	11313 63133	 * 	189.48	DCR|3VULN|2AART|1DMG|1CDMG	1CGEN|27aVULN|3ERES|45AART|6RCR|8CDMG|9DMG
11	61313 63133	   	189.48	DCR|3VULN|2AART|1DMG|1CDMG	1MLV|27aVULN|3ERES|45AART|6RCR|8CDMG|9DMG
12	23338 44718	   	186.67	DCR|4VULN|2DMG|1AART	1MBVNT|29DMG|379LIT|4AART|5689VULN|9BPWR|aRCR
13	11536 14122	   	186.38	DCR|2VULN|2DMG|1AART|2DUR|1ASPD	18CGEN|2aVULN|3AART|4BELT|58DMG|6RCR|78DUR|8BPWR|9ASPD
14	24162 47733	 * 	185.06	DCR|4VULN|3DMG|1DUR	1MBVNT|278LHND|378aVULN|4FEWX|5DUR|678DMG|78BPWR|9RCR
15	24162 47732	 * 	184.61	DCR|3VULN|3DMG|1CDMG|1DUR	1MBVNT|278LHND|378VULN|4FEWX|5DUR|678DMG|78BPWR|9RCR|aCDMG
16	23338 44518	   	184.01	DCR|3VULN|2AART|2DMG	1MBVNT|29DMG|379LIT|48AART|569VULN|9BPWR|aRCR
17	11515 63123	   	183.67	DCR|4VULN|1AART|1CDMG|1ZMB	1CGEN|247aVULN|3AART|5TLV|6RCR|8CDMG|9ZMB
18	11533 14312	   	183.02	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1CGEN|29aVULN|3AART|4BELT|5ZMB|6RCR|7DUR|8DMG
19	61533 14312	   	183.02	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1MLV|29aVULN|3AART|4BELT|5ZMB|6RCR|7DUR|8DMG
20	11536 12116	   	182.87	DCR|3DMG|2VULN|1AART	18CGEN|2aVULN|3AART|4BELT|589DMG|6RCR|78LHND|8BPWR
