0	Index      	 *	Score 	Summary	Detail	
1	31112 64111	 * 	190.59	ACR|3DMG|1AART|1VULN|2ASPD|1ZMB|1DUR	179DMG|2DUR|37ASPD|47CGEN|5RCR|6AART|7BPWR|8ZMB|aVULN
2	31112 64151	 * 	186.38	ACR|2DMG|2AART|1VULN|2ASPD|1ZMB|1DUR	17DMG|2DUR|37ASPD|47CGEN|5RCR|69AART|7BPWR|8ZMB|aVULN
3	31233 25331	 * 	186.12	DCR|3DMG|2VULN|1AART|3DUR	179DMG|234DUR|57VULN|67CANHEL|7BPWR|8AART|aRCR
4	31532 61611	 * 	185.97	DCR|3DMG|2AART|1VULN|1ZMB|1DUR	16aDMG|2DUR|3VULN|46TLV|57AART|6BPWR|8ZMB|9RCR
5	36332 71544	 * 	185.61	DCR|3VULN|2AART|2DMG	1aDMG|2MBVNT|36aVULN|46aTLV|57AART|6aBPWR|8RPLT|9RCR
6	31112 64113	 * 	184.18	ACR|3DMG|1AART|2ASPD|1CDMG|1ZMB|1DUR	179DMG|2DUR|37ASPD|47CGEN|5RCR|6AART|7BPWR|8ZMB|aCDMG
7	32264 13214	 * 	184.02	DCR|3DMG|2VULN|1AART|1CDMG	137DMG|23CGEN|37BPWR|47MLV|5RCVC|67VULN|8AART|9CDMG|aRCR
8	32266 13214	   	184.02	DCR|3DMG|2VULN|1AART|1CDMG	137DMG|235CGEN|37BPWR|47MLV|67VULN|8AART|9CDMG|aRCR
9	31156 63311	 * 	182.91	DCR|3DMG|2AART|2ZMB|2ASPD|1DUR	17aDMG|2DUR|37ASPD|47ZMB|5LEGI|68AART|7BPWR|9RCR
10	31154 61311	   	182.05	DCR|2DMG|2AART|1VULN|2DUR|1ZMB|1ASPD	1aDMG|27DUR|3ASPD|4ZMB|5VULN|68AART|9RCR
11	36332 71184	 * 	182.03	DCR|4VULN|2AART|1DMG	1DMG|2MBVNT|368aVULN|46TLV|57AART|6BPWR|9RCR
12	31532 15611	   	181.75	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	1aDMG|26DUR|37VULN|4TLV|5AART|8ZMB|9RCR
13	36332 11228	   	181.01	DCR|3DMG|2VULN|1AART|1DUR	18aDMG|2MBVNT|3aVULN|4TLV|5AART|6DUR|7aCANHEL|9RCR|aBPWR
14	31154 62111	 * 	180.61	DCR|2DMG|2AART|1VULN|2ZMB|1ASPD|1DUR	1aDMG|2DUR|3ASPD|48ZMB|5VULN|67AART|9RCR
15	12524 31323	   	179.68	DCR|2VULN|2DMG|1AART|2DUR|1ASPD	18DUR|2FEWX|38VULN|4CANSTR|5ASPD|68DMG|7RCR|8BPWR|9LHND|aAART
16	13524 31333	   	179.68	DCR|2VULN|2DMG|1AART|2DUR|1ASPD	18DUR|2LWND|38VULN|4CANSTR|5ASPD|68DMG|7RCR|8BPWR|9FEWX|aAART
17	13524 31363	   	179.68	DCR|2VULN|2DMG|1AART|2DUR|1ASPD	18DUR|2LWND|38VULN|4CANSTR|5ASPD|68DMG|7RCR|8BPWR|9CGEN|aAART
18	13524 31623	   	179.68	DCR|2VULN|2DMG|1AART|2DUR|1ASPD	19DUR|2LWND|39VULN|4CANSTR|5ASPD|69DMG|7RCR|8RMIN|9BPWR|aAART
19	13524 31313	   	179.58	DCR|2VULN|2DMG|1AART|2DUR|1ASPD	18DUR|2LWND|38VULN|4CANSTR|5ASPD|68DMG|7RCR|8BPWR|9DUST|aAART
20	36258 34114	 * 	179.57	DCR|3DMG|1AART|2CDMG|2ASPD|1DUR	17aDMG|2MBVNT|3DUR|4aASPD|5AART|6RMIN|8RCR|9aCDMG|aBPWR
21	31112 64213	   	179.49	ACR|3DMG|1AART|1VULN|2ASPD|1DUR	179DMG|2DUR|37ASPD|47CGEN|5RCR|6AART|7BPWR|8ERES|aVULN
22	36254 74114	   	178.97	DCR|3DMG|1AART|2CDMG|2ASPD|1DUR	17aDMG|2MBVNT|3DUR|4aASPD|5RMIN|6AART|8RCR|9aCDMG|aBPWR
23	36332 71183	   	178.93	DCR|3VULN|2AART|1DMG|1ZMB	1DMG|2MBVNT|368VULN|46TLV|57AART|6BPWR|9RCR|aZMB
24	32253 51611	   	178.63	DCR|3DMG|2AART|1VULN|1ZMB	13aDMG|23CGEN|3BPWR|4VULN|5BEXP|67AART|8ZMB|9RCR
25	32523 51611	   	178.53	DCR|3DMG|2AART|1VULN|1ZMB	14aDMG|2CGEN|3VULN|5BEXP|67AART|8ZMB|9RCR
