0	Index      	 *	Score 	Summary	Detail	
1	41351 22342	 * 	214.59	DCR|5VULN|2DMG|2CDMG|2DUR	1359aVULN|28DMG|49DUR|6RCR|79CDMG|9BPWR
2	41351 22332	   	202.78	DCR|5VULN|2DMG|1CDMG	1359aVULN|28DMG|4DUR|6RCR|7CDMG
3	41311 23342	   	202.36	DCR|5VULN|2DMG|2CDMG	1359aVULN|28DMG|49BEXP|6RCR|79CDMG|9BPWR
4	41321 22342	   	202.36	DCR|5VULN|2DMG|2CDMG	1359aVULN|28DMG|49FEWX|6RCR|79CDMG|9BPWR
5	41342 22342	   	202.36	DCR|5VULN|2DMG|2CDMG	1349aVULN|28DMG|59FEWX|6RCR|79CDMG|9BPWR
6	41351 22341	   	201.76	DCR|4VULN|2DMG|2CDMG|2DUR	1359VULN|28DMG|49DUR|6RCR|79CDMG|9BPWR|aLHND
7	31321 22342	   	201.76	DCR|4VULN|2DMG|2CDMG|2DUR	19DUR|28DMG|359aVULN|4DMSP|6RCR|79CDMG|9BPWR
8	41421 22342	   	201.76	DCR|4VULN|2DMG|2CDMG|2DUR	159aVULN|28DMG|39DUR|4DMSP|6RCR|79CDMG|9BPWR
9	41351 22343	   	201.66	DCR|4VULN|2DMG|2CDMG|2DUR	1359VULN|28DMG|49DUR|6RCR|79CDMG|9BPWR|aMBVNT
10	41351 22325	 * 	198.81	DCR|3VULN|2DMG|1AART|1CDMG|1SELL	135VULN|28DMG|4DUR|6RCR|7CDMG|9SELL|aAART
11	31351 22344	 * 	198.42	DCR|3VULN|2DMG|2CDMG|3DUR	149DUR|28DMG|359VULN|6RCR|79CDMG|9BPWR|aASPD
12	41351 22242	   	197.00	DCR|5VULN|2CDMG|1DMG|2DUR	1359aVULN|2DMG|49DUR|6RCR|79CDMG|8DMSP|9BPWR
13	41311 23332	   	195.84	DCR|5VULN|2DMG|1CDMG	1359aVULN|28DMG|4BEXP|6RCR|7CDMG
14	41321 22332	   	195.84	DCR|5VULN|2DMG|1CDMG	1359aVULN|28DMG|4FEWX|6RCR|7CDMG
15	41342 22332	   	195.84	DCR|5VULN|2DMG|1CDMG	1349aVULN|28DMG|5FEWX|6RCR|7CDMG
16	31351 22332	   	195.25	DCR|4VULN|2DMG|1CDMG|2DUR	14DUR|28DMG|359aVULN|6RCR|7CDMG
17	31441 22332	   	195.25	DCR|4VULN|2DMG|1CDMG|2DUR	13DUR|28DMG|459aVULN|6RCR|7CDMG
18	41451 22332	   	195.25	DCR|4VULN|2DMG|1CDMG|2DUR	159aVULN|28DMG|34DUR|6RCR|7CDMG
19	41311 23325	 * 	191.87	DCR|3VULN|2DMG|1AART|1CDMG|1SELL	135VULN|28DMG|4BEXP|6RCR|7CDMG|9SELL|aAART
20	41321 22325	 * 	191.87	DCR|3VULN|2DMG|1AART|1CDMG|1SELL	135VULN|28DMG|4FEWX|6RCR|7CDMG|9SELL|aAART
21	41342 22325	 * 	191.87	DCR|3VULN|2DMG|1AART|1CDMG|1SELL	134VULN|28DMG|5FEWX|6RCR|7CDMG|9SELL|aAART
22	31351 22341	   	191.48	DCR|3VULN|2DMG|2CDMG|3DUR	149DUR|28DMG|359VULN|6RCR|79CDMG|9BPWR|aBEXP
23	31351 22343	   	191.48	DCR|3VULN|2DMG|2CDMG|3DUR	149DUR|28DMG|359VULN|6RCR|79CDMG|9BPWR|aLWND
24	31351 22345	   	191.48	DCR|3VULN|2DMG|2CDMG|3DUR	149DUR|28DMG|359VULN|6RCR|79CDMG|9BPWR|aFEWX
25	31441 22341	   	191.48	DCR|3VULN|2DMG|2CDMG|3DUR	139DUR|28DMG|459VULN|6RCR|79CDMG|9BPWR|aBEXP
26	31441 22343	   	191.48	DCR|3VULN|2DMG|2CDMG|3DUR	139DUR|28DMG|459VULN|6RCR|79CDMG|9BPWR|aLWND
27	31351 22342	   	191.38	DCR|3VULN|2DMG|2CDMG|3DUR	149DUR|28DMG|359VULN|6RCR|79CDMG|9BPWR|aDUST
28	31351 22346	   	191.38	DCR|3VULN|2DMG|2CDMG|3DUR	149DUR|28DMG|359VULN|6RCR|79CDMG|9BPWR|aNUKE
29	31441 22342	   	191.38	DCR|3VULN|2DMG|2CDMG|3DUR	139DUR|28DMG|459VULN|6RCR|79CDMG|9BPWR|aDUST
30	41351 22323	 * 	191.26	DCR|3VULN|3DMG|1CDMG|1SELL	135VULN|28aDMG|4DUR|6RCR|7CDMG|9SELL
31	41351 22312	   	189.95	DCR|4VULN|2DMG|1CDMG	135aVULN|28DMG|4DUR|6RCR|7CDMG|9DMSP
32	41351 22331	   	189.95	DCR|4VULN|2DMG|1CDMG	1359VULN|28DMG|4DUR|6RCR|7CDMG|aLHND
33	41351 22334	   	189.95	DCR|4VULN|2DMG|1CDMG	1359VULN|28DMG|4DUR|6RCR|7CDMG|aCGEN
34	41351 22336	   	189.95	DCR|4VULN|2DMG|1CDMG	1359VULN|28DMG|4DUR|6RCR|7CDMG|aLIT
35	31321 22332	   	189.95	DCR|4VULN|2DMG|1CDMG	1DUR|28DMG|359aVULN|4DMSP|6RCR|7CDMG
36	41421 22332	   	189.95	DCR|4VULN|2DMG|1CDMG	159aVULN|28DMG|3DUR|4DMSP|6RCR|7CDMG
37	41351 22333	   	189.85	DCR|4VULN|2DMG|1CDMG	1359VULN|28DMG|4DUR|6RCR|7CDMG|aMBVNT
38	41351 22335	   	189.85	DCR|4VULN|2DMG|1CDMG	1359VULN|28DMG|4DUR|6RCR|7CDMG|aTLV
39	41311 23341	   	189.53	DCR|4VULN|2DMG|2CDMG	1359VULN|28DMG|49BEXP|6RCR|79CDMG|9BPWR|aLHND
40	41311 23344	   	189.53	DCR|4VULN|2DMG|2CDMG	1359VULN|28DMG|49BEXP|6RCR|79CDMG|9BPWR|aCGEN
41	41311 23346	   	189.53	DCR|4VULN|2DMG|2CDMG	1359VULN|28DMG|49BEXP|6RCR|79CDMG|9BPWR|aLIT
42	41321 22341	   	189.53	DCR|4VULN|2DMG|2CDMG	1359VULN|28DMG|49FEWX|6RCR|79CDMG|9BPWR|aLHND
43	41321 22344	   	189.53	DCR|4VULN|2DMG|2CDMG	1359VULN|28DMG|49FEWX|6RCR|79CDMG|9BPWR|aCGEN
44	41321 22346	   	189.53	DCR|4VULN|2DMG|2CDMG	1359VULN|28DMG|49FEWX|6RCR|79CDMG|9BPWR|aLIT
45	41342 22341	   	189.53	DCR|4VULN|2DMG|2CDMG	1349VULN|28DMG|59FEWX|6RCR|79CDMG|9BPWR|aLHND
46	41521 23342	   	189.53	DCR|4VULN|2DMG|2CDMG	159aVULN|28DMG|39BEXP|4DMSP|6RCR|79CDMG|9BPWR
