0	Index      	 *	Score 	Summary	Detail	
1	16631 32216	 * 	196.44	ACR|2AART|2DMG|2VULN|2CDMG	1aDUST|2aDMG|35AART|4RCR|67VULN|8CGEN|9aCDMG|aBPWR
2	16634 12323	 * 	196.24	ACR|3VULN|3DMG|1AART	15DUST|257DMG|3AART|4RCR|5BPWR|6RMIN|89aVULN
3	16631 62313	 * 	192.39	ACR|3DMG|2AART|1VULN|1ZMB|1DUR	1DUST|278DMG|35AART|4RCR|6ZMB|9DUR|aVULN
4	16631 12343	 * 	192.03	ACR|3DMG|2AART|2VULN	1DUST|278DMG|35AART|4RCR|6RMIN|9aVULN
5	46631 32321	   	190.13	ACR|2AART|2VULN|2DMG|1CDMG	18BEXP|29DMG|35AART|4RCR|67VULN|aCDMG
6	16631 32512	 * 	188.10	ACR|3VULN|2AART|1DMG|1FLTHEA	1DUST|2DMG|35AART|4RCR|67aVULN|8FLTHEA|9FEWX
7	16631 32522	   	188.10	ACR|3VULN|2AART|1DMG|1FLTHEA	1DUST|2DMG|35AART|4RCR|67aVULN|8FLTHEA|9LHND
8	46631 32333	   	187.48	ACR|2AART|2VULN|2DMG|1ZMB	18BEXP|2aDMG|35AART|4RCR|67VULN|9ZMB
9	22161 22213	   	186.63	ACR|2VULN|2DMG|1AART|2CDMG|1ASPD	1aCDMG|2CGEN|3aDMG|4DLOT|5RCR|6ASPD|7LWND|8AART|9aVULN|aBPWR
10	22161 23213	   	186.63	ACR|2VULN|2DMG|1AART|2CDMG|1ASPD	1aCDMG|2CGEN|3aDMG|4DLOT|5RCR|6ASPD|7LHND|8AART|9aVULN|aBPWR
11	16631 32533	 * 	185.99	ACR|2AART|2VULN|1DMG|1FLTHEA|1CDMG	1DUST|2DMG|35AART|4RCR|67VULN|8FLTHEA|9ERES|aCDMG
12	12414 13343	 * 	185.56	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1DUST|2AART|35LHND|45DMG|5BPWR|6RCR|7ZMB|8DUR|9aVULN
13	16634 32211	   	185.52	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	15DUST|25DMG|3AART|4RCR|5BPWR|67VULN|8CGEN|9CDMG|aDUR
14	16634 32111	   	185.42	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	15DUST|25DMG|3AART|4RCR|5BPWR|67VULN|8ERES|9CDMG|aDUR
15	16631 62331	   	185.35	ACR|3DMG|2AART|1VULN|1ZMB	1DUST|278DMG|35AART|4RCR|6ZMB|9ERES|aVULN
16	16636 32313	 * 	183.49	ACR|3DMG|1AART|1VULN|2ASPD|1DUR	1DUST|278DMG|3AART|4RCR|56ASPD|9DUR|aVULN
17	16634 12313	   	182.19	ACR|3DMG|2VULN|1AART	15DUST|257DMG|3AART|4RCR|5BPWR|6RMIN|8aVULN|9RCVC
18	16631 12313	   	181.39	ACR|3DMG|2AART|1VULN|1DUR	1DUST|278DMG|35AART|4RCR|6RMIN|9DUR|aVULN
19	23133 42233	 * 	181.22	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB|1SELL	1CDMG|2LWND|36DMG|4SELL|5aVULN|7ZMB|8AART|9RCR
20	25133 42234	 * 	181.22	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB|1SELL	1CDMG|2FEWX|36DMG|4SELL|5aVULN|7ZMB|8AART|9RCR
21	12413 63343	   	181.17	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1DUST|2AART|36LHND|46DMG|5RCR|6BPWR|7ZMB|8DUR|9aVULN
22	46632 11323	   	181.04	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	1BEXP|2DMG|3AART|4RCR|5FEWX|6ZMB|7DUR|89aVULN
23	46632 31323	   	181.04	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	1BEXP|2DMG|3AART|4RCR|5FEWX|6DUR|7ZMB|89aVULN
24	16632 11323	   	180.94	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	1DUST|2DMG|3AART|4RCR|5FEWX|6ZMB|7DUR|89aVULN
25	16632 31323	   	180.94	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	1DUST|2DMG|3AART|4RCR|5FEWX|6DUR|7ZMB|89aVULN
26	16633 11323	   	180.94	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	1DUST|2DMG|3AART|4RCR|5ZMB|6BEXP|7DUR|89aVULN
27	16633 51323	   	180.94	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	1DUST|2DMG|3AART|4RCR|5ZMB|6FEWX|7DUR|89aVULN
28	16634 12321	   	180.59	ACR|3DMG|2VULN|1AART	15DUST|257DMG|3AART|4RCR|5BPWR|6RMIN|89VULN|aLIT
29	16634 12322	   	180.49	ACR|3DMG|2VULN|1AART	15aDUST|257DMG|3AART|4RCR|5BPWR|6RMIN|89VULN
30	16634 12332	   	180.49	ACR|3DMG|2VULN|1AART	15DUST|257DMG|3AART|4RCR|5BPWR|6RMIN|8aVULN|9ERES
31	16653 32322	 * 	179.91	DCR|3DMG|2VULN|1AART|1ASPD	1DUST|289DMG|3AART|4CGEN|57VULN|6ASPD|aRCR
32	46631 32211	   	179.48	ACR|2AART|2VULN|1DMG|1CDMG|1DUR	1BEXP|2DMG|35AART|4RCR|67VULN|8CGEN|9CDMG|aDUR
33	16631 32211	   	179.38	ACR|2AART|2VULN|1DMG|1CDMG|1DUR	1DUST|2DMG|35AART|4RCR|67VULN|8CGEN|9CDMG|aDUR
34	46631 32111	   	179.38	ACR|2AART|2VULN|1DMG|1CDMG|1DUR	1BEXP|2DMG|35AART|4RCR|67VULN|8ERES|9CDMG|aDUR
35	16631 32111	   	179.28	ACR|2AART|2VULN|1DMG|1CDMG|1DUR	1DUST|2DMG|35AART|4RCR|67VULN|8ERES|9CDMG|aDUR
36	12414 12261	 * 	179.06	DCR|2AART|2DMG|2VULN	1DUST|29AART|35LHND|45DMG|5BPWR|6RCR|7aVULN|8LWND
37	12214 16343	   	178.62	DCR|2VULN|2DMG|1AART|1ZMB	1DUST|2AART|35FEWX|45DMG|5BPWR|6RCR|7LWND|8ZMB|9aVULN
38	16634 32212	   	178.58	ACR|2VULN|2DMG|1AART|1CDMG	15DUST|25DMG|3AART|4RCR|5BPWR|67VULN|8CGEN|9CDMG|aLWND
39	16634 32213	   	178.58	ACR|2VULN|2DMG|1AART|1CDMG	15DUST|25DMG|3AART|4RCR|5BPWR|67VULN|8CGEN|9CDMG|aLHND
40	12214 13753	   	178.52	DCR|2VULN|2DMG|1AART|1ZMB	1DUST|2AART|35FEWX|45DMG|5BPWR|6RCR|7MBVNT|8ZMB|9aVULN
41	16634 32112	   	178.48	ACR|2VULN|2DMG|1AART|1CDMG	15DUST|25DMG|3AART|4RCR|5BPWR|67VULN|8ERES|9CDMG|aLWND
42	16634 32113	   	178.48	ACR|2VULN|2DMG|1AART|1CDMG	15DUST|25DMG|3AART|4RCR|5BPWR|67VULN|8ERES|9CDMG|aLHND
43	16634 32133	   	178.48	ACR|2VULN|2DMG|1AART|1CDMG	15DUST|25DMG|3AART|4RCR|5BPWR|67VULN|8ERES|9RPLT|aCDMG
44	16623 53121	 * 	177.89	DCR|2VULN|1AART|1DMG|2CDMG|1ZMB	1DUST|2DMG|3AART|4RPLT|5aVULN|69CDMG|7RCR|8ZMB
45	16621 16124	   	177.77	DCR|3DMG|2VULN|1AART	1aDUST|29aDMG|3AART|4RPLT|5MBVNT|6aVULN|7RMIN|8RCR|aBPWR
46	46233 26333	 * 	177.76	DCR|2VULN|2DMG|1AART|1CDMG	18BEXP|28DMG|3TLV|4AART|5aVULN|68MLV|7RCR|8BPWR|9CDMG
47	26141 12124	 * 	177.63	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1CDMG|2ZMB|3DMG|4CGEN|569VULN|7AART|8BASHEA|aRCR
48	25135 62222	 * 	176.99	DCR|3DMG|1AART|1VULN|1CDMG|1ZMB|1SELL	1CDMG|25FEWX|359DMG|4SELL|5BPWR|6VULN|7ZMB|8AART|aRCR
49	23133 42222	 * 	176.89	DCR|3DMG|1AART|1VULN|1CDMG|1ZMB|1SELL	1CDMG|2LWND|369DMG|4SELL|5VULN|7ZMB|8AART|aRCR
50	25133 42222	 * 	176.89	DCR|3DMG|1AART|1VULN|1CDMG|1ZMB|1SELL	1CDMG|2FEWX|369DMG|4SELL|5VULN|7ZMB|8AART|aRCR
51	42214 15332	 * 	176.88	DCR|3DMG|1AART|2CDMG|1ZMB	1aBEXP|2AART|35FEWX|45aDMG|5aBPWR|6RCR|7LWND|8ZMB|9aCDMG
52	16636 11323	   	176.88	ACR|3VULN|1AART|1DMG|1ASPD|1DUR	1DUST|2DMG|3AART|4RCR|5ASPD|6BEXP|7DUR|89aVULN
53	16631 33343	   	176.73	ACR|2AART|2VULN|1DMG|1ZMB|1ASPD	1DUST|2DMG|35AART|4RCR|69VULN|7LWND|8ZMB|aASPD
54	12214 16332	   	176.68	DCR|3DMG|1AART|2CDMG|1ZMB	1aDUST|2AART|35FEWX|45aDMG|5aBPWR|6RCR|7LWND|8ZMB|9aCDMG
55	26121 55132	 * 	176.59	DCR|3VULN|2DMG|2CDMG|1ZMB|1SELL	17CDMG|2ZMB|37DMG|4RMIN|578VULN|6SELL|7BPWR|9CGEN|aRCR
