0	Index      	 *	Score 	Summary	Detail	
1	62222 34423	 * 	188.61	DCR|5VULN|3CDMG|1DMG	1489aVULN|2RCVC|3DMG|59aCDMG|69aLHND|7RCR|9aBPWR
2	62222 61224	 * 	185.75	DCR|4VULN|2DMG|1CDMG|2DUR	1469VULN|2RCVC|39DMG|5CDMG|7DUST|89DUR|9BPWR|aRCR
3	62222 34433	   	182.37	DCR|5VULN|1DMG|2CDMG	1489aVULN|2RCVC|3DMG|5aCDMG|6aLHND|7RCR|aBPWR
4	32622 11363	 * 	182.23	ACR|3DMG|2VULN|1AART|1DUR	1LIT|26VULN|3CGEN|49aDMG|5RCR|7DUR|8AART
5	43323 14621	 * 	181.02	DCR|2VULN|1AART|1DMG|2CDMG|2DUR	138DUST|23CDMG|38BPWR|4AART|58VULN|6RCR|78DUR|9DMG|aLHND
6	43323 14622	   	181.02	DCR|2VULN|1AART|1DMG|2CDMG|2DUR	138DUST|23CDMG|38BPWR|4AART|58VULN|6RCR|78DUR|9DMG|aBEXP
7	43323 14623	   	181.02	DCR|2VULN|1AART|1DMG|2CDMG|2DUR	138DUST|23CDMG|38BPWR|4AART|58VULN|6RCR|78DUR|9DMG|aLIT
8	32254 23423	 * 	180.77	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1LIT|29aVULN|3AART|4ERES|5DMG|6DUR|7CDMG|8RCR
9	62142 32213	 * 	180.71	DCR|4VULN|2AART|1ZMB|1DUR	1568VULN|2RCVC|3DUR|4aAART|7ZMB|9RCR
10	62222 62124	   	180.35	DCR|4VULN|2DMG|1CDMG|1DUR	1469VULN|2RCVC|39DMG|5CDMG|7DUR|89DUST|9BPWR|aRCR
11	32333 21122	 * 	180.05	DCR|5VULN|1AART|2ASPD|1SELL	1aLIT|2456aVULN|3SELL|7RCR|8AART|9aASPD|aBPWR
12	31361 23415	 * 	178.71	DCR|4VULN|3ZMB|1AART	19LIT|2AART|3FEWX|459ZMB|6789VULN|9BPWR|aRCR
13	62222 33224	 * 	178.06	DCR|3VULN|2DMG|2CDMG|2DUR	149VULN|2RCVC|39DMG|57CDMG|6LHND|89DUR|9BPWR|aRCR
14	62222 43224	   	178.06	DCR|3VULN|2DMG|2CDMG|2DUR	149VULN|2RCVC|39DMG|57CDMG|6LWND|89DUR|9BPWR|aRCR
15	32622 11323	 * 	178.02	ACR|2VULN|2DMG|2AART|1DUR	1LIT|26VULN|3CGEN|4aDMG|5RCR|7DUR|89AART
16	32622 11366	   	178.02	ACR|2VULN|2DMG|2AART|1DUR	1LIT|26VULN|3CGEN|49DMG|5RCR|7DUR|8aAART
17	32261 64122	 * 	177.91	DCR|2VULN|3ZMB|1AART|2CDMG	18aLIT|29VULN|3AART|45aZMB|6RCR|7aCDMG|aBPWR
18	62222 34523	   	175.78	DCR|4VULN|3CDMG|1DMG	149aVULN|28RCVC|3DMG|59aCDMG|69aLHND|7RCR|9aBPWR
19	62322 34423	   	175.49	DCR|5VULN|3CDMG|1ASPD	1489aVULN|2RCVC|3ASPD|59aCDMG|69aLHND|7RCR|9aBPWR
20	32622 12363	   	175.29	ACR|3DMG|2VULN|1AART	1LIT|26VULN|3CGEN|49aDMG|5RCR|7FEWX|8AART
21	25622 33432	 * 	175.05	ACR|3VULN|2AART|1DMG	1RMIN|23AART|4RCR|5DUST|67aVULN|8BEXP|9DMG
22	25622 33216	   	174.95	ACR|3VULN|2AART|1DMG	1RMIN|23AART|4RCR|58DUST|67aVULN|9DMG
23	43323 13512	 * 	174.73	DCR|2DMG|1AART|3CDMG|1VULN	13DUST|238CDMG|3BPWR|4AART|5VULN|6RCR|7RMIN|9aDMG
24	43323 16512	   	174.73	DCR|2DMG|1AART|3CDMG|1VULN	13DUST|238CDMG|3BPWR|4AART|5VULN|6RCR|7CGEN|9aDMG
25	32612 21463	 * 	174.66	DCR|2VULN|2DMG|1AART|1CDMG	1LIT|2aVULN|3CGEN|4CDMG|5AART|6LWND|79DMG|8RCR
26	32261 24152	 * 	174.64	DCR|2DMG|1AART|1VULN|2CDMG|2ZMB	1LIT|2VULN|3AART|45ZMB|69CDMG|78DMG|aRCR
27	43123 14621	   	174.61	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	138DUST|2CDMG|4AART|58VULN|6RCR|78DUR|8BPWR|9DMG|aLHND
28	43123 14622	   	174.61	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	138DUST|2CDMG|4AART|58VULN|6RCR|78DUR|8BPWR|9DMG|aBEXP
29	43123 14623	   	174.61	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	138DUST|2CDMG|4AART|58VULN|6RCR|78DUR|8BPWR|9DMG|aLIT
30	62142 34323	   	174.31	DCR|3VULN|1AART|1DMG|2DUR	156VULN|2RCVC|3aDUR|4AART|7RCR|8LWND|9DMG
31	32333 21154	 * 	174.06	DCR|4VULN|1AART|1CDMG|1DUR|1SELL	1LIT|2456VULN|3SELL|7RCR|8AART|9CDMG|aDUR
32	61231 41423	   	173.93	DCR|3VULN|1AART|1DMG|1CDMG	19aVULN|2BEXP|3AART|4CGEN|5DMG|6CDMG|7LIT|8RCR
33	32254 13423	   	173.83	DCR|3VULN|1AART|1DMG|1CDMG	1LIT|29aVULN|3AART|4ERES|5DMG|6BEXP|7CDMG|8RCR
34	32333 21126	 * 	173.24	DCR|5VULN|1AART|1ASPD|1SELL	1LIT|2456aVULN|3SELL|7RCR|8AART|9ASPD
35	25622 33214	 * 	172.94	ACR|2AART|2VULN|1DMG|1CDMG	1RMIN|23AART|4RCR|58DUST|67VULN|9DMG|aCDMG
36	22412 61124	   	172.88	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1RMIN|2LIT|3FEWX|4CDMG|5AART|6RCR|7DMG|89VULN|aZMB
37	32612 21423	   	172.73	DCR|3VULN|1AART|1DMG|1CDMG	1LIT|29aVULN|3CGEN|4CDMG|5AART|6LWND|7DMG|8RCR
38	35612 11423	   	172.73	DCR|3VULN|1AART|1DMG|1CDMG	1LIT|2LHND|3CGEN|4CDMG|5AART|69aVULN|7DMG|8RCR
