0	Index      	 *	Score 	Summary	Detail	
1	33631 35623	 * 	275.77	DCR|DCR|2MLV|1DMG|1ASPD|1CDMG|1RPLT	14MLV|2CGEN|3CDMG|5ASPD|68RCR|7RPLT|9TBNT|aDMG
2	33353 23352	 * 	273.83	ACR|DCR|4VULN|1MLV	1MLV|2CGEN|3568VULN|4aRCR|7RCVC|9LIT
3	33353 24352	   	273.83	ACR|DCR|4VULN|1MLV	1MLV|27CGEN|3568VULN|4aRCR|9LIT
4	23221 83216	 * 	270.79	DCR|DCR|2VULN|1MLV|1AART	1MSLFST|2MBVNT|3RCVC|4MLV|59VULN|6aRCR|7LSRREG|8AART
5	63221 83216	   	270.79	DCR|DCR|2VULN|1MLV|1AART	1MULARM|2MBVNT|3RCVC|4MLV|59VULN|6aRCR|7LSRREG|8AART
6	33353 23652	 * 	270.27	ACR|DCR|3VULN|2MLV	18MLV|2CGEN|356VULN|4aRCR|7RCVC|9LIT
7	33631 35631	   	264.01	DCR|DCR|2MLV|1ASPD|1CDMG|1RPLT	14MLV|2CGEN|3CDMG|5ASPD|68RCR|7RPLT|9FLTARM|aDUR
8	33631 35621	 * 	262.02	DCR|DCR|2MLV|2CDMG|1ASPD|1RPLT	14MLV|2CGEN|3aCDMG|5ASPD|68RCR|7RPLT|9TBNT
9	13311 15562	   	261.23	DCR|DCR|2VULN|1MLV	1AELOIC|2MLV|3ERES|48RCVC|59VULN|6LIT|7aRCR
10	51535 13222	 * 	260.97	DCR|DCR|1VULN|1DMG|1CDMG|1RPLT	1BBNT|2TBNT|3LHND|4CDMG|5DMG|6TSLARM|79RCR|8RPLT|aVULN
11	33631 33145	 * 	258.50	DCR|DCR|2MLV|2ASPD|1CDMG	14MLV|2CGEN|3CDMG|5aASPD|69RCR|7TBNT|8LHND
12	33631 33245	   	258.50	DCR|DCR|2MLV|2ASPD|1CDMG	14MLV|2CGEN|3CDMG|5aASPD|69RCR|7TBNT|8LWND
13	33631 35611	   	255.70	DCR|DCR|2MLV|1ASPD|1CDMG|1RPLT	14MLV|2CGEN|3CDMG|5ASPD|68RCR|7RPLT|9DMSP|aBBNT
14	33631 35613	   	255.70	DCR|DCR|2MLV|1ASPD|1CDMG|1RPLT	14MLV|2CGEN|3CDMG|5ASPD|68RCR|7RPLT|9DMSP|aFEWX
15	33631 35632	   	255.70	DCR|DCR|2MLV|1ASPD|1CDMG|1RPLT	14MLV|2CGEN|3CDMG|5ASPD|68RCR|7RPLT|9FLTARM|aAAC
16	33631 35633	   	255.70	DCR|DCR|2MLV|1ASPD|1CDMG|1RPLT	14MLV|2CGEN|3CDMG|5ASPD|68RCR|7RPLT|9FLTARM|aRCVC
17	34241 22611	 * 	255.66	DCR|2VULN|3MLV|2DMG|2DUR	17aMLV|247FEWX|3aVULN|5TLV|67DUR|7aBPWR|8aDMG|9RCR
18	33631 35612	   	255.60	DCR|DCR|2MLV|1ASPD|1CDMG|1RPLT	14MLV|2CGEN|3CDMG|5ASPD|68RCR|7RPLT|9DMSP|aDUST
19	33631 35622	   	255.60	DCR|DCR|2MLV|1ASPD|1CDMG|1RPLT	14MLV|2CGEN|3CDMG|5ASPD|68RCR|7RPLT|9TBNT|aCANARM
20	33354 23352	   	254.56	ACR|DCR|3VULN|1MLV	1MLV|2CGEN|368VULN|4aRCR|5AELOIC|7RCVC|9LIT
21	33631 33143	   	254.35	DCR|DCR|2MLV|1ASPD|1CDMG	14MLV|2CGEN|3CDMG|5ASPD|69RCR|7TBNT|8LHND|aDUR
22	33631 33243	   	254.35	DCR|DCR|2MLV|1ASPD|1CDMG	14MLV|2CGEN|3CDMG|5ASPD|69RCR|7TBNT|8LWND|aDUR
