0	Index      	 *	Score 	Summary	Detail	
1	33314 43243	 * 	281.41	DCR|DCR|2DMG|1VULN|1CDMG|1RPLT	1CGEN|2VULN|3DUST|4FEWX|59DMG|6aRCR|7RPLT|8CDMG
2	43522 26313	 * 	280.24	DCR|DCR|2VULN|1CDMG|1RPLT	17VULN|2CDMG|3DUR|4RMIN|5LWND|6aRCR|8RPLT|9AAC
3	13223 26313	   	271.94	DCR|DCR|2VULN|1CDMG|1RPLT	1LWND|2CDMG|3TLV|4LHND|57VULN|6aRCR|8RPLT|9AAC
4	13243 26313	   	271.94	DCR|DCR|2VULN|1CDMG|1RPLT	1LWND|2CDMG|3TLV|4FEWX|57VULN|6aRCR|8RPLT|9AAC
5	13341 26313	   	271.94	DCR|DCR|2VULN|1CDMG|1RPLT	1LWND|2CDMG|3CGEN|4FEWX|57VULN|6aRCR|8RPLT|9AAC
6	23262 26313	   	271.94	DCR|DCR|2VULN|1CDMG|1RPLT	1FEWX|2CDMG|3TLV|47VULN|5LWND|6aRCR|8RPLT|9AAC
7	25622 26313	   	271.94	DCR|DCR|2VULN|1CDMG|1RPLT	1FEWX|27VULN|3CDMG|4RMIN|5LWND|6aRCR|8RPLT|9AAC
8	41622 26313	   	271.94	DCR|DCR|2VULN|1CDMG|1RPLT	17VULN|2FEWX|3CDMG|4RMIN|5LWND|6aRCR|8RPLT|9AAC
9	43222 26313	   	271.94	DCR|DCR|2VULN|1CDMG|1RPLT	17VULN|2CDMG|3TLV|4LHND|5LWND|6aRCR|8RPLT|9AAC
10	43242 26313	   	271.94	DCR|DCR|2VULN|1CDMG|1RPLT	17VULN|2CDMG|3TLV|4FEWX|5LWND|6aRCR|8RPLT|9AAC
11	13121 26313	   	271.84	DCR|DCR|2VULN|1CDMG|1RPLT	1LWND|2CDMG|3ERES|4LHND|57VULN|6aRCR|8RPLT|9AAC
12	13141 26313	   	271.84	DCR|DCR|2VULN|1CDMG|1RPLT	1LWND|2CDMG|3ERES|4FEWX|57VULN|6aRCR|8RPLT|9AAC
13	13321 26313	   	271.84	DCR|DCR|2VULN|1CDMG|1RPLT	1LWND|2CDMG|3CGEN|4DUST|57VULN|6aRCR|8RPLT|9AAC
14	33314 45413	 * 	268.49	DCR|DCR|2VULN|1DMG	1CGEN|28VULN|3DUST|4FEWX|5DMG|6aRCR|7MBVNT|9AAC
15	55224 24334	   	268.49	DCR|DCR|2VULN|1DMG	1BBNT|2DMG|38VULN|4LIT|5MDPS|6MBVNT|7aRCR|9TBNT
16	55213 22233	 * 	266.52	DCR|2VULN|3DMG|2CDMG|1MLV	1BBNT|248DMG|38VULN|5MLV|6DUR|78CDMG|8BPWR|9RCR|aNUKE
17	33133 45453	   	266.31	DCR|DCR|2DMG|1VULN	1CGEN|2VULN|3LEGI|49DMG|5DUR|6aRCR|7MBVNT|8AAC
18	23263 23366	   	259.84	DCR|DCR|1VULN|1MLV|1CDMG	1FEWX|2CDMG|3TLV|4VULN|5DUR|6aRCR|7MLV|8ERES|9SNIFST
19	55213 22232	   	259.58	DCR|2VULN|3DMG|2CDMG|1MLV	1BBNT|248DMG|38VULN|5MLV|6DUR|78CDMG|8BPWR|9RCR|aLWND
20	55213 22235	   	259.58	DCR|2VULN|3DMG|2CDMG|1MLV	1BBNT|248DMG|38VULN|5MLV|6DUR|78CDMG|8BPWR|9RCR|aBELT
21	55213 22236	   	259.58	DCR|2VULN|3DMG|2CDMG|1MLV	1BBNT|248DMG|38VULN|5MLV|6DUR|78CDMG|8BPWR|9RCR|aBEXP
22	55213 22231	   	259.48	DCR|2VULN|3DMG|2CDMG|1MLV	1BBNT|248DMG|38VULN|5MLV|6DUR|78CDMG|8BPWR|9RCR|aAME
23	55213 22234	   	259.48	DCR|2VULN|3DMG|2CDMG|1MLV	1BBNT|248DMG|38VULN|5MLV|6DUR|78CDMG|8BPWR|9RCR|aERES
24	43533 36323	   	258.37	DCR|DCR|1VULN|2DUR|1CDMG|1RPLT|1ZMB	1VULN|2CDMG|35DUR|4ZMB|6ERES|7aRCR|8RPLT|9FEWX
25	43533 36313	   	258.27	DCR|DCR|1VULN|2DUR|1CDMG|1RPLT|1ZMB	1VULN|2CDMG|35DUR|4ZMB|6ERES|7aRCR|8RPLT|9LEGI
26	33535 52131	   	258.19	DCR|DCR|2VULN|1AART	1CGEN|25VULN|3RMIN|4ERES|6AART|7FRZARM|8aRCR|9BBNT
27	33163 52131	   	258.09	DCR|DCR|2VULN|1AART	1CGEN|24VULN|3LEGI|5RCVC|6AART|7CANSTR|8aRCR|9BBNT
28	31335 52131	   	257.99	DCR|DCR|2VULN|1AART	1CGEN|2AME|35VULN|4ERES|6AART|7VENFST|8aRCR|9BBNT
29	33235 52131	   	257.99	DCR|DCR|2VULN|1AART	1CGEN|25VULN|3AME|4ERES|6AART|7VENFST|8aRCR|9BBNT
30	33133 45413	   	255.27	DCR|DCR|1VULN|1DMG|2DUR	1CGEN|2VULN|3LEGI|4DMG|59DUR|6aRCR|7MBVNT|8AAC
31	33133 45513	   	255.27	DCR|DCR|1VULN|1DMG|2DUR	1CGEN|2VULN|3LEGI|4DMG|58DUR|6aRCR|7MBVNT|9AAC
32	33334 45413	   	255.27	DCR|DCR|1VULN|1DMG|2DUR	1CGEN|2VULN|3DUST|4DMG|59DUR|6aRCR|7MBVNT|8AAC
33	33133 45813	   	255.02	DCR|DCR|1VULN|1DMG|2DUR|1ZMB	1CGEN|2VULN|3LEGI|4DMG|59DUR|6aRCR|7MBVNT|8ZMB
34	31522 36332	   	253.42	DCR|DCR|1VULN|1CDMG|1AART|1RPLT	1CGEN|2AME|3RPLT|4RMIN|5LWND|6AART|79RCR|8VULN|aCDMG
35	33351 53243	 * 	252.45	ACR|DCR|1VULN|1DMG|1MLV|1CDMG|1RPLT	1CGEN|2VULN|3DUST|4aRCR|5BEXP|6MLV|7RPLT|8CDMG|9DMG
36	55213 13233	   	251.70	DCR|2VULN|3DMG|1MLV|1CDMG	1BBNT|248DMG|38VULN|5MLV|6CDMG|78DUST|8BPWR|9RCR|aNUKE
