0	Index      	 *	Score 	Summary	Detail	
1	23631 43411	 * 	285.00	DCR|DCR|4VULN	1345VULN|23BASHEA|3BPWR|6BASICY|7DMSP|8aRCR|9LIT
2	25223 24432	 * 	276.59	DCR|DCR|2VULN|2MLV|1ZMB	15VULN|2ZMB|39ERES|47MLV|6aRCR|8RCVC
3	26362 24123	 * 	270.88	DCR|3VULN|3DMG|1MLV|1ASPD	189VULN|289BEXP|3BBNT|4DUR|5ASPD|6RCR|789DMG|89BPWR|aMLV
4	16362 24123	   	270.88	DCR|3VULN|3DMG|1MLV|1ASPD	1TBNT|289FEWX|389VULN|4DUR|5ASPD|6RCR|789DMG|89BPWR|aMLV
5	13362 24123	   	270.58	DCR|3VULN|3DMG|1MLV|1ASPD	1TBNT|289DUST|389VULN|4DUR|5ASPD|6RCR|789DMG|89BPWR|aMLV
6	43362 24123	   	270.58	DCR|3VULN|3DMG|1MLV|1ASPD	1BBNT|289DUST|389VULN|4DUR|5ASPD|6RCR|789DMG|89BPWR|aMLV
7	12325 24123	 * 	270.17	DCR|4VULN|3DMG|3DUR|1ZMB	1TBNT|289DUR|389aVULN|4ZMB|5BEXP|6RCR|789DMG|89BPWR
8	42325 24123	 * 	270.17	DCR|4VULN|3DMG|3DUR|1ZMB	1BBNT|289DUR|389aVULN|4ZMB|5BEXP|6RCR|789DMG|89BPWR
9	12334 12323	   	262.71	DCR|3VULN|3DMG|1ASPD|1RPLT	1TBNT|2DUR|356VULN|459DMG|5BPWR|7RPLT|8ASPD|aRCR
10	42334 12323	   	262.71	DCR|3VULN|3DMG|1ASPD|1RPLT	1BBNT|2DUR|356VULN|459DMG|5BPWR|7RPLT|8ASPD|aRCR
11	25331 26342	   	261.18	DCR|DCR|2VULN|1MLV|1ZMB	13VULN|2ZMB|4MLV|5AAC|69RCR|7TBNT|8BEXP|aLWND
12	25231 22263	   	261.08	DCR|DCR|2VULN|1MLV|1ZMB	1aVULN|2ZMB|3ERES|4AAC|5LWND|69RCR|7FEWX|8MLV
13	25231 26263	   	261.08	DCR|DCR|2VULN|1MLV|1ZMB	1aVULN|2ZMB|3ERES|4AAC|5LWND|69RCR|7BEXP|8MLV
14	25331 26341	   	261.08	DCR|DCR|2VULN|1MLV|1ZMB	13VULN|2ZMB|4MLV|5AAC|69RCR|7TBNT|8BEXP|aDUST
15	25331 26343	   	261.08	DCR|DCR|2VULN|1MLV|1ZMB|1MSE	13VULN|2ZMB|4MLV|5AAC|69RCR|7TBNT|8BEXP|aMSE
16	26362 24122	   	259.89	DCR|3VULN|3DMG|2DUR|1ASPD	189VULN|289BEXP|3BBNT|4aDUR|5ASPD|6RCR|789DMG|89BPWR
17	16362 24122	   	259.89	DCR|3VULN|3DMG|2DUR|1ASPD	1TBNT|289FEWX|389VULN|4aDUR|5ASPD|6RCR|789DMG|89BPWR
18	13362 24122	   	259.59	DCR|3VULN|3DMG|2DUR|1ASPD	1TBNT|289DUST|389VULN|4aDUR|5ASPD|6RCR|789DMG|89BPWR
19	43362 24122	   	259.59	DCR|3VULN|3DMG|2DUR|1ASPD	1BBNT|289DUST|389VULN|4aDUR|5ASPD|6RCR|789DMG|89BPWR
20	12334 13141	 * 	259.12	DCR|4VULN|2DMG|2DUR|1AART	1TBNT|27DUR|356aVULN|45DMG|5BPWR|8RCR|9AART
21	42334 13141	   	259.12	DCR|4VULN|2DMG|2DUR|1AART	1BBNT|27DUR|356aVULN|45DMG|5BPWR|8RCR|9AART
22	25331 22463	 * 	256.64	DCR|3VULN|2DMG|2MLV|1ZMB	13aVULN|2ZMB|4aMLV|5AAC|6RCR|7AME|8DUR|9aDMG|aBPWR
23	25331 23463	 * 	256.64	DCR|3VULN|2DMG|2MLV|1ZMB	13aVULN|2ZMB|4aMLV|5AAC|6RCR|7ERES|8DUR|9aDMG|aBPWR
24	23335 61326	   	256.30	DCR|4VULN|1DMG|1MLV|1ASPD	147aVULN|2BASHEA|3DMG|5DUR|6ASPD|8RCR|9MLV
25	12334 13123	   	255.61	DCR|3VULN|3DMG|2DUR|1RPLT	1TBNT|27DUR|356VULN|459DMG|5BPWR|8RCR|aRPLT
26	42334 13123	   	255.61	DCR|3VULN|3DMG|2DUR|1RPLT	1BBNT|27DUR|356VULN|459DMG|5BPWR|8RCR|aRPLT
