0	Index      	 *	Score 	Summary	Detail	
1	34112 56233	 * 	263.28	DCR|DCR|2VULN|2DUR	15DUR|2AAC|3DUST|4LHND|6ERES|7aRCR|89VULN
2	36113 21633	   	263.04	DCR|DCR|2VULN|2DUR|1ZMB	17DUR|29VULN|3ERES|4LHND|5DUST|6ZMB|8aRCR
3	36223 21633	   	263.04	DCR|DCR|2VULN|2DUR|1ZMB	17DUR|29VULN|3LHND|4ERES|5DUST|6ZMB|8aRCR
4	15331 21415	   	261.29	DCR|DCR|1VULN|1MLV|1ASPD|1AART	1BASARM|2BBNT|3MLV|4AAC|5LHND|6AART|7ASPD|8VULN|9aRCR
5	34332 25633	   	256.73	DCR|DCR|2VULN	1DUR|2AAC|3LHND|4ERES|5DUST|6DMSP|79VULN|8aRCR
6	34332 26233	   	256.73	DCR|DCR|2VULN	1DUR|2AAC|3LHND|4ERES|5DUST|6DMSP|7aRCR|89VULN
7	34332 56233	   	256.73	DCR|DCR|2VULN	1DUR|26AAC|3LHND|4ERES|5DUST|7aRCR|89VULN
8	34113 56233	   	256.63	DCR|DCR|2VULN	1DUR|2AAC|35DUST|4LHND|6ERES|7aRCR|89VULN
9	34332 15633	   	256.63	DCR|DCR|2VULN	1DUR|2AAC|3LHND|46ERES|5DUST|79VULN|8aRCR
10	34332 16233	   	256.63	DCR|DCR|2VULN	1DUR|2AAC|3LHND|46ERES|5DUST|7aRCR|89VULN
11	36113 22633	   	256.39	DCR|DCR|2VULN|1ZMB	1DUR|29VULN|37ERES|4LHND|5DUST|6ZMB|8aRCR
12	36113 24633	   	256.39	DCR|DCR|2VULN|1ZMB	1DUR|29VULN|3ERES|4LHND|5DUST|6ZMB|7AELOIC|8aRCR
13	36113 26633	   	256.39	DCR|DCR|2VULN|1ZMB	1DUR|29VULN|3ERES|4LHND|57DUST|6ZMB|8aRCR
14	36223 22633	   	256.39	DCR|DCR|2VULN|1ZMB	1DUR|29VULN|3LHND|47ERES|5DUST|6ZMB|8aRCR
15	36223 24633	   	256.39	DCR|DCR|2VULN|1ZMB	1DUR|29VULN|3LHND|4ERES|5DUST|6ZMB|7AELOIC|8aRCR
16	36223 26633	   	256.39	DCR|DCR|2VULN|1ZMB	1DUR|29VULN|3LHND|4ERES|57DUST|6ZMB|8aRCR
17	36361 32141	 * 	255.68	DCR|4VULN|2ASPD|1MLV|1ZMB	1DUR|246aVULN|34ASPD|4BPWR|5LHND|7ZMB|8RCR|9MLV
18	34212 23321	 * 	255.00	DCR|3VULN|2DMG|3DUR|3ZMB	145DUR|2AAC|345ZMB|459BPWR|6RCR|79aVULN|89DMG
19	34212 21461	 * 	253.82	DCR|DCR|1VULN|3DUR|3ZMB|1SELL	145DUR|2AAC|345ZMB|45BPWR|69RCR|7SELL|8TBNT|aVULN
20	34212 21561	 * 	253.82	DCR|DCR|1VULN|3DUR|3ZMB|1SELL	145DUR|2AAC|345ZMB|45BPWR|69RCR|7SELL|8BBNT|aVULN
21	14331 42263	   	251.63	DCR|DCR|1VULN|1MLV|1CDMG	1BASARM|2CDMG|3TLV|4LWND|5BEXP|6BBNT|7aRCR|8MLV|9VULN
22	24131 42263	   	251.63	DCR|DCR|1VULN|1MLV|1CDMG	1CGEN|2CDMG|3SPLJET|4LWND|5BEXP|6BBNT|7aRCR|8MLV|9VULN
23	36336 33263	 * 	251.18	DCR|2VULN|2MLV|2ASPD|2DUR|1RPLT	19DUR|25VULN|39ASPD|4TBNT|6RCR|7RPLT|89MLV|9BPWR|aNUKE
24	36336 31235	 * 	250.59	DCR|3VULN|2MLV|3DUR|1ASPD	18aDUR|25aVULN|3ASPD|4TBNT|6RCR|7TLV|9aMLV|aBPWR
25	53431 62132	 * 	250.07	DCR|DCR|1VULN|1DMG|1AART	1FRZICY|2AART|3DMG|4AAC|5VULN|6LWND|7BLAICY|8aRCR|9SPLARM
26	13431 62132	   	249.97	DCR|DCR|1VULN|1DMG|1AART	1BASARM|2AART|3DMG|4AAC|5VULN|6LWND|7BLAICY|8aRCR|9SPLARM
27	36336 33261	 * 	249.24	DCR|2VULN|2MLV|2ASPD|3DUR|1RPLT	19aDUR|25VULN|39ASPD|4TBNT|6RCR|7RPLT|89MLV|9BPWR
28	15225 13614	   	248.72	DCR|DCR|1VULN|1DMG	1BASARM|2BBNT|3MBVNT|4DMG|5TBNT|6DUR|7VULN|8aRCR|9RMIN
29	15225 13624	   	248.62	DCR|DCR|1VULN|1DMG	1BASARM|2BBNT|3MBVNT|4DMG|5TBNT|6DUR|7VULN|8aRCR|9ERES
30	51324 12161	   	248.53	DCR|DCR|2VULN	1FRZICY|2FEWX|3RCVC|4SPLREG|5CGEN|67RCR|8BEXP|9aVULN
31	11324 12161	   	248.43	DCR|DCR|2VULN	1BASARM|2FEWX|3RCVC|4SPLREG|5CGEN|67RCR|8BEXP|9aVULN
32	43122 25633	   	248.43	DCR|DCR|2VULN	1LHND|2LWND|3ERES|4AAC|5DUST|6DMSP|79VULN|8aRCR
33	44132 36233	   	248.33	DCR|DCR|2VULN	1LHND|2AAC|35DUST|4ERES|6FEWX|7aRCR|89VULN
34	44133 36233	   	248.33	DCR|DCR|2VULN	1LHND|2AAC|3DUST|45ERES|6FEWX|7aRCR|89VULN
35	44332 26233	   	248.33	DCR|DCR|2VULN	1LHND|2AAC|3LEGI|4ERES|5DUST|6DMSP|7aRCR|89VULN
36	43122 15633	   	248.33	DCR|DCR|2VULN	1LHND|2LWND|36ERES|4AAC|5DUST|79VULN|8aRCR
37	44332 16233	   	248.23	DCR|DCR|2VULN	1LHND|2AAC|3LEGI|46ERES|5DUST|7aRCR|89VULN
38	36361 32115	 * 	247.81	DCR|4VULN|2ASPD|1AART|1ZMB	1DUR|2469VULN|34ASPD|4BPWR|5LHND|7ZMB|8RCR|aAART
39	36336 33226	   	246.54	DCR|3VULN|1MLV|1ASPD|1CDMG|1RPLT	1DUR|25aVULN|3ASPD|4TBNT|6RCR|7RPLT|8MLV|9CDMG
40	34212 23323	   	245.19	DCR|2VULN|2DMG|3DUR|1CDMG|3ZMB	145DUR|2AAC|345ZMB|459BPWR|6RCR|79VULN|89DMG|aCDMG
41	34212 23325	   	245.19	DCR|2VULN|2DMG|3DUR|1ASPD|3ZMB	145DUR|2AAC|345ZMB|459BPWR|6RCR|79VULN|89DMG|aASPD
42	36362 22115	 * 	245.10	DCR|3VULN|2ASPD|1MLV|1AART|1ZMB	1DUR|249VULN|34ASPD|4BPWR|5MLV|6AME|7ZMB|8RCR|aAART
