0	Index      	 *	Score 	Summary	Detail	
1	33345 45422	 * 	279.71	DCR|DCR|2VULN|1MLV|1CDMG	1TBNT|2CGEN|3LWND|4MBVNT|5CDMG|68RCR|79VULN|aMLV
2	61521 16333	   	274.37	DCR|DCR|2VULN|1MLV	13AELOIC|23VULN|3BPWR|4BBNT|5FEWX|6MLV|7aRCR|8LIT|9DUR
3	61533 16333	   	274.27	DCR|DCR|2VULN|1MLV	13AELOIC|23VULN|3BPWR|4DUST|5TBNT|6MLV|7aRCR|8LIT|9DUR
4	33345 45424	   	271.84	DCR|DCR|2VULN|1CDMG|1RPLT	1TBNT|2CGEN|3LWND|4MBVNT|5CDMG|68RCR|79VULN|aRPLT
5	61161 21133	 * 	268.92	ACR|DCR|3VULN|1MLV	1AELOIC|28aVULN|36RCR|4RMIN|5FEWX|7MLV|9DUR
6	62161 12123	 * 	267.81	DCR|DCR|1VULN|1DMG|1ASPD|1CDMG	1AELOIC|2ASPD|3DMSP|4LHND|5VULN|6aRCR|7BELT|8CDMG|9DMG
7	62632 12123	   	267.81	DCR|DCR|1VULN|1DMG|1ASPD|1CDMG	1AELOIC|2ASPD|3TLV|4VULN|5CGEN|6aRCR|7BELT|8CDMG|9DMG
8	61132 62313	 * 	266.99	ACR|DCR|2VULN|1DMG|1ASPD|1CDMG	1AELOIC|26VULN|3aRCR|4DMG|5LHND|7BELT|8ASPD|9CDMG
9	61521 16323	   	266.06	DCR|DCR|2VULN|1MLV	13AELOIC|23VULN|3BPWR|4BBNT|5FEWX|6MLV|7aRCR|8LIT|9BEXP
10	61533 16323	   	265.96	DCR|DCR|2VULN|1MLV	13AELOIC|23VULN|3BPWR|4DUST|5TBNT|6MLV|7aRCR|8LIT|9BEXP
11	23523 55213	   	265.86	ACR|DCR|2VULN|1MLV|2DUR|1CDMG	19RCR|28LIT|38VULN|4LWND|5LEGI|6MLV|78DUR|8BPWR|aCDMG
12	21312 21225	   	264.56	ACR|DCR|2VULN|1MLV|1ASPD|1CDMG	16RCR|2CGEN|35LHND|4aVULN|7MLV|8ASPD|9CDMG
13	33345 45421	   	262.08	DCR|DCR|2VULN|1CDMG|1MSE	1TBNT|2CGEN|3LWND|4MBVNT|5CDMG|68RCR|79VULN|aMSE
14	33345 45423	   	262.08	DCR|DCR|2VULN|1CDMG	1TBNT|2CGEN|3LWND|4MBVNT|5CDMG|68RCR|79VULN|aMDPS
15	33145 45431	   	259.94	DCR|DCR|1VULN|1MLV|1CDMG	1TBNT|2CGEN|3DUR|4MBVNT|5CDMG|68RCR|7VULN|9MLV|aRMIN
16	33145 45434	   	259.94	DCR|DCR|1VULN|1MLV|1CDMG	1TBNT|2CGEN|3DUR|4MBVNT|5CDMG|68RCR|7VULN|9MLV|aAAC
17	33145 45432	   	259.84	DCR|DCR|1VULN|1MLV|1CDMG|1ZMB	1TBNT|2CGEN|3DUR|4MBVNT|5CDMG|68RCR|7VULN|9MLV|aZMB
18	33145 45433	   	259.84	DCR|DCR|1VULN|1MLV|1CDMG	1TBNT|2CGEN|3DUR|4MBVNT|5CDMG|68RCR|7VULN|9MLV|aERES
19	21213 32643	   	258.14	ACR|DCR|3VULN|2DUR	19RCR|2CGEN|36DUR|46aVULN|5BBNT|6BPWR|7FRZARM|8LWND
20	26622 13243	   	258.04	ACR|DCR|3VULN|2DUR	19RCR|2BBNT|3VENTOX|46DUR|56aVULN|6BPWR|7LWND|8CGEN
21	24212 21151	   	257.32	ACR|DCR|2VULN|1DMG|1MLV	16RCR|2RMIN|3LHND|48VULN|5DMSP|7MLV|9DMG|aBELT
22	24212 21153	   	257.32	ACR|DCR|2VULN|1DMG|1MLV	16RCR|2RMIN|3LHND|48VULN|5aDMSP|7MLV|9DMG
23	24212 21156	   	257.32	ACR|DCR|2VULN|1DMG|1MLV	16RCR|2RMIN|3LHND|48VULN|5DMSP|7MLV|9DMG|aFEWX
24	24215 21151	   	257.32	ACR|DCR|2VULN|1DMG|1MLV	16RCR|25RMIN|3LHND|48VULN|7MLV|9DMG|aBELT
25	24215 21153	   	257.32	ACR|DCR|2VULN|1DMG|1MLV	16RCR|25RMIN|3LHND|48VULN|7MLV|9DMG|aDMSP
26	61161 21151	   	257.22	ACR|DCR|2VULN|1DMG|1MLV	1AELOIC|28VULN|36RCR|4RMIN|5FEWX|7MLV|9DMG|aRCVC
27	61161 21152	   	257.22	ACR|DCR|2VULN|1DMG|1MLV	1AELOIC|28VULN|36RCR|4RMIN|5FEWX|7MLV|9DMG|aBBNT
28	61161 21153	   	257.22	ACR|DCR|2VULN|1DMG|1MLV	1AELOIC|28VULN|36RCR|4RMIN|5FEWX|7MLV|9DMG|aLSRICY
29	61162 21151	   	257.22	ACR|DCR|2VULN|1DMG|1MLV	1AELOIC|28VULN|36RCR|4RMIN|5LHND|7MLV|9DMG|aBELT
30	61162 21153	   	257.22	ACR|DCR|2VULN|1DMG|1MLV	1AELOIC|28VULN|36RCR|4RMIN|5LHND|7MLV|9DMG|aDMSP
31	24212 21152	   	257.22	ACR|DCR|2VULN|1DMG|1MLV	16RCR|2RMIN|3LHND|48VULN|5DMSP|7MLV|9DMG|aSNIFST
32	24212 21154	   	257.22	ACR|DCR|2VULN|1DMG|1MLV|1MSE	16RCR|2RMIN|3LHND|48VULN|5DMSP|7MLV|9DMG|aMSE
33	24212 21155	   	257.22	ACR|DCR|2VULN|1DMG|1MLV|1ZMB	16RCR|2RMIN|3LHND|48VULN|5DMSP|7MLV|9DMG|aZMB
34	24215 21152	   	257.22	ACR|DCR|2VULN|1DMG|1MLV	16RCR|25RMIN|3LHND|48VULN|7MLV|9DMG|aSNIFST
35	12164 21151	   	257.12	ACR|DCR|2VULN|1DMG|1MLV	12DUST|36RCR|4RMIN|58VULN|7MLV|9DMG|aRCVC
36	12164 21152	   	257.12	ACR|DCR|2VULN|1DMG|1MLV	12DUST|36RCR|4RMIN|58VULN|7MLV|9DMG|aBBNT
37	12164 21153	   	257.12	ACR|DCR|2VULN|1DMG|1MLV	12DUST|36RCR|4RMIN|58VULN|7MLV|9DMG|aLSRICY
38	61115 21151	   	257.12	ACR|DCR|2VULN|1DMG|1MLV	1AELOIC|28VULN|36RCR|4DUST|5RMIN|7MLV|9DMG|aRCVC
39	61115 21152	   	257.12	ACR|DCR|2VULN|1DMG|1MLV	1AELOIC|28VULN|36RCR|4DUST|5RMIN|7MLV|9DMG|aBBNT
40	61115 21153	   	257.12	ACR|DCR|2VULN|1DMG|1MLV	1AELOIC|28VULN|36RCR|4DUST|5RMIN|7MLV|9DMG|aLSRICY
41	61162 21152	   	257.12	ACR|DCR|2VULN|1DMG|1MLV	1AELOIC|28VULN|36RCR|4RMIN|5LHND|7MLV|9DMG|aSNIFST
42	21312 26525	   	256.84	ACR|DCR|3VULN|1CDMG	16RCR|2CGEN|35LHND|48aVULN|7LWND|9CDMG
43	61523 22433	   	256.83	DCR|DCR|2VULN	13AELOIC|23VULN|3BPWR|4BBNT|5TLV|6LIT|7LWND|8aRCR|9DUR
44	61523 23433	   	256.83	DCR|DCR|2VULN	13AELOIC|23VULN|3BPWR|4BBNT|5TLV|6LIT|7FEWX|8aRCR|9DUR
45	61523 35323	   	256.83	DCR|DCR|2VULN	13AELOIC|23VULN|3BPWR|4BBNT|5TLV|6aRCR|7DUR|8LIT|9BEXP
46	61532 26333	   	256.73	DCR|DCR|2VULN	13AELOIC|23VULN|3BPWR|4DUST|5CGEN|6BBNT|7aRCR|8LIT|9DUR
47	13322 25643	   	256.63	DCR|DCR|2VULN	1DUST|2MGNSTR|3aVULN|4ERES|5DMSP|69RCR|7DUR|8TBNT
48	24434 12313	   	256.44	ACR|DCR|1VULN|1DMG|1MLV|1ASPD|1CDMG	1aRCR|2RMIN|3MLV|4DMG|5VULN|6AELOIC|7BELT|8ASPD|9CDMG
49	61133 12313	   	256.44	ACR|DCR|1VULN|1DMG|1MLV|1ASPD|1CDMG	1AELOIC|2VULN|3aRCR|4DMG|5RMIN|6MLV|7BELT|8ASPD|9CDMG
50	33145 45421	   	256.06	DCR|DCR|1VULN|1ASPD|1CDMG	1TBNT|2CGEN|3DUR|4MBVNT|5CDMG|68RCR|7VULN|9ASPD|aRMIN
51	33145 45424	   	256.06	DCR|DCR|1VULN|1ASPD|1CDMG	1TBNT|2CGEN|3DUR|4MBVNT|5CDMG|68RCR|7VULN|9ASPD|aAAC
52	33145 45422	   	255.96	DCR|DCR|1VULN|1ASPD|1CDMG|1ZMB	1TBNT|2CGEN|3DUR|4MBVNT|5CDMG|68RCR|7VULN|9ASPD|aZMB
53	33145 45423	   	255.96	DCR|DCR|1VULN|1ASPD|1CDMG	1TBNT|2CGEN|3DUR|4MBVNT|5CDMG|68RCR|7VULN|9ASPD|aERES
54	36423 22421	   	255.95	DCR|DCR|1VULN|1MLV|1RPLT	1TBNT|2DUST|3VULN|4MLV|5BBNT|6DUR|78RCR|9RPLT|aRMIN
55	36423 22422	   	255.95	DCR|DCR|1VULN|1MLV|1RPLT	1TBNT|2DUST|3VULN|4MLV|5BBNT|6DUR|78RCR|9RPLT|aFEWX
56	36423 22412	   	255.85	DCR|DCR|1VULN|1MLV|1AART	1TBNT|2DUST|3VULN|4MLV|5BBNT|6DUR|78RCR|9LSRHEA|aAART
