0	Index      	 *	Score 	Summary	Detail	
1	11233 81468	 * 	271.89	DCR|DCR|3VULN	1LIT|238VULN|4LWND|5MBVNT|6aRCR|7BEXP|9MDPS
2	13323 31778	 * 	271.50	DCR|DCR|1VULN|1DMG|1MLV|1CDMG	1LIT|2DUST|3CDMG|4MBVNT|5MDPS|6DMG|7VULN|8MLV|9aRCR
3	23323 31778	   	271.50	DCR|DCR|1VULN|1DMG|1MLV|1CDMG	1DUST|2LIT|3CDMG|4MBVNT|5MDPS|6DMG|7VULN|8MLV|9aRCR
4	51231 33553	 * 	263.53	ACR|DCR|4VULN	17TLV|2LIT|3679VULN|4aRCR|57BEXP|7BPWR|8BELT
5	14231 33553	   	263.43	ACR|DCR|4VULN	17LIT|2AME|3679VULN|4aRCR|57BEXP|7BPWR|8BELT
6	33312 53163	   	262.28	DCR|DCR|2VULN|1CDMG	1LHND|2LIT|3CDMG|4FEWX|5BEXP|69RCR|7CGEN|8aVULN
7	42133 26213	 * 	259.75	ACR|DCR|2VULN|1DMG|2CDMG	12CDMG|38VULN|4aRCR|5TLV|6FEWX|7DMG|9TBNT
8	42132 26213	   	259.65	ACR|DCR|2VULN|1DMG|2CDMG	12CDMG|38VULN|4aRCR|5AME|6FEWX|7DMG|9TBNT
9	42135 26213	   	259.65	ACR|DCR|2VULN|2CDMG|1DMG	12CDMG|38VULN|4aRCR|5ERES|6FEWX|7DMG|9TBNT
10	42131 66213	   	256.97	ACR|DCR|2VULN|2CDMG|1MLV|1ZMB	12CDMG|36VULN|4aRCR|5ZMB|7MLV|8LHND|9TBNT
11	42162 63333	   	256.97	ACR|DCR|2VULN|2CDMG|1MLV|1ZMB	12CDMG|34VULN|5aRCR|6BBNT|7ZMB|8MLV|9LHND
12	42131 66313	   	256.87	ACR|DCR|2VULN|2CDMG|1MLV|1ZMB	12CDMG|36VULN|4aRCR|5ZMB|7MLV|8LEGI|9TBNT
13	42162 63313	   	256.87	ACR|DCR|2VULN|2CDMG|1MLV|1ZMB	12CDMG|34VULN|5aRCR|6BBNT|7ZMB|8MLV|9DUST
14	11132 13116	   	256.74	ACR|DCR|3VULN|1ASPD	1LIT|267VULN|3CGEN|49RCR|5TLV|8SPLREG|aASPD
15	11132 13216	   	256.74	ACR|DCR|3VULN|1ASPD	1LIT|267VULN|3CGEN|49RCR|5TLV|8LSRHEA|aASPD
16	11233 84738	   	256.73	DCR|DCR|2VULN	1LIT|23VULN|4LWND|5MBVNT|6aRCR|7DUR|8CGEN|9DUST
17	61232 13116	   	256.64	ACR|DCR|3VULN|1ASPD	1ERES|2LIT|367VULN|49RCR|5TLV|8SPLREG|aASPD
18	61232 13216	   	256.64	ACR|DCR|3VULN|1ASPD	1ERES|2LIT|367VULN|49RCR|5TLV|8LSRHEA|aASPD
19	11233 84538	   	256.63	DCR|DCR|2VULN	1LIT|23VULN|4LWND|5MBVNT|6aRCR|7DUR|8ERES|9DUST
20	11233 84638	   	256.63	DCR|DCR|2VULN	1LIT|23VULN|4LWND|5MBVNT|6aRCR|7DUR|8AME|9DUST
21	23321 13738	 * 	254.06	DCR|DCR|1VULN|2CDMG|1ASPD	1DUST|25LIT|35CDMG|4MBVNT|5BPWR|6ASPD|7AAC|8VULN|9aRCR
22	13321 13738	   	253.96	DCR|DCR|1VULN|2CDMG|1ASPD	1LIT|25DUST|35CDMG|4MBVNT|5BPWR|6ASPD|7AAC|8VULN|9aRCR
23	13323 32578	   	253.96	DCR|DCR|1VULN|1DMG|1CDMG	1LIT|2DUST|3CDMG|4MBVNT|5MDPS|6DMG|7TLV|8VULN|9aRCR
24	23323 32578	   	253.96	DCR|DCR|1VULN|1DMG|1CDMG	1DUST|2LIT|3CDMG|4MBVNT|5MDPS|6DMG|7TLV|8VULN|9aRCR
25	45133 26213	   	253.34	ACR|DCR|2VULN|1DMG|1CDMG	1CDMG|2AELOIC|38VULN|4aRCR|5TLV|6FEWX|7DMG|9TBNT
26	42133 63313	   	253.24	ACR|DCR|2VULN|2CDMG|1ASPD	12CDMG|36VULN|4aRCR|5TLV|7DUST|8ASPD|9TBNT
27	42162 33313	   	253.24	ACR|DCR|2VULN|2CDMG|1ASPD	12CDMG|34VULN|5aRCR|6BEXP|7ERES|8ASPD|9TBNT
28	42162 34313	   	253.24	ACR|DCR|2VULN|2CDMG|1ASPD	12CDMG|34VULN|5aRCR|6BEXP|7AME|8ASPD|9TBNT
29	45132 26213	   	253.24	ACR|DCR|2VULN|1DMG|1CDMG	1CDMG|2AELOIC|38VULN|4aRCR|5AME|6FEWX|7DMG|9TBNT
30	42132 63313	   	253.14	ACR|DCR|2VULN|2CDMG|1ASPD	12CDMG|36VULN|4aRCR|5AME|7DUST|8ASPD|9TBNT
31	42135 63313	   	253.14	ACR|DCR|2VULN|2CDMG|1ASPD	12CDMG|36VULN|4aRCR|5ERES|7DUST|8ASPD|9TBNT
32	42162 53313	   	253.14	ACR|DCR|2VULN|2CDMG|1ASPD	12CDMG|34VULN|5aRCR|6ERES|7DUST|8ASPD|9TBNT
33	42131 63326	   	253.09	ACR|DCR|2VULN|2CDMG|1ASPD|1ZMB	12CDMG|36VULN|4aRCR|5ZMB|7FEWX|8ASPD|9LHND
34	65322 52233	   	252.59	ACR|DCR|2VULN|1CDMG|1AART|1RPLT	1ERES|2CDMG|3CGEN|4RCVC|57RCR|6AART|8aVULN|9RPLT
35	26244 23375	   	251.87	DCR|DCR|1VULN|1CDMG|1AART	1DUST|2AART|3MBVNT|4LEGI|5DUR|6BELT|7CDMG|8aRCR|9VULN
36	26245 23345	   	251.87	DCR|DCR|1VULN|1CDMG|1AART	1DUST|2AART|3MBVNT|4LEGI|5VULN|6BELT|7CDMG|8aRCR|9DUR
37	42111 34262	 * 	250.86	DCR|3VULN|1DMG|2CDMG|1MLV|1RPLT	12CDMG|38aVULN|4RPLT|5NUKE|6MLV|7RCR|9DMG
38	16113 22241	   	250.17	DCR|DCR|1VULN|1DMG|1AART	1LIT|2BBNT|3DMG|46BEXP|5AART|7BASARM|89RCR|aVULN
39	16113 52241	   	250.07	DCR|DCR|1VULN|1DMG|1AART	1LIT|2BBNT|3DMG|4BEXP|5AART|6AELOIC|7BASARM|89RCR|aVULN
40	11231 32653	   	248.63	DCR|DCR|2VULN	1LIT|23VULN|47LWND|5TBNT|6BELT|8aRCR|9RCVC
41	11231 33613	   	248.63	DCR|DCR|2VULN	1LIT|23VULN|49LWND|5TBNT|6BELT|7DMSP|8aRCR
42	11231 33653	   	248.63	DCR|DCR|2VULN	1LIT|23VULN|4LWND|5TBNT|6BELT|7DMSP|8aRCR|9RCVC
43	11231 34613	   	248.63	DCR|DCR|2VULN	17LIT|23VULN|49LWND|5TBNT|6BELT|8aRCR
44	11231 34653	   	248.63	DCR|DCR|2VULN	17LIT|23VULN|4LWND|5TBNT|6BELT|8aRCR|9RCVC
45	11234 32653	   	248.63	DCR|DCR|2VULN	1LIT|23VULN|47LWND|5BBNT|6BELT|8aRCR|9RCVC
46	11234 33613	   	248.63	DCR|DCR|2VULN	1LIT|23VULN|49LWND|5BBNT|6BELT|7DMSP|8aRCR
47	11234 33653	   	248.63	DCR|DCR|2VULN	1LIT|23VULN|4LWND|5BBNT|6BELT|7DMSP|8aRCR|9RCVC
48	11234 34613	   	248.63	DCR|DCR|2VULN	17LIT|23VULN|49LWND|5BBNT|6BELT|8aRCR
49	33624 61428	   	248.43	DCR|DCR|2VULN	18LHND|2LIT|3MBVNT|49VULN|5MDPS|6aRCR|7BEXP
50	11233 81738	   	248.43	DCR|DCR|2VULN	1LIT|23VULN|4LWND|5MBVNT|6aRCR|7BEXP|8CGEN|9DUST
51	11323 81468	   	248.33	DCR|DCR|2VULN	1LIT|28VULN|3LHND|4AELOIC|5MBVNT|6aRCR|7BEXP|9MDPS
52	33223 81468	   	248.33	DCR|DCR|2VULN	1LHND|2LIT|38VULN|4AELOIC|5MBVNT|6aRCR|7BEXP|9MDPS
53	11233 81538	   	248.33	DCR|DCR|2VULN	1LIT|23VULN|4LWND|5MBVNT|6aRCR|7BEXP|8ERES|9DUST
54	11233 81638	   	248.33	DCR|DCR|2VULN	1LIT|23VULN|4LWND|5MBVNT|6aRCR|7BEXP|8AME|9DUST
55	11233 85438	   	248.33	DCR|DCR|2VULN	1LIT|23VULN|4LWND|5MBVNT|6aRCR|7AME|8FEWX|9DUST
56	12323 56163	   	248.28	DCR|DCR|2VULN|1SELL	1LIT|2SELL|3FEWX|4BEXP|5DUST|69RCR|7CGEN|8aVULN
57	12323 53163	   	248.18	DCR|DCR|2VULN|1SELL	1LIT|2SELL|3FEWX|4BEXP|5DUST|69RCR|7ERES|8aVULN
58	13327 13738	   	247.65	DCR|DCR|1VULN|1ASPD|1CDMG	1LIT|2DUST|3CDMG|4MBVNT|5RCVC|6ASPD|7AAC|8VULN|9aRCR
59	13328 13738	   	247.65	DCR|DCR|1VULN|1ASPD|1CDMG	15LIT|2DUST|3CDMG|4MBVNT|6ASPD|7AAC|8VULN|9aRCR
60	23327 13738	   	247.65	DCR|DCR|1VULN|1ASPD|1CDMG	1DUST|2LIT|3CDMG|4MBVNT|5RCVC|6ASPD|7AAC|8VULN|9aRCR
61	23328 13738	   	247.65	DCR|DCR|1VULN|1ASPD|1CDMG	1DUST|25LIT|3CDMG|4MBVNT|6ASPD|7AAC|8VULN|9aRCR
62	33323 32578	   	247.65	DCR|DCR|1VULN|1ASPD|1CDMG	1LHND|2LIT|3CDMG|4MBVNT|5MDPS|6ASPD|7TLV|8VULN|9aRCR
63	42114 41222	   	247.08	DCR|3VULN|1DMG|2CDMG|1ASPD|1RPLT	12CDMG|38aVULN|4RPLT|5AAC|6RCR|7DMG|9ASPD
