0	Index      	 *	Score 	Summary	Detail	
1	54581 14441	 * 	268.59	DCR|DCR|2VULN|1DMG	1MBVNT|2LHND|3DMSP|4LIT|59VULN|6DMG|7aRCR|8RCVC
2	35132 15216	   	267.95	DCR|DCR|2VULN|1AART|1RPLT	1FEWX|2AART|3aVULN|4CGEN|5TLV|6RPLT|78RCR|9BEXP
3	15132 15216	   	267.85	DCR|DCR|2VULN|1AART|1RPLT	1DUST|2AART|3aVULN|4CGEN|5TLV|6RPLT|78RCR|9BEXP
4	35132 15234	   	267.17	DCR|DCR|1VULN|1ASPD|1CDMG|1AART|1RPLT	1FEWX|2AART|3VULN|4CGEN|5TLV|6RPLT|78RCR|9CDMG|aASPD
5	15132 15234	   	267.07	DCR|DCR|1VULN|1ASPD|1CDMG|1AART|1RPLT	1DUST|2AART|3VULN|4CGEN|5TLV|6RPLT|78RCR|9CDMG|aASPD
6	54371 37121	   	266.29	DCR|DCR|2VULN|1RPLT	1MBVNT|2LHND|3RPLT|46VENFST|56VULN|6BPWR|79RCR|8MDPS|aDUR
7	54371 38321	   	266.29	DCR|DCR|2VULN|1RPLT	1MBVNT|2LHND|3RPLT|46VENFST|56VULN|6BPWR|7MDPS|89RCR|aDUR
8	52311 16284	   	261.83	DCR|DCR|2VULN|1ASPD|1ZMB	1MBVNT|2ZMB|37VULN|4BEXP|5ASPD|6LHND|8LEGI|9aRCR
9	52411 36284	   	261.83	DCR|DCR|2VULN|1ASPD|1ZMB	1MBVNT|2ZMB|3LWND|4BEXP|5ASPD|67VULN|8LEGI|9aRCR
10	15132 15223	   	259.83	DCR|DCR|1VULN|1DMG|1AART|1RPLT	1DUST|2AART|3VULN|4CGEN|5TLV|6RPLT|78RCR|9BELT|aDMG
11	35132 15232	   	258.72	DCR|DCR|1VULN|2RPLT|1CDMG|1AART	1FEWX|2AART|3VULN|4CGEN|5TLV|6aRPLT|78RCR|9CDMG
12	15132 15232	   	258.62	DCR|DCR|1VULN|2RPLT|1CDMG|1AART	1DUST|2AART|3VULN|4CGEN|5TLV|6aRPLT|78RCR|9CDMG
13	35135 15232	   	258.62	DCR|DCR|1VULN|2RPLT|1CDMG|1AART	1FEWX|2AART|3VULN|4CGEN|5AME|6aRPLT|78RCR|9CDMG
14	54371 37122	   	257.99	DCR|DCR|2VULN|1RPLT	1MBVNT|2LHND|3RPLT|46VENFST|56VULN|6BPWR|79RCR|8MDPS|aRMIN
15	54371 37124	   	257.99	DCR|DCR|2VULN|1RPLT	1MBVNT|2LHND|3RPLT|46VENFST|56VULN|6BPWR|79RCR|8MDPS|aCGEN
16	54371 38322	   	257.99	DCR|DCR|2VULN|1RPLT	1MBVNT|2LHND|3RPLT|46VENFST|56VULN|6BPWR|7MDPS|89RCR|aRMIN
17	54371 38324	   	257.99	DCR|DCR|2VULN|1RPLT	1MBVNT|2LHND|3RPLT|46VENFST|56VULN|6BPWR|7MDPS|89RCR|aCGEN
18	54371 37123	   	257.89	DCR|DCR|2VULN|1RPLT	1MBVNT|2LHND|3RPLT|46VENFST|56VULN|6BPWR|79RCR|8MDPS|aERES
19	54371 38323	   	257.89	DCR|DCR|2VULN|1RPLT	1MBVNT|2LHND|3RPLT|46VENFST|56VULN|6BPWR|7MDPS|89RCR|aERES
