0	Index      	 *	Score 	Summary	Detail	
1	31152 32417	 * 	277.37	DCR|DCR|1VULN|1DMG|1MLV|1AART|1RPLT	1FEWX|2VULN|3TBNT|4MBVNT|5AART|6aRCR|7DMG|8MLV|9RPLT
2	31233 14616	 * 	271.99	DCR|DCR|3VULN	13FEWX|234VULN|3BPWR|5TLV|6MBVNT|7AIRHEA|8LIT|9aRCR
3	31236 14616	   	271.99	DCR|DCR|3VULN	13FEWX|234VULN|3BPWR|5CGEN|6MBVNT|7AIRHEA|8LIT|9aRCR
4	62112 33415	 * 	271.75	DCR|DCR|2DMG|1VULN|1ASPD	1LWND|24DMG|3ASPD|5RMIN|6LIT|7VULN|8LSRREG|9aRCR
5	21323 63242	 * 	270.97	DCR|4VULN|2DMG|2CDMG|1AART|2ZMB	1AART|29CDMG|3RMIN|46DMG|5689VULN|69BPWR|79ZMB|aRCR
6	53334 24244	   	270.38	DCR|DCR|2VULN|1CDMG	1DUR|2TBNT|3MBVNT|4DUST|5CDMG|69RCR|7aVULN|8BEXP
7	31213 42515	 * 	268.69	DCR|DCR|2VULN|1DMG	13FEWX|23VULN|3BPWR|4DMG|5AAC|6BASARM|7CGEN|8LIT|9aRCR
8	31221 62515	   	268.69	DCR|DCR|2VULN|1DMG	13FEWX|23VULN|3BPWR|4FLTFST|5AAC|6DMG|7CGEN|8LIT|9aRCR
9	21321 63162	 * 	268.66	DCR|2VULN|2DMG|2MLV|2CDMG|2AART	19AART|28CDMG|3RMIN|46DMG|58MLV|78VULN|8BPWR|aRCR
10	31554 44541	   	268.49	DCR|DCR|2VULN|1DMG	1FEWX|26VULN|3MDPS|4MBVNT|5LIT|7DMG|8AAC|9aRCR
11	21323 63262	 * 	264.70	DCR|4VULN|2DMG|1CDMG|1AART|1ZMB	1AART|2CDMG|3RMIN|46DMG|5689VULN|6BPWR|7ZMB|aRCR
12	51221 23315	   	263.24	DCR|DCR|2VULN|2DUR|1ZMB	13DUR|23VULN|3BPWR|4FLTFST|5AAC|6LIT|7RMIN|8ZMB|9aRCR
13	51261 23315	   	263.24	DCR|DCR|2VULN|2DUR|1ZMB	13DUR|23VULN|3BPWR|4TSLARM|5AAC|6LIT|7RMIN|8ZMB|9aRCR
14	51221 24315	   	263.14	DCR|DCR|2VULN|2DUR|1ZMB	13DUR|23VULN|3BPWR|4FLTFST|5AAC|6LIT|7ERES|8ZMB|9aRCR
15	13411 21211	 * 	263.01	DCR|DCR|1VULN|2MLV|1AART|1SELL	1SELL|2CGEN|3VULN|45MLV|6MGNSTR|7RMIN|8aRCR|9AART
16	13411 26211	 * 	263.01	DCR|DCR|1VULN|2MLV|1AART|1SELL	1SELL|2CGEN|3VULN|45MLV|6MGNSTR|7TLV|8aRCR|9AART
17	44314 24244	   	261.98	DCR|DCR|2VULN|1CDMG	1LEGI|2DUST|3MBVNT|4BBNT|5CDMG|69RCR|7aVULN|8BEXP
18	52124 11163	 * 	259.82	DCR|3VULN|2ASPD|1DMG|2DUR|2RPLT	1aDUR|2DMG|3aASPD|4TBNT|56aVULN|78RPLT|9RCR|aBPWR
19	31152 32117	   	259.73	DCR|DCR|1VULN|1DMG|1AART|1RPLT	1FEWX|2VULN|3TBNT|4MBVNT|5AART|6aRCR|7DMG|8ERES|9RPLT
20	21323 64162	 * 	259.08	DCR|3VULN|2DMG|2CDMG|2AART	19AART|28CDMG|3RMIN|46DMG|568VULN|68BPWR|78CGEN|aRCR
21	33362 13378	   	258.29	DCR|DCR|2VULN|1RPLT	19FEWX|2TBNT|3MBVNT|4RPLT|5RMIN|69VULN|7aRCR|8BELT|9BPWR
22	31154 71117	   	256.83	DCR|DCR|2VULN	1FEWX|2aVULN|3TBNT|4MBVNT|5DUR|6FRZICY|79RCR|8LWND
23	31154 81117	   	256.73	DCR|DCR|2VULN	1FEWX|2aVULN|3TBNT|4MBVNT|5DUR|6CANSTR|79RCR|8LWND
24	53331 81117	   	256.73	DCR|DCR|2VULN	1DUR|2TBNT|3MBVNT|4DUST|5FLTARM|6aVULN|79RCR|8LWND
25	31154 71217	   	256.73	DCR|DCR|2VULN	1FEWX|2aVULN|3TBNT|4MBVNT|5DUR|6FRZICY|79RCR|8LEGI
26	31154 81217	   	256.63	DCR|DCR|2VULN	1FEWX|2aVULN|3TBNT|4MBVNT|5DUR|6CANSTR|79RCR|8LEGI
27	53331 81217	   	256.63	DCR|DCR|2VULN	1DUR|2TBNT|3MBVNT|4DUST|5FLTARM|6aVULN|79RCR|8LEGI
28	51234 43232	 * 	256.44	DCR|4VULN|1DMG|1MLV|2DUR	13DUR|2347VULN|3BPWR|5LIT|6DMG|8LHND|9MLV|aRCR
29	53334 24544	   	255.96	DCR|DCR|1VULN|1ASPD|1CDMG	1DUR|2TBNT|3MBVNT|4DUST|5CDMG|69RCR|7VULN|8LHND|aASPD
30	53334 24844	   	255.96	DCR|DCR|1VULN|1ASPD|1CDMG	1DUR|2TBNT|3MBVNT|4DUST|5CDMG|69RCR|7VULN|8FEWX|aASPD
31	44314 24644	   	255.86	DCR|DCR|1VULN|1ASPD|1CDMG	1LEGI|2DUST|3MBVNT|4BBNT|5CDMG|69RCR|7VULN|8DUR|aASPD
32	53334 24344	   	255.86	DCR|DCR|1VULN|1ASPD|1CDMG	1DUR|2TBNT|3MBVNT|4DUST|5CDMG|69RCR|7VULN|8LEGI|aASPD
33	61232 13436	   	255.13	DCR|4VULN|1DMG|1MLV|1CDMG	13LWND|2349VULN|3BPWR|5MDPS|6DMG|7CDMG|8MLV|aRCR
34	42216 73341	   	254.06	DCR|DCR|1VULN|1DMG|1ASPD	1LEGI|2DMG|3LWND|4VULN|5MBVNT|6ASPD|7FEWX|8LIT|9aRCR
35	44343 73341	   	253.96	DCR|DCR|1VULN|1DMG|1ASPD	1LEGI|2DUST|3MBVNT|4DMG|5VULN|6ASPD|7FEWX|8LIT|9aRCR
36	44343 35341	   	253.96	DCR|DCR|1VULN|1DMG|1ASPD	1LEGI|2DUST|3MBVNT|4DMG|5VULN|6LWND|7ASPD|8LIT|9aRCR
37	44344 72341	   	253.96	DCR|DCR|1VULN|1DMG|1ASPD	1LEGI|2DUST|3MBVNT|4DMG|5LHND|6ASPD|7VULN|8LIT|9aRCR
38	51213 61522	   	252.56	DCR|4VULN|1DMG|2DUR|1ASPD	13DUR|2379VULN|3BPWR|4DMG|5AAC|6LHND|8RCR|aASPD
39	53334 24242	   	251.97	DCR|DCR|1VULN|1CDMG|1RPLT	1DUR|2TBNT|3MBVNT|4DUST|5CDMG|69RCR|7VULN|8BEXP|aRPLT
40	53334 24542	   	251.97	DCR|DCR|1VULN|1CDMG|1RPLT	1DUR|2TBNT|3MBVNT|4DUST|5CDMG|69RCR|7VULN|8LHND|aRPLT
41	53334 24842	   	251.97	DCR|DCR|1VULN|1CDMG|1RPLT	1DUR|2TBNT|3MBVNT|4DUST|5CDMG|69RCR|7VULN|8FEWX|aRPLT
42	44314 24642	   	251.87	DCR|DCR|1VULN|1CDMG|1RPLT	1LEGI|2DUST|3MBVNT|4BBNT|5CDMG|69RCR|7VULN|8DUR|aRPLT
43	53334 24342	   	251.87	DCR|DCR|1VULN|1CDMG|1RPLT	1DUR|2TBNT|3MBVNT|4DUST|5CDMG|69RCR|7VULN|8LEGI|aRPLT
44	61233 41412	 * 	251.30	DCR|4VULN|2DMG|1RPLT	13LWND|2345VULN|3BPWR|6aDMG|7LSRICY|8RPLT|9RCR
45	32112 54361	 * 	251.13	DCR|2VULN|3DMG|3ASPD	1FEWX|245DMG|359ASPD|5BPWR|6ERES|78VULN|aRCR
46	21323 63222	   	250.87	DCR|3VULN|2DMG|2CDMG|1AART|1ZMB	1AART|29CDMG|3RMIN|46DMG|568VULN|6BPWR|7ZMB|aRCR
47	21322 63242	   	250.72	DCR|3VULN|2DMG|2CDMG|1AART|2ZMB	1AART|29CDMG|3RMIN|46DMG|59ZMB|789VULN|9BPWR|aRCR
48	21614 24111	 * 	250.07	DCR|DCR|1VULN|2CDMG|1AART	1AART|26CDMG|3VULN|48LWND|56CANSTR|6BPWR|7aRCR|9TLV
49	21614 24211	   	250.07	DCR|DCR|1VULN|2CDMG|1AART	1AART|26CDMG|3VULN|4LWND|56CANSTR|6BPWR|7aRCR|8DMSP|9TLV
50	31213 11351	   	249.94	DCR|4VULN|2DMG	13FEWX|2378VULN|3BPWR|49DMG|5AAC|6DUR|aRCR
51	31214 31351	   	249.70	DCR|4VULN|2DMG|1ZMB	13FEWX|2378VULN|3BPWR|49DMG|5DUR|6ZMB|aRCR
52	61233 12346	 * 	248.94	DCR|5VULN|1ASPD|1CDMG	13LWND|2345aVULN|3BPWR|6CDMG|7BELT|8ASPD|9RCR
53	31315 14616	   	248.43	DCR|DCR|2VULN	1FEWX|24VULN|35TLV|6MBVNT|7AIRHEA|8LIT|9aRCR
54	31221 23315	   	248.38	DCR|DCR|2VULN|1ZMB	13FEWX|23VULN|3BPWR|4FLTFST|5AAC|6LIT|7RMIN|8ZMB|9aRCR
55	31261 23315	   	248.38	DCR|DCR|2VULN|1ZMB	13FEWX|23VULN|3BPWR|4TSLARM|5AAC|6LIT|7RMIN|8ZMB|9aRCR
56	31323 43616	   	248.33	DCR|DCR|2VULN	1FEWX|27VULN|3TLV|4SNIFST|5AELOIC|6MBVNT|8LIT|9aRCR
57	31221 24315	   	248.28	DCR|DCR|2VULN|1ZMB	13FEWX|23VULN|3BPWR|4FLTFST|5AAC|6LIT|7ERES|8ZMB|9aRCR
58	31261 24315	   	248.28	DCR|DCR|2VULN|1ZMB	13FEWX|23VULN|3BPWR|4TSLARM|5AAC|6LIT|7ERES|8ZMB|9aRCR
59	46221 23315	   	248.18	DCR|DCR|2VULN|1ZMB	1LEGI|23VULN|3BPWR|4FLTFST|5AAC|6LIT|7RMIN|8ZMB|9aRCR
60	44314 24544	   	247.55	DCR|DCR|1VULN|1ASPD|1CDMG	1LEGI|2DUST|3MBVNT|4BBNT|5CDMG|69RCR|7VULN|8LHND|aASPD
