0	Index      	 *	Score 	Summary	Detail	
1	33155 33152	 * 	264.75	DCR|DCR|1VULN|1DMG|1MLV|1RPLT	1RPLT|2BBNT|3VULN|4MLV|5DUST|6TSLFST|79RCR|8TBNT|aDMG
2	16233 33511	 * 	258.97	DCR|3VULN|2DMG|2ASPD|1MLV	1LEGI|29DMG|3BELT|4MDPS|5MLV|689VULN|79ASPD|9BPWR|aRCR
3	33155 33153	   	258.34	DCR|DCR|1VULN|1MLV|1ASPD|1RPLT	1RPLT|2BBNT|3VULN|4MLV|5DUST|6TSLFST|79RCR|8TBNT|aASPD
4	42211 43632	   	253.19	DCR|DCR|1VULN|1MLV|1AART	1DUR|2AART|3LIT|4VULN|5RMIN|6aCGEN|7MLV|89RCR
5	42211 43633	   	253.19	DCR|DCR|1VULN|1MLV|1AART	1DUR|2AART|3LIT|4VULN|5RMIN|6CGEN|7MLV|89RCR|aBEXP
6	11624 22632	   	253.09	DCR|DCR|1VULN|1MLV|1AART	1LEGI|2MLV|3AART|4RCVC|5VULN|6DUR|7LIT|89RCR|aCGEN
7	11624 22633	   	253.09	DCR|DCR|1VULN|1MLV|1AART	1LEGI|2MLV|3AART|4RCVC|5VULN|6DUR|7LIT|89RCR|aFEWX
8	42211 43631	   	253.09	DCR|DCR|1VULN|1MLV|1AART|1MSE	1DUR|2AART|3LIT|4VULN|5RMIN|6CGEN|7MLV|89RCR|aMSE
9	11624 22631	   	252.99	DCR|DCR|1VULN|1MLV|1AART|1MSE	1LEGI|2MLV|3AART|4RCVC|5VULN|6DUR|7LIT|89RCR|aMSE
10	16112 15125	 * 	250.40	DCR|2VULN|3DMG|2MLV	1LEGI|279DMG|3FEWX|4BBNT|57MLV|67VULN|7BPWR|8DUR|aRCR
11	42213 12232	 * 	250.39	ACR|DCR|2VULN|1MLV|1AART	1DUR|2AART|3LIT|47VULN|59RCR|6MLV|8DUST|aCGEN
12	42213 12233	   	250.39	ACR|DCR|2VULN|1MLV|1AART	1DUR|2AART|3LIT|47VULN|59RCR|6MLV|8DUST|aFEWX
13	42213 12236	   	250.39	ACR|DCR|2VULN|1MLV|1AART	1DUR|2AART|3LIT|47VULN|59RCR|6MLV|8DUST|aTBNT
14	42213 12231	   	250.29	ACR|DCR|2VULN|1MLV|1AART|1MSE	1DUR|2AART|3LIT|47VULN|59RCR|6MLV|8DUST|aMSE
