0	Index      	 *	Score 	Summary	Detail	
1	22413 31625	 * 	296.83	DCR|DCR|2VULN|1DMG|1ASPD	1AART|2RPLT|3BASHEA|48VULN|5ASPD|6BEXP|79RCR|aDMG
2	22412 32125	 * 	292.10	DCR|DCR|2DMG|1VULN|1MLV	1AART|2RPLT|3BASHEA|4VULN|5CGEN|69RCR|7aDMG|8MLV
3	45334 24315	 * 	277.21	DCR|DCR|2VULN|3DUR|1ASPD	169DUR|2MBVNT|3ASPD|49VULN|59ERES|7LEGI|8aRCR|9BPWR
4	22413 31621	   	276.77	DCR|DCR|2VULN|1ASPD	1AART|2RPLT|3BASHEA|48VULN|5ASPD|6BEXP|79RCR|aTLV
5	22413 31622	   	276.77	DCR|DCR|2VULN|1ASPD	1AART|2RPLT|3BASHEA|48VULN|5ASPD|6BEXP|79RCR|aTBNT
6	22413 31626	   	276.77	DCR|DCR|2VULN|1ASPD	1AART|2RPLT|3BASHEA|48VULN|5ASPD|6BEXP|79RCR|aCGEN
7	22413 31623	   	276.67	DCR|DCR|2VULN|1ASPD|1MSE	1AART|2RPLT|3BASHEA|48VULN|5ASPD|6BEXP|79RCR|aMSE
8	22412 32121	   	274.51	DCR|DCR|1VULN|1DMG|1MLV	1AART|2RPLT|3BASHEA|4VULN|5CGEN|69RCR|7DMG|8MLV|aTLV
9	22412 32122	   	274.51	DCR|DCR|1VULN|1DMG|1MLV	1AART|2RPLT|3BASHEA|4VULN|5CGEN|69RCR|7DMG|8MLV|aTBNT
10	22412 32126	   	274.51	DCR|DCR|1VULN|1DMG|1MLV	1AART|2RPLT|3BASHEA|4VULN|5aCGEN|69RCR|7DMG|8MLV
11	22412 32123	   	274.41	DCR|DCR|1VULN|1DMG|1MLV|1MSE	1AART|2RPLT|3BASHEA|4VULN|5CGEN|69RCR|7DMG|8MLV|aMSE
12	22412 32325	   	270.63	DCR|DCR|1VULN|1DMG|1ASPD	1AART|2RPLT|3BASHEA|4VULN|5CGEN|69RCR|7DMG|8BBNT|aASPD
13	22413 31125	   	270.63	DCR|DCR|1VULN|1DMG|1ASPD	1AART|2RPLT|3BASHEA|4VULN|5ASPD|6BEXP|79RCR|8RCVC|aDMG
14	22413 31225	   	270.63	DCR|DCR|1VULN|1DMG|1ASPD	1AART|2RPLT|3BASHEA|4VULN|5ASPD|68BEXP|79RCR|aDMG
15	22413 21125	   	270.53	DCR|DCR|1VULN|1DMG|1ASPD	1AART|2RPLT|3BASHEA|4VULN|5ASPD|6DUST|79RCR|8RCVC|aDMG
16	22413 21325	   	270.43	DCR|DCR|1VULN|1DMG|1ASPD	1AART|2RPLT|3BASHEA|4VULN|5ASPD|68DUST|79RCR|aDMG
17	21263 24224	 * 	270.41	ACR|DCR|2VULN|2DMG	1AART|2MDPS|38DMG|46RCR|5AIRHEA|7aVULN|9DUR
18	26313 24224	   	270.41	ACR|DCR|2VULN|2DMG	1AART|26RCR|3MDPS|48DMG|5AIRHEA|7aVULN|9DUR
19	21263 24631	   	270.35	ACR|DCR|2VULN|1DMG|1MLV	1AART|2MDPS|3DMG|46RCR|5AIRHEA|7aVULN|8MLV|9DUR
20	26313 24631	   	270.35	ACR|DCR|2VULN|1DMG|1MLV	1AART|26RCR|3MDPS|4DMG|5AIRHEA|7aVULN|8MLV|9DUR
