0	Index      	 *	Score 	Summary	Detail	
1	31417 12842	 * 	283.32	DCR|DCR|1VULN|2MLV|1DMG|1AART	1AART|2CGEN|3DMG|4MBVNT|5VULN|6aRCR|79MLV|8AAC
2	53511 34132	 * 	268.04	DCR|DCR|1VULN|2CDMG|1AART|1RPLT	12CDMG|3AAC|4AART|5RPLT|6AELOIC|7aRCR|8DUR|9VULN
3	22312 14126	 * 	266.49	DCR|DCR|2VULN|1RPLT	1DUR|2LHND|3TLV|4BELT|5TSLFST|6aVULN|78RCR|9RPLT
4	22343 14126	   	266.49	DCR|DCR|2VULN|1RPLT	1DUR|2LHND|3TLV|4SPLREG|5BELT|6aVULN|78RCR|9RPLT
5	26538 12411	   	266.05	DCR|DCR|1VULN|1DMG|1MLV	1DUR|2DMG|3ERES|4MBVNT|5DLOT|6aRCR|7MLV|8MDPS|9VULN
6	44213 24132	   	265.96	DCR|DCR|2VULN|1MLV	1LWND|2BELT|3DUST|49VULN|5SPLJET|6MLV|78RCR|aLHND
7	44213 24131	   	265.86	DCR|DCR|2VULN|1MLV	1LWND|2BELT|3DUST|49VULN|5SPLJET|6MLV|78RCR|aERES
8	44213 24133	   	265.86	DCR|DCR|2VULN|1MLV|1SELL	1LWND|2BELT|3DUST|49VULN|5SPLJET|6MLV|78RCR|aSELL
9	52363 12261	   	262.61	DCR|DCR|1VULN|2DUR|1ASPD|1CDMG	1CDMG|2ASPD|36DUR|4BBNT|5BELT|7SNIFST|8aRCR|9VULN
10	53162 61231	   	262.37	DCR|DCR|1VULN|2CDMG|1ASPD	12CDMG|3BELT|4VULN|5ASPD|6BBNT|7CANTOX|8aRCR|9DUR
11	31434 52333	 * 	260.01	DCR|4VULN|3CDMG|1DMG|1AART	1AART|289CGEN|3DMG|489CDMG|5TBNT|6RCR|789aVULN|89BPWR
12	33222 23656	   	259.73	DCR|DCR|1VULN|1DMG|1AART|1RPLT	1AART|2RCVC|3RPLT|4MDPS|5DMSP|6DMG|7VULN|8aRCR|9TSLFST
13	53511 34332	   	259.73	DCR|DCR|1VULN|2CDMG|1AART|1RPLT	12CDMG|3AAC|4AART|5RPLT|6AELOIC|7aRCR|8LWND|9VULN
14	21133 42116	 * 	259.71	ACR|DCR|1VULN|2MLV|2CDMG|2DUR	19DUR|2BBNT|3MDPS|49CDMG|58RCR|69MLV|7AAC|9BPWR|aVULN
15	33223 23656	   	259.63	DCR|DCR|1VULN|1DMG|1AART|1RPLT	1AART|2RCVC|3RPLT|45MDPS|6DMG|7VULN|8aRCR|9TSLFST
16	21225 31244	 * 	257.31	DCR|3VULN|3DMG|3DUR	179DUR|2BBNT|38RMIN|479DMG|5TBNT|679VULN|79BPWR|aRCR
17	22243 14132	   	256.83	DCR|DCR|2VULN	1DUR|2aLHND|3MULHEA|4CGEN|5BELT|69VULN|78RCR
18	22243 14133	   	256.83	DCR|DCR|2VULN	1DUR|2LHND|3MULHEA|4CGEN|5aBELT|69VULN|78RCR
19	22243 14136	   	256.83	DCR|DCR|2VULN	1DUR|2LHND|3MULHEA|4CGEN|5BELT|69VULN|78RCR|aAAC
20	22243 14141	   	256.83	DCR|DCR|2VULN	1DUR|2LHND|3MULHEA|4CGEN|5BELT|6aVULN|78RCR|9LIT
21	22312 14132	   	256.83	DCR|DCR|2VULN	1DUR|2aLHND|3TLV|4BELT|5TSLFST|69VULN|78RCR
22	22312 14133	   	256.83	DCR|DCR|2VULN	1DUR|2LHND|3TLV|4aBELT|5TSLFST|69VULN|78RCR
23	22312 14136	   	256.83	DCR|DCR|2VULN	1DUR|2LHND|3TLV|4BELT|5TSLFST|69VULN|78RCR|aAAC
24	22312 14141	   	256.83	DCR|DCR|2VULN	1DUR|2LHND|3TLV|4BELT|5TSLFST|6aVULN|78RCR|9LIT
25	22343 14132	   	256.83	DCR|DCR|2VULN	1DUR|2aLHND|3TLV|4SPLREG|5BELT|69VULN|78RCR
26	22343 14133	   	256.83	DCR|DCR|2VULN	1DUR|2LHND|3TLV|4SPLREG|5aBELT|69VULN|78RCR
27	22343 14136	   	256.83	DCR|DCR|2VULN	1DUR|2LHND|3TLV|4SPLREG|5BELT|69VULN|78RCR|aAAC
28	22343 14141	   	256.83	DCR|DCR|2VULN	1DUR|2LHND|3TLV|4SPLREG|5BELT|6aVULN|78RCR|9LIT
29	22243 14131	   	256.73	DCR|DCR|2VULN	1DUR|2LHND|3MULHEA|4CGEN|5BELT|69VULN|78RCR|aERES
30	22243 14134	   	256.73	DCR|DCR|2VULN|1SELL	1DUR|2LHND|3MULHEA|4CGEN|5BELT|69VULN|78RCR|aSELL
31	22243 14135	   	256.73	DCR|DCR|2VULN	1DUR|2LHND|3MULHEA|4CGEN|5BELT|69VULN|78RCR|aAME
32	22312 14131	   	256.73	DCR|DCR|2VULN	1DUR|2LHND|3TLV|4BELT|5TSLFST|69VULN|78RCR|aERES
33	22312 14134	   	256.73	DCR|DCR|2VULN|1SELL	1DUR|2LHND|3TLV|4BELT|5TSLFST|69VULN|78RCR|aSELL
34	22312 14135	   	256.73	DCR|DCR|2VULN	1DUR|2LHND|3TLV|4BELT|5TSLFST|69VULN|78RCR|aAME
35	22343 14131	   	256.73	DCR|DCR|2VULN	1DUR|2LHND|3TLV|4SPLREG|5BELT|69VULN|78RCR|aERES
36	22343 14134	   	256.73	DCR|DCR|2VULN|1SELL	1DUR|2LHND|3TLV|4SPLREG|5BELT|69VULN|78RCR|aSELL
37	22343 14135	   	256.73	DCR|DCR|2VULN	1DUR|2LHND|3TLV|4SPLREG|5BELT|69VULN|78RCR|aAME
38	24613 24132	   	256.73	DCR|DCR|2VULN	1DUR|2BELT|3aLHND|49VULN|5SPLJET|6AME|78RCR
39	24613 24133	   	256.73	DCR|DCR|2VULN	1DUR|2aBELT|3LHND|49VULN|5SPLJET|6AME|78RCR
40	24622 14132	   	256.73	DCR|DCR|2VULN	1DUR|2BELT|3aLHND|4AME|5TSLFST|69VULN|78RCR
41	24622 14133	   	256.73	DCR|DCR|2VULN	1DUR|2aBELT|3LHND|4AME|5TSLFST|69VULN|78RCR
42	24613 24131	   	256.63	DCR|DCR|2VULN	1DUR|2BELT|3LHND|49VULN|5SPLJET|6AME|78RCR|aERES
43	24622 14131	   	256.63	DCR|DCR|2VULN	1DUR|2BELT|3LHND|4AME|5TSLFST|69VULN|78RCR|aERES
