0	Index      	 *	Score 	Summary	Detail	
1	23373 47834	 * 	285.95	DCR|DCR|2VULN|1MLV|2DUR|1AART	16DUR|2MBVNT|3AART|46VULN|5BBNT|6BPWR|7aRCR|8LWND|9MLV
2	13373 17134	   	279.30	DCR|DCR|2VULN|1MLV|1AART	1LWND|2MBVNT|3AART|48VULN|5BBNT|6DUR|7aRCR|9MLV
3	23373 27134	   	279.30	DCR|DCR|2VULN|1MLV|1AART	1DUR|2MBVNT|3AART|48VULN|5BBNT|6FEWX|7aRCR|9MLV
4	23373 87134	   	279.30	DCR|DCR|2VULN|1MLV|1AART	1DUR|2MBVNT|3AART|48VULN|5BBNT|6LWND|7aRCR|9MLV
5	23374 27834	   	279.30	DCR|DCR|2VULN|1MLV|1AART	1DUR|2MBVNT|3AART|45VULN|6BBNT|7aRCR|8LWND|9MLV
6	23373 27714	 * 	268.70	DCR|DCR|2MLV|1VULN|1AART	1DUR|2MBVNT|3AART|4VULN|5BBNT|6FEWX|7aRCR|89MLV
7	23373 71314	   	268.60	DCR|DCR|2MLV|1VULN|1AART	1DUR|2MBVNT|3AART|4VULN|5BBNT|69MLV|7DUST|8aRCR
8	23631 13745	   	268.51	DCR|DCR|2VULN|2DUR|1RPLT	18DUR|2MBVNT|3CGEN|48BEXP|5TBNT|6aRCR|78VULN|8BPWR|9RPLT
9	23373 47824	   	268.41	DCR|DCR|2VULN|2DUR|1AART	16DUR|2MBVNT|3AART|46VULN|5BBNT|6BPWR|7aRCR|8LWND|9CGEN
10	23373 47844	   	268.41	DCR|DCR|2VULN|2DUR|1AART	16DUR|2MBVNT|3AART|46VULN|5BBNT|6BPWR|7aRCR|8LWND|9TLV
11	23373 44324	   	268.31	DCR|DCR|2VULN|2DUR|1AART	16DUR|2MBVNT|3AART|46VULN|5BBNT|6BPWR|7TLV|8aRCR|9DUST
12	23373 46324	   	268.31	DCR|DCR|2VULN|2DUR|1AART	16DUR|2MBVNT|3AART|46VULN|5BBNT|6BPWR|7CGEN|8aRCR|9DUST
13	23373 47624	   	268.31	DCR|DCR|2VULN|2DUR|1AART	16DUR|2MBVNT|3AART|46VULN|5BBNT|6BPWR|7aRCR|8RMIN|9DUST
14	23373 47424	   	268.21	DCR|DCR|2VULN|2DUR|1AART	16DUR|2MBVNT|3AART|46VULN|5BBNT|6BPWR|7aRCR|8ERES|9DUST
15	23733 17734	 * 	262.99	ACR|DCR|2VULN|2MLV|2DUR	1aDUR|2MBVNT|3aVULN|4DUST|58RCR|6CGEN|7aMLV|9BBNT|aBPWR
16	13373 17124	   	261.76	DCR|DCR|2VULN|1AART	1LWND|2MBVNT|3AART|48VULN|5BBNT|6DUR|7aRCR|9CGEN
17	13373 17144	   	261.76	DCR|DCR|2VULN|1AART	1LWND|2MBVNT|3AART|48VULN|5BBNT|6DUR|7aRCR|9TLV
18	23373 27124	   	261.76	DCR|DCR|2VULN|1AART	1DUR|2MBVNT|3AART|48VULN|5BBNT|6FEWX|7aRCR|9CGEN
19	23373 27144	   	261.76	DCR|DCR|2VULN|1AART	1DUR|2MBVNT|3AART|48VULN|5BBNT|6FEWX|7aRCR|9TLV
20	23373 87124	   	261.76	DCR|DCR|2VULN|1AART	1DUR|2MBVNT|3AART|48VULN|5BBNT|6LWND|7aRCR|9CGEN
21	23373 87144	   	261.76	DCR|DCR|2VULN|1AART	1DUR|2MBVNT|3AART|48VULN|5BBNT|6LWND|7aRCR|9TLV
22	23374 27824	   	261.76	DCR|DCR|2VULN|1AART	1DUR|2MBVNT|3AART|45VULN|6BBNT|7aRCR|8LWND|9CGEN
23	23374 27844	   	261.76	DCR|DCR|2VULN|1AART	1DUR|2MBVNT|3AART|45VULN|6BBNT|7aRCR|8LWND|9TLV
24	23641 34175	   	261.76	DCR|DCR|2VULN|1RPLT	1DUR|2MBVNT|3CGEN|4TBNT|5RPLT|68VULN|7LWND|9aRCR
25	23374 27624	   	261.66	DCR|DCR|2VULN|1AART	1DUR|2MBVNT|3AART|45VULN|6BBNT|7aRCR|8RMIN|9DUST
