0	Index      	 *	Score 	Summary	Detail	
1	25352 61123	 * 	282.14	DCR|DCR|2VULN|1DMG|1ASPD	1LEGI|2BELT|3FEWX|4DMG|5ASPD|6ERES|78VULN|9aRCR
2	31621 41421	   	277.47	DCR|DCR|1VULN|1DMG|1ASPD|1CDMG|1RPLT	1NUKE|2VULN|3DMG|4LIT|5ASPD|6RPLT|79RCR|8LHND|aCDMG
3	31621 41621	   	277.47	DCR|DCR|1VULN|1DMG|1ASPD|1CDMG|1RPLT	1NUKE|2VULN|3DMG|4LIT|5ASPD|6RPLT|79RCR|8LWND|aCDMG
4	23131 56612	   	276.70	DCR|DCR|2VULN|1DMG	1LEGI|2DUR|346ERES|56VULN|6BPWR|79RCR|8DMG|aAAC
5	23131 56613	   	276.70	DCR|DCR|2VULN|1DMG	1LEGI|2DUR|346ERES|56VULN|6BPWR|79RCR|8DMG|aTLV
6	23131 56611	   	276.60	DCR|DCR|2VULN|1DMG|1ZMB	1LEGI|2DUR|346ERES|56VULN|6BPWR|79RCR|8DMG|aZMB
7	25352 63323	 * 	271.65	DCR|DCR|2DMG|1VULN|1ASPD	1LEGI|2BELT|3FEWX|47DMG|5ASPD|6ERES|8VULN|9aRCR
8	25512 62323	   	271.60	DCR|DCR|1VULN|1DMG|1MLV|1ASPD	1LEGI|2BELT|3VULN|4MLV|5ASPD|6RMIN|7AME|8DMG|9aRCR
9	25512 63323	   	271.60	DCR|DCR|1VULN|1DMG|1MLV|1ASPD	1LEGI|2BELT|3VULN|4MLV|5ASPD|6RMIN|7ERES|8DMG|9aRCR
10	31621 41423	   	263.82	DCR|DCR|1VULN|1DMG|1ASPD|1RPLT	1NUKE|2VULN|3DMG|4aLIT|5ASPD|6RPLT|79RCR|8LHND
11	31621 41531	   	263.82	DCR|DCR|1VULN|1DMG|1ASPD|1RPLT	1NUKE|2VULN|3DMG|4LIT|5ASPD|6RPLT|79RCR|8TBNT|aBBNT
12	31621 41623	   	263.82	DCR|DCR|1VULN|1DMG|1ASPD|1RPLT	1NUKE|2VULN|3DMG|4aLIT|5ASPD|6RPLT|79RCR|8LWND
13	31621 41422	   	263.72	DCR|DCR|1VULN|1DMG|1ASPD|1RPLT	1NUKE|2VULN|3DMG|4LIT|5ASPD|6RPLT|79RCR|8LHND|aMDPS
14	31621 41532	   	263.72	DCR|DCR|1VULN|1DMG|1ASPD|1RPLT	1NUKE|2VULN|3DMG|4LIT|5ASPD|6RPLT|79RCR|8TBNT|aBLASTR
15	31621 41533	   	263.72	DCR|DCR|1VULN|1DMG|1ASPD|1RPLT	1NUKE|2VULN|3DMG|4LIT|5ASPD|6RPLT|79RCR|8TBNT|aAME
16	31621 41622	   	263.72	DCR|DCR|1VULN|1DMG|1ASPD|1RPLT	1NUKE|2VULN|3DMG|4LIT|5ASPD|6RPLT|79RCR|8LWND|aMDPS
17	15325 33151	 * 	256.35	ACR|DCR|2DMG|1VULN|1ASPD|1CDMG|1SELL	1SELL|23DMG|4LWND|59RCR|6LHND|7CDMG|8ASPD|aVULN
18	23223 26156	 * 	255.98	DCR|3VULN|2ASPD|1MLV|2DUR|1CDMG	1LEGI|28DUR|38ASPD|4CGEN|5CDMG|689VULN|7RCR|8BPWR|aMLV
19	23233 26156	   	255.88	DCR|3VULN|2ASPD|1MLV|2DUR|1CDMG	1LEGI|28DUR|38ASPD|4ERES|5CDMG|689VULN|7RCR|8BPWR|aMLV
20	15343 32342	 * 	255.46	DCR|2VULN|3DMG|2CDMG|1ASPD|1SELL	1SELL|239DMG|4RMIN|5DUR|69CDMG|7RCR|89VULN|9BPWR|aASPD
21	25542 13323	   	254.16	DCR|DCR|1VULN|1DMG|1ASPD	1LEGI|27BELT|3VULN|4RMIN|5ASPD|6LWND|8DMG|9aRCR
22	44412 11323	   	254.06	DCR|DCR|1VULN|1DMG|1ASPD	1ERES|2DUST|3BELT|46LWND|5ASPD|7VULN|8DMG|9aRCR
23	44412 21323	   	253.96	DCR|DCR|1VULN|1DMG|1ASPD	16ERES|2DUST|3BELT|4LWND|5ASPD|7VULN|8DMG|9aRCR
