0	Index      	 *	Score 	Summary	Detail	
1	33133 33524	 * 	288.48	DCR|DCR|2VULN|1DMG|2DUR|1RPLT	1RPLT|28DUR|3LHND|4AAC|59VULN|67RCR|aDMG
2	22133 63321	   	283.39	DCR|DCR|2VULN|1MLV|1CDMG	1CDMG|2DUR|39VULN|4RMIN|5TBNT|6aRCR|7MLV|8BEXP
3	11221 15441	   	283.29	DCR|DCR|2VULN|1MLV|1CDMG	1RMIN|2DUST|3DUR|4CDMG|58VULN|6MLV|7aRCR|9BBNT
4	11221 15451	   	283.29	DCR|DCR|2VULN|1MLV|1CDMG	1RMIN|2DUST|3DUR|4CDMG|58VULN|6MLV|7aRCR|9TBNT
5	33635 33512	   	282.06	DCR|DCR|2VULN|2DUR|1ASPD|1RPLT	1RPLT|28DUR|3aVULN|4AAC|5FEWX|67RCR|9ASPD
6	62211 43314	   	276.67	DCR|DCR|2VULN|1ASPD|1AART|1RPLT	12VULN|3SNIFST|4LWND|5RPLT|6ASPD|7aRCR|8ERES|9AART
7	11321 15441	   	274.98	DCR|DCR|2VULN|1MLV|1CDMG	1RMIN|2DUST|3FEWX|4CDMG|58VULN|6MLV|7aRCR|9BBNT
8	11321 15451	   	274.98	DCR|DCR|2VULN|1MLV|1CDMG	1RMIN|2DUST|3FEWX|4CDMG|58VULN|6MLV|7aRCR|9TBNT
9	62412 24224	 * 	274.24	DCR|DCR|3VULN	124VULN|34LIT|4BPWR|5MDPS|6FEWX|7DUR|8aRCR|9MBVNT
10	62412 34224	   	274.14	DCR|DCR|3VULN	124VULN|34LIT|4BPWR|5MDPS|6DUST|7DUR|8aRCR|9MBVNT
11	61432 33413	   	271.99	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG|1RPLT	1VULN|2AME|3RPLT|4MLV|5RMIN|6BLASTR|78RCR|9CDMG|aASPD
12	33133 33522	   	268.41	DCR|DCR|2VULN|2DUR|1RPLT	1RPLT|28DUR|3LHND|4AAC|59VULN|67RCR|aLWND
13	33133 33523	   	268.41	DCR|DCR|2VULN|2DUR|1RPLT	1RPLT|28DUR|3LHND|4AAC|59VULN|67RCR|aTBNT
14	33133 33525	   	268.41	DCR|DCR|2VULN|2DUR|1RPLT	1RPLT|28DUR|3LHND|4AAC|59VULN|67RCR|aFEWX
15	33635 33522	   	268.41	DCR|DCR|2VULN|2DUR|1RPLT	1RPLT|28DUR|39VULN|4AAC|5FEWX|67RCR|aLWND
