0	Index      	 *	Score 	Summary	Detail	
1	41243 36222	 * 	257.35	DCR|DCR|2VULN|1CDMG	1RCVC|24VULN|3TLV|5LWND|6AELOIC|7aRCR|8BASARM|9CDMG
2	41113 12346	 * 	244.85	DCR|4VULN|2MLV|2DUR	1RCVC|256aVULN|3TSLARM|4aDUR|7MBVNT|8RCR|9aMLV|aBPWR
3	15111 61311	   	243.55	DCR|DCR|2VULN|1ZMB	1ZMB|2LIT|3TLV|49VULN|5LWND|6MDPS|78RCR|aBBNT
4	15111 61312	   	243.55	DCR|DCR|2VULN|1ZMB	1ZMB|2LIT|3TLV|49VULN|5LWND|6MDPS|78RCR|aRMIN
5	15111 61313	   	243.55	DCR|DCR|2VULN|1ZMB	1ZMB|2LIT|3TLV|49VULN|5LWND|6MDPS|78RCR|aRCVC
6	15111 61316	   	243.55	DCR|DCR|2VULN|1ZMB	1ZMB|2LIT|3TLV|49VULN|5LWND|6MDPS|78RCR|aTBNT
7	15111 61314	   	243.45	DCR|DCR|2VULN|1ZMB	1ZMB|2LIT|3TLV|49VULN|5LWND|6MDPS|78RCR|aDUST
8	15111 61315	   	243.45	DCR|DCR|2VULN|1ZMB|1MSE	1ZMB|2LIT|3TLV|49VULN|5LWND|6MDPS|78RCR|aMSE
9	23535 31633	 * 	241.07	DCR|DCR|1DMG|1ASPD|1CDMG	1DUR|2LIT|3CDMG|4LEGI|5DMG|6DUST|79RCR|8ASPD|aTLV
10	23535 31631	   	240.97	DCR|DCR|1DMG|1ASPD|1CDMG	1DUR|2LIT|3CDMG|4LEGI|5DMG|6DUST|79RCR|8ASPD|aAME
11	23535 31632	   	240.97	DCR|DCR|1DMG|1ASPD|1CDMG	1DUR|2LIT|3CDMG|4LEGI|5DMG|6DUST|79RCR|8ASPD|aERES
12	15621 33211	   	240.66	DCR|DCR|1VULN|1ASPD|1AART|1ZMB	1ZMB|2LIT|3ASPD|4DMSP|5AART|68RCR|7AELOIC|9BBNT|aVULN
13	65233 33125	   	240.66	DCR|DCR|1VULN|1CDMG|1AART|1ZMB	1AME|2LIT|3CDMG|4AART|5VULN|6LHND|7BEXP|8ZMB|9aRCR
14	65233 22125	   	240.56	DCR|DCR|1VULN|1CDMG|1AART|1ZMB	1AME|26LIT|3CDMG|4AART|5VULN|7MDPS|8ZMB|9aRCR
15	14321 21663	   	240.46	DCR|DCR|1VULN|1ASPD|1RPLT|1ZMB	1ZMB|2MDPS|3RMIN|4AIRARM|5ASPD|68RCR|7AELOIC|9RPLT|aVULN
16	23565 21332	   	239.55	DCR|DCR|1VULN|1CDMG	1DUR|2LIT|3CDMG|4MBVNT|5CGEN|6LHND|79RCR|8TLV|aVULN
17	23565 41332	   	239.55	DCR|DCR|1VULN|1CDMG	1DUR|2LIT|3CDMG|4MBVNT|5CGEN|6BEXP|79RCR|8TLV|aVULN
18	15111 61351	   	239.30	DCR|DCR|1VULN|1ASPD|1ZMB	1ZMB|2LIT|3TLV|4VULN|5LWND|6MDPS|78RCR|9DUR|aASPD
19	15621 33236	 * 	238.55	DCR|DCR|2ASPD|1MLV|1AART|1ZMB	1ZMB|2LIT|3aASPD|4DMSP|5AART|68RCR|7AELOIC|9MLV
20	41361 23126	 * 	234.60	DCR|4VULN|2DMG	13RCVC|267aVULN|46DMG|5TBNT|6BPWR|8LIT|9RCR
21	16351 33326	 * 	233.79	DCR|2VULN|2DMG|1MLV|1ASPD|1AART|1ZMB	1ZMB|25VULN|3BEXP|4AART|69DMG|7MLV|8RCR|aASPD
22	41362 22216	 * 	233.07	DCR|3VULN|2DMG|1MLV	13RCVC|28aVULN|4aDMG|5MLV|6LWND|7aLIT|9RCR|aBPWR
23	16351 33315	   	233.00	DCR|3VULN|1DMG|1MLV|1AART|1ZMB	1ZMB|25aVULN|3BEXP|4AART|6DMG|7MLV|8RCR|9DUR
24	41211 26222	   	231.34	DCR|DCR|1VULN|1CDMG	1RCVC|2VULN|35TLV|456LHND|5BPWR|7aRCR|8BASARM|9CDMG
25	41221 56222	   	231.34	DCR|DCR|1VULN|1CDMG	1RCVC|2VULN|35TLV|45BEXP|5BPWR|6DMSP|7aRCR|8BASARM|9CDMG
26	41214 26222	   	231.24	DCR|DCR|1VULN|1CDMG	1RCVC|2VULN|3TLV|456LHND|7aRCR|8BASARM|9CDMG
27	41221 36222	   	231.24	DCR|DCR|1VULN|1CDMG	1RCVC|2VULN|35TLV|45BEXP|5BPWR|6AELOIC|7aRCR|8BASARM|9CDMG
28	41231 36222	   	231.24	DCR|DCR|1VULN|1CDMG	1RCVC|2VULN|35TLV|45LWND|5BPWR|6AELOIC|7aRCR|8BASARM|9CDMG
29	41251 36222	   	231.24	DCR|DCR|1VULN|1CDMG	1RCVC|2VULN|35TLV|45FEWX|5BPWR|6AELOIC|7aRCR|8BASARM|9CDMG
30	15111 61331	   	231.00	DCR|DCR|1VULN|1ASPD|1ZMB	1ZMB|2LIT|3TLV|4VULN|5LWND|6MDPS|78RCR|9LHND|aASPD
31	15111 61361	   	231.00	DCR|DCR|1VULN|1ASPD|1ZMB	1ZMB|2LIT|3TLV|4VULN|5LWND|6MDPS|78RCR|9BEXP|aASPD
32	14321 21613	   	230.80	DCR|DCR|1VULN|1ASPD|1ZMB	1ZMB|2MDPS|3RMIN|4AIRARM|5ASPD|68RCR|7AELOIC|9TLV|aVULN
33	14321 21652	   	230.80	DCR|DCR|1VULN|1ASPD|1ZMB	1ZMB|2MDPS|3RMIN|4AIRARM|5ASPD|68RCR|7AELOIC|9VULN|aBEXP
34	14321 21653	   	230.80	DCR|DCR|1VULN|1ASPD|1ZMB	1ZMB|2MDPS|3RMIN|4AIRARM|5ASPD|68RCR|7AELOIC|9VULN|aBBNT
35	14321 21651	   	230.70	DCR|DCR|1VULN|1ASPD|1ZMB	1ZMB|2MDPS|3RMIN|4AIRARM|5ASPD|68RCR|7AELOIC|9VULN|aDLOT
36	41113 42346	 * 	230.69	DCR|3VULN|2MLV|3DUR	1RCVC|25aVULN|3TSLARM|46aDUR|7MBVNT|8RCR|9aMLV|aBPWR
37	41242 32216	   	230.09	DCR|4VULN|2MLV	1RCVC|248aVULN|3TLV|5aMLV|6LEGI|7aLIT|9RCR|aBPWR
38	41113 16235	 * 	228.50	DCR|5VULN|2DUR	1RCVC|25679VULN|3TSLARM|49DUR|89ERES|9BPWR|aRCR
