0	Index      	 *	Score 	Summary	Detail	
1	22453 11326	 * 	305.55	DCR|DCR|2VULN|1DMG|1ASPD|1CDMG	1ASPD|2DMG|3LIT|4RPLT|5CDMG|6aVULN|79RCR|8MDPS
2	11251 32312	 * 	283.52	DCR|DCR|3DMG|1VULN	1RPLT|245DMG|34FEWX|4BPWR|6VULN|7ERES|8aRCR|9LWND
3	11251 32322	   	283.52	DCR|DCR|3DMG|1VULN	1RPLT|245DMG|34FEWX|4BPWR|6VULN|7ERES|8aRCR|9BEXP
4	11551 32312	   	283.52	DCR|DCR|3DMG|1VULN	1RPLT|245DMG|34LHND|4BPWR|6VULN|7ERES|8aRCR|9LWND
5	11551 32322	   	283.52	DCR|DCR|3DMG|1VULN	1RPLT|245DMG|34LHND|4BPWR|6VULN|7ERES|8aRCR|9BEXP
6	11251 32342	   	283.42	DCR|DCR|3DMG|1VULN	1RPLT|245DMG|34FEWX|4BPWR|6VULN|7ERES|8aRCR|9LEGI
7	11141 32312	   	283.32	DCR|DCR|3DMG|1VULN	1RPLT|235DMG|4DUST|6VULN|7ERES|8aRCR|9LWND
8	11141 32322	   	283.32	DCR|DCR|3DMG|1VULN	1RPLT|235DMG|4DUST|6VULN|7ERES|8aRCR|9BEXP
9	11651 32312	   	283.32	DCR|DCR|3DMG|1VULN	1RPLT|245DMG|34DUST|4BPWR|6VULN|7ERES|8aRCR|9LWND
10	11651 32322	   	283.32	DCR|DCR|3DMG|1VULN	1RPLT|245DMG|34DUST|4BPWR|6VULN|7ERES|8aRCR|9BEXP
11	11141 32342	   	283.22	DCR|DCR|3DMG|1VULN	1RPLT|235DMG|4DUST|6VULN|7ERES|8aRCR|9LEGI
12	11651 32342	   	283.22	DCR|DCR|3DMG|1VULN	1RPLT|245DMG|34DUST|4BPWR|6VULN|7ERES|8aRCR|9LEGI
13	22453 11325	   	282.67	DCR|DCR|1VULN|1DMG|2RPLT|1ASPD|1CDMG	1ASPD|2DMG|3LIT|4aRPLT|5CDMG|6VULN|79RCR|8MDPS
14	11353 12526	   	279.05	DCR|DCR|2DMG|1MLV|2DUR|1ASPD	1RPLT|24DMG|34DUR|4BPWR|5MLV|6ASPD|7BEXP|8aRCR|9FEWX
15	22126 11233	 * 	277.50	DCR|4VULN|2DMG|2ASPD	1aASPD|25DMG|3MDPS|456aVULN|5aBPWR|7RPLT|8aLHND|9RCR
16	22126 11433	   	277.50	DCR|4VULN|2DMG|2ASPD	1aASPD|25DMG|3MDPS|456aVULN|5aBPWR|7RPLT|8aLWND|9RCR
17	22453 11322	   	277.47	DCR|DCR|1VULN|1DMG|1ASPD|1CDMG	1ASPD|2DMG|3LIT|4RPLT|5CDMG|6VULN|79RCR|8MDPS|aTLV
18	22453 11324	   	277.47	DCR|DCR|1VULN|1DMG|1ASPD|1CDMG	1ASPD|2DMG|3LIT|4RPLT|5CDMG|6VULN|79RCR|8MDPS|aCGEN
19	22453 11321	   	277.37	DCR|DCR|1VULN|1DMG|1ASPD|1CDMG	1ASPD|2DMG|3LIT|4RPLT|5CDMG|6VULN|79RCR|8MDPS|aAME
20	22453 11323	   	277.37	DCR|DCR|1VULN|1DMG|1ASPD|1CDMG	1ASPD|2DMG|3LIT|4RPLT|5CDMG|6VULN|79RCR|8MDPS|aERES
