0	Index      	 *	Score 	Summary	Detail	
1	12233 26451	 * 	283.20	DCR|3VULN|3DMG|3ASPD	1RMIN|29aASPD|3DUR|49aDMG|59aVULN|6RCR|7DLOT|8BELT|9aBPWR
2	15134 53621	 * 	282.14	DCR|DCR|2VULN|1DMG|1CDMG	1RMIN|2FEWX|3MBVNT|4MDPS|58VULN|67RCR|9CDMG|aDMG
3	15134 53743	 * 	281.75	DCR|DCR|3VULN|1RPLT	1RMIN|29aFEWX|3MBVNT|4MDPS|59aVULN|67RCR|8RPLT|9aBPWR
4	15134 53713	   	281.65	DCR|DCR|3VULN|1RPLT	1RMIN|2aFEWX|3MBVNT|4MDPS|59aVULN|67RCR|8RPLT|aBPWR
5	12233 26222	   	276.12	DCR|DCR|1VULN|1DMG|1ASPD|1CDMG	1RMIN|2ASPD|3DUR|4DMG|5VULN|6aRCR|7DLOT|8LHND|9CDMG
6	15134 53741	   	275.72	DCR|DCR|2VULN|1MLV|1RPLT	1RMIN|29FEWX|3MBVNT|4MDPS|59VULN|67RCR|8RPLT|9BPWR|aMLV
7	15134 53711	   	275.62	DCR|DCR|2VULN|1MLV|1RPLT	1RMIN|2FEWX|3MBVNT|4MDPS|59VULN|67RCR|8RPLT|aMLV
8	15134 53633	   	271.89	DCR|DCR|3VULN	1RMIN|2FEWX|3MBVNT|4MDPS|58aVULN|67RCR|9LWND
9	15134 53611	   	265.96	DCR|DCR|2VULN|1MLV	1RMIN|2FEWX|3MBVNT|4MDPS|58VULN|67RCR|9TLV|aMLV
10	52463 22122	   	265.28	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG	1AAC|2ASPD|3LWND|4LHND|5MLV|6aRCR|7DLOT|8VULN|9CDMG
11	42463 22122	   	265.18	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG	1NUKE|2ASPD|3LWND|4LHND|5MLV|6aRCR|7DLOT|8VULN|9CDMG
12	52423 22122	   	265.18	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG	1AAC|2ASPD|3LWND|4DUST|5MLV|6aRCR|7DLOT|8VULN|9CDMG
13	42423 22122	   	265.08	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG	1NUKE|2ASPD|3LWND|4DUST|5MLV|6aRCR|7DLOT|8VULN|9CDMG
14	15134 53623	   	262.08	DCR|DCR|2VULN|1CDMG	1RMIN|2FEWX|3MBVNT|4MDPS|58VULN|67RCR|9CDMG|aRCVC
15	15134 53622	   	261.98	DCR|DCR|2VULN|1CDMG	1RMIN|2FEWX|3MBVNT|4MDPS|58VULN|67RCR|9CDMG|aDUST
16	15134 53624	   	261.98	DCR|DCR|2VULN|1CDMG	1RMIN|2FEWX|3MBVNT|4MDPS|58VULN|67RCR|9CDMG|aLEGI
17	53243 22122	   	259.69	DCR|DCR|1VULN|1MLV|1CDMG|1ZMB	1AAC|2LWND|3DUR|4ZMB|5MLV|6aRCR|7DLOT|8VULN|9CDMG
18	15134 53723	   	258.19	DCR|DCR|2VULN|1RPLT	1RMIN|2aFEWX|3MBVNT|4MDPS|5aVULN|67RCR|8RPLT|9RCVC|aBPWR
19	15134 53742	   	258.19	DCR|DCR|2VULN|1RPLT	1RMIN|29FEWX|3MBVNT|4MDPS|59VULN|67RCR|8RPLT|9BPWR|aAAC
20	15134 53712	   	258.09	DCR|DCR|2VULN|1RPLT	1RMIN|2FEWX|3MBVNT|4MDPS|59VULN|67RCR|8RPLT|aAAC
21	15134 53744	   	258.09	DCR|DCR|2VULN|1RPLT	1RMIN|29FEWX|3MBVNT|4MDPS|59VULN|67RCR|8RPLT|9BPWR|aAME
22	15134 53714	   	257.99	DCR|DCR|2VULN|1RPLT	1RMIN|2FEWX|3MBVNT|4MDPS|59VULN|67RCR|8RPLT|aAME
23	12433 21211	   	257.35	DCR|3VULN|2DMG|2ASPD|1AART	1RMIN|2aASPD|3LWND|4aDMG|57aVULN|6RCR|8BELT|9AART|aBPWR
24	15143 26363	   	256.93	DCR|DCR|2VULN	1RMIN|247FEWX|3MBVNT|57VULN|69RCR|7BPWR|8AAC|aDUR
25	15134 53182	   	256.73	DCR|DCR|2VULN	1RMIN|2FEWX|3MBVNT|4MDPS|5aVULN|67RCR|8LWND|9DUR
26	15134 53382	   	256.73	DCR|DCR|2VULN	1RMIN|2FEWX|3MBVNT|4MDPS|5aVULN|67RCR|8BEXP|9DUR
27	15134 53482	   	256.73	DCR|DCR|2VULN	1RMIN|2FEWX|3MBVNT|4MDPS|5aVULN|67RCR|8LHND|9DUR
28	52243 26222	   	256.06	DCR|DCR|1VULN|1ASPD|1CDMG	1AAC|2ASPD|3DUR|4RMIN|5VULN|6aRCR|7DLOT|8LHND|9CDMG
29	42243 26222	   	255.96	DCR|DCR|1VULN|1ASPD|1CDMG	1NUKE|2ASPD|3DUR|4RMIN|5VULN|6aRCR|7DLOT|8LHND|9CDMG
30	15134 53643	   	255.37	DCR|DCR|2VULN	1RMIN|2FEWX|3MBVNT|4MDPS|58VULN|67RCR|9LHND|aNUKE
31	15134 53221	   	254.06	DCR|DCR|1VULN|1DMG|1CDMG	1RMIN|2FEWX|3MBVNT|4MDPS|5VULN|67RCR|8RCVC|9CDMG|aDMG
32	11143 21413	   	254.06	DCR|DCR|1VULN|1DMG|1CDMG	1RMIN|2TSLARM|3LEGI|4LIT|5BEXP|6VULN|7aRCR|8CDMG|9DMG
