0	Index      	 *	Score 	Summary	Detail	
1	32134 23434	 * 	298.27	ACR|DCR|3VULN|1DMG|2CDMG|2DUR	17CDMG|2LWND|3RCVC|47aVULN|59RCR|67DUR|7BPWR|8DMG
2	15212 64312	 * 	286.18	DCR|DCR|2VULN|2DMG	12DMG|2BPWR|34RCVC|59VULN|6BLASTR|7LIT|8aRCR
3	12241 63234	 * 	280.99	ACR|DCR|2VULN|2MLV|1DMG|1SELL	1DMG|23MLV|49RCR|5aVULN|6DUR|7SELL|8CGEN
4	33334 53431	   	274.81	ACR|DCR|2VULN|1DMG|2CDMG|2DUR	17CDMG|23DUR|47VULN|59RCR|67LWND|7BPWR|8DMG|aBEXP
5	33334 53432	   	274.81	ACR|DCR|2VULN|1DMG|2CDMG|2DUR	17CDMG|23DUR|47VULN|59RCR|67LWND|7BPWR|8DMG|aRCVC
6	33334 53433	   	274.81	ACR|DCR|2VULN|1DMG|2CDMG|2DUR	17CDMG|23DUR|47VULN|59RCR|67LWND|7BPWR|8DMG|aCGEN
7	32134 23431	   	274.81	ACR|DCR|2VULN|1DMG|2CDMG|2DUR	17CDMG|2LWND|3RCVC|47VULN|59RCR|67DUR|7BPWR|8DMG|aBEXP
8	32134 23432	   	274.81	ACR|DCR|2VULN|1DMG|2CDMG|2DUR	17CDMG|2LWND|3aRCVC|47VULN|59RCR|67DUR|7BPWR|8DMG
9	32134 23433	   	274.81	ACR|DCR|2VULN|1DMG|2CDMG|2DUR	17CDMG|2LWND|3RCVC|47VULN|59RCR|67DUR|7BPWR|8DMG|aCGEN
10	32134 23435	   	274.81	ACR|DCR|2VULN|1DMG|2CDMG|2DUR	17CDMG|2LWND|3RCVC|47VULN|59RCR|67DUR|7BPWR|8DMG|aLHND
11	32134 23436	   	274.81	ACR|DCR|2VULN|1DMG|2CDMG|2DUR	17CDMG|2LWND|3RCVC|47VULN|59RCR|67DUR|7BPWR|8DMG|aBELT
12	36364 11331	 * 	273.22	DCR|5VULN|1DMG|1CDMG	1CDMG|2589aVULN|3DUR|4DMG|6RPLT|7RCR
13	12241 42334	 * 	272.58	ACR|DCR|2VULN|2MLV|1DMG|1SELL	1DMG|23MLV|49RCR|5aVULN|6AME|7LHND|8SELL
14	35225 11138	   	271.74	DCR|DCR|2VULN|1CDMG	1CDMG|2MBVNT|3AAC|45VULN|6RPLT|7MDPS|8aRCR|9RCVC
15	13411 21378	 * 	268.70	DCR|3VULN|3ASPD|2DMG	1aDMG|2BEXP|36aASPD|48aVULN|5MBVNT|7RCR|9AART|aBPWR
16	13411 21548	   	268.70	DCR|3VULN|3ASPD|2DMG	1aDMG|2BEXP|36aASPD|49aVULN|5MBVNT|7RCR|8RPLT|aBPWR
17	13415 21321	 * 	268.38	DCR|3VULN|2DMG|2MLV|1ASPD	19DMG|29BEXP|3ASPD|48aVULN|59MLV|6AAC|7RCR|9BPWR
