0	Index      	 *	Score 	Summary	Detail	
1	11263 25363	 * 	375.03	DCR|3VULN|1MDPS|1DUR	1AAC|249VULN|3RMIN|5DMSP|6RCR|7LIT|8DUR|aMDPS
2	33324 31216	 * 	364.90	DCR|1MDPS|1VULN|1CDMG|1TLV|1DMG|1DUR|1AART	1CGEN|2AART|3DMG|4VULN|5TLV|6RCR|7LHND|8CDMG|9DUR|aMDPS
3	33324 36216	   	364.90	DCR|1MDPS|1VULN|1CDMG|1TLV|1DMG|1DUR|1AART	1CGEN|2AART|3DMG|4VULN|5TLV|6RCR|7FEWX|8CDMG|9DUR|aMDPS
4	51151 13231	 * 	351.83	2MDPS|2VULN|1CDMG|2DUR	18DUR|2LWND|34VULN|5LHND|6BOSS|7CDMG|9aMDPS
5	51156 33231	   	351.83	2MDPS|2VULN|1CDMG|2DUR	18DUR|2LWND|34VULN|5LIT|6LHND|7CDMG|9aMDPS
6	54151 13231	   	351.83	2MDPS|2VULN|1CDMG|2DUR	18DUR|2FEWX|34VULN|5LWND|6BOSS|7CDMG|9aMDPS
7	56151 13231	   	351.83	2MDPS|2VULN|1CDMG|2DUR	18DUR|2BEXP|34VULN|5LWND|6BOSS|7CDMG|9aMDPS
8	51422 33231	   	351.83	2MDPS|2VULN|1CDMG|2DUR	18DUR|2LWND|3LIT|45VULN|6LHND|7CDMG|9aMDPS
9	51424 12231	   	351.83	2MDPS|2VULN|1CDMG|2DUR	18DUR|2LWND|3LIT|47VULN|5CDMG|6FEWX|9aMDPS
10	52124 32231	   	351.83	2MDPS|2VULN|1CDMG|2DUR	18DUR|2LIT|3LHND|47VULN|5CDMG|6LWND|9aMDPS
11	41422 43231	   	351.73	2MDPS|2VULN|1CDMG|2DUR	1DUST|2LWND|3LIT|45VULN|68DUR|7CDMG|9aMDPS
12	51152 13231	   	351.73	2MDPS|2VULN|1CDMG|2DUR	18DUR|2LWND|34VULN|5AETHUN|6BOSS|7CDMG|9aMDPS
13	55122 51321	   	351.21	DCR|2VULN|1MDPS|1DMG|1DUR	1DUR|2AETHUN|38VULN|4DMG|5RAT|6RMIN|7LHND|9RCR|aMDPS
