0	Index      	 *	Score 	Summary	Detail	
1	32315 12146	 * 	441.45	DCR|4VULN|1MDPS|1CDMG	1237VULN|4LIT|5DUR|6CDMG|8RCR|9FEWX|aMDPS
2	32315 12166	   	441.35	DCR|4VULN|1MDPS|1CDMG|1MSE	1237VULN|4LIT|5DUR|6CDMG|8RCR|9MSE|aMDPS
3	31321 56222	 * 	438.99	DCR|3VULN|1MDPS|2CDMG|3DUR	137VULN|2MSLTOX|47CDMG|567DUR|7BPWR|8LWND|9RCR|aMDPS
4	32521 56222	   	438.89	DCR|3VULN|1MDPS|2CDMG|3DUR	127VULN|3FLTHEA|47CDMG|567DUR|7BPWR|8LWND|9RCR|aMDPS
5	34321 56222	   	438.89	DCR|3VULN|1MDPS|2CDMG|3DUR	137VULN|2VENFST|47CDMG|567DUR|7BPWR|8LWND|9RCR|aMDPS
6	31321 56322	   	438.89	DCR|3VULN|1MDPS|2CDMG|3DUR	137VULN|2MSLTOX|47CDMG|567DUR|7BPWR|8DUST|9RCR|aMDPS
7	32521 56322	   	438.79	DCR|3VULN|1MDPS|2CDMG|3DUR	127VULN|3FLTHEA|47CDMG|567DUR|7BPWR|8DUST|9RCR|aMDPS
8	34321 56322	   	438.79	DCR|3VULN|1MDPS|2CDMG|3DUR	137VULN|2VENFST|47CDMG|567DUR|7BPWR|8DUST|9RCR|aMDPS
9	32632 31636	   	419.00	DCR|3VULN|1MDPS|3DUR|1DMG	128VULN|38ERES|4FEWX|5DMG|689DUR|7RCR|8BPWR|aMDPS
10	12214 31541	 * 	415.67	ACR|DCR|3VULN|1MDPS	16RCR|28CGEN|38ASPD|4BELT|578VULN|8BPWR|9DUR|aMDPS
11	32322 33635	   	413.95	DCR|4VULN|1MDPS	1238VULN|4RCVC|5FRZFST|6DMSP|7RCR|9DUR|aMDPS
12	32362 33635	   	413.85	DCR|4VULN|1MDPS	1238VULN|4AEPOI|5FRZFST|6DMSP|7RCR|9DUR|aMDPS
13	32633 31245	 * 	411.68	DCR|2MDPS|2VULN	12VULN|3ERES|4FEWX|5RMIN|6DUR|7RCR|8MSLREG|9aMDPS
14	32333 62122	 * 	411.63	5VULN|1MDPS|2CDMG|3DUR	12368VULN|48CDMG|578DUR|8BPWR|9ZMB|aMDPS
15	32333 62152	   	411.63	5VULN|1MDPS|2CDMG|3DUR	12368VULN|48CDMG|578DUR|8BPWR|9CGEN|aMDPS
