0	Index      	Bounty	 *	Score 	Summary	Detail	
1	22231 66313	10	 * 	317.72	DCR|5VULN|2DMG|2DUR|1CDMG	1aDUR|2479aVULN|3LIT|5CDMG|6RCR|8aDMG|aBPWR
2	21133 36162	3	 * 	316.31	DCR|4VULN|3DMG|3DUR|1ASPD	179DUR|2ASPD|3679VULN|4RPLT|579DMG|79BPWR|8RCR|aLWND
3	21133 36164	3	   	316.31	DCR|4VULN|3DMG|3DUR|1ASPD	179DUR|2ASPD|3679VULN|4RPLT|579DMG|79BPWR|8RCR|aLHND
4	21133 36161	3	   	316.21	DCR|4VULN|3DMG|3DUR|1ASPD	179DUR|2ASPD|3679VULN|4RPLT|579DMG|79BPWR|8RCR|aBBNT
5	21133 36163	3	   	316.21	DCR|4VULN|3DMG|3DUR|1ASPD	179DUR|2ASPD|3679VULN|4RPLT|579DMG|79BPWR|8RCR|aTBNT
6	22231 66253	10	 * 	308.03	DCR|4VULN|3DUR|2ASPD|2CDMG|2LIT	18aDUR|247aVULN|38LIT|58CDMG|6RCR|8aBPWR|9aASPD
7	22231 66343	10	   	304.73	DCR|4VULN|2DMG|2DUR|2LIT|1CDMG	1aDUR|247aVULN|39LIT|5CDMG|6RCR|8aDMG|aBPWR
8	21133 36111	3	   	295.53	DCR|4VULN|2DMG|2DUR|1ASPD	17DUR|2ASPD|367aVULN|4RPLT|57DMG|7BPWR|8RCR|9LIT
9	21145 36111	5	   	295.53	DCR|4VULN|2DMG|2DUR|1ASPD	17DUR|2ASPD|367aVULN|47DMG|5RPLT|7BPWR|8RCR|9LIT
10	22135 36163	5	 * 	294.80	DCR|2VULN|3DMG|3DUR|3ASPD	179DUR|26VULN|379DMG|479ASPD|5RPLT|79BPWR|8RCR|aLIT
11	21131 26162	3	   	293.67	DCR|3VULN|3DMG|3DUR|1ASPD	179DUR|2ASPD|379VULN|4RPLT|5RCVC|679DMG|79BPWR|8RCR|aLWND
12	21131 26164	3	   	293.67	DCR|3VULN|3DMG|3DUR|1ASPD	179DUR|2ASPD|379VULN|4RPLT|5RCVC|679DMG|79BPWR|8RCR|aLHND
13	21131 26161	3	   	293.57	DCR|3VULN|3DMG|3DUR|1ASPD	179DUR|2ASPD|379VULN|4RPLT|5RCVC|679DMG|79BPWR|8RCR|aBBNT
14	21131 26163	3	   	293.57	DCR|3VULN|3DMG|3DUR|1ASPD	179DUR|2ASPD|379VULN|4RPLT|5RCVC|679DMG|79BPWR|8RCR|aTBNT
15	22124 31342	2	   	292.25	DCR|4VULN|2DUR|2TLV|1DMG|1CDMG	18DUR|258aVULN|3CGEN|4CDMG|6RCR|78TLV|8BPWR|9DMG
16	22624 31342	2	   	292.15	DCR|4VULN|2DUR|2TLV|1DMG|1CDMG	18DUR|258aVULN|3ERES|4CDMG|6RCR|78TLV|8BPWR|9DMG
17	22231 66153	10	   	288.06	DCR|4VULN|2DUR|2ASPD|2CDMG	1aDUR|247aVULN|3LIT|58CDMG|6RCR|9aASPD|aBPWR
