0	Index      	Bounty	 *	Score 	Summary	Detail	
1	33333 44325	10	 * 	294.23	DCR|5VULN|3ASPD|1DMG|1TLV	156ASPD|2TLV|3ERES|45679VULN|56BPWR|8RCR|aDMG
2	33333 41613	6	   	290.94	DCR|4VULN|3ASPD|1DMG|1TLV|1DUR	156ASPD|2TLV|3ERES|456aVULN|56BPWR|7DUR|8RCR|9DMG
3	33333 43613	7	   	290.94	DCR|4VULN|3ASPD|1DMG|1TLV|1DUR	156ASPD|2TLV|3ERES|456aVULN|56BPWR|7DUR|8RCR|9DMG
4	33333 44326	8	   	290.41	DCR|5VULN|3ASPD|1TLV|1DUR	156ASPD|2TLV|3ERES|4567aVULN|56BPWR|8RCR|9DUR
5	33333 44322	10	   	290.41	DCR|5VULN|3ASPD|1TLV|1DUR	156ASPD|2TLV|3ERES|45679VULN|56BPWR|8RCR|aDUR
6	33333 44326	10	   	283.82	DCR|5VULN|3ASPD|1TLV|1AART	156ASPD|2TLV|3ERES|45679VULN|56BPWR|8RCR|aAART
7	31651 42321	1	 * 	281.85	DCR|3VULN|3DUR|3ASPD|1CDMG	128ASPD|38aDUR|4CDMG|5LIT|6RCR|789VULN|8BPWR
8	32151 46321	2	   	281.85	DCR|3VULN|3DUR|3ASPD|1CDMG	189ASPD|238VULN|4CDMG|5LIT|6RCR|78aDUR|8BPWR
9	33332 36221	7	 * 	279.48	DCR|3VULN|3DMG|2ASPD|2TLV	1aASPD|26TLV|3aERES|48aVULN|567DMG|6aBPWR|9RCR
10	33333 44253	10	   	279.18	DCR|4VULN|3ASPD|1TLV|1DUR	156ASPD|2TLV|3ERES|4567VULN|56BPWR|8DUR|9LIT|aRCR
11	32151 46332	2	 * 	279.16	DCR|3VULN|2DUR|2ASPD|1DMG|1CDMG	18ASPD|238VULN|4CDMG|5LIT|6RCR|78DUR|8BPWR|9LWND|aDMG
12	33333 45621	7	 * 	278.26	DCR|4VULN|3ASPD|2TLV|2CDMG|1SELL	156ASPD|2aTLV|3ERES|456aVULN|56aBPWR|7aCDMG|8SELL|9RCR
13	33333 42221	6	 * 	278.08	DCR|5VULN|3ASPD|2TLV	156ASPD|2aTLV|3ERES|4568aVULN|56aBPWR|7aZMB|9RCR
14	33333 44311	9	   	278.08	DCR|5VULN|3ASPD|2TLV	156ASPD|2aTLV|3ERES|4567aVULN|56aBPWR|8RCR|9aZMB
15	31141 42321	1	 * 	274.94	DCR|3VULN|2DUR|3ASPD|2CDMG	128ASPD|38CDMG|4aDUR|5LIT|6RCR|789VULN|8BPWR
16	33333 41613	7	   	274.69	DCR|4VULN|3ASPD|1DMG|1TLV	156ASPD|2TLV|3ERES|456aVULN|56BPWR|7BEXP|8RCR|9DMG
17	33333 43613	6	   	274.69	DCR|4VULN|3ASPD|1DMG|1TLV	156ASPD|2TLV|3ERES|456aVULN|56BPWR|7LWND|8RCR|9DMG
18	33333 44316	10	   	274.69	DCR|4VULN|3ASPD|1DMG|1TLV	156ASPD|2TLV|3ERES|4567VULN|56BPWR|8RCR|9ZMB|aDMG
19	33333 44323	8	   	274.59	DCR|4VULN|3ASPD|2TLV|1DUR	156ASPD|2aTLV|3ERES|4567VULN|56BPWR|8RCR|9DUR
20	33333 46613	7	   	274.59	DCR|4VULN|3ASPD|1DMG|1TLV	156ASPD|2TLV|3ERES|456aVULN|56BPWR|7DUST|8RCR|9DMG
21	33333 44362	10	   	274.59	DCR|4VULN|3ASPD|2TLV|1DUR	156ASPD|29TLV|3ERES|4567VULN|56BPWR|8RCR|aDUR
22	33333 44321	9	   	274.16	DCR|5VULN|3ASPD|1TLV	156ASPD|2TLV|3ERES|45679VULN|56BPWR|8RCR|aZMB
23	33333 44321	10	   	274.16	DCR|5VULN|3ASPD|1TLV	156ASPD|2TLV|3ERES|45679VULN|56BPWR|8RCR|aLWND
24	33333 44323	10	   	274.16	DCR|5VULN|3ASPD|1TLV	156ASPD|2TLV|3ERES|45679VULN|56BPWR|8RCR|aZMB
25	33333 44324	9	   	274.16	DCR|5VULN|3ASPD|1TLV	156ASPD|2TLV|3ERES|45679VULN|56BPWR|8RCR|aLHND
26	33333 44351	8	   	274.16	DCR|5VULN|3ASPD|1TLV	156ASPD|2TLV|3ERES|45679VULN|56BPWR|8RCR|aZMB
27	33333 44322	9	   	274.06	DCR|5VULN|3ASPD|1TLV	156ASPD|2TLV|3aERES|45679VULN|56BPWR|8RCR
28	33333 44323	9	   	274.06	DCR|5VULN|3ASPD|1TLV	156ASPD|2TLV|3ERES|45679VULN|56BPWR|8RCR|aBBNT
29	33333 44324	10	   	274.06	DCR|5VULN|3ASPD|1TLV	156ASPD|2TLV|3aERES|45679VULN|56BPWR|8RCR
30	33333 44326	9	   	274.06	DCR|5VULN|3ASPD|1TLV	156ASPD|2TLV|3ERES|45679VULN|56BPWR|8RCR|aMBVNT
31	33333 44352	8	   	274.06	DCR|5VULN|3ASPD|1TLV	156ASPD|2TLV|3aERES|45679VULN|56BPWR|8RCR
32	33333 44353	8	   	274.06	DCR|5VULN|3ASPD|1TLV	156ASPD|2TLV|3ERES|45679VULN|56BPWR|8RCR|aBBNT
33	33333 44331	8	   	273.92	DCR|5VULN|3ASPD|1TLV|1SELL	156ASPD|2TLV|3ERES|4567aVULN|56BPWR|8RCR|9SELL
34	51122 52116	6	 * 	273.82	DCR|3VULN|2DMG|2CDMG|1DUR|2LIT	19LIT|2DUR|39DMG|4LWND|57aVULN|6RCR|89CDMG|9BPWR
35	51132 52116	6	   	273.82	DCR|3VULN|2DMG|2CDMG|1DUR|2LIT	19LIT|2DUR|39DMG|4LHND|57aVULN|6RCR|89CDMG|9BPWR
36	32124 37284	7	   	273.76	DCR|3VULN|2DMG|2ASPD|1TLV|1CDMG	17ASPD|247VULN|3BELT|57DMG|6MBVNT|7BPWR|8TLV|9RCR|aCDMG
37	32124 38284	6	   	273.76	DCR|3VULN|2DMG|2ASPD|1TLV|1CDMG	17ASPD|247VULN|3BELT|57DMG|6MBVNT|7BPWR|8TLV|9RCR|aCDMG
38	33333 44352	10	   	272.59	DCR|4VULN|3ASPD|1TLV|1AART	156ASPD|2TLV|3ERES|4567VULN|56BPWR|8RCR|9LIT|aAART
39	52512 16312	3	 * 	271.76	DCR|4VULN|3DUR|3LIT	179LIT|2RMIN|3RPLT|4DUST|5789VULN|679DUR|79BPWR|aRCR
40	33333 44321	8	   	270.87	DCR|4VULN|3ASPD|1TLV|1DUR	156ASPD|2TLV|3ERES|4567VULN|56BPWR|8RCR|9DUR|aFEWX
41	33333 44322	8	   	270.87	DCR|4VULN|3ASPD|1TLV|1DUR	156ASPD|2TLV|3ERES|4567VULN|56BPWR|8RCR|9DUR|aRCVC
42	33333 44324	8	   	270.87	DCR|4VULN|3ASPD|1TLV|1DUR	156ASPD|2TLV|3ERES|4567VULN|56BPWR|8RCR|9DUR|aRPLT
43	33333 44325	8	   	270.87	DCR|4VULN|3ASPD|1TLV|1DUR	156ASPD|2TLV|3ERES|4567VULN|56BPWR|8RCR|9DUR|aZMB
44	33333 44332	10	   	270.87	DCR|4VULN|3ASPD|1TLV|1DUR	156ASPD|2TLV|3ERES|4567VULN|56BPWR|8RCR|9RCVC|aDUR
45	51161 42323	5	 * 	270.78	DCR|2VULN|3DUR|2TLV|1DMG|2LIT|1CDMG	18LIT|258DUR|3DMG|4CDMG|6RCR|78VULN|8BPWR|9aTLV
46	33333 44336	8	   	270.63	DCR|4VULN|3ASPD|1TLV|1DUR|1SELL	156ASPD|2TLV|3ERES|4567VULN|56BPWR|8RCR|9SELL|aDUR
47	33333 41652	6	   	270.19	DCR|3VULN|3ASPD|1TLV|1DUR|1CDMG	156ASPD|2TLV|3ERES|456VULN|56BPWR|7DUR|8RCR|9LIT|aCDMG
48	33333 43652	7	   	270.19	DCR|3VULN|3ASPD|1TLV|1DUR|1CDMG	156ASPD|2TLV|3ERES|456VULN|56BPWR|7DUR|8RCR|9LIT|aCDMG
49	31651 42322	1	   	268.62	DCR|3VULN|2DUR|3ASPD|1CDMG	128ASPD|38DUR|4CDMG|5LIT|6RCR|789VULN|8BPWR|aZMB
50	31651 42323	1	   	268.62	DCR|3VULN|3ASPD|2DUR|1CDMG	128ASPD|38DUR|4CDMG|5LIT|6RCR|789VULN|8BPWR|aMLV
51	32151 46322	2	   	268.62	DCR|3VULN|2DUR|3ASPD|1CDMG	189ASPD|238VULN|4CDMG|5LIT|6RCR|78DUR|8BPWR|aZMB
52	32151 46323	2	   	268.62	DCR|3VULN|3ASPD|2DUR|1CDMG	189ASPD|238VULN|4CDMG|5LIT|6RCR|78DUR|8BPWR|aMLV
53	33333 41611	6	   	268.30	DCR|3VULN|3ASPD|1DMG|1TLV|1DUR	156ASPD|2TLV|3ERES|456VULN|56BPWR|7DUR|8RCR|9DMG|aCGEN
54	33333 41614	6	   	268.30	DCR|3VULN|3ASPD|1DMG|1DUR|1TLV	156ASPD|2TLV|3ERES|456VULN|56BPWR|7DUR|8RCR|9DMG|aLWND
55	33333 41615	6	   	268.30	DCR|3VULN|3ASPD|1DMG|1TLV|1DUR	156ASPD|2TLV|3ERES|456VULN|56BPWR|7DUR|8RCR|9DMG|aRPLT
56	33333 43611	7	   	268.30	DCR|3VULN|3ASPD|1DMG|1TLV|1DUR	156ASPD|2TLV|3ERES|456VULN|56BPWR|7DUR|8RCR|9DMG|aCGEN
57	33333 43614	7	   	268.30	DCR|3VULN|3ASPD|1DMG|1DUR|1TLV	156ASPD|2TLV|3ERES|456VULN|56BPWR|7DUR|8RCR|9DMG|aLWND
58	33333 43615	7	   	268.30	DCR|3VULN|3ASPD|1DMG|1TLV|1DUR	156ASPD|2TLV|3ERES|456VULN|56BPWR|7DUR|8RCR|9DMG|aRPLT
59	33333 42222	6	   	268.27	DCR|4VULN|3ASPD|1TLV|1CDMG	156ASPD|2TLV|3ERES|4568VULN|56BPWR|7ZMB|9RCR|aCDMG
60	33333 44312	9	   	268.27	DCR|4VULN|3ASPD|1TLV|1CDMG	156ASPD|2TLV|3ERES|4567VULN|56BPWR|8RCR|9ZMB|aCDMG
61	33333 45121	10	   	268.27	DCR|4VULN|3ASPD|1TLV|1CDMG	156ASPD|2TLV|3ERES|4569VULN|56BPWR|7CDMG|8LHND|aRCR
62	33333 45321	10	   	268.27	DCR|4VULN|3ASPD|1TLV|1CDMG	156ASPD|2TLV|3ERES|4569VULN|56BPWR|7CDMG|8BEXP|aRCR
63	33333 45421	10	   	268.27	DCR|4VULN|3ASPD|1TLV|1CDMG	156ASPD|2TLV|3ERES|4569VULN|56BPWR|7CDMG|8LWND|aRCR
64	22342 36222	7	   	268.20	DCR|3VULN|3DMG|1TLV|1CDMG	1TLV|268VULN|3MLV|4ZMB|567DMG|6BPWR|9RCR|aCDMG
65	42342 36222	7	   	268.20	DCR|3VULN|3DMG|1TLV|1CDMG	1MLV|268VULN|3TLV|4ZMB|567DMG|6BPWR|9RCR|aCDMG
66	33333 15613	6	   	268.20	DCR|3VULN|3ASPD|1DMG|1TLV|1DUR	157ASPD|2TLV|3ERES|45aVULN|5BPWR|6DUR|8RCR|9DMG
67	33333 41612	6	   	268.20	DCR|3VULN|3ASPD|1DMG|1DUR|1TLV	156ASPD|2TLV|3ERES|456VULN|56BPWR|7DUR|8RCR|9DMG|aBBNT
68	33333 41616	6	   	268.20	DCR|3VULN|3ASPD|1DMG|1TLV|1DUR	156ASPD|2TLV|3aERES|456VULN|56BPWR|7DUR|8RCR|9DMG
69	33333 43612	7	   	268.20	DCR|3VULN|3ASPD|1DMG|1DUR|1TLV	156ASPD|2TLV|3ERES|456VULN|56BPWR|7DUR|8RCR|9DMG|aBBNT
70	33333 43616	7	   	268.20	DCR|3VULN|3ASPD|1DMG|1TLV|1DUR	156ASPD|2TLV|3aERES|456VULN|56BPWR|7DUR|8RCR|9DMG
71	34522 36232	9	 * 	268.14	DCR|2VULN|3DMG|3ASPD|1DUR|1NUKE|1AART	169ASPD|2NUKE|3MLV|49VULN|569DMG|69BPWR|7RCR|8AART|aDUR
72	34522 36233	10	   	268.14	DCR|2VULN|3DMG|3ASPD|1TLV|1NUKE|1AART	169ASPD|2NUKE|3MLV|49VULN|569DMG|69BPWR|7RCR|8AART|aTLV
73	22442 36222	7	   	268.10	DCR|3VULN|3DMG|1TLV|1CDMG	1TLV|268VULN|3ERES|4ZMB|567DMG|6BPWR|9RCR|aCDMG
74	33132 25561	3	 * 	267.85	DCR|3VULN|3ASPD|3CDMG|1TLV|1AART	189ASPD|2TLV|389CDMG|489VULN|5AART|6BBNT|7RMIN|89BPWR|aRCR
75	33332 25561	2	   	267.85	DCR|3VULN|3ASPD|3CDMG|1TLV|1AART	189ASPD|2TLV|389CDMG|489VULN|5AART|6BBNT|7RMIN|89BPWR|aRCR
76	51161 42321	5	   	267.07	DCR|2VULN|3DUR|1DMG|1TLV|2LIT|1CDMG	18LIT|258DUR|3DMG|4CDMG|6RCR|78VULN|8BPWR|9TLV|aMLV
77	51161 42322	5	   	267.07	DCR|2VULN|3DUR|1DMG|1TLV|2LIT|1CDMG	18LIT|258DUR|3DMG|4CDMG|6RCR|78VULN|8BPWR|9TLV|aBEXP
78	22253 23165	10	   	267.06	DCR|4VULN|1DMG|1TLV|1CDMG|1AART	1TLV|2458VULN|35DUST|5BPWR|6CDMG|7AART|9RCR|aDMG
79	51421 13123	6	   	266.66	DCR|4VULN|3DUR|2LIT	17LIT|236DUR|478aVULN|57ZMB|7BPWR|9RCR
80	51421 15123	7	   	266.66	DCR|4VULN|3DUR|2LIT	17LIT|236DUR|478aVULN|57ZMB|7BPWR|9RCR
81	51422 33123	5	   	266.66	DCR|4VULN|3DUR|2LIT	17LIT|235DUR|478aVULN|67ZMB|7BPWR|9RCR
