0	Index      	Bounty	 *	Score 	Summary	Detail	
1	23341 44312	1	 * 	298.45	DCR|5VULN|3DMG	14679VULN|248DMG|3AART|4BPWR|5LIT|aRCR
2	23341 45312	1	   	293.16	DCR|4VULN|2DMG|1TLV|1CDMG	1468VULN|24DMG|3AART|4BPWR|5LIT|7RCR|9TLV|aCDMG
3	23341 45332	1	   	290.51	DCR|4VULN|2DMG|1DUR|1ASPD	1468VULN|24DMG|3AART|4BPWR|5LIT|7RCR|9DUR|aASPD
4	25611 31151	7	 * 	286.46	DCR|3VULN|2DUR|1DMG|1TLV|1CDMG|1ASPD	167VULN|2CDMG|3ASPD|46DUR|5AART|6BPWR|8TLV|9DMG|aRCR
5	25611 31621	8	   	286.46	DCR|3VULN|2DUR|1DMG|1TLV|1CDMG|1ASPD	167VULN|2CDMG|3ASPD|46DUR|5AART|6BPWR|8DMG|9TLV|aRCR
6	25611 33151	6	   	286.46	DCR|3VULN|2DUR|1DMG|1TLV|1CDMG|1ASPD	167VULN|2CDMG|3ASPD|46DUR|5AART|6BPWR|8TLV|9DMG|aRCR
7	23341 45333	1	   	286.06	DCR|4VULN|2DMG|1DUR|2LIT	1468VULN|24DMG|3AART|4BPWR|5aLIT|7RCR|9DUR
8	25611 31226	10	 * 	283.44	DCR|3VULN|3DUR|1DMG|1CDMG|1ASPD	167VULN|2CDMG|3ASPD|469DUR|5AART|6BPWR|8RCR|aDMG
9	23363 52153	10	 * 	280.89	DCR|5VULN|2ASPD|1TLV|1DUR	14568VULN|2RCVC|36ASPD|6BPWR|7DUR|9TLV|aRCR
10	25611 31221	9	   	279.62	DCR|3VULN|3DUR|1TLV|1CDMG|1ASPD	167VULN|2CDMG|3ASPD|469DUR|5AART|6BPWR|8RCR|aTLV
11	25611 31222	10	   	279.62	DCR|3VULN|3DUR|1TLV|1CDMG|1ASPD	167VULN|2CDMG|3ASPD|469DUR|5AART|6BPWR|8RCR|aTLV
12	23341 45311	1	   	279.51	DCR|4VULN|2DMG|1TLV	1468VULN|24DMG|3AART|4BPWR|5LIT|7RCR|9TLV|aRCVC
13	23341 45313	1	   	279.51	DCR|4VULN|2DMG|1TLV	1468VULN|24DMG|3AART|4BPWR|5LIT|7RCR|9TLV|aMLV
