0	Index      	Bounty	 *	Score 	Summary	Detail	
1	42315 31622	5	 * 	270.68	DCR|5VULN|1TLV|1DUR|1ASPD	15BEXP|23456VULN|5BPWR|7RCR|8ASPD|9TLV|aDUR
2	22312 32515	6	 * 	269.75	DCR|4VULN|2DMG|1TLV	1FEWX|2346VULN|5LIT|78DMG|9RCR|aTLV
3	42312 32515	6	   	269.75	DCR|4VULN|2DMG|1TLV	1BEXP|2346VULN|5LIT|78DMG|9RCR|aTLV
4	32123 13161	9	 * 	266.51	DCR|3VULN|3DUR|2DMG	139ERES|267DUR|459VULN|89DMG|9BPWR|aRCR
5	42315 31324	5	 * 	263.49	DCR|5VULN|1DMG|1TLV	15BEXP|23456VULN|5BPWR|7RCR|8ZMB|9TLV|aDMG
6	22315 33488	10	   	263.39	DCR|5VULN|1DMG|1TLV	15FEWX|23459VULN|5BPWR|6MBVNT|7RCR|8TLV|aDMG
7	22315 11433	5	 * 	262.20	DCR|5VULN|2TLV|2LIT	156FEWX|2345aVULN|5aBPWR|7RCR|8aTLV|9aLIT
8	42315 32252	5	   	261.40	DCR|5VULN|1TLV|1AART	15BEXP|23456VULN|5BPWR|7TLV|8LIT|9RCR|aAART
9	22315 33287	8	   	260.79	DCR|5VULN|1DMG|1CDMG	15FEWX|2345aVULN|5BPWR|6MBVNT|7RCR|8CDMG|9DMG
10	42315 32483	8	   	260.79	DCR|5VULN|1DMG|1CDMG	15BEXP|23457VULN|5BPWR|6MBVNT|8CDMG|9RCR|aDMG
11	21633 33521	4	   	260.77	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1AART	1FEWX|2DUR|3AART|469VULN|5CDMG|7DMG|8RCR|aTLV
12	21633 33521	3	   	260.77	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1AART	1FEWX|2DUR|3AART|469VULN|5CDMG|7DMG|8RCR|aTLV
13	22613 33521	4	   	260.77	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1AART	1FEWX|269VULN|3AART|4DUR|5CDMG|7DMG|8RCR|aTLV
14	41633 33521	4	   	260.77	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1AART	1BEXP|2DUR|3AART|469VULN|5CDMG|7DMG|8RCR|aTLV
15	42613 33521	4	   	260.77	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1AART	1BEXP|269VULN|3AART|4DUR|5CDMG|7DMG|8RCR|aTLV
16	42315 31322	5	   	259.68	DCR|5VULN|1TLV|1DUR	15BEXP|23456VULN|5BPWR|7RCR|8ZMB|9TLV|aDUR
17	22315 33481	8	   	259.58	DCR|5VULN|1TLV|1DUR	15FEWX|2345aVULN|5BPWR|6MBVNT|7RCR|8TLV|9DUR
18	22315 33547	8	   	259.58	DCR|5VULN|1TLV|1DUR	15FEWX|23459VULN|5BPWR|6MBVNT|7RCR|8DUR|aTLV
19	22315 33647	7	   	259.58	DCR|5VULN|1TLV|1DUR	15FEWX|23459VULN|5BPWR|6MBVNT|7RCR|8DUR|aTLV
20	42315 33481	8	   	259.58	DCR|5VULN|1TLV|1DUR	15BEXP|2345aVULN|5BPWR|6MBVNT|7RCR|8TLV|9DUR
21	61313 52316	10	   	259.42	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG	1MLV|2LIT|3DMG|489VULN|5DUR|6TLV|7CDMG|aRCR
22	31313 52316	10	   	259.32	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG	1ERES|2LIT|3DMG|489VULN|5DUR|6TLV|7CDMG|aRCR
23	22312 32431	6	   	259.22	DCR|4VULN|1DMG|1CDMG|1AART	1FEWX|2346VULN|5LIT|7DMG|8AART|9RCR|aCDMG
24	42312 32431	6	   	259.22	DCR|4VULN|1DMG|1CDMG|1AART	1BEXP|2346VULN|5LIT|7DMG|8AART|9RCR|aCDMG
25	42315 31142	5	 * 	258.01	DCR|5VULN|2DUR	15BEXP|23456VULN|5BPWR|7RCR|8CGEN|9aDUR
26	22315 11663	5	   	258.01	DCR|5VULN|2DUR	156FEWX|23458VULN|5BPWR|7RCR|9aDUR
27	22315 33541	8	   	257.91	DCR|5VULN|2DUR	15FEWX|23459VULN|5BPWR|6MBVNT|7RCR|8aDUR
28	22315 33641	7	   	257.91	DCR|5VULN|2DUR	15FEWX|23459VULN|5BPWR|6MBVNT|7RCR|8aDUR
29	21328 14347	6	   	257.33	DCR|3VULN|3DUR|1DMG	1FEWX|256DUR|358VULN|4MBVNT|5BPWR|7RCR|9DMG|aLIT
30	21328 31562	7	   	257.33	DCR|3VULN|3DUR|1DMG	1FEWX|259DUR|358VULN|4MBVNT|5BPWR|6LIT|7DMG|aRCR
31	21328 33562	6	   	257.33	DCR|3VULN|3DUR|1DMG	1FEWX|259DUR|358VULN|4MBVNT|5BPWR|6LIT|7DMG|aRCR
32	21328 54347	5	   	257.33	DCR|3VULN|3DUR|1DMG	1FEWX|256DUR|358VULN|4MBVNT|5BPWR|7RCR|9DMG|aLIT
33	41328 31362	7	   	257.33	DCR|3VULN|3DUR|1DMG	1BEXP|259DUR|358VULN|4MBVNT|5BPWR|6LIT|7DMG|aRCR
34	34444 62311	7	   	257.30	DCR|4VULN|2TLV|1DUR|1CDMG	1aERES|2MBVNT|369aVULN|4DUR|5CDMG|7RCR|8aTLV|aBPWR
35	42315 31226	5	   	256.80	DCR|5VULN|1DMG|1AART	15BEXP|23456VULN|5BPWR|7RCR|8DUST|9AART|aDMG
36	22443 31633	8	 * 	256.23	DCR|3VULN|1DMG|2TLV|1DUR|2LIT	1FEWX|25aVULN|3LWND|4DUR|6aLIT|7DMG|8RCR|9aTLV|aBPWR
37	21633 33525	4	   	255.53	DCR|3VULN|1DMG|1DUR|1CDMG|1ASPD|1AART	1FEWX|2DUR|3AART|469VULN|5CDMG|7DMG|8RCR|aASPD
38	21633 33525	3	   	255.53	DCR|3VULN|1DMG|1DUR|1CDMG|1ASPD|1AART	1FEWX|2DUR|3AART|469VULN|5CDMG|7DMG|8RCR|aASPD
39	22613 33525	4	   	255.53	DCR|3VULN|1DMG|1DUR|1CDMG|1ASPD|1AART	1FEWX|269VULN|3AART|4DUR|5CDMG|7DMG|8RCR|aASPD
40	22315 33133	8	   	255.45	DCR|5VULN|1DMG	15FEWX|2345aVULN|5BPWR|6MBVNT|7RCR|8LIT|9DMG
41	22315 33163	9	   	255.45	DCR|5VULN|1DMG	15FEWX|2345aVULN|5BPWR|6MBVNT|7RCR|8LIT|9DMG
42	22315 33271	6	   	255.45	DCR|5VULN|1DMG	15FEWX|23459VULN|5BPWR|6MBVNT|7LIT|8DMG|aRCR
43	22315 36271	7	   	255.45	DCR|5VULN|1DMG	15FEWX|23459VULN|5BPWR|6MBVNT|7LIT|8DMG|aRCR
44	22315 53271	5	   	255.45	DCR|5VULN|1DMG	15FEWX|23459VULN|5BPWR|6MBVNT|7LIT|8DMG|aRCR
45	42315 32711	9	   	255.45	DCR|5VULN|1DMG	15BEXP|23457VULN|5BPWR|6MBVNT|8LIT|9DMG|aRCR
46	42315 33133	8	   	255.45	DCR|5VULN|1DMG	15BEXP|2345aVULN|5BPWR|6MBVNT|7RCR|8LIT|9DMG
47	42315 33163	9	   	255.45	DCR|5VULN|1DMG	15BEXP|2345aVULN|5BPWR|6MBVNT|7RCR|8LIT|9DMG
48	42315 33271	6	   	255.45	DCR|5VULN|1DMG	15BEXP|23459VULN|5BPWR|6MBVNT|7LIT|8DMG|aRCR
49	42312 16512	10	   	255.35	DCR|5VULN|1DMG	1BEXP|23489VULN|5LIT|6DLOT|7RCR|aDMG
50	32123 42433	8	   	254.66	DCR|4VULN|1DMG|1DUR|1ASPD	13ERES|2DUR|457aVULN|6ASPD|8RCR|9DMG
51	22315 33574	10	   	254.62	DCR|4VULN|2DUR|1TLV	15FEWX|2345VULN|5BPWR|6MBVNT|7RCR|89DUR|aTLV
52	42315 31326	5	   	254.43	DCR|5VULN|1TLV|1ASPD	15BEXP|23456VULN|5BPWR|7RCR|8ZMB|9TLV|aASPD
53	42315 31621	5	   	254.43	DCR|5VULN|1TLV|1ASPD	15BEXP|23456VULN|5BPWR|7RCR|8ASPD|9TLV|aLHND
54	42315 31623	5	   	254.43	DCR|5VULN|1TLV|1ASPD	15BEXP|23456VULN|5BPWR|7RCR|8ASPD|9TLV|aRPLT
55	42315 36123	5	   	254.43	DCR|5VULN|1TLV|1ASPD	15BEXP|23456VULN|5BPWR|7ASPD|8TLV|9LHND|aRCR
56	42315 22623	7	   	254.43	DCR|5VULN|1TLV|1ASPD	15BEXP|23457VULN|5BPWR|6LHND|8ASPD|9TLV|aRCR
57	42311 62623	7	   	254.33	DCR|5VULN|1TLV|1ASPD	1BEXP|23467VULN|5LHND|8ASPD|9TLV|aRCR
58	32123 42355	8	   	254.13	DCR|5VULN|1DUR|1ASPD	13ERES|2DUR|45789VULN|6ASPD|aRCR
59	22315 33488	8	   	253.69	DCR|4VULN|1TLV|1DUR|1CDMG	15FEWX|2345VULN|5BPWR|6MBVNT|7RCR|8TLV|9DUR|aCDMG
60	32613 36363	7	   	253.65	DCR|3VULN|2DMG|1DUR|2LIT	17ERES|2DUR|37DMG|49aVULN|5ZMB|67LIT|7BPWR|8RCR
61	21328 17114	10	   	253.61	DCR|3VULN|3DUR|1CDMG|1ASPD	1FEWX|256DUR|357VULN|4MBVNT|5BPWR|8CDMG|9RCR|aASPD
62	41328 17114	10	   	253.61	DCR|3VULN|3DUR|1CDMG|1ASPD	1BEXP|256DUR|357VULN|4MBVNT|5BPWR|8CDMG|9RCR|aASPD
63	21328 14317	6	   	253.51	DCR|3VULN|3DUR|1TLV	1FEWX|256DUR|358VULN|4MBVNT|5BPWR|7RCR|9TLV|aLIT
64	21328 54317	5	   	253.51	DCR|3VULN|3DUR|1TLV	1FEWX|256DUR|358VULN|4MBVNT|5BPWR|7RCR|9TLV|aLIT
65	41328 14317	6	   	253.51	DCR|3VULN|3DUR|1TLV	1BEXP|256DUR|358VULN|4MBVNT|5BPWR|7RCR|9TLV|aLIT
66	22312 32511	6	   	253.50	DCR|4VULN|2DMG	1FEWX|2346VULN|5LIT|78DMG|9RCR|aCGEN
67	22312 32513	6	   	253.50	DCR|4VULN|2DMG	1aFEWX|2346VULN|5LIT|78DMG|9RCR
68	22312 32514	6	   	253.50	DCR|4VULN|2DMG	1FEWX|2346VULN|5LIT|78DMG|9RCR|aDMSP
69	42312 32511	6	   	253.50	DCR|4VULN|2DMG	1BEXP|2346VULN|5LIT|78DMG|9RCR|aCGEN
70	42312 32513	6	   	253.50	DCR|4VULN|2DMG	1BEXP|2346VULN|5LIT|78DMG|9RCR|aFEWX
71	42312 32514	6	   	253.50	DCR|4VULN|2DMG	1BEXP|2346VULN|5LIT|78DMG|9RCR|aDMSP
72	22315 33137	8	   	253.50	DCR|4VULN|2DMG	15FEWX|2345VULN|5BPWR|6MBVNT|7RCR|8LIT|9aDMG
73	22315 33162	10	   	253.50	DCR|4VULN|2DMG	15FEWX|2345VULN|5BPWR|6MBVNT|7RCR|8LIT|9aDMG
74	22315 33167	9	   	253.50	DCR|4VULN|2DMG	15FEWX|2345VULN|5BPWR|6MBVNT|7RCR|8LIT|9aDMG
75	42315 33137	8	   	253.50	DCR|4VULN|2DMG	15BEXP|2345VULN|5BPWR|6MBVNT|7RCR|8LIT|9aDMG
76	42315 33162	10	   	253.50	DCR|4VULN|2DMG	15BEXP|2345VULN|5BPWR|6MBVNT|7RCR|8LIT|9aDMG
77	22312 32512	6	   	253.40	DCR|4VULN|2DMG	1FEWX|2346VULN|5LIT|78DMG|9RCR|aDUST
78	22312 32516	6	   	253.40	DCR|4VULN|2DMG	1FEWX|2346VULN|5LIT|78DMG|9RCR|aTBNT
79	42312 32512	6	   	253.40	DCR|4VULN|2DMG	1BEXP|2346VULN|5LIT|78DMG|9RCR|aDUST
80	42312 32516	6	   	253.40	DCR|4VULN|2DMG	1BEXP|2346VULN|5LIT|78DMG|9RCR|aTBNT
81	42312 32523	6	   	253.40	DCR|4VULN|2DMG	1BEXP|2346VULN|5LIT|78DMG|9ERES|aRCR
82	22315 66333	6	   	253.35	DCR|4VULN|2DMG|1SELL	15FEWX|2345VULN|5BPWR|6SELL|7RCR|89DMG|aLIT
83	22315 32327	7	   	252.99	DCR|5VULN|1TLV|1AART	15FEWX|23457VULN|5BPWR|6MBVNT|8RCR|9AART|aTLV
84	22315 33542	8	   	252.99	DCR|5VULN|1DUR|1AART	15FEWX|23459VULN|5BPWR|6MBVNT|7RCR|8DUR|aAART
85	22315 33642	7	   	252.99	DCR|5VULN|1DUR|1AART	15FEWX|23459VULN|5BPWR|6MBVNT|7RCR|8DUR|aAART
86	42315 32327	7	   	252.99	DCR|5VULN|1TLV|1AART	15BEXP|23457VULN|5BPWR|6MBVNT|8RCR|9AART|aTLV
87	22315 11434	5	   	252.26	DCR|4VULN|1DMG|1TLV	156FEWX|2345VULN|5BPWR|7RCR|8TLV|9LIT|aDMG
88	22312 31115	6	   	252.16	DCR|4VULN|1DMG|1TLV	1FEWX|2346VULN|5LIT|7DMSP|8DMG|9RCR|aTLV
89	22312 32215	6	   	252.16	DCR|4VULN|1DMG|1TLV	18FEWX|2346VULN|5LIT|7DMG|9RCR|aTLV
90	22312 54532	6	 * 	252.16	DCR|4VULN|2CDMG|1TLV	1aFEWX|234aVULN|5LIT|6TLV|7TBNT|8aCDMG|9RCR|aBPWR
91	22315 33138	8	   	252.16	DCR|4VULN|1DMG|1DUR	15FEWX|2345VULN|5BPWR|6MBVNT|7RCR|8LIT|9DMG|aDUR
92	22315 33167	10	   	252.16	DCR|4VULN|1DMG|1DUR	15FEWX|2345VULN|5BPWR|6MBVNT|7RCR|8LIT|9DMG|aDUR
93	22315 33168	9	   	252.16	DCR|4VULN|1DMG|1DUR	15FEWX|2345VULN|5BPWR|6MBVNT|7RCR|8LIT|9DMG|aDUR
94	42312 31115	6	   	252.16	DCR|4VULN|1DMG|1TLV	1BEXP|2346VULN|5LIT|7DMSP|8DMG|9RCR|aTLV
95	42315 33138	8	   	252.16	DCR|4VULN|1DMG|1DUR	15BEXP|2345VULN|5BPWR|6MBVNT|7RCR|8LIT|9DMG|aDUR
96	51315 12363	4	   	252.16	DCR|4VULN|1DMG|1TLV	1ZMB|2LIT|3DMG|459aVULN|6LHND|7TLV|8RCR
97	51315 22363	4	   	252.16	DCR|4VULN|1DMG|1TLV	1ZMB|2LIT|3DMG|459aVULN|6BEXP|7TLV|8RCR
98	51315 32363	4	   	252.16	DCR|4VULN|1DMG|1TLV	1ZMB|2LIT|3DMG|459aVULN|6LWND|7TLV|8RCR
99	51213 15363	5	   	252.16	DCR|4VULN|1DMG|1DUR	1ZMB|2LIT|3CGEN|479aVULN|5DUR|6DMG|8RCR
100	52212 15363	5	   	252.16	DCR|4VULN|1DMG|1DUR	1ZMB|2DUR|3CGEN|479aVULN|5LIT|6DMG|8RCR
101	22312 32433	6	   	252.12	DCR|4VULN|1DMG|2LIT|1AART	1FEWX|2346VULN|5aLIT|7DMG|8AART|9RCR
102	42312 32433	6	   	252.12	DCR|4VULN|1DMG|2LIT|1AART	1BEXP|2346VULN|5aLIT|7DMG|8AART|9RCR
103	22312 53366	5	   	252.06	DCR|4VULN|1DMG|1DUR	1FEWX|234aVULN|5LIT|6MBVNT|7DMG|8RCR|9DUR
104	31313 25363	5	   	252.06	DCR|4VULN|1DMG|1DUR	1ERES|2LIT|3DMG|479aVULN|5DUR|6ZMB|8RCR
105	31335 25363	3	   	252.06	DCR|4VULN|1DMG|1DUR	1ERES|2LIT|3DMG|4DUR|579aVULN|6ZMB|8RCR
106	32613 35363	6	   	252.06	DCR|4VULN|1DMG|1DUR	1ERES|2DUR|3DMG|479aVULN|5ZMB|6LIT|8RCR
107	22311 51244	9	   	252.02	DCR|4VULN|2DUR|1CDMG	1FEWX|2347VULN|5LHND|69DUR|8CDMG|aRCR
108	22315 33252	10	   	252.02	DCR|4VULN|2DUR|1CDMG	15FEWX|2345VULN|5BPWR|6MBVNT|7RCR|8CDMG|9aDUR
109	22315 33254	8	   	252.02	DCR|4VULN|2DUR|1CDMG	15FEWX|2345VULN|5BPWR|6MBVNT|7RCR|8CDMG|9aDUR
110	22315 33254	9	   	252.02	DCR|4VULN|2DUR|1CDMG	15FEWX|2345VULN|5BPWR|6MBVNT|7RCR|8CDMG|9aDUR
111	42315 33252	10	   	252.02	DCR|4VULN|2DUR|1CDMG	15BEXP|2345VULN|5BPWR|6MBVNT|7RCR|8CDMG|9aDUR
112	42315 33254	9	   	252.02	DCR|4VULN|2DUR|1CDMG	15BEXP|2345VULN|5BPWR|6MBVNT|7RCR|8CDMG|9aDUR
113	42315 33254	8	   	252.02	DCR|4VULN|2DUR|1CDMG	15BEXP|2345VULN|5BPWR|6MBVNT|7RCR|8CDMG|9aDUR
114	22313 51244	9	   	251.92	DCR|4VULN|2DUR|1CDMG	1FEWX|2347VULN|5DUST|69DUR|8CDMG|aRCR
115	42315 32251	5	   	251.73	DCR|5VULN|1TLV	15BEXP|23456VULN|5BPWR|7TLV|8LIT|9RCR|aZMB
116	22315 33217	8	   	251.73	DCR|5VULN|1CDMG|1ASPD	15FEWX|2345aVULN|5BPWR|6MBVNT|7RCR|8CDMG|9ASPD
117	22315 33737	7	   	251.73	DCR|5VULN|1CDMG|1ASPD	15FEWX|2345aVULN|5BPWR|6MBVNT|7RCR|8ASPD|9CDMG
118	42315 32484	8	   	251.73	DCR|5VULN|1CDMG|1ASPD	15BEXP|23457VULN|5BPWR|6MBVNT|8CDMG|9RCR|aASPD
119	42315 33217	8	   	251.73	DCR|5VULN|1CDMG|1ASPD	15BEXP|2345aVULN|5BPWR|6MBVNT|7RCR|8CDMG|9ASPD
