0	Index      	Bounty	 *	Score 	Summary	Detail	
1	35163 15321	2	 * 	280.66	DCR|3VULN|3DUR|2DMG|1CDMG	139CGEN|235DUR|359BPWR|459VULN|6MLV|7CDMG|89DMG|aRCR
2	14125 21621	3	 * 	267.25	DCR|2VULN|3DMG|1TLV|2LIT|1CDMG|1ASPD	1RPLT|2aLIT|3TLV|4aVULN|5CDMG|6ASPD|79aDMG|8RCR|aBPWR
3	13544 68133	3	 * 	266.46	DCR|2VULN|3DMG|3DUR|1ASPD	1RPLT|2MBVNT|389DUR|4ASPD|58VULN|678DMG|8BPWR|aRCR
4	33163 53233	8	 * 	264.66	DCR|4VULN|1TLV|1DUR|2LIT|1AART	1CGEN|26LIT|3569VULN|4AART|6BPWR|7RCR|8DUR|aTLV
5	53163 53233	8	   	264.56	DCR|4VULN|1DUR|1TLV|2LIT|1AART	1ERES|26LIT|3569VULN|4AART|6BPWR|7RCR|8DUR|aTLV
6	43625 22333	7	 * 	263.39	DCR|5VULN|1DMG|1DUR	1FEWX|2DMG|3BEXP|4DUR|5679aVULN|8RCR
7	33131 22615	4	   	261.82	DCR|4VULN|1DMG|1TLV|1AART	1CGEN|2LIT|3578VULN|4DMG|6AART|9TLV|aRCR
8	33131 22636	4	   	261.82	DCR|4VULN|1DMG|1DUR|1AART	1CGEN|2LIT|3578VULN|4DMG|6AART|9DUR|aRCR
9	33132 42615	5	   	261.82	DCR|4VULN|1DMG|1TLV|1AART	1CGEN|2LIT|3678VULN|4DMG|5AART|9TLV|aRCR
10	33132 42636	5	   	261.82	DCR|4VULN|1DMG|1DUR|1AART	1CGEN|2LIT|3678VULN|4DMG|5AART|9DUR|aRCR
11	33133 22615	6	   	261.82	DCR|4VULN|1DMG|1TLV|1AART	1CGEN|2LIT|3578VULN|4DMG|6AART|9TLV|aRCR
12	33133 22615	5	   	261.82	DCR|4VULN|1DMG|1TLV|1AART	1CGEN|2LIT|3578VULN|4DMG|6AART|9TLV|aRCR
13	33133 22636	6	   	261.82	DCR|4VULN|1DMG|1DUR|1AART	1CGEN|2LIT|3578VULN|4DMG|6AART|9DUR|aRCR
14	33133 22636	5	   	261.82	DCR|4VULN|1DMG|1DUR|1AART	1CGEN|2LIT|3578VULN|4DMG|6AART|9DUR|aRCR
15	33163 22615	6	   	261.82	DCR|4VULN|1DMG|1TLV|1AART	1CGEN|2LIT|3578VULN|4AART|6DMG|9TLV|aRCR
16	33163 22615	5	   	261.82	DCR|4VULN|1DMG|1TLV|1AART	1CGEN|2LIT|3578VULN|4AART|6DMG|9TLV|aRCR
17	33163 22636	6	   	261.82	DCR|4VULN|1DMG|1DUR|1AART	1CGEN|2LIT|3578VULN|4AART|6DMG|9DUR|aRCR
18	33163 22636	5	   	261.82	DCR|4VULN|1DMG|1DUR|1AART	1CGEN|2LIT|3578VULN|4AART|6DMG|9DUR|aRCR
19	43625 22313	7	 * 	261.44	DCR|4VULN|2DMG|1DUR	1FEWX|29DMG|3BEXP|4DUR|567aVULN|8RCR
20	33136 43262	9	   	260.35	DCR|3VULN|2DUR|1DMG|1TLV	1CGEN|2LIT|36aVULN|4DMG|59DUR|7TLV|8RCR
21	53131 23145	9	   	260.05	DCR|4VULN|2DMG|2LIT	1aERES|26LIT|378aVULN|4BELT|5aDMG|9RCR|aBPWR
22	13183 16844	6	 * 	259.89	DCR|3VULN|3DUR|3ASPD	1RPLT|2MBVNT|38aASPD|4ERES|58aDUR|68aVULN|7RCR|8aBPWR|9RMIN
23	13583 24163	6	 * 	259.69	DCR|4VULN|2DUR|2ASPD	1RPLT|2MBVNT|38DUR|478aVULN|58ASPD|6RMIN|8BPWR|9RCR
24	33163 53221	10	   	259.48	DCR|3VULN|1DMG|1DUR|2LIT|1CDMG|1AART	1CGEN|26LIT|356VULN|4AART|6BPWR|7RCR|8DUR|9CDMG|aDMG
25	53163 53221	10	   	259.38	DCR|3VULN|1DMG|1DUR|2LIT|1CDMG|1AART	1ERES|26LIT|356VULN|4AART|6BPWR|7RCR|8DUR|9CDMG|aDMG
26	53163 53222	9	   	259.38	DCR|3VULN|1DMG|1DUR|2LIT|1CDMG|1AART	1ERES|26LIT|356VULN|4AART|6BPWR|7RCR|8DUR|9CDMG|aDMG
27	43623 62333	7	 * 	258.54	DCR|4VULN|2DUR|1DMG	15FEWX|2DMG|3BEXP|45DUR|5BPWR|679aVULN|8RCR
28	43621 62333	7	   	258.44	DCR|4VULN|2DUR|1DMG	1FEWX|2DMG|3BEXP|45DUR|679aVULN|8RCR
29	53325 26122	1	   	258.18	DCR|5VULN|1TLV|2LIT	1aERES|2456aVULN|3TLV|7RCR|8FEWX|9aLIT|aBPWR
30	53623 21613	9	   	257.56	DCR|3VULN|3DUR|2LIT|1CDMG	149ERES|2aLIT|39aDUR|5CDMG|6RCR|7BEXP|89aVULN|9aBPWR
31	21622 52111	7	   	257.50	DCR|4VULN|1DMG|1DUR|1CDMG	12LHND|389aVULN|4DMG|5CDMG|6RCR|7DUR
32	43312 53111	7	   	257.50	DCR|4VULN|1DMG|1TLV|1CDMG	1FEWX|2DMG|3MLV|4TLV|5CDMG|6RCR|789aVULN
33	33133 43562	8	 * 	257.32	DCR|4VULN|2ASPD|1DMG	1aCGEN|2LIT|358aVULN|4DMG|6MLV|7RCR|9aASPD|aBPWR
34	33132 22615	5	   	256.77	DCR|3VULN|2DMG|1TLV|1AART	1CGEN|2LIT|378VULN|46DMG|5AART|9TLV|aRCR
35	33132 22636	5	   	256.77	DCR|3VULN|2DMG|1DUR|1AART	1CGEN|2LIT|378VULN|46DMG|5AART|9DUR|aRCR
36	33163 22615	4	   	256.77	DCR|3VULN|2DMG|1TLV|1AART	1CGEN|2LIT|378VULN|4AART|56DMG|9TLV|aRCR
37	33163 22636	4	   	256.77	DCR|3VULN|2DMG|1DUR|1AART	1CGEN|2LIT|378VULN|4AART|56DMG|9DUR|aRCR
38	33253 22615	3	   	256.77	DCR|3VULN|2DMG|1TLV|1AART	1CGEN|2LIT|3AART|478VULN|56DMG|9TLV|aRCR
39	33253 22636	3	   	256.77	DCR|3VULN|2DMG|1DUR|1AART	1CGEN|2LIT|3AART|478VULN|56DMG|9DUR|aRCR
40	13412 13523	6	   	256.29	DCR|4VULN|2DMG|1ASPD	1RPLT|2MBVNT|39CGEN|4ASPD|569aVULN|79DMG|8RCR|9BPWR
41	13412 63523	5	   	256.29	DCR|4VULN|2DMG|1ASPD	1RPLT|2MBVNT|39CGEN|4ASPD|569aVULN|79DMG|8RCR|9BPWR
42	11633 13155	5	   	256.21	DCR|3VULN|3DUR|1TLV|1ASPD	1RPLT|2ASPD|3TLV|457DUR|68aVULN|9RCR
