0	Index      	Bounty	 *	Score 	Summary	Detail	
1	14631 23353	6	 * 	273.85	DCR|4VULN|3LIT|1TLV|1DUR|1CDMG	19BEXP|2679VULN|3DUR|4TLV|569LIT|69BPWR|8RCR|aCDMG
2	43523 31353	5	 * 	273.07	DCR|5VULN|2DUR|2LIT	19CGEN|2469aVULN|34LIT|49BPWR|5LHND|79DUR|8RCR
3	24241 33321	7	 * 	273.01	DCR|4VULN|3DUR|2ASPD	19ASPD|2CGEN|349DUR|5689VULN|7RPLT|9BPWR|aRCR
4	24241 33421	8	   	273.01	DCR|4VULN|3DUR|2ASPD	19ASPD|2CGEN|349DUR|5689VULN|7RPLT|9BPWR|aRCR
5	16221 21335	7	 * 	271.96	DCR|4VULN|3DUR|3LIT	129BEXP|36aDUR|4RCVC|569aVULN|69aBPWR|79aLIT|8RCR
6	16242 21335	7	   	271.86	DCR|4VULN|3DUR|3LIT	129BEXP|34aDUR|59aLIT|679aVULN|8RCR|9aBPWR
7	31241 23211	8	 * 	271.76	DCR|4VULN|3DUR|1DMG	12LWND|346DUR|569aVULN|6BPWR|7DMG|8RCR
8	43332 25253	5	 * 	271.30	DCR|4VULN|2DMG|1TLV|1AART	19CGEN|289aVULN|3LHND|4TLV|5AART|6RCR|79DMG|9BPWR
9	22235 23435	2	 * 	270.01	DCR|3VULN|3ASPD|1DMG|1DUR|1AART	146ASPD|2AART|356VULN|6BPWR|7DUR|8RCR|9DMG|aLIT
10	14633 23353	5	   	269.68	DCR|4VULN|2DUR|1TLV|2LIT	19BEXP|279aVULN|35DUR|4TLV|69LIT|8RCR|9BPWR
11	45241 32311	6	 * 	269.63	DCR|3VULN|2DMG|2DUR|1TLV	1CGEN|2TLV|34DUR|567VULN|8aDMG|9RCR
12	14631 23323	6	   	269.58	DCR|4VULN|2DUR|1TLV|2LIT	1BEXP|267aVULN|39DUR|4TLV|56LIT|6BPWR|8RCR
13	14631 53323	5	   	269.58	DCR|4VULN|2DUR|1TLV|2LIT	1BEXP|267aVULN|39DUR|4TLV|56LIT|6BPWR|8RCR
14	54231 23323	6	   	269.58	DCR|4VULN|2DUR|1TLV|2LIT	1LHND|267aVULN|39DUR|4TLV|56LIT|6BPWR|8RCR
15	54231 53323	5	   	269.58	DCR|4VULN|2DUR|1TLV|2LIT	1LHND|267aVULN|39DUR|4TLV|56LIT|6BPWR|8RCR
16	22435 14222	2	 * 	269.55	DCR|3VULN|3DUR|3ASPD|1AART	147ASPD|2AART|378DUR|57aVULN|6RCR|7BPWR|9CGEN
17	22535 14222	3	   	269.55	DCR|3VULN|3DUR|3ASPD|1AART	147ASPD|2AART|378DUR|57aVULN|6RCR|7BPWR|9CGEN
18	22563 14111	4	   	269.35	DCR|4VULN|2DUR|2ASPD|1AART	17ASPD|2AART|37DUR|457aVULN|6RCR|7BPWR|8LEGI|9RPLT
19	42232 61233	7	   	268.25	DCR|4VULN|3DUR|1TLV	18aCGEN|28aDUR|3LWND|4TLV|5BELT|678aVULN|8aBPWR|9RCR
20	42232 62233	6	   	268.25	DCR|4VULN|3DUR|1TLV	18aCGEN|28aDUR|3LWND|4TLV|5BELT|678aVULN|8aBPWR|9RCR
21	43523 31351	5	   	267.18	DCR|4VULN|2DUR|2LIT|1CDMG	19CGEN|2469VULN|34LIT|49BPWR|5LHND|79DUR|8RCR|aCDMG
22	31241 23613	8	 * 	266.81	DCR|3VULN|3DUR|2DMG|1NUKE	129LWND|346DUR|569VULN|69BPWR|79DMG|8NUKE|aRCR
23	22563 14113	4	 * 	266.77	DCR|3VULN|2DUR|2ASPD|1DMG|1AART	17ASPD|2AART|37DUR|457VULN|6RCR|7BPWR|8LEGI|9RPLT|aDMG
24	22563 14123	4	   	266.77	DCR|3VULN|2DUR|2ASPD|1DMG|1AART	17ASPD|2AART|37DUR|457VULN|6RCR|7BPWR|8LEGI|9LWND|aDMG
25	22563 14321	4	   	266.77	DCR|3VULN|2DUR|2ASPD|1DMG|1AART	17ASPD|2AART|37DUR|457VULN|6RCR|7BPWR|8BBNT|9DMG|aDMSP
26	22563 14322	4	   	266.77	DCR|3VULN|2DUR|2ASPD|1DMG|1AART	17ASPD|2AART|37DUR|457VULN|6RCR|7BPWR|8BBNT|9DMG|aLWND
27	31241 23215	8	   	266.71	DCR|3VULN|3DUR|2DMG	12LWND|346DUR|569VULN|6BPWR|7aDMG|8RCR
28	21252 15632	1	   	266.52	DCR|3VULN|3DUR|2ASPD|1TLV	18ASPD|258VULN|3RPLT|4BBNT|689DUR|7RCR|8BPWR|aTLV
29	26211 35632	1	   	266.52	DCR|3VULN|3DUR|2ASPD|1TLV	18ASPD|248DUR|3RPLT|5TBNT|689VULN|7RCR|8BPWR|aTLV
30	26211 35632	2	   	266.52	DCR|3VULN|3DUR|2ASPD|1TLV	18ASPD|248DUR|3RPLT|5TBNT|689VULN|7RCR|8BPWR|aTLV
31	23313 16363	7	   	265.80	DCR|3VULN|3ASPD|1DMG|1DUR|1CDMG	138ASPD|28ZMB|4DMG|5CDMG|678VULN|8BPWR|9DUR|aRCR
32	45241 13313	10	   	265.70	DCR|3VULN|2DUR|1DMG|1TLV|1CDMG	1CGEN|2TLV|34DUR|578VULN|6CDMG|9DMG|aRCR
33	45241 32313	6	   	265.70	DCR|3VULN|2DUR|1DMG|1TLV|1CDMG	1CGEN|2TLV|34DUR|567VULN|8DMG|9RCR|aCDMG
34	24241 32311	6	   	264.39	DCR|3VULN|2DMG|2DUR|1ASPD	1ASPD|2CGEN|34DUR|567VULN|8aDMG|9RCR
35	24241 36211	6	   	264.39	DCR|3VULN|2DMG|2DUR|1ASPD	1ASPD|2CGEN|34DUR|568VULN|7aDMG|9RCR
36	12235 63353	2	   	264.38	DCR|4VULN|2DUR|1TLV|1AART	19BEXP|2DLOT|3AART|4TLV|59DUR|679aVULN|8RCR|9BPWR
37	52235 33353	2	   	264.38	DCR|4VULN|2DUR|1TLV|1AART	19LHND|2DLOT|3AART|4TLV|59DUR|679aVULN|8RCR|9BPWR
38	26641 32311	6	   	264.29	DCR|3VULN|2DMG|2DUR|1ASPD	1ASPD|24DUR|3ERES|567VULN|8aDMG|9RCR
39	21635 23211	1	 * 	264.28	DCR|4VULN|3ASPD|1DUR|1AART	146ASPD|256aVULN|3AART|6BPWR|7DUR|8RPLT|9RCR
40	22235 23211	2	   	264.28	DCR|4VULN|3ASPD|1DUR|1AART	146ASPD|2AART|356aVULN|6BPWR|7DUR|8RPLT|9RCR
41	26432 15321	6	   	263.92	DCR|3VULN|3DUR|2ASPD|1CDMG	19ASPD|259DUR|3CDMG|4CGEN|6MBVNT|789VULN|9BPWR|aRCR
42	23241 55211	7	   	263.05	DCR|3VULN|2DUR|1DMG|1TLV|1ASPD	1ASPD|2ZMB|34DUR|578VULN|6TLV|9RCR|aDMG
43	24241 32511	6	   	263.05	DCR|3VULN|2DUR|1DMG|1TLV|1ASPD	1ASPD|2CGEN|34DUR|567VULN|8TLV|9RCR|aDMG
44	24241 52211	7	   	263.05	DCR|3VULN|2DUR|1DMG|1TLV|1ASPD	1ASPD|2CGEN|34DUR|578VULN|6TLV|9RCR|aDMG
45	45143 32211	7	   	263.05	DCR|3VULN|2DUR|1DMG|1TLV|1ASPD	1CGEN|2TLV|378VULN|46DUR|5ASPD|9RCR|aDMG
46	21635 31123	1	   	262.99	DCR|4VULN|3ASPD|2LIT|1AART	14aASPD|259aVULN|3AART|6aLIT|7RMIN|8RCR|aBPWR
47	22235 31123	2	   	262.99	DCR|4VULN|3ASPD|2LIT|1AART	14aASPD|2AART|359aVULN|6aLIT|7RMIN|8RCR|aBPWR
48	14525 23323	2	   	262.93	DCR|4VULN|2DUR|1TLV	1BEXP|257aVULN|3TLV|49DUR|6LIT|8RCR
49	14635 23323	4	   	262.93	DCR|4VULN|2DUR|1TLV	1BEXP|257aVULN|39DUR|4TLV|6LIT|8RCR
50	54235 23323	4	   	262.93	DCR|4VULN|2DUR|1TLV	1LHND|257aVULN|39DUR|4TLV|6LIT|8RCR
51	21635 23432	1	   	261.71	DCR|3VULN|3ASPD|1DMG|1DUR|1AART	146ASPD|256VULN|3AART|6BPWR|7DUR|8RCR|9DMG|aLWND
52	22235 23432	2	   	261.71	DCR|3VULN|3ASPD|1DMG|1DUR|1AART	146ASPD|2AART|356VULN|6BPWR|7DUR|8RCR|9DMG|aLWND
53	22235 23436	2	   	261.71	DCR|3VULN|3ASPD|1DMG|1DUR|1AART	146ASPD|2AART|356VULN|6BPWR|7DUR|8RCR|9DMG|aZMB
54	21635 23431	1	   	261.61	DCR|3VULN|3ASPD|1DMG|1DUR|1AART	146ASPD|256VULN|3AART|6BPWR|7DUR|8RCR|9DMG|aBBNT
55	21635 23433	1	   	261.61	DCR|3VULN|3ASPD|1DMG|1DUR|1AART	146ASPD|256VULN|3AART|6BPWR|7DUR|8RCR|9DMG|aERES
56	22235 23431	2	   	261.61	DCR|3VULN|3ASPD|1DMG|1DUR|1AART	146ASPD|2AART|356VULN|6BPWR|7DUR|8RCR|9DMG|aBBNT
