0	Index      	Bounty	 *	Score 	Summary	Detail	
1	51336 51123	6	 * 	280.01	DCR|3VULN|3DMG|3DUR	17aVULN|27aDUR|3FEWX|4ASPD|567DMG|7aBPWR|8aLHND|9RCR
2	43112 51523	10	 * 	277.13	DCR|3VULN|2DMG|2DUR|1TLV	1aDMG|2RCVC|3DMSP|4aDUR|5TLV|6ASPD|78aVULN|9RCR|aBPWR
3	51533 34222	10	 * 	273.56	DCR|4VULN|3DUR|1TLV	135aVULN|267DUR|4ASPD|8RCR|9TLV
4	51533 22411	9	 * 	273.42	DCR|5VULN|3ASPD|3LIT|1DUR	1359aVULN|2DUR|49aASPD|6RCR|7RCVC|89aLIT|9aBPWR
5	36212 36231	2	 * 	271.98	DCR|3VULN|2DMG|2TLV|1DUR|1AART	17TLV|2AART|37aVULN|4MLV|5DUR|67DMG|7BPWR|8RCR|9BEXP
6	36212 36251	2	   	271.98	DCR|3VULN|2DMG|2TLV|1DUR|1AART	17TLV|2AART|37aVULN|4MLV|5DUR|67DMG|7BPWR|8RCR|9LWND
7	36212 36211	2	   	269.24	DCR|2VULN|2DMG|2TLV|1DUR|1CDMG|1AART	17TLV|2AART|37VULN|4MLV|5DUR|67DMG|7BPWR|8RCR|9CDMG|aLIT
8	43133 24523	10	   	268.82	DCR|3VULN|2DMG|2DUR|1TLV	1aDMG|2RCVC|3DMSP|4TLV|5RMIN|68aVULN|7aDUR|9RCR|aBPWR
9	41336 32343	2	 * 	267.76	DCR|2VULN|3DMG|2TLV|2DUR	169DMG|2RMIN|39VULN|4DUST|56DUR|69BPWR|7TBNT|89TLV|aRCR
10	51533 34222	9	   	266.16	DCR|3VULN|3DUR|1TLV|1CDMG	135VULN|267DUR|4ASPD|8RCR|9TLV|aCDMG
11	54412 31131	4	   	265.55	DCR|4VULN|3DUR|1TLV	1567VULN|2LHND|37FEWX|467DUR|67BPWR|8BELT|9TLV|aRCR
12	56212 31131	4	   	265.55	DCR|4VULN|3DUR|1TLV	1567VULN|2FEWX|37LHND|467DUR|67BPWR|8BELT|9TLV|aRCR
13	53134 13243	3	 * 	265.25	DCR|4VULN|3DUR|3CDMG	1689VULN|2ERES|348DUR|568CDMG|68BPWR|7RMIN|aRCR
14	41235 13363	3	 * 	264.54	DCR|4VULN|3DMG|1DUR	135DMG|2RMIN|4578VULN|5BPWR|6TBNT|9DUR|aRCR
15	41235 32363	3	   	264.54	DCR|4VULN|3DMG|1DUR	135DMG|2RMIN|4568VULN|56BPWR|7TBNT|9DUR|aRCR
16	51512 53231	8	   	264.15	DCR|3VULN|3DUR|2DMG	139VULN|279DUR|4CGEN|5ASPD|69DMG|8DMSP|9BPWR|aRCR
17	51512 53223	10	   	264.15	DCR|3VULN|3DUR|2DMG	13aVULN|27aDUR|4CGEN|5ASPD|6aDMG|8DMSP|9RCR|aBPWR
18	51541 33232	3	   	263.71	DCR|4VULN|1TLV|1DUR|1AART	1367VULN|2DUR|4AART|5LIT|8ASPD|9TLV|aRCR
19	51541 33232	4	   	263.71	DCR|4VULN|1TLV|1DUR|1AART	1367VULN|2DUR|4AART|5LIT|8ASPD|9TLV|aRCR
20	51513 11124	6	 * 	263.57	DCR|4VULN|2DMG|2DUR	1379VULN|27DUR|4CGEN|5LHND|67DMG|7BPWR|8TBNT|aRCR
21	51236 31115	5	   	263.28	DCR|2VULN|3DMG|3DUR|1SELL	17VULN|267DUR|3LHND|4ASPD|567DMG|67BPWR|8LIT|9SELL|aRCR
22	51336 31115	5	   	263.28	DCR|2VULN|3DMG|3DUR|1SELL	17VULN|267DUR|3FEWX|4ASPD|567DMG|67BPWR|8LIT|9SELL|aRCR
23	51336 31115	4	   	263.28	DCR|2VULN|3DMG|3DUR|1SELL	17VULN|267DUR|3FEWX|4ASPD|567DMG|67BPWR|8LIT|9SELL|aRCR
24	36212 36224	2	   	262.94	DCR|2VULN|3DMG|2TLV|1DUR|1AART	17TLV|2AART|37VULN|4MLV|5DUR|67aDMG|7BPWR|8RCR|9DMSP
25	36212 36234	2	   	262.94	DCR|2VULN|3DMG|2TLV|1DUR|1AART	17TLV|2AART|37VULN|4MLV|5DUR|67aDMG|7BPWR|8RCR|9BEXP
26	41231 42234	3	   	262.94	DCR|2VULN|3DMG|2TLV|1DUR|1AART	13aDMG|2RMIN|4aVULN|5DUR|6AART|7ZMB|8RCR|9aTLV|aBPWR
27	51533 22411	10	   	262.51	DCR|4VULN|1DMG|2ASPD|1DUR|2LIT	1359VULN|2DUR|49ASPD|6RCR|7RCVC|89LIT|9BPWR|aDMG
28	51533 21342	8	   	262.23	DCR|4VULN|2DUR|1DMG|2ASPD	1359VULN|28DUR|49ASPD|6RCR|79CGEN|9BPWR|aDMG
29	35252 22143	7	 * 	262.22	DCR|3VULN|2DMG|3TLV|1DUR	145TLV|27ZMB|37DMG|67aVULN|7BPWR|8DUR|9RCR
30	35252 22343	8	   	262.22	DCR|3VULN|2DMG|3TLV|1DUR	145TLV|27ZMB|37DMG|67aVULN|7BPWR|8DUR|9RCR
31	51533 34221	9	   	262.17	DCR|3VULN|3DUR|1TLV|1AART	135VULN|267DUR|4ASPD|8RCR|9TLV|aAART
32	51311 42234	5	 * 	262.14	DCR|3VULN|3DUR|2TLV|1AART	15aVULN|24aDUR|3FEWX|6AART|7ZMB|8RCR|9aTLV|aBPWR
33	52324 32231	2	   	262.14	DCR|3VULN|3DUR|2TLV|1AART	158VULN|2BEXP|3RPLT|468DUR|78TLV|8BPWR|9AART|aRCR
34	31252 22143	7	   	262.12	DCR|3VULN|2DMG|3TLV|1DUR	145TLV|2RMIN|37DMG|67aVULN|7BPWR|8DUR|9RCR
35	31252 22343	8	   	262.12	DCR|3VULN|2DMG|3TLV|1DUR	145TLV|2RMIN|37DMG|67aVULN|7BPWR|8DUR|9RCR
36	53111 41411	6	   	261.01	DCR|3VULN|2TLV|2DUR|1CDMG	169VULN|2ERES|39DUR|4CDMG|5LIT|79TLV|8TBNT|9BPWR|aRCR
37	53111 41511	6	   	261.01	DCR|3VULN|2TLV|2DUR|1CDMG	169VULN|2ERES|39DUR|4CDMG|5LIT|79TLV|8BBNT|9BPWR|aRCR
38	53111 61411	5	   	261.01	DCR|3VULN|2TLV|2DUR|1CDMG	169VULN|2ERES|39DUR|4CDMG|5LIT|79TLV|8TBNT|9BPWR|aRCR
39	53111 61511	5	   	261.01	DCR|3VULN|2TLV|2DUR|1CDMG	169VULN|2ERES|39DUR|4CDMG|5LIT|79TLV|8BBNT|9BPWR|aRCR
40	36212 36213	2	   	260.94	DCR|2VULN|2DMG|2TLV|1DUR|1CDMG|1AART	17TLV|2AART|37VULN|4MLV|5DUR|67DMG|7BPWR|8RCR|9CDMG|aRCVC
41	36212 36215	2	   	260.94	DCR|2VULN|2DMG|2TLV|1DUR|1CDMG|1AART	17TLV|2AART|37VULN|4MLV|5DUR|67DMG|7BPWR|8RCR|9CDMG|aZMB
42	36212 36214	2	   	260.84	DCR|2VULN|2DMG|2TLV|1DUR|1CDMG|1AART	17TLV|2AART|37VULN|4MLV|5DUR|67DMG|7BPWR|8RCR|9CDMG|aBBNT
