0	Index      	Bounty	 *	Score 	Summary	Detail	
1	13131 61436	7	 * 	279.82	DCR|4VULN|2DMG|2DUR|2ASPD	17DMG|23DUR|478aVULN|57ASPD|6RCVC|7BPWR|9RCR
2	21335 65121	4	 * 	277.87	DCR|3VULN|3DMG|3TLV|1DUR	178VULN|2LEGI|3DUR|478TLV|5TBNT|678DMG|78BPWR|9RCVC|aRCR
3	21333 38227	8	 * 	276.93	DCR|3VULN|2DMG|2DUR|1TLV	18aVULN|2LEGI|3aDUR|4TLV|5MBVNT|6ASPD|7aDMG|9RCR|aBPWR
4	23242 46121	5	 * 	274.64	DCR|2VULN|3DMG|2DUR|1TLV|2LIT	17VULN|2DMSP|35LIT|47DUR|678DMG|7BPWR|9TLV|aRCR
5	14213 61126	8	 * 	273.61	DCR|3VULN|3DMG|1TLV|2CDMG	125DMG|259BPWR|3DMSP|459VULN|69CDMG|7RCR|8RPLT|aTLV
6	14223 41621	8	   	273.44	DCR|2VULN|3DMG|2DUR|1TLV|1CDMG	127DMG|27BPWR|3DMSP|4TLV|57DUR|67VULN|8CDMG|9CGEN|aRCR
7	14223 41621	9	   	273.34	DCR|2VULN|3DMG|2DUR|1TLV|1CDMG	127DMG|27BPWR|3DMSP|4TLV|57DUR|67VULN|8CDMG|9ERES|aRCR
8	26323 31112	8	 * 	273.18	DCR|3VULN|3DUR|2DMG|2AART	149VULN|2DUST|35AART|679DUR|89DMG|9BPWR|aRCR
9	13143 61432	7	   	272.42	DCR|3VULN|2DMG|2DUR|2ASPD|1CDMG	17DMG|23DUR|47ASPD|578VULN|6RCVC|7BPWR|9RCR|aCDMG
10	13131 61432	7	   	272.42	DCR|3VULN|2DMG|2DUR|2ASPD|1CDMG	17DMG|23DUR|478VULN|57ASPD|6RCVC|7BPWR|9RCR|aCDMG
11	11163 15134	9	   	272.01	DCR|3VULN|2DMG|1TLV|1DUR|1AART	18DMG|267VULN|3DUR|4AART|5ASPD|9RCR|aTLV
12	13132 32411	6	 * 	271.26	DCR|3VULN|3DMG|3DUR|1SELL	178DMG|237DUR|47aVULN|5SELL|6BELT|7aBPWR|9RCR
13	14223 41322	7	   	269.45	DCR|2VULN|3DMG|2DUR|1TLV|1AART	127DMG|27BPWR|3DMSP|4TLV|57DUR|67VULN|8RCVC|9AART|aRCR
14	14223 41132	9	   	269.35	DCR|2VULN|3DMG|2DUR|1TLV|1AART	127DMG|27BPWR|3DMSP|4TLV|57DUR|67VULN|8AART|9ERES|aRCR
15	14263 41132	8	   	269.35	DCR|2VULN|3DMG|2DUR|1TLV|1AART	127DMG|27BPWR|3DMSP|4ERES|57DUR|67VULN|8AART|9TLV|aRCR
16	14433 51132	8	   	269.25	DCR|2VULN|3DMG|2DUR|1TLV|1AART	127DMG|27BPWR|36ERES|47DUR|57VULN|8AART|9TLV|aRCR
17	11163 15234	9	   	269.00	DCR|3VULN|2DUR|1TLV|1DMG|1AART	1DMG|267VULN|38DUR|4AART|5ASPD|9RCR|aTLV
18	22215 16114	1	   	268.89	DCR|3VULN|2DMG|2DUR|1AART	12aVULN|3AART|4RPLT|5aDUR|6LIT|7ASPD|8aDMG|9RCR|aBPWR
19	11223 54827	6	   	268.62	DCR|3VULN|2DMG|2DUR|1TLV	1aDMG|26aVULN|3TLV|4DUST|5MBVNT|7RMIN|8aDUR|9RCR|aBPWR
