0	Index      	Bounty	 *	Score 	Summary	Detail	
1	14363 26332	2	 * 	276.85	DCR|4VULN|3DUR|2DMG|1SELL	157LWND|279aVULN|3SELL|47aDUR|6RCR|7aBPWR|8aDMG
2	44323 24122	2	 * 	273.43	DCR|4VULN|3DUR|3TLV	179TLV|2DUST|3789VULN|4LHND|5ERES|679DUR|79BPWR|aRCR
3	46323 41131	8	   	268.61	DCR|4VULN|2TLV|2DUR	17TLV|278aVULN|3LIT|4ZMB|57DUR|6BELT|7BPWR|9RCR
4	21526 32315	7	 * 	267.99	DCR|2VULN|3DMG|2DUR|1TLV	1RCVC|245DMG|34DUR|4BPWR|6LIT|78VULN|9TLV|aRCR
5	21216 12156	5	 * 	266.87	DCR|2VULN|3DMG|3DUR|3LIT	1RCVC|27aDMG|3CGEN|457DUR|67aLIT|7aBPWR|8aVULN|9RCR
6	21522 51411	8	 * 	266.77	DCR|2VULN|3DMG|3DUR|2CDMG	1RCVC|248DMG|348DUR|48BPWR|5aVULN|6ERES|78CDMG|9RCR
7	21522 62231	7	 * 	265.56	DCR|2VULN|3DUR|2DMG|1TLV	1RCVC|24DMG|347DUR|4BPWR|59VULN|6ASPD|8RCR|aTLV
8	21523 24231	5	   	265.56	DCR|2VULN|3DUR|2DMG|1TLV	1RCVC|24DMG|345DUR|4BPWR|69VULN|7ASPD|8RCR|aTLV
9	33112 45332	3	 * 	263.45	DCR|4VULN|2DUR|3ASPD|1CDMG	136FEWX|23aASPD|36aBPWR|4CDMG|568aVULN|7RCR|9aDUR
10	43131 62121	4	 * 	261.82	DCR|3VULN|3DMG|3TLV	149TLV|2RMIN|34aMLV|49aBPWR|579DMG|6RCR|89aVULN
11	43331 62121	4	   	261.82	DCR|3VULN|3DMG|3TLV	149TLV|2RMIN|34aCGEN|49aBPWR|579DMG|6RCR|89aVULN
12	41261 62121	4	   	261.52	DCR|3VULN|3DMG|3TLV	139TLV|2aERES|4RMIN|579DMG|6RCR|89aVULN|9aBPWR
13	46323 41133	8	   	261.21	DCR|3VULN|2TLV|2DUR|1CDMG	17TLV|278VULN|3LIT|4ZMB|57DUR|6BELT|7BPWR|9RCR|aCDMG
14	42523 21361	9	   	260.10	DCR|4VULN|3TLV|2DUR	124TLV|34DUR|4BPWR|5679VULN|8FEWX|aRCR
15	42523 21631	7	 * 	259.12	DCR|3VULN|3TLV|2DUR|1DMG	124TLV|34DUR|4BPWR|567VULN|8DMG|9CGEN|aRCR
16	21522 43433	9	 * 	258.27	DCR|3VULN|3DMG|2DUR	1RCVC|247DMG|34DUR|47BPWR|579VULN|67BEXP|8DUST|aRCR
17	21522 43433	8	   	258.27	DCR|3VULN|3DMG|2DUR	1RCVC|247DMG|34DUR|47BPWR|579VULN|67BEXP|8DUST|aRCR
18	21522 16162	8	   	257.38	DCR|3VULN|2DMG|2DUR|2LIT	1RCVC|24DMG|34DUR|4BPWR|578VULN|6aLIT|9RCR
19	21522 16262	7	   	257.38	DCR|3VULN|2DMG|2DUR|2LIT	1RCVC|24DMG|34DUR|4BPWR|578VULN|6aLIT|9RCR
20	21413 16232	10	   	257.36	DCR|2VULN|3DUR|2DMG|1TLV	1RCVC|2aDMG|3ZMB|45aDUR|6BEXP|7TLV|8RCR|9aVULN|aBPWR
21	42523 31142	10	 * 	257.31	DCR|2VULN|3DUR|3TLV|1DMG|1AART	124TLV|347DUR|4BPWR|58VULN|6DMG|9AART|aRCR
22	41322 23635	9	   	256.48	DCR|2VULN|2TLV|2DUR|1DMG|1CDMG	18TLV|2ERES|38VULN|4CDMG|5LIT|6RPLT|78DUR|8BPWR|9DMG|aRCR
23	13112 45151	3	 * 	255.63	DCR|3VULN|3DUR|3ASPD|1CDMG	136LWND|239ASPD|369BPWR|4CDMG|569VULN|7RCR|89aDUR
24	13162 63231	7	   	254.24	DCR|3VULN|2DMG|1TLV|2ASPD	137LWND|23ASPD|37BPWR|4DMSP|579VULN|67DMG|8RCR|aTLV
25	43384 13436	1	   	254.08	DCR|3VULN|2DMG|2TLV|1NUKE	19TLV|2MBVNT|39aVULN|4NUKE|5DUST|6LIT|79DMG|8RCR|9BPWR
26	13112 45215	3	 * 	253.74	DCR|3VULN|1TLV|3ASPD|2CDMG|1AART	136LWND|238ASPD|368BPWR|48CDMG|568VULN|7RCR|9AART|aTLV
27	21522 62232	7	   	253.01	DCR|2VULN|3DUR|2DMG|1CDMG	1RCVC|24DMG|347DUR|4BPWR|59VULN|6ASPD|8RCR|aCDMG
28	21523 24232	5	   	253.01	DCR|2VULN|3DUR|2DMG|1CDMG	1RCVC|24DMG|345DUR|4BPWR|69VULN|7ASPD|8RCR|aCDMG
29	46312 32431	2	 * 	252.98	DCR|5VULN|1TLV|1CDMG	1TLV|2359aVULN|4CDMG|6TBNT|7RCR|8BBNT
30	41323 31266	7	   	252.80	DCR|3VULN|2TLV|2DUR|1CDMG	18TLV|2ERES|368VULN|4CDMG|5LWND|78DUR|8BPWR|9FEWX|aRCR
31	41323 32266	6	   	252.80	DCR|3VULN|2TLV|2DUR|1CDMG	18TLV|2ERES|368VULN|4CDMG|5LWND|78DUR|8BPWR|9FEWX|aRCR
32	43361 32222	1	   	252.48	DCR|3VULN|3DUR|2TLV	19TLV|2MBVNT|359VULN|45MLV|59BPWR|6LHND|789DUR|aRCR
33	21522 13331	8	   	252.34	DCR|2VULN|2DMG|2DUR|1TLV	1RCVC|24DMG|34DUR|4BPWR|5aVULN|6LIT|7TLV|8BELT|9RCR
34	46511 22131	2	   	252.08	DCR|2VULN|2DUR|1TLV|1DMG|2AART	1TLV|27VULN|38AART|45DUR|6DMG|9RCR|aLIT
35	42523 33311	7	 * 	252.01	DCR|2VULN|2DMG|3TLV|2DUR	124TLV|34DUR|4BPWR|57VULN|69DMG|8MLV|aRCR
36	42523 33411	8	   	252.01	DCR|2VULN|2DMG|3TLV|2DUR	124TLV|34DUR|4BPWR|57VULN|69DMG|8CGEN|aRCR
37	42523 33431	9	   	252.01	DCR|2VULN|2DMG|3TLV|2DUR	124TLV|34DUR|4BPWR|57VULN|69DMG|8CGEN|aRCR
38	42523 33111	7	   	251.91	DCR|2VULN|2DMG|3TLV|2DUR	124TLV|34DUR|4BPWR|57VULN|69DMG|8ERES|aRCR
39	14511 33162	7	   	251.82	DCR|3VULN|1TLV|1DMG|1CDMG|1AART	1LWND|29aVULN|3LIT|4AART|5CDMG|6TLV|7RCR|8DMG
40	14511 33161	7	   	251.46	DCR|2VULN|2DMG|1TLV|2LIT|1CDMG|1AART	1aLWND|29VULN|3aLIT|4AART|5CDMG|6TLV|7RCR|8aDMG|aBPWR
41	14331 34433	10	   	251.09	DCR|4VULN|1TLV|1DUR|1CDMG	1LWND|2589VULN|3DUR|4LHND|6CDMG|7TLV|aRCR
42	34331 34433	10	   	251.09	DCR|4VULN|1TLV|1DUR|1CDMG	1FEWX|2589VULN|3DUR|4LHND|6CDMG|7TLV|aRCR
43	43225 23633	9	   	251.08	DCR|2VULN|2DMG|2TLV|1DUR|1CDMG	19TLV|2RMIN|39VULN|4CDMG|5DUR|6LEGI|79DMG|8MBVNT|9BPWR|aRCR
44	46312 32621	2	   	250.99	DCR|4VULN|1TLV|1DUR|1CDMG	1TLV|2358VULN|4CDMG|6TBNT|7RCR|9DUR|aRMIN
45	46312 32623	2	   	250.99	DCR|4VULN|1TLV|1DUR|1CDMG	1TLV|2358VULN|4CDMG|6TBNT|7RCR|9DUR|aDMSP
46	21534 43222	9	   	250.93	DCR|3VULN|2DMG|2DUR	1RCVC|27DMG|37DUR|4ASPD|59aVULN|67CGEN|7BPWR|8RCR
47	33363 64332	2	   	250.83	DCR|3VULN|2DMG|2DUR	19FEWX|2ASPD|39aVULN|48DUR|5ERES|69DMG|7RCR|9BPWR
48	14321 23231	4	   	250.83	DCR|3VULN|2DMG|2DUR	1aLWND|29aVULN|37DUR|4ASPD|5BBNT|6aDMG|8RCR|aBPWR
49	21532 11231	4	   	250.83	DCR|3VULN|2DMG|2DUR	1RCVC|2aDMG|3aDUR|4ASPD|5LHND|6TBNT|79aVULN|8RCR|aBPWR
50	21532 51231	4	   	250.83	DCR|3VULN|2DMG|2DUR	1RCVC|2aDMG|3aDUR|4ASPD|5LHND|6BBNT|79aVULN|8RCR|aBPWR
