0	Index      	Bounty	 *	Score 	Summary	Detail	
1	63432 13512	10	 * 	306.33	DCR|5VULN|2DUR|1TLV|3CDMG	167CDMG|2TLV|37DUR|4AART|5678aVULN|67BPWR|9RCR
2	63432 13512	9	 * 	296.07	DCR|4VULN|2TLV|2DUR|3CDMG	167CDMG|2aTLV|37DUR|4AART|5678VULN|67BPWR|9RCR
3	63432 13312	10	   	296.07	DCR|4VULN|2TLV|2DUR|3CDMG	167CDMG|28TLV|37DUR|4AART|567aVULN|67BPWR|9RCR
4	63432 13513	10	   	287.99	DCR|4VULN|2DUR|1TLV|3CDMG	167CDMG|2TLV|37DUR|4AART|5678VULN|67BPWR|9RCR|aMLV
5	63432 13513	9	   	287.99	DCR|4VULN|2DUR|1TLV|3CDMG	167CDMG|2TLV|37DUR|4AART|5678VULN|67BPWR|9RCR|aBEXP
6	63432 13112	10	   	287.99	DCR|4VULN|2DUR|1TLV|3CDMG	167CDMG|2TLV|37DUR|4AART|567aVULN|67BPWR|8RCVC|9RCR
7	63432 13612	10	   	287.99	DCR|4VULN|2DUR|1TLV|3CDMG	167CDMG|2TLV|37DUR|4AART|567aVULN|67BPWR|8DMSP|9RCR
8	63432 13511	9	   	287.89	DCR|4VULN|2DUR|1TLV|3CDMG	167CDMG|2TLV|37DUR|4AART|5678VULN|67BPWR|9RCR|aLEGI
9	62432 13612	9	   	287.89	DCR|4VULN|2DUR|1TLV|3CDMG	167CDMG|2ERES|37DUR|4AART|5678VULN|67BPWR|9RCR|aTLV
10	23334 12253	6	 * 	285.14	DCR|3VULN|3DMG|3TLV|1CDMG	1RMIN|28aDMG|38aVULN|4ZMB|5CDMG|6RCR|78aTLV|8aBPWR|9AART
11	45136 13222	4	 * 	282.57	DCR|4VULN|3DMG|2TLV	138ERES|2DLOT|458aVULN|68aDMG|7RCR|8aBPWR|9aTLV
12	45312 13222	2	   	282.57	DCR|4VULN|3DMG|2TLV	158ERES|2DLOT|348aVULN|68aDMG|7RCR|8aBPWR|9aTLV
13	23334 11153	7	 * 	282.47	DCR|3VULN|2DMG|2DUR|1TLV|1CDMG	1RMIN|29DMG|389VULN|4ZMB|5CDMG|6RCR|79DUR|9BPWR|aTLV
14	23334 16153	6	   	282.47	DCR|3VULN|2DMG|2DUR|1TLV|1CDMG	1RMIN|29DMG|389VULN|4ZMB|5CDMG|6RCR|79DUR|9BPWR|aTLV
15	63432 13612	7	 * 	280.06	DCR|3VULN|3DUR|1TLV|3CDMG	167CDMG|2TLV|37aDUR|4AART|567VULN|67BPWR|8RCR|9ERES
16	62432 13612	10	   	280.03	DCR|5VULN|2DUR|3CDMG	167CDMG|2ERES|37DUR|4AART|5678aVULN|67BPWR|9RCR
